Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-01-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-03,0.47,0.43,0.43,0.00,0.00,0.00,0.00,0.56,0.00
2018-01-04,0.22,0.13,0.16,0.25,0.23,0.22,0.19,0.13,0.19
2018-01-05,0.38,0.34,0.35,0.43,0.36,0.00,0.00,0.34,0.51
2018-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-07,0.15,0.09,0.09,0.21,0.21,0.19,0.17,0.09,0.15
2018-01-08,0.44,0.38,0.00,0.31,0.48,0.33,0.32,0.00,0.32
2018-01-09,0.39,0.34,0.54,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-11,0.38,0.22,0.22,0.22,0.28,0.25,0.25,0.23,0.27
2018-01-12,0.53,0.53,0.42,0.53,0.54,0.45,0.43,0.38,0.43
2018-01-13,0.00,0.00,0.56,0.00,0.00,0.57,0.57,0.00,0.57
2018-01-14,0.46,0.36,0.37,0.00,0.48,0.47,0.51,0.46,0.00
2018-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-18,0.59,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00
2018-01-19,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-20,0.50,0.41,0.47,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-21,0.00,0.48,0.34,0.00,0.00,0.37,0.38,0.37,0.39
2018-01-22,0.37,0.42,0.42,0.00,0.38,0.36,0.34,0.34,0.31
2018-01-23,0.00,0.27,0.42,0.00,0.00,0.45,0.00,0.42,0.00
2018-01-24,0.18,0.11,0.20,0.26,0.20,0.21,0.19,0.20,0.18
2018-01-25,0.34,0.29,0.20,0.27,0.34,0.29,0.32,0.24,0.31
2018-01-26,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-01-27,0.41,0.40,0.30,0.00,0.54,0.49,0.52,0.39,0.00
2018-01-28,0.31,0.00,0.22,0.38,0.33,0.29,0.30,0.29,0.30
2018-01-29,0.21,0.18,0.09,0.21,0.19,0.17,0.15,0.10,0.15
2018-01-30,0.20,0.21,0.15,0.20,0.22,0.22,0.18,0.12,0.16
2018-01-31,0.29,0.26,0.26,0.21,0.29,0.24,0.21,0.19,0.20
2018-02-01,0.28,0.29,0.22,0.26,0.30,0.31,0.22,0.26,0.23
2018-02-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-03,0.53,0.45,0.45,0.57,0.55,0.60,0.57,0.47,0.49
2018-02-04,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-05,0.35,0.40,0.45,0.00,0.41,0.43,0.55,0.49,0.00
2018-02-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-07,0.33,0.29,0.28,0.48,0.35,0.43,0.44,0.40,0.46
2018-02-08,0.39,0.32,0.23,0.46,0.37,0.37,0.39,0.25,0.35
2018-02-09,0.40,0.43,0.29,0.37,0.41,0.33,0.34,0.27,0.32
2018-02-10,0.59,0.52,0.45,0.85,0.65,0.59,0.62,0.45,0.50
2018-02-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-12,0.53,0.57,0.45,0.40,0.53,0.47,0.47,0.42,0.49
2018-02-13,0.46,0.50,0.36,0.53,0.53,0.46,0.50,0.43,0.50
2018-02-14,0.51,0.48,0.37,0.51,0.55,0.44,0.42,0.43,0.40
2018-02-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-19,0.44,0.35,0.00,0.00,0.00,0.00,0.00,0.53,0.00
2018-02-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-21,0.33,0.28,0.36,0.44,0.35,0.37,0.38,0.29,0.31
2018-02-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-23,0.57,0.54,0.55,0.00,0.56,0.59,0.00,0.00,0.00
2018-02-24,0.00,0.42,0.46,0.00,0.00,0.00,0.00,0.00,0.00
2018-02-25,0.27,0.29,0.31,0.30,0.00,0.00,0.38,0.29,0.32
2018-02-26,0.00,0.49,0.44,0.00,0.00,0.40,0.36,0.48,0.54
