date,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
2004-01-01,,,,,,,,,
2004-01-02,335,379,366,392,331,,386,310,443
2004-01-03,329,,322,425,321,282,,,
2004-01-04,,,,,,,,,
2004-01-05,,,,,,,,,
2004-01-06,,,,,,,,,
2004-01-07,,,,,,,,,
2004-01-08,,,,,,,,,
2004-01-09,,,,,,,,,
2004-01-10,,334,,511,354,288,,,
2004-01-11,,,,,,,,,
2004-01-12,,,,,,,,,
2004-01-13,,,,,,,,,
2004-01-14,318,262,204,,,236,359,,290
2004-01-15,,,,,,,,,
2004-01-16,,,,,,,,,
2004-01-17,,,,,,,,,
2004-01-18,,444,525,348,,,429,239,
2004-01-19,249,69,145,188,89,221,216,184,197
2004-01-20,,,,,,,,,
2004-01-21,,,,,,,,,
2004-01-22,,,,,,,,,
2004-01-23,,133,150,202,239,185,206,278,
2004-01-24,,,,,,,,,
2004-01-25,339,,,,,322,358,168,
2004-01-26,203,120,131,194,100,133,207,236,133
2004-01-27,,,,,,51,0,,61
2004-01-28,180,86,105,118,100,167,177,249,157
2004-01-29,,,,,,,,,
2004-01-30,204,110,155,189,123,128,168,207,172
2004-01-31,,,,,,,,,
2004-02-01,399,,467,,,,,,
2004-02-02,,,,,,,,,
2004-02-03,,,,,,,,,
2004-02-04,,,,,,,,,
2004-02-05,,,,,,,,,
2004-02-06,,,382,456,,,,,
2004-02-07,,,,,,,,,
2004-02-08,,,,,,,,,
2004-02-09,,,,,,,,,
2004-02-10,,,,,,,,,
2004-02-11,,,,,,,,,
2004-02-12,,,,,,,,,
2004-02-13,,,,308,,,,,487
2004-02-14,,,,,,,,,
2004-02-15,,,,,,,,,
2004-02-16,,,,,,,,,
2004-02-17,410,,472,,,378,497,,
2004-02-18,,,,,,,,,
2004-02-19,,,,,,,,,
2004-02-20,,,,,,,,,
2004-02-21,,,,,,,,,
2004-02-22,,,,,,,,,
2004-02-23,,,,,,,,,
2004-02-24,,,250,241,,151,,87,135
2004-02-25,,,,,,,,,
2004-02-26,209,,143,180,195,,160,,
2004-02-27,,,,,,,,,
2004-02-28,,,,,,,,,
2004-02-29,356,,,,,,,,
2004-03-01,,,,,,,,,
2004-03-02,,,,,,,,,
2004-03-03,,,,,,,,,
2004-03-04,,,,,,,,,
