Fecha,Estacion,Nivel,Valor
2018-01-01 06:00:00,Belisario,Alerta,155.09
2018-01-01 07:00:00,Belisario,Alerta,184.0
2018-01-01 08:00:00,Belisario,Precaucion,96.74
2018-01-01 10:00:00,Belisario,Precaucion,51.28
2018-01-02 13:00:00,Belisario,Precaucion,52.94
2018-01-04 13:00:00,Belisario,Precaucion,56.56
2018-01-05 14:00:00,Belisario,Precaucion,55.51
2018-01-08 12:00:00,Belisario,Precaucion,52.34
2018-01-09 13:00:00,Belisario,Precaucion,69.68
2018-01-09 14:00:00,Belisario,Precaucion,67.36
2018-01-09 15:00:00,Belisario,Precaucion,60.2
2018-01-11 13:00:00,Belisario,Precaucion,70.72
2018-01-11 14:00:00,Belisario,Precaucion,58.48
2018-01-26 12:00:00,Belisario,Precaucion,71.71
2018-02-01 13:00:00,Belisario,Precaucion,51.68
2018-03-16 13:00:00,Belisario,Precaucion,58.89
2018-03-27 12:00:00,Belisario,Precaucion,52.73
2018-04-24 13:00:00,Belisario,Precaucion,53.51
2018-04-26 15:00:00,Belisario,Precaucion,51.48
2018-04-26 17:00:00,Belisario,Precaucion,55.14
2018-05-08 16:00:00,Belisario,Precaucion,51.35
2018-05-10 13:00:00,Belisario,Precaucion,62.53
2018-05-11 13:00:00,Belisario,Precaucion,68.53
2018-05-22 14:00:00,Belisario,Precaucion,60.16
2018-06-12 13:00:00,Belisario,Precaucion,59.44
2018-09-13 13:00:00,Belisario,Precaucion,56.12
2018-09-17 13:00:00,Belisario,Precaucion,55.26
2018-10-01 13:00:00,Belisario,Precaucion,57.85
2018-10-02 13:00:00,Belisario,Precaucion,58.09
2018-10-09 15:00:00,Belisario,Precaucion,52.61
2018-10-17 12:00:00,Belisario,Precaucion,53.82
2018-10-19 13:00:00,Belisario,Precaucion,58.77
2018-10-19 14:00:00,Belisario,Precaucion,59.62
2018-10-19 19:00:00,Belisario,Precaucion,53.24
2018-10-20 03:00:00,Belisario,Precaucion,52.88
2018-10-22 13:00:00,Belisario,Precaucion,54.21
2018-10-22 14:00:00,Belisario,Precaucion,61.04
2018-10-25 14:00:00,Belisario,Precaucion,60.57
2018-10-26 12:00:00,Belisario,Precaucion,54.11
2018-11-07 13:00:00,Belisario,Precaucion,54.24
2018-11-19 13:00:00,Belisario,Precaucion,54.58
2018-11-21 12:00:00,Belisario,Precaucion,51.06
2018-12-11 13:00:00,Belisario,Precaucion,52.76
2018-12-24 06:00:00,Belisario,Precaucion,56.2
2019-01-01 05:00:00,Belisario,Precaucion,54.02
2019-01-01 06:00:00,Belisario,Precaucion,112.41
2019-01-09 13:00:00,Belisario,Precaucion,57.48
2019-01-16 15:00:00,Belisario,Precaucion,52.78
2019-01-18 04:00:00,Belisario,Precaucion,70.22
2019-02-06 13:00:00,Belisario,Precaucion,53.16
2019-02-21 15:00:00,Belisario,Precaucion,51.74
2019-03-06 13:00:00,Belisario,Precaucion,60.19
2019-03-13 13:00:00,Belisario,Precaucion,53.92
2019-03-28 13:00:00,Belisario,Precaucion,70.23
2019-04-09 13:00:00,Belisario,Precaucion,59.99
2019-04-29 01:00:00,Belisario,Emergencia,447.11
2019-04-29 02:00:00,Belisario,Precaucion,72.88
2019-06-12 13:00:00,Belisario,Precaucion,59.64
2019-06-13 13:00:00,Belisario,Precaucion,58.5
2019-08-14 23:00:00,Belisario,Precaucion,54.47
2019-08-15 02:00:00,Belisario,Precaucion,53.94
2019-08-15 03:00:00,Belisario,Precaucion,61.89
2019-08-15 04:00:00,Belisario,Precaucion,62.85
2019-08-23 21:00:00,Belisario,Precaucion,61.46
2019-10-04 01:00:00,Belisario,Precaucion,61.9
2019-10-24 15:00:00,Belisario,Precaucion,65.21
2019-10-24 16:00:00,Belisario,Precaucion,51.95
2019-10-24 18:00:00,Belisario,Precaucion,51.93
2019-10-25 13:00:00,Belisario,Precaucion,62.94
2019-10-25 14:00:00,Belisario,Precaucion,62.51
2019-10-31 13:00:00,Belisario,Precaucion,52.93
2019-11-05 18:00:00,Belisario,Precaucion,81.8
2019-12-01 20:00:00,Belisario,Precaucion,57.18
2019-12-11 15:00:00,Belisario,Precaucion,51.39
2019-12-13 14:00:00,Belisario,Precaucion,59.44
2019-12-14 14:00:00,Belisario,Precaucion,56.21
2019-12-16 13:00:00,Belisario,Precaucion,58.62
2019-12-16 20:00:00,Belisario,Precaucion,59.72
2019-12-30 21:00:00,Belisario,Precaucion,65.36
2020-01-09 13:00:00,Belisario,Precaucion,60.6
2020-01-15 06:00:00,Belisario,Precaucion,104.3
2020-01-15 07:00:00,Belisario,Precaucion,74.98
2020-01-15 08:00:00,Belisario,Precaucion,56.65
2020-02-12 13:00:00,Belisario,Precaucion,58.41
2020-03-09 13:00:00,Belisario,Precaucion,58.77
2020-08-04 19:00:00,Belisario,Precaucion,51.26
2020-09-16 20:00:00,Belisario,Precaucion,68.09
2020-09-21 23:00:00,Belisario,Precaucion,52.19
2020-10-11 02:00:00,Belisario,Precaucion,51.7
2020-10-15 00:00:00,Belisario,Precaucion,55.95
2020-10-27 17:00:00,Belisario,Precaucion,51.21
2020-11-17 19:00:00,Belisario,Precaucion,58.93
