Año,Estacion,min_Alarma,min_Alerta,min_Emergencia,min_Precaucion,max_Alarma,max_Alerta,max_Emergencia,max_Precaucion
2018,Belisario,,0.0,,0.0,,0.0,,0.47
2018,Carapungo,,0.0,,0.0,,0.51,,0.59
2018,Centro,0.0,0.0,,0.0,0.0,0.0,,0.62
2018,Cotocollao,0.0,,,0.0,0.0,,,0.52
2018,ElCamal,,0.0,0.0,0.0,,0.0,0.0,0.68
2018,Guamani,0.28,0.23,0.0,0.0,0.3,0.48,0.52,0.54
2018,LosChillos,,,,0.0,,,,0.57
2018,SanAntonio,,,0.41,0.0,,,0.43,0.43
2018,Tumbaco,,0.22,,0.0,,0.22,,0.5
2019,Belisario,,,0.0,0.0,,,0.0,0.59
2019,Carapungo,,0.0,,0.0,,0.23,,0.58
2019,Centro,,0.0,,0.0,,0.23,,0.58
2019,Cotocollao,,,,0.0,,,,0.58
2019,ElCamal,,0.0,0.0,0.0,,0.19,0.0,1.32
2019,Guamani,0.21,0.0,0.0,0.0,0.28,0.58,0.21,0.58
2019,LosChillos,,,,0.0,,,,0.38
2019,SanAntonio,0.0,0.16,0.59,0.0,0.0,0.26,0.59,0.59
2019,Tumbaco,0.1,0.1,,0.0,0.1,0.1,,0.48
2020,Belisario,,,,0.0,,,,0.51
2020,Carapungo,,0.0,,0.0,,0.0,,0.5
2020,Centro,,,,0.0,,,,0.57
2020,Cotocollao,,0.0,,0.0,,0.27,,0.59
2020,ElCamal,0.0,0.0,,0.0,0.39,0.51,,0.59
2020,Guamani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
2020,SanAntonio,,0.0,,0.0,,0.53,,0.56
2020,Tumbaco,,0.24,,0.0,,0.24,,0.43
2021,Belisario,,0.0,,0.0,,0.0,,0.53
2021,Carapungo,,,,0.0,,,,0.49
2021,Centro,,0.0,,0.0,,0.0,,0.48
2021,Cotocollao,0.0,,,0.0,0.0,,,0.51
2021,ElCamal,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.29
2021,Guamani,0.0,0.0,0.0,0.0,0.0,0.44,0.19,0.56
2021,LosChillos,,,,0.33,,,,0.39
2021,SanAntonio,,,,0.0,,,,0.44
2021,Tumbaco,,0.0,,0.0,,0.39,,0.45
2022,Belisario,,,0.0,0.0,,,0.0,0.56
2022,Carapungo,,0.0,,0.0,,0.14,,0.59
2022,Centro,,0.56,,0.0,,0.56,,0.56
2022,Cotocollao,,0.0,,0.0,,0.0,,0.59
2022,ElCamal,,0.0,0.0,0.0,,0.0,0.0,0.69
2022,Guamani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
2022,LosChillos,,,,0.0,,,,0.71
2022,SanAntonio,0.54,,0.0,0.0,0.54,,0.0,0.57
2022,Tumbaco,,,,0.0,,,,0.47
2023,Belisario,,,,0.0,,,,0.84
2023,Carapungo,0.0,0.0,0.0,0.0,0.47,0.53,0.47,0.57
2023,Centro,,,,0.0,,,,0.58
2023,Cotocollao,,,,0.0,,,,0.43
2023,Guamani,0.0,0.0,,0.0,0.0,0.56,,0.6
2023,LosChillos,,0.0,0.33,0.0,,0.33,0.33,0.54
2023,SanAntonio,,0.0,,0.0,,0.0,,0.58
2023,Tumbaco,,,,0.0,,,,0.21
2024,Belisario,0.0,0.0,0.26,0.0,0.0,0.47,0.26,0.58
2024,Carapungo,,0.0,,0.0,,0.0,,0.68
2024,Centro,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.58
2024,Cotocollao,,0.17,,0.0,,0.17,,0.58
2024,Guamani,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.55
2024,LosChillos,0.0,0.0,,0.0,0.0,0.0,,0.61
2024,SanAntonio,,,,0.0,,,,0.57
2024,Tumbaco,,,,0.0,,,,0.43
