Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
2018-01-01 00:00:00,,,,,,,,,
2018-01-02 00:00:00,,,,,,,,,
2018-01-03 00:00:00,,,,,,555.241,468.146,427.482,426.538
2018-01-04 00:00:00,335.774,230.973,251.342,256.693,255.312,251.178,297.855,244.332,314.595
2018-01-05 00:00:00,425.563,,506,360.572,,338.558,374.6,335.548,352.495
2018-01-06 00:00:00,,,,,,,,,
2018-01-07 00:00:00,206.589,167.859,151.059,211.765,185.815,92.393,152.062,93.907,92.933
2018-01-08 00:00:00,314.267,321.022,323.343,478.543,326.524,,443.088,376,
2018-01-09 00:00:00,,,,,,,392.746,339.13,541
2018-01-10 00:00:00,,,,,,,,,
2018-01-11 00:00:00,215.176,247.589,265.371,275.735,244.641,234.374,379.826,223.632,221.926
2018-01-12 00:00:00,528,433.103,426.231,541.523,447.171,381.187,533.348,533.525,424.127
2018-01-13 00:00:00,,570.467,571.227,,574.329,,,,558.986
2018-01-14 00:00:00,,508,,478.72,467.308,464.275,459.27,360.208,365.552
2018-01-15 00:00:00,,,,,,,,,
2018-01-16 00:00:00,,,,,,,,,
2018-01-17 00:00:00,,,,,,,,,
2018-01-18 00:00:00,,,,594,,,594,,
2018-01-19 00:00:00,,,,,,,,455.403,
2018-01-20 00:00:00,,,,,,,496.876,407.122,469.034
2018-01-21 00:00:00,,378.601,388.01,,366.938,372.684,,483.337,342.058
2018-01-22 00:00:00,,339.747,313.815,384.333,355.409,337.888,365.461,415.567,422.333
2018-01-23 00:00:00,,,,,449,424,,272,415.233
2018-01-24 00:00:00,256.172,192.586,180.366,202.721,213.446,199.77,175.491,112.036,203.564
2018-01-25 00:00:00,297.492,392.12,453.234,386.212,336.245,385.665,372.586,422.28,271.234
2018-01-26 00:00:00,,,,,,,,589,
2018-01-27 00:00:00,,516,,534.948,487.5,393.409,404.922,398.133,334.296
2018-01-28 00:00:00,376.731,307.142,294.666,326.155,308.618,288.214,304.728,,300.069
2018-01-29 00:00:00,363.182,224.037,217.611,205.536,266.679,136.437,294.964,269.515,123.819
2018-01-30 00:00:00,217.765,216.03,186.625,304.577,342.166,154.6,320.509,316.964,241.234
2018-01-31 00:00:00,210.321,208.069,209.913,286.208,240.019,226.449,292.303,260.737,302.578
2018-02-01 00:00:00,262.138,283.23,302.545,399.884,541.216,491.86,392.196,441.866,381.538
2018-02-02 00:00:00,,,,,,,,,
2018-02-03 00:00:00,565.366,574.406,486.721,545.594,597.67,471.713,610.632,531.016,450.859
2018-02-04 00:00:00,,,,,,,540.717,535.321,
2018-02-05 00:00:00,,545,,405.742,432.823,487.913,353.298,399.548,448.706
2018-02-06 00:00:00,,,,,,,,,
2018-02-07 00:00:00,480.078,440.089,537.694,345.851,432.172,567.264,416.001,432.985,365.659
2018-02-08 00:00:00,457.606,393.999,350.595,366.78,433.481,307.961,394.247,388.806,415.239
2018-02-09 00:00:00,368.425,342.434,322.276,406.849,331.575,272.493,396.425,429.934,290.041
2018-02-10 00:00:00,849.938,617.318,495.721,650.277,593.944,452.012,604.89,520.623,453.696
2018-02-11 00:00:00,,,,,,,,,
2018-02-12 00:00:00,396.725,465.008,485.399,527.8,470.91,423.071,524.913,570.896,453.265
2018-02-13 00:00:00,533.027,499.912,502.712,531.085,461.345,424.967,459.317,499.492,361.646
2018-02-14 00:00:00,513.592,415.139,396.842,546.865,434.887,429.782,508.535,483.077,373.116
2018-02-15 00:00:00,,,,,,,,,
2018-02-16 00:00:00,,,,,,,,,
2018-02-17 00:00:00,,,,,,,,,
2018-02-18 00:00:00,,,,,,,,,
2018-02-19 00:00:00,,,,,,530.012,435.412,353.044,
