Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
1/1/2021,,,,,,,,,
1/2/2021,,,,,,,,,
1/3/2021,,,,,,,,,
1/4/2021,,,,,,,,,
1/5/2021,,,,,,,,449.333,
1/6/2021,,,,383,,,473.417,327.778,
1/7/2021,,,,368.492,,,421.842,271.2,
1/8/2021,,,529,,,558,632.168,469.794,550.386
1/9/2021,,,,,,,,,
1/10/2021,,588,588,422.4,351.593,453.995,438.404,387.516,445.32
1/11/2021,,,,,,489.161,,595,572
1/12/2021,,,,,,,,,
1/13/2021,,545,564,,,,,482.569,579.915
1/14/2021,470.934,531.712,508.984,588,549.124,525.258,,552,542.867
1/15/2021,502.457,484.197,469.203,482.462,453.255,486.21,435.796,373.971,439.386
1/16/2021,,,,,,,,,
1/17/2021,469.16,463.595,469.229,445.69,455.185,545.046,450.927,370.692,395.349
1/18/2021,,,,,,,,,
1/19/2021,442.687,444.754,466.163,440.752,423.772,452.992,500.699,430.815,444.591
1/20/2021,,,,,,,,,
1/21/2021,317.565,314.95,333.115,375.976,325.253,352.574,392.875,322.98,394.98
1/22/2021,,,,,,,,,
1/23/2021,544.092,530.909,538.345,,531.051,,445.938,,
1/24/2021,,,417,,,417,467.933,472.184,464.827
1/25/2021,,,,,,,,,
1/26/2021,,,,,,,,,
1/27/2021,,,,,,,517.98,560.526,
1/28/2021,322.098,453.103,439.737,395.776,411.028,383.669,395.14,295.633,380.236
1/29/2021,356.572,440,370.967,477.5,391.625,296.934,460.5,392.908,439.958
1/30/2021,362.437,378.688,353.513,436.81,403.51,325.726,384.681,438.894,390.306
1/31/2021,150.652,229.886,244.353,329.296,250.485,196.917,349.604,258.095,235.217
2/1/2021,377.278,308.193,327.752,330.641,305.991,411.949,353.848,307.227,428.156
2/2/2021,396.901,504.285,506.69,416.662,489.541,430.707,433.428,476.488,410.35
2/3/2021,,,,,,,546,482.94,
2/4/2021,,,,,,,,,
2/5/2021,,,,,,,,,
2/6/2021,,566.76,568,488.312,555.793,,530.816,441.342,510.993
2/7/2021,383.329,390.946,393.549,351.656,333.606,375.235,349,312.774,294.828
2/8/2021,,,,,,,,,
2/9/2021,435.218,,491.654,,,414.717,488.38,426.497,399.742
2/10/2021,,,,,,,,,
2/11/2021,,,,,,,,,
2/12/2021,,,,,,,,,
2/13/2021,,562.059,590.794,556.214,560.24,581.786,529.941,632.761,545.307
2/14/2021,,,,,,,546.369,565.25,586.6
2/15/2021,,,,,,,,,
2/16/2021,,,,,543,,686.488,661.614,565.183
2/17/2021,,,,,,,,,
2/18/2021,,,,,,,,,
2/19/2021,,,,,,,,,
2/20/2021,534.449,571.204,528.948,569.303,545.294,563.332,536.479,552.736,549.609
2/21/2021,,,,560.966,,437.566,554.454,581.688,466.039
2/22/2021,,,,,,,,,
2/23/2021,,,,,,,,,
2/24/2021,,,,,,,,572,
2/25/2021,,522.043,,,537.393,,,,526.737
2/26/2021,,,,,,,,,
2/27/2021,,,,,,,,,
2/28/2021,,,,,,,,,
3/1/2021,,,,,,,,,
3/2/2021,,,,,,,,,
3/3/2021,,,,,,,,,
3/4/2021,,,485.925,,,490.004,,411.868,533.75
3/5/2021,,,,,,,,,
3/6/2021,405.891,417.047,407.476,381.744,403.411,387.97,377.968,296.648,347.596
3/7/2021,,,,,,,,,
3/8/2021,,,,,,,,,
3/9/2021,,,,,,,,,
