Class,TP,FN,FP,TN
1,0,2461366,0,521452555
2,35641503,34951691,31298101,422022626
3,957358,1945445,6976180,514034938
4,927001,1809349,2226527,518951044
5,245919,1700703,1731761,520235538
6,16781809,23513798,18743046,464875268
7,127874237,23420202,28222397,344397085
8,1638809,1800129,1722470,518752513
9,0,0,71910,523842011
10,0,0,0,523913921

Metric,Value
Recall (TP Rate),0.6677080955824467
TN Rate,0.8638862546225419
Accuracy,0.80660823278842
Error Rate,0.19339176721158002
Precision,0.6691895820994467
F Measure,0.6684480179844456
