Class,TP,FN,FP,TN
1,0,0,0,523913921
2,1771012,1667926,2107176,518367807
3,123711424,27583015,21405455,351214027
4,18966327,21329280,18310704,465307610
5,203102,1743520,1819932,520147367
6,1145496,1590854,2003321,519174250
7,321128,2581675,730232,520280886
8,43610277,26982917,38878764,414441963
9,1146,2460220,9504,521443051
10,0,0,64028,523849893
,,,,
Metric,Value,,,
Recall (TP Rate),0.688251825,,,
TN Rate,0.872357839,,,
Accuracy,0.818604514,,,
Error Rate,0.181395486,,,
Precision,0.689778894,,,
F Measure,0.689014513,,,
