Class,TP,FN,FP,TN
1,0,0,0,523913921
2,1752849,1686089,2438507,518036476
3,139024176,12270263,47224696,325394786
4,23846618,16448989,35138333,448479981
5,0,1946622,0,521967299
6,613661,2122689,583352,520594219
7,0,2902803,0,521011118
8,16287150,54306044,8102643,445218084
9,0,2461366,0,521452555
10,0,0,47043,523866878

Metric,Value
Recall (TP Rate),0.6584862423518375
TN Rate,0.8600834541263075
Accuracy,0.8012232346491933
Error Rate,0.19877676535080668
Precision,0.6599472677551962
F Measure,0.659215945534033
