Class,TP,FN,FP,TN
1,202009,3507435,120209,520084268
2,126458165,11832428,68717731,316905597
3,13734609,12135156,17590652,480453504
4,403789,730722,4856364,517923046
5,431696,5030386,322051,518129788
6,28673038,73470632,14876588,406893663
7,0,36835,0,523877086
8,0,0,0,523913921
9,0,0,0,523913921
10,0,0,0,523913921

Metric,Value
Recall (TP Rate),0.614152213525617
TN Rate,0.840479992859114
Accuracy,0.7741648678187646
Error Rate,0.2258351321812354
Precision,0.6147299506064507
F Measure,0.6144409462596302
