Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2000-02-24,,,,,,,,,
2000-02-25,,,,,,,,,
2000-02-26,,,,,,,,,
2000-02-27,,,,,,,,,
2000-02-28,,416.639,,,,,,,
2000-02-29,,,,,,,,,
2000-03-01,,,,,,,,,
2000-03-02,,,,,,,,,
2000-03-03,405.731,376.098,297.264,423.415,445.995,396.526,375.108,347.312,355.676
2000-03-04,,,,,,,,,
2000-03-05,,,,,,,,,
2000-03-06,,,,,,,,,
2000-03-07,,,,,,,,,
2000-03-08,,,,,,,,,
2000-03-09,,,,,,,,,
2000-03-10,368,267.678,242.873,,,,,360.073,
2000-03-11,290.273,230.137,266.796,315.9,367.774,300.753,327.507,229.159,289.474
2000-03-12,,428.401,,,,,,,
2000-03-13,,,,,,,,,
2000-03-14,,,,,,,,,
2000-03-15,,,,,,,,,
2000-03-16,,,,,,,,,
2000-03-17,,527.634,,,,,,,
2000-03-18,,,,,,,,,
2000-03-19,,,,,,,,,
2000-03-20,,,,,,,,,
2000-03-21,,,,,,,,,
2000-03-22,,,,,,,,,
2000-03-23,,,,,,,,,
2000-03-24,,,,,,,,,
2000-03-25,,,,,,,,,
2000-03-26,,,,,,,,,
2000-03-27,,,,,,,,,
2000-03-28,,,,,,,,,
2000-03-29,,,,,,,,,
2000-03-30,,,364.535,330.946,,,,360.168,
2000-03-31,461,335.506,,,,,,,
2000-04-01,522.016,519.707,543.574,,544.933,,,,
2000-04-02,284.84,235.236,354.06,,302.338,,,431.169,402.101
2000-04-03,,,,,,,,,
2000-04-04,418.778,294.833,305.01,,430.627,,,398.732,411.4
2000-04-05,,,,,,,,,
2000-04-06,260.056,405,275.3,360.536,300.955,281.423,288.603,295.226,291.477
2000-04-07,,,,,,,,,
2000-04-08,,,,,,,,,
2000-04-09,389.674,406.132,297.167,,439.606,419.524,,,
2000-04-10,,,,,,,,,
2000-04-11,,,,,,,,,
2000-04-12,,,,,,,,,
2000-04-13,,,,,,,,,
2000-04-14,,,,,,,,,
2000-04-15,464.99,321.786,445.959,557.487,494.236,486.38,503.064,487.913,513.289
2000-04-16,,,,,,,,,
2000-04-17,317.867,215.409,354.135,306.28,381.728,334.093,346.497,327.68,303.298
2000-04-18,386.778,389.938,243.513,451.081,443.65,382.741,378.768,324.423,373.928
2000-04-19,,,,,595,,,,
2000-04-20,,,,,,,,,
2000-04-21,,,,,,,,,
2000-04-22,301.348,232.493,290.761,369.754,333.194,325,439.526,420.291,408.406
2000-04-23,,,,,,,,,
2000-04-24,,,,,,,,,
2000-04-25,,,,,,,,,
2000-04-26,,,,,,,,,
2000-04-27,,,,,,,,,
2000-04-28,,,,,,,,,
2000-04-29,,,,,,,,589,589
2000-04-30,,,,,,,,,
2000-05-01,286.735,240.034,259.536,341.12,307.338,361.874,349.615,268.74,320.142
2000-05-02,447.738,311.182,277.101,421.003,,357.28,366.346,277.129,349.61
2000-05-03,,,,,,,,,
2000-05-04,,,,,,,,,
2000-05-05,,,449,383.559,,,418,403.868,395.179
2000-05-06,,,,,,,,,
2000-05-07,,,,,,,,,
2000-05-08,394.174,382.835,457.95,381.647,413.063,435.744,449.781,386.972,428.269
2000-05-09,,,,,,,,,
2000-05-10,,,,,,,,,
2000-05-11,406.249,425.871,410.105,431.12,480.029,497,,385.343,404.051
2000-05-12,298.477,237.834,,,344.345,,,,
2000-05-13,,,,,,,,,
2000-05-14,,,,,,,,,
2000-05-15,,,,,,,,,
2000-05-16,,,,,,,,,
2000-05-17,,,,,,,,,
2000-05-18,,,,,,,,,
2000-05-19,,,,,,,,,
2000-05-20,,,,,,,,,
2000-05-21,,,,,,,,,
2000-05-22,,220.8,187.386,,,154.247,193.635,185.499,187.048
2000-05-23,,,,,,,,,
2000-05-24,,,,,,,,483,
2000-05-25,,,,,,,,,
2000-05-26,127.379,99.521,156.866,221.432,237.058,167.641,207.957,143.628,183.136
2000-05-27,,,,,,,,,
2000-05-28,,,,,,,,,
2000-05-29,273.745,255.773,270.912,,335.72,276.27,404.686,337.077,435.39
2000-05-30,,338.178,,,,,,,
2000-05-31,412.044,,351.723,445.5,417.237,370.839,407.214,357.957,450.739
2000-06-01,,,,,,,,,
2000-06-02,322.545,,239.36,285.971,377.253,272.06,382.302,251.892,307.81
2000-06-03,,,,750.01,,,561.316,543.851,559.075
2000-06-04,146.929,128.752,349,,190.73,238.971,236.4,240.783,228.465
2000-06-05,,,,451,546,,444.176,471.933,451.864
2000-06-06,161.548,185.414,173.766,233.833,221.231,172.271,149.329,123.943,138.116
2000-06-07,429.499,452.298,280.834,417,436.293,369.887,382.228,368.698,390.273
2000-06-08,509.984,,,,552.765,,,,
2000-06-09,416.956,275.09,,,366.74,493,,465,
2000-06-10,,,,,,,,,
2000-06-11,387.025,200.889,,246.228,462,366.55,270.455,,299.031
2000-06-12,,,,,,,,,
2000-06-13,232.824,210.87,306.466,310.445,212.378,209.063,202.241,290.738,211.762
2000-06-14,,,,,,,,398.217,
2000-06-15,,,,296.441,,,,,
2000-06-16,,,,,,,,,
2000-06-17,,,,,,,,,
2000-06-18,556.409,528.676,,595,560.333,,,,
2000-06-19,252.303,220.454,178.306,,283.754,230.889,282.186,246.024,272.331
2000-06-20,210.649,91.14,241.571,,305.143,321,294.518,203.902,213.936
2000-06-21,,,,,,,,,
2000-06-22,,536,,,,,,,
2000-06-23,,,,,,,,,
2000-06-24,,522.108,,,,,,,
2000-06-25,,,,,,,,,
2000-06-26,,,,,,,,,
2000-06-27,,,,,,,,,
2000-06-28,178.773,206.965,223.373,278.066,184.699,183.016,275.903,285.798,293.341
2000-06-29,42.703,35.028,100.136,64.297,92.385,90.871,65.669,35.062,52.97
2000-06-30,,,,,,,,420.308,458.739
2000-07-01,,,,,,,,,
2000-07-02,,,,,,,,,
2000-07-03,,,,,,,,,
2000-07-04,151.41,289.983,143.942,241.01,188.194,146.614,147.848,124.624,139.859
2000-07-05,325.048,306.836,230.587,346,364.422,306.719,325.711,368.391,
2000-07-06,22.634,20.696,24.912,40.887,72.494,40.561,37.26,15.378,37.103
2000-07-07,111.735,81.584,92.606,210.636,162.122,139.136,148.448,95.014,132.593
2000-07-08,108.46,88.145,147.405,94.959,133.417,135.872,104.476,104.706,97.596
2000-07-09,205.586,169.768,258.849,263.006,317.573,280.553,336.613,176.593,198.852
2000-07-10,124.492,117.058,192.229,166.099,131.367,119.05,108.371,155.143,148.338
2000-07-11,115.124,140.625,195.178,200.554,187.476,220.631,198.539,185.887,185.602
2000-07-12,,,,,,,,,
2000-07-13,,,,,,,,,
2000-07-14,403.202,321.352,422,,388.554,345.614,502.5,,502.5
2000-07-15,,461.213,,441.409,,,341.87,351.124,347.795
2000-07-16,97.931,114.954,107.071,242.906,111.55,122.183,135.802,173.962,148.971
2000-07-17,361.718,276.667,269.544,268.523,,315.816,320.11,271.099,323.589
2000-07-18,164.44,117.957,97.204,214.478,187.817,274.895,300.136,132.69,214.534
2000-07-19,,,,,,,,,
2000-07-20,249.452,228.798,250.347,187.111,288.576,210.522,205.018,207.963,192.679
2000-07-21,445.699,457.469,492.577,503.684,,,,417.752,
2000-07-22,275.691,342.264,161.968,149.9,291.617,169.648,139.353,93.041,126.174
2000-07-23,,,,,,,,,
2000-07-24,,,,,,,,,
2000-07-25,,,,,,,,,
2000-07-26,,,,,,,,,
2000-07-27,236.363,224.117,311.382,353,288.749,326.705,375.162,395.077,384.54
2000-07-28,,,,,,,,,
2000-07-29,256.116,238,294.29,172.583,249.287,262.599,319.644,245.82,255.959
2000-07-30,,265.652,255,,,273.431,316,345.25,377
2000-07-31,49.099,40.238,36.969,37.678,73.83,55.692,61.996,56.786,62.12
2000-08-01,401.074,,344.597,328.02,,,,447,447
2000-08-02,214.56,212.539,223,275.381,215.214,245.461,237.86,289.72,238.297
2000-08-03,,,,,,,,,
2000-08-04,,,,,,,,,
2000-08-05,120.923,302.823,272.728,449,338,310.618,329.301,345.019,328.552
2000-08-18,,,,,,,,,
2000-08-19,537.615,522,,,500.855,537.903,,,
2000-08-20,,,,,,,,,
2000-08-21,143.854,177.057,130.246,182.401,179.016,152.188,237.709,107.082,218.586
2000-08-22,153.171,219.93,135.423,169.578,161.44,181.925,250.027,166.038,224
2000-08-23,227.315,257.654,261.491,273.46,241.948,226.131,266.716,316.085,280.962
2000-08-24,,,,,,,,,
2000-08-25,,,,,,,,,
2000-08-26,266.17,,,,398.539,526.105,,,
2000-08-27,,,,,,,,,
2000-08-28,136.586,184.185,121.259,184.702,216.01,216.502,242.622,165.58,249.131
2000-08-29,,,,,,,,,
2000-08-30,112.946,95.448,26.681,20.416,115.773,56.214,51.327,9.077,39.269
2000-08-31,,,,,,,,,
2000-09-01,,,,539.863,587,579.557,,550.13,
2000-09-02,283.473,314.518,124.232,339.964,329.48,147.579,223.153,283.691,259.157
2000-09-03,495.471,520.776,310.582,442.862,478.187,390.639,353.339,285.294,310.319
2000-09-04,,,,,,,,,
2000-09-05,,,,,,,,,
2000-09-06,153.35,81.898,135.456,247.359,247.562,205.828,227.394,118.673,203.117
2000-09-07,467.384,474.099,328.894,502.493,492.101,488.85,481.74,406.094,450.688
2000-09-08,,,,,,,,,
