Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-02 00:00,,56.03,,715.90,,,15.08,3.01,6.18,177.83,61.91,0.10
2004-01-03 00:00,,45.99,,716.01,,,14.16,1.37,6.72,202.81,71.69,0.40
2004-01-04 00:00,,53.31,,715.85,,,13.36,1.52,6.59,228.59,83.29,0.20
2004-01-05 00:00,,56.84,,716.27,,,12.70,1.68,7.08,125.07,90.06,5.20
2004-01-06 00:00,,,,717.10,,,12.14,1.62,,134.68,90.45,1.70
2004-01-07 00:00,,46.22,,717.63,,,11.64,1.45,7.36,152.21,93.76,12.40
2004-01-08 00:00,,51.42,,717.81,,7.48,12.04,1.37,7.48,106.29,90.43,1.20
2004-01-09 00:00,,54.62,,717.68,,7.40,12.08,1.55,7.40,112.87,92.28,10.70
2004-01-10 00:00,,63.36,,717.46,,,13.27,1.66,,94.99,87.42,0.20
2004-01-11 00:00,,67.79,,717.88,,,13.22,1.58,,129.85,89.03,2.20
2004-01-12 00:00,,,,718.82,,,13.51,1.68,,146.84,85.76,0.40
2004-01-13 00:00,,53.65,,718.97,,7.58,13.71,1.61,7.58,140.16,83.31,0.30
2004-01-14 00:00,,58.18,,718.26,,7.60,13.03,1.48,7.60,178.28,76.69,0.00
2004-01-15 00:00,,48.83,,718.02,,7.34,12.34,1.61,7.34,179.73,75.01,0.30
2004-01-16 00:00,,41.40,,718.81,,7.27,11.87,1.99,7.27,140.21,78.52,0.20
2004-01-17 00:00,,,,,,,,,,,,0.00
2004-01-18 00:00,,,,,,,,,,,,0.00
2004-01-19 00:00,,,,,,,,,,,,0.00
2004-01-20 00:00,,55.15,,724.23,,7.91,11.84,1.59,7.91,187.18,77.44,0.10
2004-01-21 00:00,,,,724.71,,,10.26,1.47,,104.21,95.93,3.60
2004-01-22 00:00,,60.94,,725.42,,3.63,10.03,1.62,3.63,121.27,91.73,0.30
2004-01-23 00:00,,57.13,,724.99,,3.69,11.82,1.74,3.69,122.84,82.68,0.10
2004-01-24 00:00,,66.83,,724.24,,3.66,12.50,1.62,3.66,125.18,85.07,0.00
2004-01-25 00:00,,73.23,,723.68,,3.37,12.44,1.82,3.37,149.43,80.74,0.10
2004-01-26 00:00,,,,724.75,,,11.64,1.74,,193.25,77.60,0.30
