Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-02 00:00,,,,720.25,,,17.04,2.76,,163.15,53.10,0.00
2004-01-03 00:00,,,,720.19,,,15.90,1.73,,142.48,58.62,0.00
2004-01-04 00:00,,,,720.11,,,15.53,1.60,,195.14,72.22,0.00
2004-01-05 00:00,,,,720.73,,,14.65,1.48,,228.59,79.59,4.10
2004-01-06 00:00,,,,721.59,,,14.47,1.44,,241.50,81.26,2.30
2004-01-07 00:00,,,,722.19,,,13.38,1.17,,219.21,83.57,1.50
2004-01-08 00:00,,,,722.40,,,13.95,1.39,,240.32,80.45,0.90
2004-01-09 00:00,,,,722.18,,,14.19,1.30,,234.03,82.61,9.90
2004-01-10 00:00,,,,721.87,,,15.53,1.51,,220.61,77.29,0.10
2004-01-11 00:00,,,,722.24,,,15.83,1.75,,240.12,76.36,0.20
2004-01-12 00:00,,,,723.30,,,15.81,1.95,,218.52,73.73,0.00
2004-01-13 00:00,,,,,,,,,,,,0.00
2004-01-14 00:00,,,,,,,,,,,,0.00
2004-01-15 00:00,,,,,,,,,,,,0.00
2004-01-16 00:00,,,,722.90,,,14.17,2.46,,200.69,60.83,0.10
2004-01-17 00:00,,,,723.30,,,12.88,2.45,,232.50,58.56,0.00
2004-01-18 00:00,,,,722.93,,,13.10,2.01,,207.43,61.25,0.10
2004-01-19 00:00,,,,722.09,,,13.59,1.95,,195.02,61.17,0.00
2004-01-20 00:00,,,,721.91,,,14.25,1.81,,210.07,64.12,0.30
2004-01-21 00:00,,,,722.60,,,13.13,1.69,,177.21,77.41,0.00
2004-01-22 00:00,,,,723.28,,,13.02,1.85,,209.52,74.98,0.10
2004-01-23 00:00,,,,723.01,,,14.12,1.93,,217.69,70.49,0.00
2004-01-24 00:00,,,,722.17,,,14.61,1.96,,195.97,72.11,0.00
2004-01-25 00:00,,,,721.43,,,14.38,2.02,,184.12,70.33,0.00
2004-01-26 00:00,,,,721.82,,,13.64,2.14,,183.92,67.97,0.00
2004-01-27 00:00,,,,723.03,,,14.00,2.08,,230.08,64.72,0.00
2004-01-28 00:00,,,,723.02,,,13.42,2.20,,221.48,67.49,0.10
2004-01-29 00:00,,,,721.77,,,14.15,1.87,,200.22,69.48,0.00
2004-01-30 00:00,,,,720.94,,,13.86,2.02,,203.46,69.51,0.00
2004-01-31 00:00,,,,720.72,,,13.81,2.13,,210.59,68.14,0.00
2004-02-01 00:00,,,,,,,,,,,,0.00
2004-02-02 00:00,,,,721.03,,,14.13,1.78,,213.24,65.13,0.40
2004-02-03 00:00,,,,721.22,,,13.89,1.92,,159.85,67.75,0.00
2004-02-04 00:00,,,,720.39,,,13.54,1.46,,147.52,75.31,0.20
2004-02-05 00:00,,,,721.22,,,13.73,1.72,,201.30,68.19,0.00
2004-02-06 00:00,,,,720.83,,,14.17,1.55,,185.13,68.11,0.00
2004-02-07 00:00,,,,720.92,,,14.54,1.72,,151.90,75.30,0.00
2004-02-08 00:00,,,,721.61,,,14.22,1.69,,220.97,76.65,0.00
2004-02-09 00:00,,,,721.21,,,14.40,1.21,,172.10,73.03,0.00
2004-02-10 00:00,,,,720.68,,,15.27,1.65,,149.37,59.63,0.00
2004-02-11 00:00,,,,720.89,,,15.08,1.86,,195.87,66.01,0.40
2004-02-12 00:00,,,,722.00,,,14.91,1.63,,178.82,69.84,0.10
2004-02-13 00:00,,,,723.13,,,14.71,1.64,,206.12,73.63,1.90
2004-02-14 00:00,,,,722.82,,,14.23,1.43,,190.46,75.35,0.00
2004-02-15 00:00,,,,722.23,,,15.27,1.65,,210.41,72.56,0.00
2004-02-16 00:00,,,,722.33,,,14.79,1.64,,206.76,73.66,0.00
2004-02-17 00:00,,,,,,,,,,,,0.00
2004-02-18 00:00,,,,721.27,,,14.83,1.91,,190.42,71.71,0.10
2004-02-19 00:00,,,,720.98,,,14.28,1.77,,217.34,77.93,7.40
2004-02-20 00:00,,,,720.91,,,14.12,1.39,,230.69,73.94,0.30
2004-02-21 00:00,,,,721.03,,,14.15,1.59,,202.40,73.39,0.00
2004-02-22 00:00,,,,721.51,,,13.98,1.59,,226.57,76.19,4.50
2004-02-23 00:00,,,,721.60,,,13.39,1.12,,188.54,84.15,11.30
2004-02-24 00:00,,,,720.90,,,13.98,1.31,,225.66,78.73,4.20
2004-02-25 00:00,,,,720.72,,,12.58,1.61,,197.18,72.92,0.00
2004-02-26 00:00,,,,721.39,,,14.05,1.95,,193.73,69.69,0.80
2004-02-27 00:00,,,,721.16,,,14.63,1.50,,161.80,69.92,0.00
2004-02-28 00:00,,,,720.38,,,13.40,1.68,,183.28,65.04,0.00
2004-02-29 00:00,,,,719.65,,,15.40,2.25,,141.32,67.66,0.00
2004-03-01 00:00,,,,719.97,,,16.25,1.91,,119.97,60.45,0.10
2004-03-02 00:00,,,,720.77,,,16.36,1.78,,108.51,63.35,0.00
2004-03-03 00:00,,,,720.73,,,16.47,1.99,,132.15,55.03,0.00
2004-03-04 00:00,,,,720.88,,,14.93,1.54,,137.88,66.69,0.00
2004-03-05 00:00,,,,,,,,,,,,0.00
2004-03-06 00:00,,,,722.44,,,14.35,1.73,,180.91,76.92,3.30
2004-03-07 00:00,,,,722.04,,,13.19,1.26,,226.60,84.27,13.00
2004-03-08 00:00,,,,721.45,,,14.39,1.12,,191.46,78.19,3.50
2004-03-09 00:00,,,,721.02,,,14.99,1.98,,162.27,69.88,0.10
2004-03-10 00:00,,,,721.18,,,15.58,1.97,,124.40,62.94,1.20
2004-03-11 00:00,,,,,,,,,,,,0.00
2004-03-12 00:00,,,,719.86,,,16.58,2.27,,120.03,56.56,0.20
2004-03-13 00:00,,,,719.69,,,16.20,2.38,,138.46,58.00,0.00
2004-03-14 00:00,,,,720.09,,,17.02,2.56,,115.84,51.12,0.00
2004-03-15 00:00,,,,720.19,,,16.58,1.78,,121.31,55.66,0.30
2004-03-16 00:00,,,,719.81,,,17.03,2.20,,135.53,56.48,0.10
2004-03-17 00:00,,,,719.34,,,16.20,1.79,,163.05,58.69,0.00
2004-03-18 00:00,,,,719.51,,,15.88,1.75,,168.86,59.60,0.10
2004-03-19 00:00,,,,719.69,,,15.30,1.92,,194.35,66.51,0.00
2004-03-20 00:00,,,,719.71,,,15.12,1.77,,195.01,63.82,0.00
2004-03-21 00:00,,,,719.86,,,15.88,1.74,,211.58,70.74,3.80
2004-03-22 00:00,,,,719.89,,,14.83,1.65,,190.04,77.78,0.70
2004-03-23 00:00,,,,720.06,,,16.26,1.81,,157.73,65.84,0.00
2004-03-24 00:00,,,,720.11,,,16.67,2.34,,192.98,59.03,0.10
2004-03-25 00:00,,,,720.76,,,15.07,1.62,,199.62,74.57,5.80
2004-03-26 00:00,,,,720.83,,,15.00,1.54,,218.30,79.35,11.70
2004-03-27 00:00,,,,720.87,,,13.82,1.23,,212.90,81.93,5.10
2004-03-28 00:00,,,,721.22,,,13.08,1.34,,240.42,81.25,15.00
2004-03-29 00:00,,,,722.05,,,14.37,1.60,,231.39,75.13,0.20
2004-03-30 00:00,,,,723.29,,,15.36,1.67,,234.96,68.86,0.00
2004-03-31 00:00,,,,722.72,,,16.16,2.15,,215.25,68.38,1.60
2004-04-01 00:00,,,,722.98,,,15.75,1.84,,217.51,73.20,0.40
2004-04-02 00:00,,,,722.84,,,14.86,1.65,,164.10,74.47,0.00
2004-04-03 00:00,,,,723.05,,,14.48,1.41,,197.77,79.30,8.90
2004-04-04 00:00,,,,722.82,,,14.79,1.27,,168.38,73.73,1.80
2004-04-05 00:00,,,,723.07,,,15.96,2.27,,135.35,63.25,0.10
2004-04-06 00:00,,,,722.13,,,14.18,1.62,,180.27,61.07,0.00
2004-04-07 00:00,,,,,,,,,,,,0.00
2004-04-08 00:00,,,,720.08,,,14.96,1.81,,154.13,66.44,0.30
2004-04-09 00:00,,,,721.05,,,14.90,1.51,,182.84,65.68,0.00
2004-04-10 00:00,,,,721.00,,,14.82,1.39,,173.35,74.03,0.00
2004-04-11 00:00,,,,720.48,,,14.27,1.53,,190.28,77.18,6.10
2004-04-12 00:00,,,,721.02,,,14.57,1.22,,193.65,77.98,3.60
2004-04-13 00:00,,,,722.27,,,14.14,1.25,,208.83,77.83,1.30
2004-04-14 00:00,,,,722.25,,,12.65,1.34,,206.39,84.35,22.00
2004-04-15 00:00,,,,721.64,,,13.34,1.25,,218.14,82.83,1.30
2004-04-16 00:00,,,,721.71,,,13.68,1.48,,222.62,78.19,1.10
2004-04-17 00:00,,,,721.50,,,14.55,1.57,,234.15,73.38,0.00
2004-04-18 00:00,,,,721.39,,,14.86,1.38,,171.34,79.39,4.20
2004-04-19 00:00,,,,720.56,,,15.20,1.46,,212.41,73.46,0.10
2004-04-20 00:00,,,,720.37,,,14.76,1.51,,212.28,76.92,0.30
2004-04-21 00:00,,,,720.61,,,14.84,1.38,,224.67,79.21,15.70
2004-04-22 00:00,,,,721.82,,,12.61,1.33,,231.80,87.13,23.00
