Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-02 00:00,17.79,,,,,3.95,,,2.95,,,
2004-01-03 00:00,36.31,,,,,9.03,,,3.58,,,
2004-01-04 00:00,24.79,,,,,4.90,,,3.14,,,
2004-01-05 00:00,32.20,,,,,5.72,,,3.44,,,
2004-01-06 00:00,,,,,,,,,,,,
2004-01-07 00:00,47.62,,,,,3.69,,,3.76,,,
2004-01-08 00:00,,,,,,3.90,,,3.90,,,
2004-01-09 00:00,38.18,,,,,3.62,,,3.62,,,
2004-01-10 00:00,43.22,,,,,3.60,,,3.60,,,
2004-01-11 00:00,56.26,,,,,3.26,,,3.26,,,
2004-01-12 00:00,49.54,,,,,3.57,,,3.57,,,
2004-01-13 00:00,,,,,,,,,,,,
2004-01-14 00:00,46.10,,,,,3.80,,,3.80,,,
2004-01-15 00:00,35.75,,,,,3.72,,,3.72,,,
2004-01-16 00:00,,,,,,,,,,,,
2004-01-17 00:00,54.26,,,,,4.18,,,4.18,,,
2004-01-18 00:00,43.49,,,,,3.85,,,3.85,,,
2004-01-19 00:00,51.48,,,,,4.08,,,4.08,,,
2004-01-20 00:00,51.41,,,,,3.97,,,3.97,,,
2004-01-21 00:00,41.95,,,,,3.76,,,3.76,,,
2004-01-22 00:00,47.57,,,,,3.93,,,3.93,,,
2004-01-23 00:00,39.91,,,,,3.92,,,3.92,,,
2004-01-24 00:00,46.83,,,,,4.00,,,4.00,,,
2004-01-25 00:00,36.13,,,,,3.86,,,3.86,,,
2004-01-26 00:00,50.70,,,,,4.25,,,4.25,,,
2004-01-27 00:00,44.50,,,,,4.22,,,4.22,,,
2004-01-28 00:00,53.30,,,,,4.29,,,4.29,,,
2004-01-29 00:00,,,,,,,,,,,,
2004-01-30 00:00,62.18,,,,,2.89,,,2.89,,,
2004-01-31 00:00,51.29,,,,,2.80,,,2.80,,,
2004-02-01 00:00,43.23,,,,,2.50,,,2.50,,,
2004-02-02 00:00,55.87,,,,,2.90,,,2.90,,,
2004-02-03 00:00,,,,,,,,,,,,
2004-02-04 00:00,62.85,,,,,2.96,,,2.96,,,
2004-02-05 00:00,57.19,,,,,3.04,,,3.04,,,
2004-02-06 00:00,57.13,,,,,3.20,,,3.20,,,
2004-02-07 00:00,36.76,,,,,2.70,,,2.70,,,
2004-02-08 00:00,38.94,,,,,2.57,,,2.57,,,
2004-02-09 00:00,51.38,,,,,3.00,,,3.00,,,
2004-02-10 00:00,,,,,,,,,,,,
2004-02-11 00:00,48.33,,,,,3.08,,,3.08,,,
2004-02-12 00:00,41.29,,,,,3.00,,,3.00,,,
2004-02-13 00:00,46.71,,,,,3.03,,,3.03,,,
2004-02-14 00:00,55.46,,,,,3.35,,,3.35,,,
2004-02-15 00:00,44.55,,,,,2.99,,,2.99,,,
2004-02-16 00:00,46.00,,,,,3.14,,,3.14,,,
2004-02-17 00:00,46.01,,,,,3.19,,,3.19,,,
2004-02-18 00:00,44.33,,,,,3.20,,,3.20,,,
2004-02-19 00:00,37.60,,,,,3.08,,,3.08,,,
2004-02-20 00:00,64.05,,,,,3.48,,,3.48,,,
2004-02-21 00:00,53.82,,,,,3.36,,,3.36,,,
2004-02-22 00:00,39.66,,,,,2.93,,,2.93,,,
2004-02-23 00:00,47.51,,,,,2.98,,,2.98,,,
2004-02-24 00:00,44.29,,,,,3.08,,,3.08,,,
2004-02-25 00:00,64.24,,,,,3.83,,,3.83,,,
2004-02-26 00:00,,,,,,,,,,,,
2004-02-27 00:00,,,,,,2.14,,,2.14,,,
2004-02-28 00:00,51.91,,,,,2.66,,,2.66,,,
2004-02-29 00:00,35.15,,,,,2.10,,,2.10,,,
2004-03-01 00:00,36.39,,,,,2.17,,,2.17,,,
2004-03-02 00:00,,,,,,,,,,,,
2004-03-03 00:00,34.85,,,,,2.11,,,2.11,,,
2004-03-04 00:00,49.97,,,,,2.62,,,2.62,,,
2004-03-05 00:00,42.38,,,,,2.33,,,2.33,,,
2004-03-06 00:00,36.61,,,,,2.21,,,2.21,,,
2004-03-07 00:00,34.43,,,,,2.10,,,2.10,,,
2004-03-08 00:00,40.90,,,,,2.50,,,2.50,,,
2004-03-09 00:00,,,,,,,,,,,,
2004-03-10 00:00,38.91,,,,,3.01,,,3.01,,,
2004-03-11 00:00,32.99,,,,,2.67,,,2.67,,,
2004-03-12 00:00,,,,,,,,,,,,
2004-03-13 00:00,33.23,,,,,3.04,,,3.04,,,
2004-03-14 00:00,21.08,,,,,2.44,,,2.44,,,
2004-03-15 00:00,32.18,,,,,2.96,,,2.96,,,
2004-03-16 00:00,39.90,,,,,3.01,,,3.01,,,
2004-03-17 00:00,38.27,,,,,2.97,,,2.97,,,
2004-03-18 00:00,37.27,,,,,3.14,,,3.14,,,
2004-03-19 00:00,,,,,,,,,,,,
2004-03-20 00:00,47.35,,,,,3.40,,,3.40,,,
2004-03-21 00:00,34.23,,,,,2.92,,,2.92,,,
2004-03-22 00:00,34.10,,,,,3.09,,,3.09,,,
2004-03-23 00:00,44.63,,,,,3.81,,,3.81,,,
2004-03-24 00:00,30.48,,,,,3.00,,,3.00,,,
2004-03-25 00:00,,,,,,,,,,,,
2004-03-26 00:00,40.59,,,,,2.32,,,2.32,,,
2004-03-27 00:00,55.34,,,,,2.81,,,2.81,,,
2004-03-28 00:00,33.79,,,,,2.07,,,2.07,,,
2004-03-29 00:00,34.82,,,,,2.31,,,2.31,,,
2004-03-30 00:00,,,,,,,,,,,,
2004-03-31 00:00,31.60,,,,,2.16,,,2.16,,,
2004-04-01 00:00,32.09,,,,,2.19,,,2.19,,,
2004-04-02 00:00,35.48,,,,,2.28,,,2.28,,,
2004-04-03 00:00,44.20,,,,,2.65,,,2.65,,,
2004-04-04 00:00,38.31,,,,,2.88,,,2.88,,,
2004-04-05 00:00,29.73,,,,,2.36,,,2.36,,,
2004-04-06 00:00,39.07,,,,,2.84,,,2.84,,,
2004-04-07 00:00,34.22,,,,,2.57,,,2.57,,,
2004-04-08 00:00,40.21,,,,,2.90,,,2.90,,,
2004-04-09 00:00,47.09,,,,,2.83,,,2.83,,,
2004-04-10 00:00,30.50,,,,,2.43,,,2.43,,,
2004-04-11 00:00,25.21,,,,,2.31,,,2.31,,,
2004-04-12 00:00,57.52,,,,,3.14,,,3.14,,,
2004-04-13 00:00,59.44,,,,,3.57,,,3.57,,,
2004-04-14 00:00,48.65,,,,,3.28,,,3.28,,,
2004-04-15 00:00,44.39,,,,,3.06,,,3.06,,,
2004-04-16 00:00,,,,,,,,,,,,
