Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-02 00:00,,,,733.33,,,15.01,1.31,,174.74,67.36,0.10
2004-01-03 00:00,,,,733.48,,,14.22,0.82,,138.09,74.58,0.00
2004-01-04 00:00,,,,733.48,,,14.20,0.88,,142.79,81.75,0.10
2004-01-05 00:00,,,,733.95,,,13.95,1.11,,97.20,87.41,2.00
2004-01-06 00:00,,,,734.74,,,13.71,1.12,,101.87,87.60,4.80
2004-01-07 00:00,,,,735.40,,,12.82,1.00,,64.74,92.10,10.00
2004-01-08 00:00,,,,735.66,,,13.28,0.95,,187.18,88.65,3.90
2004-01-09 00:00,,,,735.41,,,13.66,0.99,,307.07,87.72,14.10
2004-01-10 00:00,,,,735.04,,,14.48,1.17,,281.87,85.99,0.00
2004-01-11 00:00,,,,735.51,,,14.54,1.15,,291.87,86.30,3.60
2004-01-12 00:00,,,,736.61,,,14.78,1.19,,278.65,83.97,0.50
2004-01-13 00:00,,,,736.61,,,14.66,1.16,,324.19,81.77,0.10
2004-01-14 00:00,,,,735.85,,,14.19,1.06,,329.11,76.45,0.00
2004-01-15 00:00,,,,,,,,,,,,0.00
2004-01-16 00:00,,,,736.02,,,12.95,0.97,,304.16,79.23,0.10
2004-01-17 00:00,,,,736.56,,,12.10,1.12,,325.77,72.56,0.00
2004-01-18 00:00,,,,736.29,,,12.26,1.26,,317.60,72.44,0.00
2004-01-19 00:00,,,,735.51,,,12.71,1.23,,339.61,72.18,0.40
2004-01-20 00:00,,,,735.50,,,12.64,1.16,,346.29,75.11,0.00
2004-01-21 00:00,,,,736.30,,,11.56,1.10,,347.71,89.08,0.70
2004-01-22 00:00,,,,737.00,,,11.44,1.26,,341.09,88.49,0.20
2004-01-23 00:00,,,,736.69,,,12.98,1.28,,324.69,78.85,0.00
2004-01-24 00:00,,,,735.89,,,13.14,1.20,,345.03,82.40,0.00
2004-01-25 00:00,,,,735.20,,,13.12,1.13,,344.24,79.61,0.00
2004-01-26 00:00,,,,735.50,,,12.24,1.25,,346.49,74.50,0.20
2004-01-27 00:00,,,,736.66,,,12.92,1.25,,343.08,72.21,0.00
2004-01-28 00:00,,,,736.62,,,12.52,1.29,,349.82,70.30,0.00
2004-01-29 00:00,,,,735.49,,,12.93,1.29,,323.18,82.12,0.00
2004-01-30 00:00,,,,734.56,,,13.40,1.31,,323.46,80.13,0.00
2004-01-31 00:00,,,,734.36,,,13.44,1.42,,286.33,80.97,0.00
2004-02-01 00:00,,,,734.83,,,13.88,1.06,,277.02,80.22,0.00
2004-02-02 00:00,,,,734.93,,,13.07,1.09,,326.97,71.74,0.00
2004-02-03 00:00,,,,734.73,,,12.64,0.96,,321.45,77.02,0.10
2004-02-04 00:00,,,,734.38,,,12.51,0.74,,287.63,83.98,0.60
2004-02-05 00:00,,,,734.46,,,12.56,1.15,,304.56,77.13,0.00
2004-02-06 00:00,,,,734.54,,,13.07,1.20,,300.54,72.55,0.10
2004-02-07 00:00,,,,734.59,,,13.41,1.11,,252.99,84.11,0.00
2004-02-08 00:00,,,,735.21,,,13.09,1.03,,237.78,85.96,0.10
2004-02-09 00:00,,,,,,,,,,,,0.00
2004-02-10 00:00,,,,734.06,,,14.35,0.97,,347.32,66.48,0.00
2004-02-11 00:00,,,,734.01,,,14.30,1.01,,318.25,71.24,0.10
2004-02-12 00:00,,,,735.03,,,13.56,0.99,,250.72,81.87,0.00
2004-02-13 00:00,,,,736.09,,,13.62,1.04,,243.77,80.38,0.00
2004-02-14 00:00,,,,735.80,,,14.03,1.08,,239.10,80.43,0.00
2004-02-15 00:00,,,,735.27,,,13.85,0.91,,270.63,80.83,0.00
2004-02-16 00:00,,,,735.46,,,13.59,1.10,,302.06,80.67,0.00
2004-02-17 00:00,,,,735.89,,,14.40,1.23,,187.71,81.40,0.00
2004-02-18 00:00,,,,736.13,,,13.78,1.24,,184.60,78.39,0.00
2004-02-19 00:00,,,,735.73,,,13.98,1.39,,119.68,82.30,0.10
2004-02-20 00:00,,,,735.73,,,13.57,1.02,,119.24,82.18,0.00
2004-02-21 00:00,,,,735.83,,,13.46,1.11,,86.59,80.80,0.00
2004-02-22 00:00,,,,736.32,,,13.34,0.85,,128.74,85.77,0.00
2004-02-23 00:00,,,,736.57,,,12.26,0.91,,105.89,90.28,0.00
2004-02-24 00:00,,,,735.66,,,12.99,0.79,,93.45,86.49,0.50
2004-02-25 00:00,,,,734.86,,,11.86,0.99,,89.35,81.34,0.00
2004-02-26 00:00,,,,735.81,,,13.84,1.07,,95.13,72.96,0.00
2004-02-27 00:00,,,,735.89,,,13.85,0.79,,110.25,79.28,0.00
2004-02-28 00:00,,,,735.03,,,12.68,0.92,,288.55,77.90,0.00
2004-02-29 00:00,,,,734.26,,,13.77,0.98,,271.08,75.65,0.00
2004-03-01 00:00,,,,734.34,,,13.90,0.79,,164.29,78.43,0.00
2004-03-02 00:00,,,,734.30,,,13.70,0.79,,190.23,82.25,0.00
2004-03-03 00:00,,,,734.14,,,14.42,0.88,,161.16,76.85,0.40
2004-03-04 00:00,,,,734.31,,,12.77,0.66,,167.81,82.09,0.00
2004-03-05 00:00,,,,735.37,,,13.74,0.72,,140.04,82.38,0.00
2004-03-06 00:00,,,,735.97,,,13.26,1.04,,106.80,83.81,0.20
2004-03-07 00:00,,,,735.57,,,12.33,0.87,,81.87,91.83,27.30
2004-03-08 00:00,,,,735.00,,,13.62,0.84,,75.51,86.98,5.50
2004-03-09 00:00,,,,734.60,,,14.07,0.89,,77.76,79.87,0.10
2004-03-10 00:00,,,,734.82,,,14.23,1.08,,104.97,73.65,0.00
2004-03-11 00:00,,,,734.92,,,14.52,0.95,,71.64,72.71,0.00
2004-03-12 00:00,,,,733.69,,,14.35,0.90,,84.44,77.34,0.00
2004-03-13 00:00,,,,733.41,,,14.60,1.15,,75.96,72.45,0.00
2004-03-14 00:00,,,,733.79,,,15.49,1.16,,83.27,63.52,0.00
2004-03-15 00:00,,,,734.11,,,14.52,0.94,,71.72,72.00,0.00
2004-03-16 00:00,,,,733.94,,,14.80,0.90,,82.09,73.96,0.00
2004-03-17 00:00,,,,733.32,,,14.54,1.20,,69.36,69.57,0.00
2004-03-18 00:00,,,,733.40,,,14.44,1.08,,55.86,70.63,0.00
2004-03-19 00:00,,,,,,,,,,,,0.00
2004-03-20 00:00,,,,733.29,,,14.43,1.23,,69.28,61.04,0.00
2004-03-21 00:00,,,,733.59,,,14.31,1.12,,73.22,83.32,0.00
2004-03-22 00:00,,,,733.59,,,14.53,0.99,,99.09,83.28,0.00
2004-03-23 00:00,,,,733.62,,,15.33,0.96,,138.52,73.01,0.00
2004-03-24 00:00,,,,733.75,,,14.96,0.99,,82.55,71.77,0.00
2004-03-25 00:00,,,,,,,,,,,,0.00
2004-03-26 00:00,,,,734.55,,,13.76,1.00,,78.78,88.73,0.00
2004-03-27 00:00,,,,734.68,,,12.85,0.81,,81.55,90.22,0.00
2004-03-28 00:00,,,,735.06,,,11.74,0.74,,80.71,91.50,0.00
2004-03-29 00:00,,,,735.64,,,12.88,0.99,,77.65,86.11,0.00
2004-03-30 00:00,,,,735.90,,,14.13,0.99,,80.18,79.86,0.00
2004-03-31 00:00,,,,735.35,,,15.06,1.01,,79.63,79.33,0.30
2004-04-01 00:00,,,,735.63,,,14.89,1.19,,239.54,81.66,0.00
2004-04-02 00:00,,,,735.58,,,14.13,0.96,,128.84,83.78,1.30
2004-04-03 00:00,,,,735.82,,,13.67,0.90,,83.86,87.89,1.00
2004-04-04 00:00,,,,735.66,,,13.95,0.77,,79.12,83.23,3.50
2004-04-05 00:00,,,,735.70,,,14.83,1.19,,76.64,69.68,0.10
2004-04-06 00:00,,,,735.48,,,13.84,1.18,,74.13,64.97,0.00
2004-04-07 00:00,,,,734.13,,,15.77,1.23,,75.50,64.09,0.00
2004-04-08 00:00,,,,734.47,,,13.86,0.86,,156.24,78.66,0.80
2004-04-09 00:00,,,,735.51,,,13.49,0.89,,100.14,80.33,0.00
2004-04-10 00:00,,,,735.50,,,13.15,0.85,,75.55,86.52,0.50
2004-04-11 00:00,,,,734.89,,,13.28,0.99,,71.68,86.14,6.90
2004-04-12 00:00,,,,734.41,,,13.66,0.65,,78.21,88.51,18.20
2004-04-13 00:00,,,,735.17,,,13.47,0.81,,136.33,86.94,6.00
2004-04-14 00:00,,,,736.55,,,12.26,0.92,,83.32,89.92,15.80
2004-04-15 00:00,,,,736.05,,,11.82,0.78,,79.71,93.87,5.40
2004-04-16 00:00,,,,736.07,,,12.89,0.92,,76.21,86.44,0.60
