Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU
2017-03-24 00:00,,,764.78,194.37,14.67,1.74,99.20,88.05,0.00
2017-03-25 00:00,,,764.47,234.65,15.66,1.34,169.24,83.01,3.30
2017-03-26 00:00,,,764.82,158.27,14.30,1.27,123.35,86.11,18.10
2017-03-27 00:00,,,764.59,240.78,15.56,1.20,150.34,82.54,0.20
2017-03-28 00:00,,,764.18,220.91,15.87,1.38,143.70,81.73,0.00
2017-03-29 00:00,,,763.91,205.23,15.56,1.48,88.68,86.20,0.00
2017-03-30 00:00,,7.07,763.83,178.91,14.66,1.78,34.92,92.60,2.40
2017-03-31 00:00,,4.87,764.69,98.75,13.31,1.32,61.16,93.18,12.10
2017-04-01 00:00,,13.45,765.10,163.58,14.94,0.71,150.91,79.34,2.60
2017-04-02 00:00,,10.32,764.43,200.61,15.13,0.95,120.29,75.39,0.00
2017-04-03 00:00,,15.10,763.34,240.76,15.69,1.06,110.01,76.87,0.00
2017-04-04 00:00,,17.95,763.08,310.99,15.96,1.05,124.58,73.15,0.00
2017-04-05 00:00,,,763.34,278.41,16.45,1.35,149.15,72.89,0.00
2017-04-06 00:00,,,763.86,251.11,16.42,1.32,167.38,71.20,0.00
2017-04-07 00:00,,,763.75,249.01,16.44,1.49,210.25,77.32,0.00
2017-04-08 00:00,,,763.71,166.02,14.86,1.72,42.47,93.42,3.30
2017-04-09 00:00,,,763.70,167.54,14.41,1.61,77.61,92.82,4.70
2017-04-10 00:00,,,763.82,251.30,15.24,1.27,145.58,85.13,0.90
2017-04-11 00:00,,,763.42,192.68,15.31,1.25,75.56,88.38,9.80
2017-04-12 00:00,,,763.02,253.42,16.12,1.07,135.67,83.18,2.70
2017-04-13 00:00,,,762.85,304.89,16.79,0.92,130.60,77.63,0.10
2017-04-14 00:00,,,763.02,230.53,15.97,1.37,120.78,83.91,1.70
2017-04-15 00:00,,,762.93,221.54,17.19,0.93,178.37,77.43,0.50
2017-04-16 00:00,,,,,,,,,0.00
2017-04-17 00:00,,,,,,,,,0.00
2017-04-18 00:00,,,764.18,227.59,15.60,1.56,99.31,86.68,1.40
2017-04-19 00:00,,,764.64,146.45,14.90,1.57,102.44,89.80,1.70
2017-04-20 00:00,,,765.42,212.04,14.55,1.55,108.73,86.24,3.30
2017-04-21 00:00,,,764.96,265.96,16.26,1.11,189.17,78.52,1.30
2017-04-22 00:00,,,763.85,258.70,16.65,1.26,161.36,77.58,0.00
2017-04-23 00:00,,,763.71,297.03,16.91,1.15,156.39,74.83,0.00
2017-04-24 00:00,,,763.62,247.32,16.80,1.35,114.28,78.83,1.90
2017-04-25 00:00,,,764.00,259.82,16.03,1.61,150.98,83.22,0.00
2017-04-26 00:00,,,763.98,182.04,15.13,1.52,106.67,86.57,16.40
2017-04-27 00:00,,,763.86,304.42,16.64,1.27,151.52,78.86,0.00
2017-04-28 00:00,,,763.31,280.57,17.18,1.19,86.85,72.38,0.00
2017-04-29 00:00,,,763.84,255.14,16.45,1.47,139.47,76.71,0.00
2017-04-30 00:00,,,764.57,196.42,14.80,1.98,115.71,88.34,0.20
2017-05-01 00:00,,,764.94,204.16,14.87,1.69,35.19,90.18,6.20
2017-05-02 00:00,,,,,,,,,0.00
2017-05-03 00:00,,9.45,763.92,265.47,16.49,1.61,101.42,79.86,0.00
2017-05-04 00:00,,8.61,763.69,273.11,16.50,1.52,133.21,79.24,10.00
2017-05-05 00:00,,9.00,763.60,216.48,14.93,1.65,71.11,90.50,2.70
2017-05-06 00:00,,21.83,764.75,198.67,14.56,1.58,90.19,87.15,0.10
2017-05-07 00:00,,4.67,764.76,212.75,14.62,1.69,50.29,89.23,5.10
2017-05-08 00:00,,4.85,764.30,132.90,13.90,1.66,55.61,93.90,2.10
2017-05-09 00:00,,5.40,764.22,194.49,14.64,1.67,52.01,91.21,0.30
2017-05-10 00:00,,5.58,765.09,104.44,13.75,1.53,70.69,95.36,11.60
2017-05-11 00:00,,6.21,765.94,167.49,14.27,1.42,97.71,89.22,0.70
2017-05-12 00:00,,10.58,765.64,189.05,14.53,1.67,118.59,88.12,3.40
2017-05-13 00:00,,5.58,765.74,232.67,15.22,1.47,75.00,86.54,4.80
2017-05-14 00:00,,19.02,765.82,118.88,14.69,0.92,161.54,84.61,0.80
2017-05-15 00:00,,12.75,766.00,153.32,15.43,0.82,108.00,84.66,12.50
2017-05-16 00:00,,16.65,765.49,196.68,15.47,1.03,138.56,82.00,2.10
2017-05-17 00:00,,18.32,764.78,262.82,15.27,,,84.16,0.10
2017-05-18 00:00,,9.47,763.91,211.39,15.82,1.15,119.79,82.44,1.40
2017-05-19 00:00,,,,,,,,,0.00
2017-05-20 00:00,,,762.30,198.20,16.18,1.43,149.13,80.78,0.00
2017-05-21 00:00,,,764.12,216.47,15.22,1.67,93.96,85.52,0.00
2017-05-22 00:00,,,764.78,225.19,15.32,1.48,147.69,84.13,7.00
2017-05-23 00:00,,11.93,764.50,187.27,15.99,1.02,114.05,80.06,0.00
2017-05-24 00:00,,15.75,763.73,247.21,15.62,1.20,132.12,72.98,0.00
2017-05-25 00:00,,11.80,763.35,210.79,17.22,,,64.59,0.00
2017-05-26 00:00,,5.90,764.83,242.83,15.55,1.63,100.83,86.12,0.00
2017-05-27 00:00,,11.65,765.46,213.15,15.24,1.42,152.48,79.38,0.00
2017-05-28 00:00,,10.41,764.41,287.70,16.13,1.28,132.85,71.77,0.00
2017-05-29 00:00,,13.00,765.41,185.21,14.70,1.37,107.73,75.58,0.00
2017-05-30 00:00,,,765.08,256.58,15.41,1.22,147.52,74.38,0.00
2017-05-31 00:00,,,764.81,233.66,15.92,1.42,134.63,79.10,0.00
