Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-02 00:00,,17.50,,768.23,,,15.64,2.55,,151.04,71.47,0.00
2004-01-03 00:00,,15.13,,768.51,,,14.73,1.19,,136.13,78.96,0.00
2004-01-04 00:00,,17.84,,768.47,,,15.74,1.19,,106.55,82.32,0.00
2004-01-05 00:00,,24.26,,769.06,,,15.50,1.32,,97.63,84.32,11.90
2004-01-06 00:00,,21.04,,769.95,,,15.21,1.22,,115.23,83.91,1.80
2004-01-07 00:00,,14.54,,770.79,,,14.41,1.10,,140.48,89.91,28.70
2004-01-08 00:00,,17.69,,770.98,,,15.06,1.19,,138.35,85.70,5.60
2004-01-09 00:00,,,,,,,,,,,,0.00
2004-01-10 00:00,,,,,,,,,,,,0.00
2004-01-11 00:00,,23.48,,770.73,,,16.39,1.34,,127.99,82.78,0.00
2004-01-12 00:00,,19.43,,771.87,,,16.36,1.37,,104.09,81.47,0.00
2004-01-13 00:00,,18.05,,771.90,,,16.28,1.24,,101.72,77.87,0.00
2004-01-14 00:00,,23.33,,771.18,,,15.89,1.23,,112.14,73.83,0.00
2004-01-15 00:00,,22.28,,771.02,,,15.28,1.40,,126.92,73.50,0.00
2004-01-16 00:00,,,,,,,,,,,,0.00
2004-01-17 00:00,,22.75,,772.30,,,12.92,1.20,,128.17,73.76,0.00
2004-01-18 00:00,,26.44,,771.85,,,13.00,1.17,,137.16,74.98,0.00
2004-01-19 00:00,,27.82,,770.86,,,13.50,1.20,,126.76,72.13,0.00
2004-01-20 00:00,,26.89,,770.73,,,14.49,1.39,,123.13,72.65,0.00
2004-01-21 00:00,,27.99,,771.87,,,13.59,1.20,,115.42,84.60,0.00
2004-01-22 00:00,,,,772.63,,,13.49,1.55,,77.49,81.83,0.30
2004-01-23 00:00,,23.76,,772.02,,,14.67,1.54,,124.65,78.19,0.00
2004-01-24 00:00,,22.71,,771.02,,,15.32,1.43,,128.59,78.27,0.00
2004-01-25 00:00,,31.85,,770.29,,,15.10,1.43,,105.17,74.09,0.00
2004-01-26 00:00,,30.93,,770.80,,,14.06,1.49,,109.35,73.16,0.00
2004-01-27 00:00,,36.28,,772.01,,,14.32,1.43,,113.65,69.30,0.00
2004-01-28 00:00,,33.44,,772.00,,,13.90,1.42,,116.49,70.45,0.00
2004-01-29 00:00,,32.87,,770.62,,,14.92,1.40,,130.36,74.94,0.10
2004-01-30 00:00,,,,769.63,,,14.86,1.39,,121.10,74.77,0.20
2004-01-31 00:00,,36.99,,769.43,,,14.98,1.43,,117.48,74.96,0.00
2004-02-01 00:00,,37.39,,769.76,,,15.79,1.40,,128.94,75.53,0.50
2004-02-02 00:00,,32.73,,769.94,,,14.97,1.48,,132.20,73.50,0.00
2004-02-03 00:00,,27.32,,770.17,,,14.73,1.22,,124.37,76.54,0.40
2004-02-04 00:00,,27.39,,769.82,,,14.46,1.03,,128.00,79.04,0.40
2004-02-05 00:00,,34.92,,769.76,,,14.85,1.39,,132.35,74.75,0.20
2004-02-06 00:00,,,,769.85,,,14.53,1.37,,135.33,77.56,0.60
2004-02-07 00:00,,35.01,,769.99,,,14.96,1.50,,81.56,82.05,0.10
2004-02-08 00:00,,32.48,,770.74,,,14.67,1.23,,98.15,82.30,0.70
2004-02-09 00:00,,30.29,,770.33,,,15.01,1.08,,101.96,81.03,0.60
2004-02-10 00:00,,31.27,,769.42,,,16.36,1.12,,139.63,67.63,1.10
2004-02-11 00:00,,30.06,,769.43,,,15.56,1.44,,130.96,75.98,0.70
2004-02-12 00:00,,36.50,,770.58,,,15.67,1.40,,94.96,78.32,0.80
2004-02-13 00:00,,,,771.79,,,15.43,1.45,,82.50,78.80,0.40
2004-02-14 00:00,,30.35,,771.51,,,15.41,1.31,,110.05,78.31,0.00
2004-02-15 00:00,,37.49,,770.88,,,15.70,1.18,,100.66,80.02,0.00
2004-02-16 00:00,,29.15,,770.98,,,15.73,1.21,,114.42,78.18,0.00
2004-02-17 00:00,,33.42,,771.54,,,16.06,1.46,,111.46,76.81,0.00
2004-02-18 00:00,,31.06,,771.81,,,15.59,1.41,,122.97,78.81,0.90
2004-02-19 00:00,,,,771.50,,,15.39,1.35,,113.22,81.47,13.70
2004-02-20 00:00,,30.07,,771.60,,,14.53,1.18,,144.51,83.60,1.20
2004-02-21 00:00,,30.12,,771.65,,,15.04,1.37,,129.77,79.13,0.00
2004-02-22 00:00,,29.75,,772.20,,,14.85,1.07,,130.86,83.59,0.50
2004-02-23 00:00,,38.73,,772.56,,,13.98,1.07,,146.35,86.98,4.10
2004-02-24 00:00,,31.46,,771.52,,,14.40,0.94,,140.34,83.34,1.80
2004-02-25 00:00,,23.20,,770.68,,,12.93,1.29,,125.67,81.07,0.00
2004-02-26 00:00,,25.59,,771.42,,,14.96,1.36,,131.84,76.21,0.60
2004-02-27 00:00,,,,,,,,,,,,0.00
2004-02-28 00:00,,24.48,,770.65,,,14.41,1.37,,139.09,75.97,0.00
2004-02-29 00:00,,26.52,,769.69,,,16.33,1.63,,132.74,73.98,0.00
2004-03-01 00:00,,24.60,,769.71,,,16.01,1.31,,116.46,77.67,0.00
2004-03-02 00:00,,24.73,,769.76,,,15.92,1.58,,102.41,79.05,0.40
2004-03-03 00:00,,21.89,,769.48,,,16.19,1.30,,116.75,76.18,0.10
2004-03-04 00:00,,22.25,,769.81,,,15.21,1.06,,118.37,80.95,0.00
2004-03-05 00:00,,,,770.89,,,15.56,1.15,,105.04,82.16,0.30
2004-03-06 00:00,,32.90,,771.53,,,15.38,1.32,,100.58,81.38,4.20
2004-03-07 00:00,,30.74,,771.26,,,14.26,1.15,,113.18,88.42,4.00
2004-03-08 00:00,,24.80,,770.45,,,15.45,1.03,,134.17,82.27,5.40
2004-03-09 00:00,,23.97,,770.05,,,15.59,1.51,,143.11,80.02,0.50
2004-03-10 00:00,,21.95,,770.21,,,15.92,1.51,,145.09,75.69,0.50
2004-03-11 00:00,,19.11,,770.33,,,16.09,1.42,,137.74,72.13,0.50
2004-03-12 00:00,,,,768.99,,,16.16,1.41,,136.22,76.01,0.70
2004-03-13 00:00,,23.02,,768.59,,,16.70,1.98,,138.61,72.06,0.60
2004-03-14 00:00,,20.46,,768.79,,,16.73,1.90,,152.58,65.73,0.10
2004-03-15 00:00,,23.44,,769.23,,,16.19,1.26,,141.07,72.07,0.30
2004-03-16 00:00,,24.96,,769.03,,,16.30,1.33,,121.36,75.97,0.40
2004-03-17 00:00,,21.50,,768.41,,,15.69,1.86,,145.10,72.45,0.20
2004-03-18 00:00,,,,768.47,,,16.04,1.37,,152.15,73.74,0.20
2004-03-19 00:00,,25.45,,768.78,,,16.17,1.36,,120.13,75.21,0.10
2004-03-20 00:00,,25.81,,768.76,,,14.92,1.26,,141.20,73.77,0.30
2004-03-21 00:00,,26.48,,769.02,,,16.26,1.26,,118.68,79.71,1.90
2004-03-22 00:00,,22.77,,769.03,,,16.31,1.27,,125.79,80.22,0.40
2004-03-23 00:00,,21.98,,768.97,,,16.83,1.39,,149.39,74.92,0.00
2004-03-24 00:00,,20.39,,768.93,,,16.55,1.45,,154.43,72.25,0.20
2004-03-25 00:00,,,,,,,,,,,,0.00
2004-03-26 00:00,,,,770.27,,,15.05,1.24,,116.28,86.48,34.30
