Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,,95.77,,717.37,,,19.39,4.05,9.06,348.76,99.03,0.4
2004-01-02,,68.69,,717.14,,,19.66,5.59,6.94,353.39,77.49,0.2
2004-01-03,,90.54,,717.19,,,18.5,2.71,7.22,356.0,92.34,0.4
2004-01-04,,106.46,,717.31,,,17.63,2.7,7.35,356.0,100.0,0.2
2004-01-05,,101.82,,717.72,,,17.57,3.14,9.81,265.93,100.0,5.1
2004-01-06,,122.24,,718.51,,,18.13,3.01,8.35,356.0,100.0,1.7
2004-01-07,,72.63,,718.92,,9.88,16.55,3.31,10.09,303.91,100.0,13.4
2004-01-08,,104.27,,718.76,,9.77,16.24,2.67,9.77,301.41,100.0,2.3
2004-01-09,,113.14,51.34,718.92,,9.36,16.57,3.08,9.36,317.55,100.0,8.6
2004-01-10,,118.88,38.33,718.62,,7.35,18.72,2.97,7.35,157.71,100.0,0.30000000000000004
2004-01-11,,128.1,65.0,719.9,,,18.66,2.96,,328.59,100.0,2.0999999999999996
2004-01-12,,120.65,67.02,720.23,,8.9,18.89,3.2,8.9,271.63,100.0,0.4
2004-01-13,,119.6,37.34,720.09,,10.2,19.41,3.57,10.2,336.3,99.93,0.30000000000000004
2004-01-14,,164.39,48.45,719.51,,9.44,18.02,2.93,9.44,304.26,99.97,0.0
2004-01-15,,117.15,57.28,719.64,,8.92,18.7,3.37,8.92,311.38,94.82,0.4
2004-01-16,,98.23,52.35,723.67,,8.82,18.14,5.8,8.82,247.78,99.88,0.1
2004-01-17,,18.5,43.61,724.52,,8.9,16.92,2.84,8.9,319.1,96.39,0.0
2004-01-18,,,23.87,,,,,,,,,0.0
2004-01-19,,127.82,41.59,725.88,,9.71,18.93,2.93,9.71,259.52,91.63,0.1
2004-01-20,,141.47,93.35,725.53,,9.97,18.06,3.36,9.97,315.89,99.96,0.1
2004-01-21,,90.7,31.91,726.58,,9.17,12.71,2.66,9.17,158.06,100.0,3.6
2004-01-22,,95.83,31.4,726.65,,4.64,15.84,3.72,4.64,197.7,100.0,0.30000000000000004
2004-01-23,,111.46,31.0,726.13,,6.16,18.37,3.61,6.16,225.82,100.0,0.1
2004-01-24,,141.59,50.4,725.45,,4.85,19.03,3.69,4.85,216.33,100.0,0.0
2004-01-25,,154.61,60.98,726.28,,3.79,19.47,3.68,3.79,345.08,100.0,0.1
2004-01-26,,127.32,52.09,726.67,,6.38,18.98,3.74,6.38,308.77,100.0,0.3
2004-01-27,,120.39,34.93,727.51,,6.7,19.11,3.53,6.7,321.11,97.31,0.2
2004-01-28,,130.36,32.71,727.01,,5.98,19.14,3.4,5.98,313.4,99.97,0.1
2004-01-29,,120.21,43.05,726.05,,5.53,19.52,3.54,5.53,248.84,100.0,0.1
2004-01-30,,134.51,46.1,724.68,,5.65,19.27,3.39,5.65,289.07,100.0,0.1
2004-01-31,,153.76,37.07,724.56,,5.26,19.95,3.57,5.26,316.84,99.97,0.0
2004-02-01,,160.5,32.36,724.73,,4.51,18.73,3.03,4.51,302.13,100.0,0.1
2004-02-02,,185.85,64.46,724.75,,6.06,21.06,3.57,6.06,325.62,99.38,0.0
2004-02-03,,107.5,67.46,724.5,,6.77,18.34,2.77,6.77,330.13,100.0,0.0
2004-02-04,,110.1,38.83,719.28,,6.58,14.6,2.64,6.58,312.09,100.0,0.6000000000000001
2004-02-05,,122.05,54.38,719.31,,8.76,19.57,3.23,8.76,353.39,99.67,0.1
2004-02-06,,103.62,40.72,720.16,,7.16,17.97,2.95,7.16,356.0,100.0,0.1
2004-02-07,,117.71,34.41,721.55,,5.18,16.68,2.83,5.18,193.78,100.0,0.2
2004-02-08,,109.28,41.68,721.82,,4.96,15.67,2.87,4.96,196.04,100.0,0.4
2004-02-09,12.46,109.95,49.3,721.31,,7.03,15.86,2.87,7.03,304.02,100.0,0.1
2004-02-10,38.88,124.91,44.51,720.92,,6.44,18.35,2.52,6.44,356.0,96.63,0.0
2004-02-11,38.27,129.57,44.17,720.65,,5.64,18.29,2.88,5.64,303.08,99.42,0.0
2004-02-12,47.52,120.27,62.4,722.1,,6.45,16.69,3.09,6.45,245.28,100.0,0.0
2004-02-13,61.94,88.74,45.94,722.3,,6.79,18.75,2.97,6.79,197.7,100.0,0.1
