Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,,,,721.98,,,23.59,5.52,,152.22958333333335,77.66,0.0
2004-01-02,,,,721.42,,,24.07,4.71,,164.03875,73.96,0.0
2004-01-03,,,,721.43,,,21.72,4.09,,146.31625,76.88,0.0
2004-01-04,,,,721.48,,,21.55,3.38,,221.44208333333333,89.42,0.0
2004-01-05,,,,722.34,,,21.74,3.85,,213.35375,93.16,4.2
2004-01-06,,,,722.89,,,19.77,4.15,,232.80458333333334,94.15,2.5
2004-01-07,,,,723.5,,,18.57,3.14,,213.66083333333333,93.11,2.0
2004-01-08,,,,723.38,,,18.86,3.96,,262.88208333333336,94.06,5.800000000000001
2004-01-09,,,,723.71,,,19.92,3.66,,225.05708333333334,95.02,4.3
2004-01-10,,,,723.27,,,20.75,4.29,,240.06833333333336,92.62,0.0
2004-01-11,,,,724.21,,,21.91,4.46,,220.2458333333333,94.47,0.2
2004-01-12,,,,724.55,,,22.16,4.39,,203.95375,94.98,0.0
2004-01-13,,,,724.56,,,22.35,4.4,,194.50636363636366,90.81,0.0
2004-01-14,,,,723.76,,,23.6,4.44,,183.98956521739132,83.59,1.1
2004-01-15,,,,724.02,,,21.09,6.25,,174.59565217391304,87.77,0.0
2004-01-16,,,,724.19,,,20.79,5.77,,212.22125000000003,83.45,0.1
2004-01-17,,,,724.69,,,20.89,6.11,,222.3175,81.38,0.0
2004-01-18,,,,724.2,,,21.1,4.86,,202.03083333333333,80.61,0.1
2004-01-19,,,,723.3,,,21.92,4.74,,196.21208333333334,77.21,0.0
2004-01-20,,,,723.27,,,21.0,4.85,,209.63375,83.29,0.3
2004-01-21,,,,724.6,,,16.43,3.87,,183.84875,85.33,0.0
2004-01-22,,,,724.48,,,17.46,4.58,,229.91708333333335,87.42,0.1
2004-01-23,,,,724.2,,,19.34,5.41,,189.70833333333334,85.86,0.0
2004-01-24,,,,723.28,,,21.66,5.53,,182.20875,87.81,0.0
2004-01-25,,,,722.82,,,21.96,5.68,,177.20458333333332,87.78,0.0
2004-01-26,,,,723.77,,,20.79,5.81,,228.57291666666666,86.69,0.0
2004-01-27,,,,724.64,,,21.26,5.31,,217.54166666666666,83.82,0.0
2004-01-28,,,,724.63,,,21.03,5.37,,212.67499999999998,90.13,0.1
2004-01-29,,,,723.1,,,22.91,4.78,,195.76125000000002,87.8,0.0
2004-01-30,,,,722.3,,,22.12,5.54,,210.6775,93.09,0.0
2004-01-31,,,,722.31,,,22.17,5.55,,197.10083333333333,86.47,0.0
2004-02-01,,,,722.68,,,22.81,4.74,,197.86434782608697,91.91,0.2
2004-02-02,,,,722.72,,,24.01,5.57,,205.41791666666666,88.69,0.4
2004-02-03,,,,722.92,,,20.92,4.05,,160.76,86.67,0.0
2004-02-04,,,,722.65,,,17.67,2.78,,154.6475,89.76,0.2
2004-02-05,,,,722.75,,,22.05,5.18,,194.81208333333333,89.69,0.0
2004-02-06,,,,722.35,,,20.77,4.63,,165.70291666666665,86.71,0.0
2004-02-07,,,,722.6,,,19.47,4.62,,181.64,88.72,0.0
2004-02-08,,,,723.04,,,18.56,3.52,,210.82208333333332,93.69,0.0
2004-02-09,,,,722.45,,,18.3,3.21,,153.60958333333335,87.15,0.0
2004-02-10,,,,722.23,,,21.07,4.17,,164.40333333333334,83.5,0.0
2004-02-11,,,,722.81,,,23.71,4.27,,197.35833333333335,83.55,0.4
2004-02-12,,,,724.16,,,19.6,3.13,,184.53625,85.22,0.1
2004-02-13,,,,724.66,,,20.39,3.78,,195.78083333333333,89.33,1.9
2004-02-14,,,,724.2,,,21.72,3.55,,202.85041666666666,92.25,0.0
2004-02-15,,,,723.75,,,21.61,3.34,,199.06458333333333,89.8,0.0
2004-02-16,,,,723.84,,,21.25,4.25,,210.74249999999998,90.82,0.0
2004-02-17,,,,724.83,,,20.16,4.58,,182.96818181818182,93.44,0.0
2004-02-18,,,,722.86,,,20.54,4.09,,204.0775,90.39,0.2
2004-02-19,,,,722.78,,,18.63,5.17,,227.82625,93.14,7.6000000000000005
2004-02-20,,,,722.26,,,20.04,4.31,,228.4595833333333,89.23,0.0
2004-02-21,,,,722.82,,,20.37,4.43,,206.38125,88.93,0.1
2004-02-22,,,,722.95,,,19.4,3.75,,212.845,91.68,5.0
2004-02-23,,,,722.6,,,19.45,3.37,,215.7904166666667,94.68,10.700000000000001
2004-02-24,,,,721.98,,,20.35,3.19,,201.79333333333332,96.31,4.2
2004-02-25,,,,722.78,,,18.52,3.53,,196.11208333333332,88.77,0.8
2004-02-26,,,,723.71,,,22.67,3.69,,199.07708333333335,89.74,0.0
2004-02-27,,,,722.37,,,18.42,3.28,,163.6625,84.63,0.0
2004-02-28,,,,721.58,,,19.72,3.93,,176.64583333333334,88.0,0.0
2004-02-29,,,,721.02,,,21.99,5.11,,125.99041666666666,94.03,0.0
2004-03-01,,,,721.84,,,21.72,5.17,,115.01791666666666,83.23,0.1
2004-03-02,,,,722.36,,,21.57,3.41,,120.34416666666668,85.87,0.0
2004-03-03,,,,722.26,,,21.13,4.37,,132.42749999999998,71.66,0.0
2004-03-04,,,,722.49,,,18.21,3.06,,131.24608695652174,92.54,0.0
2004-03-05,,,,724.18,,,20.89,3.72,,158.91541666666666,86.07,0.0
2004-03-06,,,,723.74,,,20.81,3.93,,194.73708333333332,90.66,4.4
2004-03-07,,,,723.3,,,18.19,2.63,,202.66333333333333,94.32,13.700000000000001
2004-03-08,,,,722.86,,,21.95,3.28,,205.8125,94.93,1.7
2004-03-09,,,,722.35,,,20.89,4.72,,139.62708333333333,93.81,0.1
2004-03-10,,,,722.51,,,22.61,4.45,,130.59875,89.43,1.2
2004-03-11,,,,722.78,,,21.38,5.41,,128.22826086956522,83.7,0.1
2004-03-12,,,,721.19,,,22.97,5.15,,126.31208333333332,75.74,0.2
2004-03-13,,,,721.35,,,22.31,5.25,,141.35708333333335,87.38,0.0
2004-03-14,,,,721.92,,,21.37,5.07,,106.45875,61.85,0.0
2004-03-15,,,,721.46,,,22.05,4.0,,120.81833333333333,74.2,0.4
2004-03-16,,,,720.99,,,22.44,4.13,,143.79083333333332,75.32,0.0
2004-03-17,,,,721.3,,,22.95,3.98,,156.16625,77.97,0.0
2004-03-18,,,,720.99,,,22.78,4.2,,176.89291666666668,87.0,0.1
2004-03-19,,,,720.98,,,21.47,3.87,,186.045,88.94,0.0
2004-03-20,,,,721.06,,,22.81,4.27,,201.99208333333334,88.64,0.0
2004-03-21,,,,721.42,,,20.35,4.61,,210.63875,95.05,4.5
2004-03-22,,,,721.0,,,21.52,3.99,,196.09708333333333,96.14,0.0
2004-03-23,,,,721.44,,,24.04,4.0,,149.95541666666665,88.56,0.1
2004-03-24,,,,721.54,,,23.12,3.34,,200.03833333333333,81.99,0.0
2004-03-25,,,,722.34,,,21.22,4.66,,202.67416666666668,89.55,5.8
2004-03-26,,,,722.36,,,22.01,4.84,,216.67666666666665,93.73,11.700000000000001
2004-03-27,,,,722.3,,,20.26,3.78,,225.76333333333332,95.46,6.0
2004-03-28,,,,722.78,,,16.53,2.92,,248.24333333333334,95.03,14.200000000000001
2004-03-29,,,,724.77,,,19.79,4.21,,225.215,91.03,0.1
2004-03-30,,,,724.74,,,23.33,4.19,,223.56875,87.28,0.0
2004-03-31,,,,724.68,,,24.25,5.14,,220.34124999999997,87.97,1.7000000000000002
2004-04-01,,,,724.89,,,21.03,4.33,,210.19416666666666,90.39,0.30000000000000004
2004-04-02,,,,724.65,,,18.96,3.4,,167.92458333333335,87.78,0.0
2004-04-03,,,,724.53,,,18.5,3.73,,199.1570833333333,93.04,10.7
2004-04-04,,,,724.59,,,21.24,2.98,,156.95791666666668,93.74,0.0
2004-04-05,,,,724.51,,,21.38,4.74,,138.38583333333335,91.26,0.1
2004-04-06,,,,723.66,,,20.19,5.04,,190.21875,79.94,0.0
2004-04-07,,,,721.86,,,23.9,4.91,,161.9109090909091,74.41,0.2
2004-04-08,,,,722.19,,,21.45,3.51,,153.38375,87.1,0.3
2004-04-09,,,,722.51,,,20.57,2.63,,186.02625,86.81,0.0
2004-04-10,,,,722.39,,,21.56,3.7,,192.24166666666667,92.54,0.0
2004-04-11,,,,721.95,,,19.92,4.04,,185.22875,89.06,6.1
2004-04-12,,,,723.73,,,20.38,3.27,,183.05416666666667,90.77,3.6
2004-04-13,,,,725.06,,,21.07,2.94,,204.16708333333335,92.9,7.2
2004-04-14,,,,723.43,,,18.68,4.76,,213.41875000000002,93.31,16.1
2004-04-15,,,,723.24,,,17.56,3.17,,225.91625,92.96,1.3
2004-04-16,,,,723.27,,,18.79,3.65,,216.4825,94.33,1.1
2004-04-17,,,,722.92,,,23.04,3.81,,233.8741666666667,95.22,0.0
2004-04-18,,,,722.83,,,20.76,2.42,,167.00916666666666,91.85,4.2
2004-04-19,,,,721.81,,,22.25,4.37,,210.04125,94.99,0.1
2004-04-20,,,,721.51,,,19.95,3.53,,223.42125,93.11,14.200000000000001
2004-04-21,,,,722.1,,,21.07,4.18,,238.23874999999998,93.73,9.200000000000001
2004-04-22,,,,723.37,,,14.74,4.29,,216.45291666666665,96.39,15.6
2004-04-23,,,,723.46,,,18.32,3.65,,216.38,95.18,14.4
2004-04-24,,,,723.08,,,17.52,2.48,,217.69458333333333,94.92,2.5
2004-04-25,,,,722.65,,,21.11,3.21,,183.46916666666667,94.85,2.1
2004-04-26,,,,724.07,,,16.88,4.65,,172.53708333333336,94.07,4.9
2004-04-27,,,,722.77,,,20.76,3.82,,211.54333333333332,89.52,0.2
2004-04-28,,,,722.46,,,22.09,4.3,,205.43666666666664,90.07,0.1
2004-04-29,,,,722.47,,,23.58,4.89,,202.32333333333335,89.61,0.0
2004-04-30,,,,721.81,,,22.45,4.3,,175.36,90.21,3.3000000000000003
2004-05-01,,,,721.27,,,21.55,3.97,,199.93958333333333,95.68,18.4
