Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,121.37,,,0.0,,9.58,,,4.45,,,
2004-01-02,48.41,,,0.0,,10.27,,,4.44,,,
2004-01-03,70.27,,,0.0,,31.68,,,4.78,,,
2004-01-04,36.31,,,0.0,,5.89,,,3.46,,,
2004-01-05,65.13,,,0.0,,11.98,,,4.55,,,
2004-01-06,63.31,,,0.0,,8.97,,,4.39,,,
2004-01-07,74.8,,,0.0,,5.52,,,5.52,,,
2004-01-08,56.13,,,0.0,,5.04,,,5.04,,,
2004-01-09,69.21,,,0.0,,5.13,,,5.13,,,
2004-01-10,57.97,,,0.0,,4.54,,,4.54,,,
2004-01-11,56.26,,,0.0,,3.55,,,3.55,,,
2004-01-12,62.97,,,0.0,,6.4,,,6.4,,,
2004-01-13,86.2,,,0.0,,4.85,,,4.85,,,
2004-01-14,86.84,,,0.0,,5.04,,,5.04,,,
2004-01-15,78.18,,,0.0,,5.53,,,5.53,,,
2004-01-16,86.69,,,0.0,,5.14,,,5.14,,,
2004-01-17,155.3,,,0.0,,6.65,,,6.65,,,
2004-01-18,97.11,,,0.0,,5.1,,,5.1,,,
2004-01-19,107.13,,,0.0,,7.88,,,7.88,,,
2004-01-20,77.4,,,0.0,,5.85,,,5.85,,,
2004-01-21,65.3,,,0.0,,4.75,,,4.75,,,
2004-01-22,63.53,,,0.0,,5.07,,,5.07,,,
2004-01-23,60.31,,,0.0,,5.13,,,5.13,,,
2004-01-24,78.4,,,0.0,,4.88,,,4.88,,,
2004-01-25,61.08,,,0.0,,4.3,,,4.3,,,
2004-01-26,103.71,,,0.0,,6.99,,,6.99,,,
2004-01-27,90.06,,,0.0,,7.09,,,7.09,,,
2004-01-28,101.62,,,0.0,,6.78,,,6.78,,,
2004-01-29,88.85,,,0.0,,5.69,,,5.69,,,
2004-01-30,133.78,,,0.0,,4.62,,,4.62,,,
2004-01-31,73.15,,,0.0,,4.9,,,4.9,,,
2004-02-01,64.84,,,0.0,,3.28,,,3.28,,,
2004-02-02,118.41,,,0.0,,4.67,,,4.67,,,
2004-02-03,142.01,,,0.0,,5.67,,,5.67,,,
2004-02-04,108.2,,,0.0,,4.14,,,4.14,,,
2004-02-05,83.51,,,0.0,,4.77,,,4.77,,,
2004-02-06,120.46,,,0.0,,6.1,,,6.1,,,
2004-02-07,61.2,,,0.0,,3.19,,,3.19,,,
2004-02-08,60.75,,,0.0,,2.95,,,2.95,,,
2004-02-09,98.94,,,0.0,,4.38,,,4.38,,,
2004-02-10,87.02,,,0.0,,5.31,,,5.31,,,
2004-02-11,66.95,,,0.0,,4.27,,,4.27,,,
2004-02-12,70.58,,,0.0,,4.73,,,4.73,,,
2004-02-13,79.67,,,0.0,,3.96,,,3.96,,,
2004-02-14,90.89,,,0.0,,5.02,,,5.02,,,
2004-02-15,69.38,,,0.0,,3.6,,,3.6,,,
2004-02-16,78.17,,,0.0,,5.41,,,5.41,,,
2004-02-17,85.4,,,0.0,,6.04,,,6.04,,,
