Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,,,,734.88,,,21.88,2.58,,148.06125,100.0,0.0
2004-01-02,,,,734.6,,,22.4,2.99,,176.59708333333333,88.55,0.1
2004-01-03,,,,734.82,,,21.33,2.09,,123.10291666666666,92.79,0.0
2004-01-04,,,,734.92,,,19.99,1.97,,125.86708333333333,99.96,0.1
2004-01-05,,,,735.34,,,18.84,2.36,,97.17916666666667,100.0,2.1
2004-01-06,,,,736.25,,,19.73,2.44,,107.79541666666667,100.0,5.2
2004-01-07,,,,736.77,,,16.74,2.71,,73.16208333333334,100.0,12.0
2004-01-08,,,,736.75,,,18.17,2.25,,212.18666666666664,100.0,9.9
2004-01-09,,,,736.97,,,19.91,2.15,,330.81,100.0,5.6000000000000005
2004-01-10,,,,736.25,,,20.18,2.34,,279.4008333333333,100.0,0.1
2004-01-11,,,,737.65,,,20.6,2.38,,277.99125,100.0,3.5
2004-01-12,,,,738.06,,,20.54,2.28,,296.9629166666667,100.0,0.5
2004-01-13,,,,738.01,,,21.77,3.04,,321.24041666666665,99.43,0.1
2004-01-14,,,,737.17,,,21.46,2.57,,327.4508333333333,97.8,0.2
2004-01-15,,,,737.11,,,20.7,3.07,,323.7178260869565,89.95,0.1
2004-01-16,,,,737.62,,,19.43,2.68,,296.76625,97.19,0.1
2004-01-17,,,,738.08,,,20.26,2.75,,318.33375,93.56,0.0
2004-01-18,,,,737.51,,,20.01,3.22,,337.52791666666667,94.23,0.0
2004-01-19,,,,736.84,,,21.38,3.3,,341.21666666666664,90.71,0.4
2004-01-20,,,,737.02,,,20.37,3.03,,347.35291666666666,89.61,0.0
2004-01-21,,,,738.53,,,16.69,2.21,,348.97375000000005,100.0,0.7
2004-01-22,,,,738.42,,,16.85,3.1,,335.6983333333333,100.0,0.2
2004-01-23,,,,737.81,,,19.67,3.04,,323.83208333333334,98.78,0.0
2004-01-24,,,,737.27,,,20.62,3.04,,345.09791666666666,99.81,0.0
2004-01-25,,,,736.7,,,21.76,2.86,,344.30125,98.59,0.0
2004-01-26,,,,737.72,,,19.59,2.93,,352.94875,99.98,0.2
2004-01-27,,,,738.38,,,21.0,2.82,,342.9170833333333,97.52,0.0
2004-01-28,,,,737.96,,,20.6,2.81,,331.27375,99.02,0.0
2004-01-29,,,,736.69,,,20.51,3.21,,324.3616666666667,99.99,0.0
2004-01-30,,,,735.78,,,20.53,3.04,,318.30916666666667,99.85,0.0
2004-01-31,,,,736.25,,,21.24,3.24,,284.9583333333333,100.0,0.0
2004-02-01,,,,736.26,,,20.21,2.44,,291.8070833333333,99.94,0.0
2004-02-02,,,,736.24,,,23.0,2.59,,327.67375,99.01,0.1
2004-02-03,,,,736.06,,,20.71,2.37,,326.07374999999996,100.0,0.0
2004-02-04,,,,735.98,,,18.19,1.36,,275.2729166666667,100.0,0.6000000000000001
2004-02-05,,,,735.84,,,20.79,2.64,,315.84125,100.0,0.0
2004-02-06,,,,735.78,,,20.12,3.0,,279.54541666666665,99.23,0.1
2004-02-07,,,,736.24,,,18.63,2.61,,254.225,100.0,0.0
2004-02-08,,,,736.6,,,18.2,1.96,,230.84666666666666,100.0,0.1
2004-02-09,,,,736.19,,,17.68,1.82,,260.1727272727273,99.99,0.1
2004-02-10,,,,735.41,,,20.35,2.15,,351.8220833333333,97.4,0.0
2004-02-11,,,,735.78,,,20.28,2.35,,303.27333333333337,96.93,0.1
2004-02-12,,,,737.2,,,18.85,2.06,,232.1775,99.59,0.0
2004-02-13,,,,737.59,,,20.28,2.26,,253.77458333333334,99.99,0.0
2004-02-14,,,,737.16,,,20.46,2.13,,236.05958333333334,100.0,0.0
2004-02-15,,,,736.7,,,19.09,1.92,,281.305,99.92,0.0
2004-02-16,,,,737.2,,,19.39,2.66,,297.95166666666665,99.09,0.0
2004-02-17,,,,737.62,,,21.94,2.96,,164.74541666666667,100.0,0.0
2004-02-18,,,,737.62,,,20.15,2.77,,180.49375,99.71,0.1
2004-02-19,,,,737.65,,,19.83,3.21,,110.1725,100.0,0.0
2004-02-20,,,,737.43,,,20.63,2.68,,119.13208333333334,100.0,0.0
2004-02-21,,,,737.82,,,18.95,2.85,,85.43124999999999,98.8,0.0
2004-02-22,,,,738.12,,,18.63,2.2,,129.62041666666667,100.0,0.0
2004-02-23,,,,737.78,,,18.74,2.49,,105.70291666666667,100.0,0.0
2004-02-24,,,,737.11,,,19.98,2.25,,94.50541666666668,100.0,0.5
2004-02-25,,,,736.89,,,18.23,2.18,,89.72333333333334,94.21,0.0
2004-02-26,,,,737.49,,,22.07,2.47,,95.62583333333333,94.95,0.0
2004-02-27,,,,737.19,,,19.0,1.7,,139.24166666666667,99.4,0.0
2004-02-28,,,,736.32,,,19.41,2.02,,300.48375,100.0,0.0
2004-02-29,,,,735.78,,,20.88,2.22,,264.95416666666665,99.31,0.0
2004-03-01,,,,736.26,,,19.03,1.84,,136.34791666666666,100.0,0.0
2004-03-02,,,,735.98,,,19.64,1.97,,192.49750000000003,99.87,0.0
2004-03-03,,,,735.58,,,19.41,2.34,,169.81791666666666,97.66,0.4
2004-03-04,,,,736.23,,,18.44,1.47,,157.3775,100.0,0.0
2004-03-05,,,,737.83,,,18.41,1.6,,137.26333333333335,100.0,0.0
2004-03-06,,,,737.26,,,19.84,2.33,,101.10541666666667,100.0,1.0
2004-03-07,,,,737.11,,,18.75,1.85,,80.13583333333334,100.0,32.0
2004-03-08,,,,736.38,,,21.76,2.03,,75.29125,100.0,0.0
2004-03-09,,,,735.96,,,19.8,1.91,,78.64291666666666,100.0,0.1
2004-03-10,,,,736.18,,,18.87,2.77,,103.295,99.99,0.0
2004-03-11,,,,736.24,,,20.42,2.19,,71.47333333333333,99.44,0.0
2004-03-12,,,,734.86,,,20.44,2.32,,83.86874999999999,98.11,0.0
2004-03-13,,,,734.89,,,20.86,2.39,,85.05375,100.0,0.0
2004-03-14,,,,735.33,,,20.28,2.27,,74.68083333333333,83.13,0.0
2004-03-15,,,,735.53,,,19.65,2.22,,71.63125000000001,93.97,0.0
2004-03-16,,,,735.01,,,20.02,1.75,,83.82000000000001,92.26,0.0
2004-03-17,,,,734.86,,,22.49,2.35,,62.2125,85.52,0.0
2004-03-18,,,,734.86,,,21.31,2.3,,65.19,92.43,0.0
2004-03-19,,,,734.76,,,21.07,1.86,,77.60363636363637,85.21,0.0
2004-03-20,,,,734.92,,,21.37,2.12,,69.71166666666666,100.0,0.0
2004-03-21,,,,735.26,,,20.74,2.63,,73.53916666666667,100.0,0.0
2004-03-22,,,,734.84,,,20.64,2.19,,128.29458333333335,100.0,0.0
2004-03-23,,,,734.88,,,22.21,2.1,,112.78875,90.97,0.0
2004-03-24,,,,735.44,,,20.39,1.94,,80.49166666666666,95.18,0.0
2004-03-25,,,,735.97,,,20.22,2.4,,79.25863636363637,100.0,0.0
2004-03-26,,,,736.24,,,20.54,2.73,,77.8275,100.0,0.0
2004-03-27,,,,736.22,,,17.42,2.11,,82.55375,100.0,0.0
2004-03-28,,,,736.7,,,14.92,1.79,,79.0825,99.99,0.0
2004-03-29,,,,737.53,,,18.27,2.68,,78.14833333333333,99.68,0.0
2004-03-30,,,,737.54,,,22.67,2.5,,82.54791666666667,99.98,0.0
2004-03-31,,,,737.03,,,23.39,2.77,,83.69083333333333,99.98,0.3
2004-04-01,,,,737.55,,,21.31,2.84,,269.60625,100.0,1.3
2004-04-02,,,,737.62,,,21.25,2.17,,95.18041666666666,100.0,0.0
2004-04-03,,,,737.46,,,19.23,1.79,,81.08958333333334,100.0,3.6
2004-04-04,,,,737.1,,,19.94,1.59,,78.0,98.96,0.9
2004-04-05,,,,737.13,,,20.47,2.63,,76.90583333333333,92.2,0.1
