Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,,49.31,,770.5,,,22.25,3.26,,144.78166666666667,100.0,0.1
2004-01-02,,39.16,,770.04,,,22.58,4.11,,167.28125,100.0,0.1
2004-01-03,,43.89,,770.65,,,20.6,3.44,,193.17,100.0,0.1
2004-01-04,,69.39,,770.49,,,19.73,3.16,,198.75249999999997,98.44,0.1
2004-01-05,,63.63,,770.96,,,18.59,2.52,,174.09625000000003,100.0,16.8
2004-01-06,,77.08,,771.88,,,20.28,1.94,,170.37291666666667,100.0,7.8
2004-01-07,,60.35,,772.35,,,18.03,3.04,,148.80041666666668,100.0,18.8
2004-01-08,,83.22,,772.36,,,19.12,2.92,,211.92208333333335,100.0,0.0
2004-01-09,,65.14,,772.59,,,18.92,2.79,,253.89208333333332,100.0,4.3
2004-01-10,,25.79,,771.88,,,14.6,0.85,,196.64666666666665,99.44,0.1
2004-01-11,,29.87,,773.26,,,21.0,3.22,,245.07458333333332,99.93,0.4
2004-01-12,,29.87,,773.59,,,20.6,3.0,,202.60166666666666,99.5,0.1
2004-01-13,,29.87,,773.67,,,21.99,3.02,,170.585,92.88,0.1
2004-01-14,,29.87,,773.19,,,21.58,2.96,,166.26791666666665,93.92,0.1
2004-01-15,,66.0,,773.27,,,20.73,3.77,,194.08833333333334,91.04,0.0
2004-01-16,,37.97,,773.67,,,19.66,5.61,,223.89545454545453,87.5,0.0
2004-01-17,,76.99,,774.34,,,19.79,4.9,,184.45708333333334,89.02,0.0
2004-01-18,,111.68,,773.44,,,20.16,2.8,,179.83833333333334,91.72,0.0
2004-01-19,,109.01,,772.38,,,21.49,3.5,,177.87875,92.61,0.0
2004-01-20,,106.8,,772.66,,,20.25,3.83,,194.585,90.45,0.0
2004-01-21,,68.05,,774.39,,,15.33,2.91,,280.42875,97.52,0.1
2004-01-22,,34.55,,774.17,,,17.67,3.11,,253.37875,95.31,0.2
2004-01-23,,58.46,,773.62,,,20.12,4.41,,226.04916666666668,95.99,0.0
2004-01-24,,61.97,,772.69,,,21.76,3.88,,191.8216666666667,94.48,0.0
2004-01-25,,70.34,,772.34,,,22.06,4.33,,195.75125,95.69,0.0
2004-01-26,,81.44,,773.43,,,21.6,4.09,,185.68625,92.79,0.2
2004-01-27,,93.34,,774.18,,,21.61,4.08,,181.14583333333334,90.31,0.0
2004-01-28,,92.92,,774.03,,,21.53,4.13,,177.53833333333333,88.24,0.2
2004-01-29,,79.44,,772.35,,,22.68,3.39,,201.365,92.52,0.0
2004-01-30,,87.47,,771.51,,,21.77,3.65,,195.0425,94.76,0.0
2004-01-31,,79.42,,771.67,,,22.4,3.54,,193.23583333333332,89.91,0.0
2004-02-01,,70.24,,771.99,,,21.59,3.07,,180.93375,95.45,0.0
2004-02-02,,87.29,,771.88,,,23.25,3.03,,158.89541666666665,98.32,0.0
2004-02-03,,49.73,,771.92,,,20.57,2.83,,184.27791666666667,93.25,0.1
2004-02-04,,73.63,,771.88,,,16.36,1.85,,176.1575,95.37,0.0
2004-02-05,,77.07,,771.72,,,21.63,3.3,,171.7854166666667,91.66,0.1
2004-02-06,,39.85,,771.7,,,19.85,3.4,,192.57291666666666,93.74,0.1
2004-02-07,,58.55,,772.08,,,18.46,2.94,,232.66916666666668,97.82,0.1
2004-02-08,,45.75,,772.33,,,17.31,2.4,,202.35583333333332,95.36,0.4
2004-02-09,,41.18,,771.88,,,17.57,2.42,,196.12166666666667,98.35,0.2
2004-02-10,,58.49,,771.4,,,21.02,2.0,,194.78625,95.32,0.2
2004-02-11,,75.27,,771.78,,,20.88,3.25,,183.23833333333334,91.87,0.2
2004-02-12,,58.18,,773.25,,,19.32,3.16,,217.79999999999998,98.65,0.1
2004-02-13,,58.8,,773.68,,,19.82,2.7,,240.49416666666664,96.69,0.2
2004-02-14,,88.94,,773.24,,,20.14,2.33,,188.9645833333333,92.16,0.1
2004-02-15,,59.67,,772.56,,,18.43,2.51,,236.85333333333332,98.54,0.0
2004-02-16,,81.66,,773.26,,,19.87,3.07,,201.28291666666667,96.82,0.0
2004-02-17,,68.7,,773.7,,,21.56,3.01,,209.28958333333333,94.23,0.0
2004-02-18,,88.35,,773.73,,,20.27,3.29,,207.11083333333332,98.34,2.6000000000000005
2004-02-19,,67.65,,774.18,,,19.57,4.02,,203.61875,99.63,21.6
2004-02-20,,84.78,,773.8,,,19.77,2.9,,204.415,99.96,0.1
2004-02-21,,104.26,,773.77,,,20.0,3.24,,187.64791666666667,95.91,0.0
2004-02-22,,69.9,,774.54,,,19.11,3.48,,199.93666666666664,100.0,1.5
2004-02-23,,70.61,,774.05,,,17.55,1.87,,225.25,100.0,5.8999999999999995
2004-02-24,,74.77,,773.24,,,19.11,2.5,,203.37458333333333,99.74,2.3
2004-02-25,,81.75,,772.83,,,18.19,4.02,,169.04833333333332,98.8,2.2
2004-02-26,,72.37,,773.35,,,21.75,2.64,,193.81291666666667,99.07,0.1
2004-02-27,,57.0,,773.08,,,17.84,3.49,,151.52954545454546,97.26,0.1
2004-02-28,,55.63,,772.31,,,19.33,3.61,,186.85541666666666,98.56,0.0
2004-02-29,,54.53,,771.64,,,20.91,4.24,,138.80625,95.89,0.1
2004-03-01,,49.83,,772.03,,,19.47,5.57,,179.46833333333333,97.66,0.0
2004-03-02,,59.74,,771.87,,,19.98,2.8,,198.29333333333332,97.59,0.0
2004-03-03,,44.88,,771.43,,,20.38,4.4,,163.04791666666668,97.7,0.0
2004-03-04,,43.1,,771.88,,,17.41,2.1,,214.0404166666667,95.53,0.0
2004-03-05,,54.4,,773.76,,,18.44,3.24,,202.01874999999998,97.56,0.30000000000000004
2004-03-06,,67.47,,773.17,,,20.41,1.96,,228.3975,99.61,18.599999999999998
