Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,,36.8,,770.5,,68.52,23.06,5.21,,157.66083333333333,99.92,0.0
2004-01-02,,35.7,,770.04,,54.48,23.41,5.9,,144.3375,100.0,0.0
2004-01-03,,53.25,,770.65,,95.35,22.24,2.4,,128.94541666666666,100.0,0.0
2004-01-04,,45.5,,770.49,,30.98,21.26,3.23,,102.6225,97.35,0.0
2004-01-05,,41.88,,770.96,,23.7,21.14,3.16,,106.83416666666666,99.07,11.9
2004-01-06,,47.33,,771.88,,35.45,22.32,2.93,,117.1425,99.23,1.7999999999999998
2004-01-07,,43.56,,772.35,,38.35,20.02,3.18,,153.84166666666667,100.0,28.8
2004-01-08,,53.2,,772.36,,,21.3,3.2,,116.72083333333335,100.0,7.1
2004-01-09,,43.12,,772.59,,,21.36,2.03,,114.32071428571429,100.0,4.9
2004-01-10,,40.68,,771.88,,,22.75,2.83,,104.96541666666667,99.21,0.0
2004-01-11,,42.69,,773.26,,,23.1,3.12,,120.50166666666667,99.87,0.0
2004-01-12,,47.1,,773.59,,,22.44,3.18,,104.11166666666666,99.17,0.0
2004-01-13,,63.76,,773.67,,,23.32,3.27,,103.91416666666667,95.6,0.0
2004-01-14,,89.84,,773.19,,,23.84,3.19,,120.25625000000001,94.74,0.0
2004-01-15,,78.2,,773.27,,,23.01,3.81,,124.47291666666666,92.99,0.0
2004-01-16,,83.41,,773.67,,,22.93,3.61,,138.3490909090909,93.05,0.0
2004-01-17,,76.44,,774.34,,,22.42,3.6,,129.69625,96.52,0.0
2004-01-18,,92.76,,773.44,,,23.36,3.24,,137.72,98.95,0.0
2004-01-19,,86.74,,772.38,,,23.55,3.52,,132.11958333333334,98.21,0.0
2004-01-20,,84.89,,772.66,,,22.27,3.83,,123.0475,93.4,0.0
2004-01-21,,46.08,,774.39,,,17.72,2.26,,102.03833333333334,95.09,0.0
2004-01-22,,55.08,,774.17,,,19.74,3.62,,86.55624999999999,96.62,0.30000000000000004
2004-01-23,,55.25,,773.62,,,22.88,3.77,,130.785,96.03,0.0
2004-01-24,,57.15,,772.69,,,23.33,3.89,,113.08125,96.88,0.0
2004-01-25,,77.86,,772.34,,,24.25,3.56,,103.79375,92.7,0.0
2004-01-26,,82.62,,773.43,,,22.57,4.07,,109.11958333333332,94.08,0.0
2004-01-27,,83.93,,774.18,,,23.98,3.85,,120.015,91.81,0.0
2004-01-28,,87.23,,774.03,,,23.52,4.03,,122.36208333333333,94.0,0.0
2004-01-29,,80.3,,772.35,,,23.66,3.94,,120.15666666666668,93.61,0.1
2004-01-30,,79.1,,771.51,,,23.98,3.68,,119.69708333333334,94.24,0.2
2004-01-31,,93.58,,771.67,,,23.98,3.76,,122.76625,92.0,0.2
2004-02-01,,96.76,,771.99,,,24.13,3.62,,127.07625,97.16,0.30000000000000004
2004-02-02,,90.75,,771.88,,,25.52,3.81,,134.12083333333334,94.75,0.2
2004-02-03,,59.89,,771.92,,,22.81,2.79,,121.09791666666666,93.59,0.30000000000000004
2004-02-04,,74.51,,771.88,,,19.17,1.96,,128.14124999999999,94.35,0.30000000000000004
2004-02-05,,90.93,,771.72,,,24.44,3.66,,138.08333333333334,96.24,0.4
2004-02-06,,64.65,,771.7,,,22.72,3.75,,123.77416666666666,97.17,0.4
2004-02-07,,53.44,,772.08,,,19.9,3.41,,86.64166666666667,95.75,0.30000000000000004
2004-02-08,,52.36,,772.33,,,19.76,2.65,,92.30166666666666,96.77,0.6000000000000001
2004-02-09,,62.26,,771.88,,,20.43,2.54,,113.15458333333333,97.98,0.7000000000000001
2004-02-10,,80.1,,771.4,,,23.84,2.56,,136.58541666666667,96.8,1.0
2004-02-11,,75.75,,771.78,,,23.24,3.5,,128.42833333333334,95.2,0.8
2004-02-12,,68.83,,773.25,,,21.7,3.18,,89.25958333333334,96.08,0.7000000000000001
2004-02-13,,52.03,,773.68,,,23.63,3.33,,87.22874999999999,94.35,0.30000000000000004
2004-02-14,,71.93,,773.24,,,22.64,2.92,,106.94708333333334,94.94,0.0
2004-02-15,,66.94,,772.56,,,21.65,2.63,,108.9575,95.3,0.0
2004-02-16,,72.59,,773.26,,,22.49,3.07,,106.18374999999999,95.82,0.0
2004-02-17,,77.89,,773.7,,,24.17,3.73,,118.78541666666666,97.84,0.9
2004-02-18,,77.27,,773.73,,,23.42,3.45,,118.83083333333333,98.45,0.0
2004-02-19,,65.73,,774.18,,,21.69,3.36,,131.44291666666666,100.0,14.500000000000002
2004-02-20,,86.19,,773.8,,,23.01,3.67,,135.35958333333335,99.99,0.4
2004-02-21,,91.98,,773.77,,,22.36,3.44,,129.59833333333333,99.09,0.0
2004-02-22,,65.99,,774.54,,,20.02,2.79,,121.01208333333334,98.12,1.2
2004-02-23,,87.06,,774.05,,,20.31,3.19,,149.06208333333333,100.0,3.4
2004-02-24,,74.87,,773.24,,,23.39,1.85,,152.97875000000002,99.59,1.8
2004-02-25,,69.26,,772.83,,,20.76,3.25,,123.50333333333333,100.0,0.6
2004-02-26,,65.83,,773.35,,,24.14,3.57,,125.77916666666665,99.8,0.0
2004-02-27,,52.99,,773.08,,,20.01,2.99,,157.89409090909092,99.4,0.2
2004-02-28,,61.47,,772.31,,,22.23,3.26,,132.08,94.72,0.0
2004-02-29,,50.61,,771.64,,,23.31,4.27,,132.83416666666668,96.88,0.0
2004-03-01,,59.66,,772.03,,,22.74,3.63,,112.33875,96.51,0.0
2004-03-02,,53.39,,771.87,,,21.78,4.87,,111.55624999999999,97.67,0.4
2004-03-03,,44.14,,771.43,,,22.45,3.64,,114.90916666666668,96.45,0.1
2004-03-04,,59.07,,771.88,,,21.64,2.22,,111.75791666666667,97.72,0.0
2004-03-05,,60.81,,773.76,,,21.38,2.71,,101.13,98.94,0.30000000000000004
2004-03-06,,60.12,,773.17,,,22.1,3.09,,107.95041666666667,99.51,4.3
2004-03-07,,61.34,,772.88,,,20.58,2.81,,109.10208333333333,100.0,3.9
2004-03-08,,59.93,,772.17,,,23.95,2.89,,141.73125000000002,99.02,5.4
2004-03-09,,69.74,,771.74,,,21.91,4.18,,151.47041666666667,99.62,0.6000000000000001
2004-03-10,,50.05,,771.88,,,21.2,3.97,,132.72125,99.39,0.5
2004-03-11,,55.32,,772.1,,,22.56,3.55,,136.42458333333335,97.46,0.4
2004-03-12,,57.37,,770.55,,,23.44,4.12,,133.96791666666667,96.87,0.8999999999999999
2004-03-13,,47.64,,770.5,,,23.09,4.77,,152.82666666666668,97.93,0.5
2004-03-14,,42.26,,770.79,,,21.72,4.94,,150.49625,93.41,0.2
2004-03-15,,54.31,,771.0,,,22.19,3.19,,135.80333333333334,96.36,0.30000000000000004
2004-03-16,,70.16,,770.55,,,22.66,3.34,,121.08666666666666,98.3,0.30000000000000004
2004-03-17,,73.11,,770.52,,,24.17,5.54,,145.57208333333332,99.31,0.1
2004-03-18,,65.26,,770.67,,,24.66,2.95,,149.53541666666666,99.44,0.2
2004-03-19,,72.7,,770.5,,,23.83,3.44,,126.10708333333332,97.79,0.1
2004-03-20,,79.93,,770.91,,,24.41,3.77,,131.74291666666667,97.22,0.5
2004-03-21,,54.77,,771.34,,,24.27,3.21,,121.27583333333332,97.23,1.7
2004-03-22,,54.11,,770.5,,,24.23,3.05,,129.5575,99.05,0.4
2004-03-23,,65.07,,770.8,,,23.92,3.73,,158.48041666666666,97.82,0.1
2004-03-24,,48.25,,771.46,,,23.83,3.35,,139.04375000000002,98.57,0.1
2004-03-25,,52.41,,771.98,,,22.77,3.56,,108.42434782608697,97.31,2.5
2004-03-26,,61.31,,772.33,,,22.59,4.17,,134.57625,100.0,34.4
2004-03-27,,78.74,,771.98,,,21.41,2.29,,146.80041666666668,99.98,4.0
2004-03-28,,55.53,,772.85,,,18.67,2.55,,122.81625000000001,100.0,6.5
2004-03-29,,48.92,,773.67,,,20.14,2.55,,128.00416666666666,100.0,0.2
2004-03-30,,69.36,,773.29,,,24.72,3.22,,130.74458333333334,99.87,0.1
2004-03-31,,65.79,,772.67,,,25.84,4.58,,121.98125,99.77,0.2
2004-04-01,,59.43,,773.63,,,22.77,3.97,,124.58,97.72,2.3
2004-04-02,,67.8,,773.25,,,21.39,2.42,,133.27416666666667,99.71,0.6
2004-04-03,,50.64,,773.29,,,19.36,2.64,,119.80125,98.0,0.7
2004-04-04,,51.24,,772.8,,,22.45,3.22,,137.92041666666668,100.0,0.0
2004-04-05,,41.13,,772.42,,,21.94,4.5,,155.35375,98.7,0.0
2004-04-06,,45.43,,772.77,,,23.74,3.79,,150.31208333333333,95.2,0.0
2004-04-07,,40.88,,771.26,,,24.58,5.99,,137.13791666666665,99.0,0.0
2004-04-08,,47.96,,772.27,,,22.21,3.09,,138.01916666666668,95.42,0.0
2004-04-09,,54.86,,772.81,,,20.35,2.02,,117.01208333333334,96.28,0.30000000000000004
2004-04-10,,57.54,,772.78,,,22.19,2.84,,114.71750000000002,97.75,0.2
2004-04-11,,48.92,,772.2,,,22.58,3.42,,140.26208333333332,96.73,6.1000000000000005
2004-04-12,,88.29,,771.74,,,24.08,3.08,,167.4025,99.72,0.0
2004-04-13,,60.12,,773.92,,,22.4,3.43,,160.43416666666667,100.0,21.6
2004-04-14,,64.29,,773.75,,,20.29,2.14,,153.96541666666667,100.0,36.6
2004-04-15,,60.99,,773.75,,,19.13,2.06,,126.87708333333335,100.0,1.6
2004-04-16,,62.85,,773.57,,,20.29,1.97,,147.36458333333334,100.0,3.8
2004-04-17,,60.95,,773.22,,,23.93,3.57,,114.185,100.0,0.0
2004-04-18,,65.59,,773.24,,,21.85,2.2,,97.31916666666666,99.68,0.0
2004-04-19,,83.17,,771.96,,,24.4,3.28,,119.67416666666666,99.61,0.0
2004-04-20,,71.61,,771.9,,,21.65,2.87,,127.50666666666666,99.86,3.2
2004-04-21,,78.56,,772.74,,,22.51,2.33,,100.80916666666667,99.07,1.7
2004-04-22,,39.31,,773.82,,,16.37,1.91,,120.24125,98.2,0.8999999999999999
2004-04-23,,44.59,,774.19,,,19.44,2.01,,184.84583333333333,100.0,13.2
2004-04-24,,78.74,,773.59,,,21.28,1.98,,159.71208333333334,100.0,1.2
2004-04-25,,67.1,,772.78,,,21.65,2.77,,144.39041666666665,100.0,7.6000000000000005
2004-04-26,,56.77,,774.96,,,19.72,1.63,,167.565,100.0,7.8
2004-04-27,,68.95,,772.86,,,21.52,3.05,,137.82041666666666,99.96,0.6000000000000001
2004-04-28,,66.73,,772.82,,,23.4,3.14,,134.5225,99.49,0.4
2004-04-29,,56.55,,772.2,,,25.24,4.02,,129.07291666666666,98.19,0.5
2004-04-30,,57.68,,771.6,,,23.65,2.75,,140.84041666666667,98.12,1.5
2004-05-01,,59.59,,771.21,,,22.71,2.95,,156.15666666666667,99.74,1.0
2004-05-02,,58.78,,771.43,,,22.72,2.42,,149.19666666666666,99.92,2.7
2004-05-03,,54.01,,772.82,,,21.83,3.25,,123.39208333333333,97.34,1.6
2004-05-04,,50.84,,773.23,,,23.93,3.09,,115.02333333333333,100.0,6.9
2004-05-05,,50.75,,773.12,,,21.53,2.35,,114.02291666666667,99.66,2.0
2004-05-06,,38.57,,772.34,,,24.28,2.47,,155.51333333333335,100.0,1.4000000000000001
2004-05-07,,37.29,,772.3,,,24.44,3.49,,135.285,99.89,0.6000000000000001
2004-05-08,,56.12,,771.84,,,24.01,1.92,,165.87333333333333,99.39,0.0
2004-05-09,,50.86,,771.45,,,23.95,4.9,,143.31708333333333,98.51,0.0
2004-05-10,,35.23,,772.33,,,23.41,5.48,,167.34458333333333,96.2,0.0
2004-05-11,,39.25,,772.04,,,23.79,3.11,,129.70041666666665,95.31,0.0
2004-05-12,,57.29,,772.21,,,25.76,3.24,,142.75875,100.0,0.0
2004-05-13,,49.65,,771.04,,,25.85,4.05,,155.9675,98.58,0.2
2004-05-14,,37.28,,770.17,,,25.92,4.99,,135.69041666666666,98.62,0.0
2004-05-15,,38.02,,771.9,,,19.56,1.88,,128.21583333333334,97.97,1.6
2004-05-16,,44.58,,772.22,,,20.6,2.77,,107.48541666666667,100.0,0.1
2004-05-17,,37.52,,772.79,,,19.75,2.66,,78.70458333333333,97.97,0.2
2004-05-18,,38.41,,772.9,,,17.47,2.3,,85.94291666666668,100.0,5.8
2004-05-19,,40.83,,774.64,,,16.21,1.41,,120.75916666666667,100.0,8.6
2004-05-20,,95.71,,774.59,,,22.48,3.63,,145.61173913043478,100.0,0.0
2004-05-21,,63.73,,774.63,,,21.82,2.64,,102.11,98.3,4.6
2004-05-22,,55.18,,774.18,,,20.02,3.36,,133.80416666666667,99.9,0.4
2004-05-23,,57.64,,773.31,,,19.46,2.32,,146.2775,100.0,0.9
2004-05-24,,89.79,,772.62,,,22.66,2.4,,144.57708333333332,99.83,0.6
2004-05-25,,59.77,,772.8,,,24.12,3.66,,138.135,100.0,4.4
2004-05-26,,30.8,,772.95,,,17.33,1.78,,153.21833333333333,100.0,2.6
2004-05-27,,51.84,,773.33,,,17.89,2.0,,121.46458333333334,99.95,0.1
2004-05-28,,57.75,,774.2,,,18.29,2.51,,99.83999999999999,100.0,3.0
2004-05-29,,56.13,,773.89,,,20.8,2.47,,120.91125,99.74,0.0
2004-05-30,,58.3,,773.05,,,20.95,2.01,,116.64458333333334,99.62,0.8
2004-05-31,,48.77,,771.83,,,22.65,4.19,,141.04,100.0,4.3
2004-06-01,,38.95,,771.11,,,20.48,2.91,,147.01125,100.0,0.0
2004-06-02,,47.86,,771.71,,,20.97,4.85,,155.67708333333334,100.0,1.6
2004-06-03,,40.01,,772.35,,,21.3,3.98,,151.23041666666666,98.22,0.0
2004-06-04,,55.75,,772.8,,,19.41,2.47,,110.10166666666667,98.99,0.1
2004-06-05,,44.52,,773.27,,,18.12,3.11,,91.65208333333334,99.48,8.4
2004-06-06,,62.32,,772.6,,,21.85,3.61,,146.1925,99.88,0.0
2004-06-07,,43.73,,771.94,,,21.82,4.37,,152.45916666666668,96.8,0.0
2004-06-08,,52.3,,773.29,,,22.33,3.75,,151.07583333333335,100.0,12.9
2004-06-09,,41.65,,773.21,,,22.23,2.96,,142.25791666666666,100.0,0.5
2004-06-10,,60.78,,772.81,,,21.47,3.87,,159.16,99.67,0.0
2004-06-11,,66.16,,772.42,,,21.58,5.89,,158.58041666666665,96.41,0.0
2004-06-12,,65.72,,772.21,,,20.83,5.86,,154.53041666666667,57.5,0.0
2004-06-13,,69.02,,773.26,,,20.83,5.68,,157.5375,72.5,0.0
2004-06-14,,69.59,,772.89,,,22.42,4.79,,147.00208333333333,92.08,0.0
2004-06-15,,48.5,,771.99,,,22.65,4.9,,162.23499999999999,100.0,0.0
2004-06-16,,49.66,,771.14,,,22.99,5.39,,155.85916666666665,86.74,0.0
2004-06-17,,43.31,,771.57,,,23.36,5.68,,152.58416666666668,86.57,0.0
2004-06-18,,33.65,,772.33,,,23.42,6.09,,144.0109090909091,91.24,0.0
2004-06-19,,53.74,,773.29,,,22.54,5.09,,148.97291666666666,99.14,0.0
2004-06-20,,55.75,,773.26,,,22.86,4.87,,135.97541666666666,94.46,0.0
2004-06-21,,47.83,,771.87,,,22.06,6.16,,148.43083333333334,99.79,0.0
2004-06-22,,49.17,,771.36,,,22.34,5.64,,149.58333333333334,91.78,0.0
2004-06-23,,56.97,,771.9,,,21.37,5.94,,157.98166666666665,82.67,0.0
2004-06-24,,51.16,,771.66,,,22.25,5.61,,150.38291666666666,84.56,0.0
2004-06-25,,64.94,,771.9,,,21.72,4.04,,140.89208333333332,93.85,0.0
2004-06-26,,85.46,,772.33,,,22.3,3.77,,120.36916666666667,97.79,0.0
2004-06-27,,64.13,,771.93,,,22.5,3.05,,142.28291666666667,93.38,0.0
2004-06-28,,61.71,,771.46,,,21.96,3.74,,139.14333333333335,99.42,0.0
2004-06-29,,52.54,,772.34,,,21.23,4.34,,133.88458333333332,93.13,0.0
2004-06-30,,57.3,,772.8,,,19.92,3.46,,139.03708333333333,94.25,0.1
2004-07-01,,71.07,,772.74,,,22.72,4.93,,141.5025,98.23,0.0
2004-07-02,,79.23,,772.08,,,22.61,3.25,,121.57583333333334,94.56,0.0
2004-07-03,,72.56,,772.34,,,19.64,3.0,,125.09208333333333,93.04,0.0
2004-07-04,,60.91,,772.36,,,21.62,2.85,,118.41041666666666,94.19,0.0
2004-07-05,,55.06,,772.82,,,21.14,4.37,,147.41916666666665,96.18,0.0
2004-07-06,,59.31,,772.9,,,21.49,4.45,,137.66125,95.47,0.0
2004-07-07,,72.71,,772.58,,,20.42,2.12,,143.12708333333333,95.19,0.0
2004-07-08,,60.01,,771.94,,,22.96,2.78,,111.49333333333334,93.44,0.0
2004-07-09,,85.42,,771.86,,,23.95,2.25,,138.96565217391304,95.62,0.1
2004-07-10,,79.51,,771.42,,,23.84,4.12,,112.44958333333334,98.31,0.0
2004-07-11,,60.55,,771.53,,,22.49,5.03,,132.94625,98.29,0.0
2004-07-12,,55.12,,771.88,,,22.32,4.4,,135.30583333333334,99.92,0.0
2004-07-13,,50.33,,772.03,,,21.95,3.28,,130.13541666666666,95.88,0.0
2004-07-14,,52.01,,772.34,,,19.58,2.71,,124.2375,97.97,0.0
2004-07-15,,51.09,,772.34,,,21.59,3.96,,123.04124999999999,100.0,0.1
2004-07-16,,52.86,,771.97,,,20.11,5.2,,147.61666666666667,95.87,0.0
2004-07-17,,51.61,,772.69,,,19.97,3.9,,151.0091666666667,82.86,0.0
2004-07-18,,58.75,,773.2,,,21.89,4.24,,147.18,94.42,0.0
2004-07-19,,61.97,,772.88,,,22.46,4.47,,144.45458333333332,99.75,0.0
2004-07-20,,58.28,,772.74,,,22.48,3.68,,120.88083333333333,97.3,0.0
2004-07-21,,52.36,,772.33,,,22.15,3.76,,134.24583333333334,94.7,0.0
2004-07-22,,,,772.22,,,22.93,3.77,,138.35791666666668,97.07,0.0
2004-07-23,,42.11,,772.15,,,22.39,2.5,,131.53708333333333,93.83,0.0
2004-07-24,,,,772.8,,,20.35,2.85,,110.59291666666667,96.14,0.0
2004-07-25,,,,772.23,,,21.79,3.06,,124.61083333333333,98.5,0.0
2004-07-26,,,,772.83,,,22.77,3.01,,101.17375,97.41,0.0
2004-07-27,,51.58,,773.11,,,20.46,4.66,,142.54708333333335,99.1,0.1
2004-07-28,,116.12,,772.41,,,22.1,3.24,,135.29916666666665,98.33,0.0
2004-07-29,,102.89,,772.1,,,23.48,4.73,,152.70833333333334,98.38,0.0
2004-07-30,,72.59,,772.56,,,21.56,4.64,,162.65041666666667,95.11,0.0
2004-07-31,,96.44,,772.25,,,20.44,5.04,,145.16791666666666,76.09,0.0
2004-08-01,,95.49,,772.42,,,21.84,5.93,,148.62541666666667,67.26,0.0
2004-08-02,,113.04,,771.87,,,23.33,4.74,,140.03375,86.45,0.0
2004-08-03,,96.86,,771.85,,,23.19,3.94,,142.12708333333333,95.31,0.0
2004-08-04,,103.1,,771.88,,,21.86,4.4,,117.08041666666666,99.87,0.0
2004-08-05,,100.21,,773.24,,,20.02,4.68,,138.48958333333334,98.56,0.0
2004-08-06,,108.55,,772.99,,,22.12,5.63,,153.94416666666666,80.44,0.0
2004-08-07,,94.9,,771.78,,,21.9,5.77,,144.61916666666667,77.56,0.0
2004-08-08,,97.77,,771.89,,,20.46,7.21,,167.23,62.56,0.0
2004-08-09,,88.72,,772.35,,,21.48,5.44,,153.43291666666667,77.38,0.0
2004-08-10,,97.05,,772.33,,,21.61,5.52,,150.73749999999998,83.62,0.0
2004-08-11,,118.89,,772.46,,,21.85,6.4,,164.63166666666666,57.64,0.0
2004-08-12,,105.0,,771.93,,,21.98,6.72,,160.61249999999998,70.52,0.0
2004-08-13,,100.41,,771.87,,,21.1,7.14,,144.84583333333333,72.26,0.0
2004-08-14,,84.28,,772.69,,,22.04,6.97,,141.12875,87.9,0.0
2004-08-15,,82.7,,773.12,,,24.4,5.91,,141.84,96.63,0.0
2004-08-16,,102.26,,772.79,,,25.02,4.58,,147.00625,95.46,0.0
2004-08-17,,103.23,,772.27,,,24.2,4.44,,132.29458333333335,100.0,0.0
2004-08-18,,91.48,,771.5,,,22.57,6.33,,156.93833333333333,93.1,0.0
2004-08-19,,91.56,,773.57,,,21.51,5.67,,141.57041666666666,99.98,0.0
2004-08-20,,93.44,,773.5,,,22.02,4.54,,143.39291666666665,83.98,0.0
2004-08-21,,144.6,,772.53,,,24.48,5.23,,137.54833333333332,93.41,0.0
2004-08-22,,98.68,,772.12,,,22.81,6.08,,144.94125,100.0,0.0
2004-08-23,,91.51,,772.0,,,22.22,5.6,,131.2325,88.65,0.0
2004-08-24,,117.03,,772.8,,,23.46,3.93,,120.24458333333332,94.9,0.0
2004-08-25,,103.05,,773.47,,,20.8,2.51,,116.27666666666666,95.38,0.0
2004-08-26,,91.19,,773.19,,,22.03,4.07,,143.95041666666665,98.01,0.0
2004-08-27,,144.3,,772.8,,,24.36,3.47,,134.02666666666667,92.44,0.0
2004-08-28,,123.77,,772.66,,,22.35,3.2,,143.42583333333334,93.95,0.0
2004-08-29,,116.28,,772.67,,,21.57,4.32,,147.10541666666666,96.15,0.0
2004-08-30,,105.52,,772.43,,,22.17,5.33,,150.71583333333334,90.41,0.0
2004-08-31,,107.73,,772.91,,,23.55,4.3,,138.29916666666665,93.02,0.0
2004-09-01,,104.68,,772.36,,,24.19,5.67,,147.77041666666665,100.0,0.0
2004-09-02,,106.11,,771.41,,,23.03,6.16,,146.27583333333334,80.17,0.0
2004-09-03,,97.22,,771.88,,,22.79,6.07,,133.7325,93.65,0.0
2004-09-04,,101.73,,771.88,,,21.72,2.49,,107.32083333333333,93.55,0.0
2004-09-05,,116.41,,771.88,,,22.65,4.1,,104.66624999999999,94.24,0.0
