Archivo,Filas iniciales,Datos iniciales,Filas finales,Datos finales,Fecha inicio,Fecha fin
Carapungo.csv,7427,103978,216,3024,2019-01-01,2021-12-31
SanAntonio.csv,2840,31240,312,3432,2019-01-01,2021-12-31
Tumbaco.csv,7427,96551,199,2587,2019-01-01,2021-12-31
Guamani.csv,7227,101178,198,2772,2019-01-01,2021-12-31
Cotocollao.csv,7427,103978,43,602,2019-01-01,2021-12-31
Belisario.csv,7427,103978,203,2842,2019-01-01,2021-12-31
Centro.csv,7427,103978,207,2898,2019-01-01,2021-12-31
LosChillos.csv,7427,103978,173,2422,2019-01-01,2021-12-31
ElCamal.csv,7427,103978,237,3318,2019-01-01,2021-12-31
TOTAL,62056,852837,1788,23897,,
