Archivo,Filas iniciales,Datos iniciales,Filas finales,Datos finales,Fecha inicio,Fecha fin
Carapungo.csv,7609,106526,4864,68096,2007-07-03,2021-09-09
SanAntonio.csv,7609,83699,609,6699,2019-08-29,2021-09-09
Tumbaco.csv,7609,98917,789,10257,2019-06-10,2021-09-09
Guamani.csv,7609,106526,1630,22820,2017-02-06,2021-09-09
Cotocollao.csv,7609,106526,4190,58660,2005-05-06,2019-07-07
Belisario.csv,7609,106526,5965,83510,2004-03-09,2021-09-09
Centro.csv,7609,106526,1003,14042,2018-11-23,2021-09-09
LosChillos.csv,7609,106526,1468,20552,2016-09-15,2021-09-09
ElCamal.csv,7609,106526,3717,52038,2004-04-09,2019-09-28
TOTAL,68481,928298,24235,336674,,
