Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,18.32,49.82,,723.97,,2.85,13.86,3.67,2.85,175.98,57.75,0.00,185.02
2004-09-02,18.73,48.31,,722.90,,2.91,13.96,3.40,2.91,174.86,58.03,0.00,171.33
2004-09-03,,,,722.97,,,14.10,2.82,,177.83,63.64,0.00,283.73
2004-09-04,30.84,25.88,19.57,723.29,,2.84,12.68,1.95,2.84,143.95,75.72,0.00,
2004-09-05,22.30,33.02,16.46,723.46,,2.49,12.26,1.56,2.49,153.66,81.91,0.00,
2004-09-06,,,,,,,,,,,,0.00,
2004-09-07,33.85,25.08,26.00,723.40,,3.09,11.08,1.64,3.09,120.19,84.70,7.40,
2004-09-08,,,,723.64,,,9.87,1.52,,101.63,93.53,0.00,
2004-09-09,32.35,22.10,21.74,723.88,,3.35,10.18,1.39,3.35,111.43,93.69,17.90,
2004-09-10,32.30,34.70,20.41,723.24,,3.14,11.65,1.77,3.14,192.46,79.16,5.30,
2004-09-11,20.16,71.22,21.80,723.74,,2.64,12.82,2.61,2.64,217.45,65.36,0.00,
2004-09-12,15.64,62.22,16.49,724.00,,2.59,12.90,2.85,2.59,177.05,60.80,0.00,
2004-09-13,27.70,,12.01,723.93,,3.24,12.94,3.19,3.24,200.63,64.74,0.00,340.04
2004-09-14,32.49,63.71,27.23,724.60,,3.59,12.04,2.39,3.59,219.92,73.77,18.90,293.87
2004-09-15,,,,,,,,,,,,0.00,328.93
2004-09-16,23.73,46.39,14.78,727.97,,2.97,13.07,2.35,2.97,195.82,62.23,0.00,
2004-09-17,,,,727.71,,,12.29,2.20,,189.45,67.99,0.00,431.34
2004-09-18,33.34,35.62,16.99,727.06,,3.18,12.07,1.57,3.18,161.66,79.49,0.00,
2004-09-19,34.51,32.42,15.15,726.66,,3.18,11.31,1.18,3.18,175.80,84.67,0.00,475.42
2004-09-20,46.23,38.58,,726.37,,3.72,12.46,1.53,3.72,181.81,76.91,0.40,348.67
2004-09-21,39.07,31.60,20.52,726.79,,3.62,12.40,1.37,3.62,171.64,80.96,0.10,557.00
2004-09-22,26.72,57.47,11.19,726.76,,2.98,14.02,3.06,2.98,179.62,61.49,0.00,316.95
2004-09-23,29.85,54.16,11.46,726.90,,3.23,12.92,2.77,3.23,178.81,67.60,0.00,
2004-09-24,28.18,59.03,,726.66,,3.19,13.30,2.44,3.19,197.78,69.08,13.10,167.16
2004-09-25,33.38,37.92,16.61,726.55,,3.50,11.75,1.54,3.50,212.37,84.57,2.70,
2004-09-26,26.96,47.59,12.33,726.34,,3.28,12.11,1.82,3.28,209.26,77.08,2.90,
2004-09-27,30.19,54.28,14.76,726.52,,3.59,13.04,2.37,3.59,151.70,70.50,0.00,
2004-09-28,,,,726.63,,,11.73,1.41,,166.90,84.88,5.70,384.82
2004-09-29,,,23.26,725.81,,3.98,10.90,1.53,3.98,166.27,89.80,0.00,503.67
2004-09-30,,,19.19,725.58,,,12.08,1.53,,150.82,86.23,17.20,371.93
2004-10-01,25.20,29.72,,725.23,,5.24,13.28,1.70,5.24,197.93,76.46,0.10,339.55
2004-10-02,19.65,32.15,13.04,725.31,,4.88,13.70,1.70,4.88,184.79,71.55,0.00,
2004-10-03,19.20,30.61,13.36,725.09,,4.82,12.29,1.66,4.82,145.93,80.47,0.00,324.66
2004-10-04,,,,725.25,,,12.49,1.57,,104.00,86.84,0.00,
2004-10-05,29.79,32.53,19.58,725.88,,2.93,12.08,1.41,2.93,169.45,87.83,0.00,
2004-10-06,,,,,,,,,,,,0.00,
2004-10-07,30.41,33.17,21.20,727.28,,3.31,11.26,1.37,3.31,109.77,92.74,0.00,
2004-10-08,36.76,37.93,19.66,726.37,,3.66,12.62,1.31,3.66,145.94,87.75,0.00,224.47
2004-10-09,30.21,36.37,22.07,725.43,,3.04,13.22,1.24,3.04,153.08,88.62,0.00,149.99
2004-10-10,24.05,34.07,13.71,725.85,,2.73,12.79,1.23,2.73,182.04,85.62,0.00,323.69
2004-10-11,,31.67,19.73,728.24,,3.23,12.26,1.51,3.23,144.72,87.60,0.00,
2004-10-12,,34.72,17.31,727.91,,3.10,11.97,1.79,3.10,111.95,90.03,0.00,395.43
2004-10-13,,,,727.22,,,11.70,1.60,,116.97,89.55,0.10,
2004-10-14,32.32,32.90,24.54,726.70,,3.39,13.18,1.61,3.39,172.84,80.14,0.00,497.50
2004-10-15,31.20,36.76,19.73,727.13,,3.40,14.24,1.54,3.40,190.32,74.69,0.00,159.85
2004-10-16,25.08,37.76,18.31,727.37,,2.97,13.13,1.61,2.97,155.41,77.94,0.00,173.08
2004-10-17,24.75,38.79,18.08,727.99,,2.97,12.21,1.64,2.97,124.63,85.25,0.00,
2004-10-18,36.20,42.75,19.26,728.05,,3.28,11.94,1.73,3.28,128.17,84.83,0.00,
2004-10-19,,,,728.34,,,12.37,1.89,,130.26,84.69,0.10,
2004-10-20,33.81,28.33,21.87,728.51,,3.18,11.45,1.63,3.18,127.73,91.53,0.00,
2004-10-21,28.67,32.51,18.94,728.34,,3.06,11.19,1.64,3.06,113.63,90.26,0.00,542.14
2004-10-22,32.37,26.70,20.89,728.06,,3.43,10.58,1.54,3.43,109.93,93.15,0.00,
2004-10-23,29.71,24.80,16.94,728.93,,3.03,10.03,1.22,3.03,146.56,89.73,0.00,
2004-10-24,20.50,29.44,13.60,728.63,,2.71,11.59,1.50,2.71,173.32,83.28,0.00,
2004-10-25,38.14,21.66,17.69,728.75,,3.45,11.27,1.67,3.45,171.18,86.15,0.10,
2004-10-26,,,,728.55,,,11.19,1.42,,146.07,87.64,0.30,
2004-10-27,41.00,,25.88,728.46,,3.95,10.23,1.27,3.95,124.48,95.38,0.30,
2004-10-28,47.04,17.82,26.16,728.14,,4.11,10.63,1.25,4.11,116.02,92.47,5.10,
2004-10-29,45.30,,24.13,727.70,,4.21,11.02,1.59,4.21,140.16,89.23,0.40,528.00
2004-10-30,39.20,25.18,21.14,727.65,,3.86,11.94,1.44,3.86,167.85,84.05,0.20,432.76
2004-10-31,22.40,29.11,17.13,726.88,,3.15,13.11,1.55,3.15,173.40,81.81,0.00,384.02
2004-11-01,19.08,25.54,14.04,726.62,,3.02,13.96,1.71,3.02,162.81,79.29,0.00,344.35
2004-11-02,19.89,22.97,14.60,726.25,,3.21,12.80,1.32,3.21,159.17,83.59,5.50,258.92
2004-11-03,14.86,22.72,10.92,726.33,,3.20,11.57,1.42,3.20,118.16,92.44,9.10,
2004-11-04,23.29,21.11,18.16,726.72,,3.81,12.10,1.56,3.81,100.20,90.06,0.00,389.54
2004-11-05,32.77,19.70,,726.81,,4.41,12.49,1.36,4.41,160.73,89.81,16.30,
2004-11-06,32.21,18.79,21.99,726.80,,4.02,11.77,1.24,4.02,144.84,91.46,0.50,470.00
2004-11-07,22.49,24.35,15.21,726.74,,3.51,12.44,1.61,3.51,165.96,86.24,0.00,543.33
2004-11-08,,,,,,,,,,,,0.00,577.00
2004-11-09,30.73,18.62,25.18,727.74,,3.14,11.22,1.20,3.14,147.47,93.76,7.40,
2004-11-10,,,,,,,,,,,,0.00,
2004-11-11,,,,,,,,,,,,0.00,323.75
