Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,32.20,,11.82,,,3.18,,,3.18,,,,160.03
2004-09-02,,,,,,,,,,,,,240.63
2004-09-03,31.20,,,,,,,,,,,,402.06
2004-09-04,33.01,,11.79,,,,,,,,,,
2004-09-05,26.83,,11.99,,,,,,,,,,
2004-09-06,32.42,,,,,,,,,,,,
2004-09-07,35.05,,17.16,,,,,,,,,,
2004-09-08,38.36,,12.43,,,,,,,,,,
2004-09-09,,,,,,,,,,,,,
2004-09-10,33.08,,12.62,,,,,,,,,,
2004-09-11,31.75,,21.30,,,,,,,,,,
2004-09-12,21.73,,13.72,,,,,,,,,,
2004-09-13,29.31,,9.29,,,,,,,,,,298.45
2004-09-14,36.05,,24.98,,,,,,,,,,311.34
2004-09-15,,,,,,,,,,,,,339.35
2004-09-16,32.17,,13.00,,,,,,,,,,
2004-09-17,40.37,,16.38,,,,,,,,,,479.05
2004-09-18,40.46,,15.41,,,,,,,,,,
2004-09-19,40.67,,16.28,,,,,,,,,,354.76
2004-09-20,45.30,,17.30,,,,,,,,,,348.67
2004-09-21,43.79,,18.62,,,,,,,,,,557.00
2004-09-22,32.24,,9.42,,,,,,,,,,327.28
2004-09-23,35.04,,9.56,,,,,,,,,,
2004-09-24,,,,,,,,,,,,,202.24
2004-09-25,41.98,,13.91,,,,,,,,,,
2004-09-26,31.78,,9.32,,,,,,,,,,
2004-09-27,33.98,,10.02,,,,,,,,,,
2004-09-28,45.98,,20.66,,,,,,,,,,396.66
2004-09-29,42.86,,19.18,,,,,,,,,,431.00
2004-09-30,,,,,,,,,,,,,446.20
2004-10-01,32.56,,,,,,,,,,,,307.80
2004-10-02,30.09,,14.35,,,,,,,,,,
2004-10-03,27.34,,12.27,,,,,,,,,,358.69
2004-10-04,36.11,,16.71,,,,,,,,,,
2004-10-05,,,,,,,,,,,,,
2004-10-06,,,,,,,,,,,,,
2004-10-07,33.09,,14.02,,,,,,,,,,
2004-10-08,35.75,,14.42,,,,,,,,,,238.64
2004-10-09,39.32,,19.14,,,,,,,,,,131.72
2004-10-10,28.24,,11.07,,,,,,,,,,353.73
2004-10-11,31.87,,14.38,,,,,,,,,,
2004-10-12,,,,,,,,,,,,,391.00
2004-10-13,35.30,,13.91,,,,,,,,,,
2004-10-14,36.53,,18.75,,,,,,,,,,537.68
2004-10-15,37.07,,19.56,,,,,,,,,,187.21
2004-10-16,36.39,,16.00,,,,,,,,,,163.30
2004-10-17,35.19,,14.15,,,,,,,,,,
2004-10-18,52.56,,17.56,,,,,,,,,,
2004-10-19,52.94,,17.82,,,,,,,,,,
2004-10-20,45.03,,14.46,,,,,,,,,,
2004-10-21,,,,,,,,,,,,,
2004-10-22,41.43,,15.39,,,,,,,,,,
2004-10-23,43.99,,14.53,,,,,,,,,,
2004-10-24,28.41,,10.26,,,,,,,,,,
2004-10-25,46.09,,18.33,,,,,,,,,,
2004-10-26,57.87,,22.11,,,,,,,,,,
2004-10-27,53.27,,20.83,,,,,,,,,,
2004-10-28,,,,,,,,,,,,,
2004-10-29,63.68,,19.06,,,,,,,,,,
2004-10-30,58.76,,22.11,,,,,,,,,,505.94
2004-10-31,41.96,,16.53,,,,,,,,,,429.15
2004-11-01,33.07,,11.33,,,,,,,,,,365.00
2004-11-02,35.83,,9.89,,,,,,,,,,259.20
2004-11-03,25.62,,7.42,,,,,,,,,,
2004-11-04,41.38,,14.66,,,,,,,,,,404.92
2004-11-05,55.33,,23.87,,,,,,,,,,
2004-11-06,55.78,,22.65,,,,,,,,,,550.73
2004-11-07,45.61,,16.25,,,,,,,,,,515.95
2004-11-08,48.28,,16.05,,,,,,,,,,506.03
2004-11-09,50.05,,17.49,,,,,,,,,,
2004-11-10,35.37,,13.17,,,,,,,,,,
2004-11-11,39.29,,13.12,,,,,,,,,,461.90
2004-11-12,48.30,,19.90,,,,,,,,,,
2004-11-13,39.43,,18.84,,,,,,,,,,308.00
2004-11-14,33.64,,12.12,,,,,,,,,,467.56
2004-11-15,40.07,,13.24,,,,,,,,,,
2004-11-16,46.64,,16.64,,,,,,,,,,401.85
2004-11-17,46.97,,17.66,,,,,,,,,,588.31
2004-11-18,53.38,,17.78,,,,,,,,,,
2004-11-19,50.81,,22.62,,,,,,,,,,
2004-11-20,46.80,,18.00,,,,,,,,,,338.75
2004-11-21,27.58,,6.41,,,,,,,,,,320.10
2004-11-22,33.40,,8.40,,,,,,,,,,281.65
2004-11-23,36.62,,11.90,,,,,,,,,,312.05
2004-11-24,38.35,,16.23,,,,,,,,,,549.12
2004-11-25,,,,,,,,,,,,,
2004-11-26,60.32,,,,,,,,,,,,
2004-11-27,47.27,,,,,,,,,,,,451.52
2004-11-28,32.62,,13.67,,,,,,,,,,
2004-11-29,38.45,,15.07,,,,,,,,,,551.95
2004-11-30,43.98,,15.70,,,,,,,,,,
2004-12-01,47.52,,,,,,,,,,,,552.02
2004-12-02,,,,,,,,,,,,,468.92
2004-12-03,38.12,,15.87,,,2.73,,,2.73,,,,507.24
2004-12-04,38.77,,16.33,,,2.99,,,2.99,,,,
2004-12-05,29.54,,12.45,,,2.57,,,2.57,,,,
2004-12-06,31.16,,12.45,,,2.66,,,2.66,,,,509.74
2004-12-07,44.02,,19.83,,,3.11,,,3.11,,,,228.26
2004-12-08,42.01,,18.52,,,2.82,,,2.82,,,,398.54
2004-12-09,33.56,,12.58,,,2.68,,,2.68,,,,369.81
2004-12-10,35.31,,13.98,,,2.73,,,2.73,,,,380.21
2004-12-11,35.22,,15.69,,,2.78,,,2.78,,,,477.31
2004-12-12,23.34,,10.19,,,2.48,,,2.48,,,,
2004-12-13,45.31,,21.60,,,3.04,,,3.04,,,,409.99
2004-12-14,,,,,,,,,,,,,
2004-12-15,46.01,,20.12,,,3.52,,,3.52,,,,
2004-12-16,40.10,,14.15,,,3.23,,,3.23,,,,
2004-12-17,42.26,,16.47,,,3.58,,,3.58,,,,
2004-12-18,40.84,,21.23,,,3.53,,,3.53,,,,
2004-12-19,29.91,,12.37,,,3.00,,,3.00,,,,
2004-12-20,,,,,,,,,,,,,567.78
2004-12-21,45.96,,22.43,,,3.64,,,3.64,,,,
2004-12-22,50.50,,25.59,,,3.96,,,3.96,,,,
2004-12-23,46.83,,23.75,,,3.64,,,3.64,,,,521.96
2004-12-24,51.58,,25.77,,,3.92,,,3.92,,,,421.69
2004-12-25,38.08,,22.45,,,3.70,,,3.70,,,,371.03
2004-12-26,31.21,,15.05,,,3.27,,,3.27,,,,381.04
2004-12-27,,,,,,,,,,,,,317.74
2004-12-28,36.04,,15.75,,,1.83,,,1.83,,,,
2004-12-29,38.82,,14.22,,,1.86,,,1.86,,,,249.57
2004-12-30,47.24,,22.53,,,2.14,,,2.14,,,,
2004-12-31,34.48,,21.67,,,2.08,,,2.08,,,,576.34
2005-01-01,33.14,,67.42,,,2.33,,,2.33,,,,393.70
2005-01-02,28.47,,14.53,,,1.77,,,1.77,,,,
2005-01-03,40.95,,23.14,,,2.61,,,2.61,,,,471.96
2005-01-04,,,,,,,,,,,,,619.87
2005-01-05,31.85,,15.76,,,2.17,,,2.17,,,,
2005-01-06,33.41,,15.91,,,2.35,,,2.35,,,,
2005-01-07,29.57,,13.15,,,2.31,,,2.31,,,,467.60
2005-01-08,36.57,,17.51,,,2.73,,,2.73,,,,
2005-01-09,30.68,,13.42,,,2.23,,,2.23,,,,386.68
2005-01-10,,,,,,,,,,,,,332.24
2005-01-11,27.59,,11.70,,,2.34,,,2.34,,,,453.90
2005-01-12,,,,,,,,,,,,,380.97
2005-01-13,37.22,,18.08,,,2.65,,,2.65,,,,
2005-01-14,39.33,,21.92,,,2.79,,,2.79,,,,375.20
2005-01-15,34.21,,12.02,,,2.62,,,2.62,,,,
2005-01-16,25.43,,9.19,,,2.23,,,2.23,,,,
2005-01-17,30.84,,11.43,,,2.51,,,2.51,,,,
2005-01-18,26.87,,10.74,,,2.50,,,2.50,,,,
2005-01-19,,,12.34,,,,,,,,,,380.30
2005-01-20,27.43,,9.70,,,2.52,,,2.52,,,,273.34
2005-01-21,35.85,,17.32,,,2.94,,,2.94,,,,279.69
2005-01-22,34.39,,14.94,,,2.60,,,2.60,,,,
2005-01-23,26.41,,11.15,,,2.49,,,2.49,,,,493.68
2005-01-24,,,,,,,,,,,,,
2005-01-25,44.91,,18.01,,,3.37,,,3.37,,,,
2005-01-26,31.94,,16.86,,,3.07,,,3.07,,,,327.94
2005-01-27,30.34,,13.84,,,2.94,,,2.94,,,,239.64
2005-01-28,33.14,,19.70,,,3.27,,,3.27,,,,424.85
2005-01-29,35.42,,17.82,,,3.20,,,3.20,,,,
2005-01-30,36.77,,14.54,,,3.02,,,3.02,,,,
2005-01-31,31.42,,17.51,,,3.24,,,3.24,,,,
2005-02-01,,,21.53,,,,,,,,,,401.86
2005-02-02,37.26,,17.90,,,2.24,,,2.24,,,,
2005-02-03,38.78,,18.14,,,2.50,,,2.50,,,,
2005-02-04,35.03,,14.40,,,2.44,,,2.44,,,,
2005-02-05,20.83,,6.42,,,2.02,,,2.02,,,,313.11
2005-02-06,24.84,,9.90,,,2.19,,,2.19,,,,404.21
2005-02-07,19.77,,10.47,,,2.01,,,2.01,,,,
2005-02-08,18.83,,13.45,,,2.52,,,2.52,,,,
2005-02-09,31.29,,14.32,,,3.34,,,3.34,,,,
2005-02-10,,,,,,,,,,,,,
2005-02-11,33.85,,11.62,,,4.22,,,4.22,,,,
2005-02-12,39.17,,14.09,,,4.69,,,4.69,,,,
2005-02-13,30.62,,13.88,,,4.15,,,4.15,,,,491.07
2005-02-14,24.79,,12.26,,,3.95,,,3.95,,,,
2005-02-15,29.02,,9.35,,,4.06,,,4.06,,,,
2005-02-16,23.56,,8.53,,,3.93,,,3.93,,,,
2005-02-17,27.11,,12.35,,,,,,,,,,481.03
2005-02-18,,,22.52,,,,,,,,,,432.30
2005-02-19,32.85,,21.41,,,2.56,,,2.56,,,,
2005-02-20,17.88,,8.86,,,2.09,,,2.09,,,,489.83
2005-02-21,31.73,,18.42,,,2.66,,,2.66,,,,
2005-02-22,33.21,,23.76,,,2.56,,,2.56,,,,491.32
2005-02-23,28.76,,34.37,,,2.62,,,2.62,,,,
2005-02-24,29.58,,35.00,,,2.80,,,2.80,,,,537.41
2005-02-25,27.11,,31.28,,,3.86,,,3.86,,,,
2005-02-26,31.03,,32.43,,,4.94,,,4.94,,,,407.28
2005-02-27,20.89,,9.87,,,4.74,,,4.74,,,,
2005-02-28,,,,,,,,,,,,,
2005-03-01,,,,,,,,,,,,,
2005-03-02,,,,,,,,,,,,,
2005-03-03,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,,,,
2005-03-05,,,,,,,,,,,,,
2005-03-06,,,,,,,,,,,,,
2005-03-07,,,,,,,,,,,,,
2005-03-08,,,,,,,,,,,,,
2005-03-09,,,,,,,,,,,,,
2005-03-10,,26.49,,,,2.89,,,2.89,,,,
2005-03-11,,40.06,21.90,,,3.23,,,3.23,,,,
2005-03-12,,34.32,18.74,,,2.72,,,2.72,,,,
2005-03-13,,41.02,14.84,,,2.39,,,2.39,,,,
2005-03-14,,,,,,,,,,,,,
2005-03-15,38.14,37.78,16.83,,,2.98,,,2.98,,,,488.00
2005-03-16,41.16,32.42,13.56,,,3.05,,,3.05,,,,
2005-03-17,57.31,29.00,25.45,,,3.81,,,3.81,,,,
2005-03-18,41.68,38.53,20.01,,,,,,,,,,
2005-03-19,43.31,36.58,15.47,,,2.81,,,2.81,,,,405.39
2005-03-20,44.09,28.69,23.69,,,3.09,,,3.09,,,,
2005-03-21,46.24,37.61,,,,3.01,,,3.01,,,,
2005-03-22,34.90,44.23,21.12,,,2.53,,,2.53,,,,441.94
2005-03-23,32.13,40.49,13.87,,,2.40,,,2.40,,,,
2005-03-24,29.20,30.51,10.35,,,2.50,,,2.50,,,,
2005-03-25,27.96,29.57,12.20,,,2.34,,,2.34,,,,517.72
2005-03-26,25.26,31.86,12.24,,,2.28,,,2.28,,,,
2005-03-27,25.56,39.12,10.44,,,2.23,,,2.23,,,,
2005-03-28,38.56,35.67,17.74,,,2.68,,,2.68,,,,
2005-03-29,38.07,30.88,15.96,,,2.53,,,2.53,,,,
2005-03-30,36.69,33.76,17.66,,,2.63,,,2.63,,,,
2005-03-31,43.51,31.12,,,,3.12,,,3.12,,,,
2005-04-01,,,,,,,,,,,,,463.47
2005-04-02,,39.36,,,,2.67,,,2.67,,,,
2005-04-03,,30.90,,,,2.34,,,2.34,,,,
2005-04-04,,28.39,,,,2.61,,,2.61,,,,
2005-04-05,,25.85,,,,2.77,,,2.77,,,,
2005-04-06,,25.92,,,,2.58,,,2.58,,,,
2005-04-07,,,,,,,,,,,,,
2005-04-08,35.84,31.34,,,,2.90,,,2.90,,,,518.46
2005-04-09,37.48,30.97,,,,2.96,,,2.96,,,,
2005-04-10,30.37,34.29,,,,2.42,,,2.42,,,,
2005-04-11,40.29,34.57,,,,2.67,,,2.67,,,,
2005-04-12,,,,,,,,,,,,,
2005-04-13,27.05,35.63,,,,2.17,,,2.17,,,,
2005-04-14,31.29,29.19,,,,2.46,,,2.46,,,,
2005-04-15,28.21,32.49,,,,2.30,,,2.30,,,,
2005-04-16,24.92,37.43,,,,2.27,,,2.27,,,,
2005-04-17,32.84,30.87,,,,2.68,,,2.68,,,,332.24
2005-04-18,33.18,32.94,,,,2.71,,,2.71,,,,487.40
2005-04-19,38.97,34.81,,,,2.91,,,2.91,,,,
2005-04-20,35.04,36.94,,,,2.63,,,2.63,,,,
2005-04-21,39.25,32.30,,,,2.99,,,2.99,,,,
2005-04-22,,,,,,,,,,,,,235.61
2005-04-23,40.34,38.46,,,,3.09,,,3.09,,,,
2005-04-24,32.13,40.58,,,,2.79,,,2.79,,,,395.52
2005-04-25,33.54,36.20,,,,2.73,,,2.73,,,,
2005-04-26,39.15,43.28,,,,2.90,,,2.90,,,,
2005-04-27,42.40,32.20,,,,3.10,,,3.10,,,,
2005-04-28,,,,,,,,,,,,,
2005-04-29,40.51,34.75,,,,2.72,,,2.72,,,,355.00
2005-04-30,46.00,35.19,,,,2.91,,,2.91,,,,
2005-05-01,29.09,47.61,,,,2.28,,,2.28,,,,293.59
2005-05-02,37.93,34.79,,,,2.69,,,2.69,,,,548.38
2005-05-03,38.04,33.20,,,,2.74,,,2.74,,,,
2005-05-04,38.96,33.06,,,,2.83,,,2.83,,,,451.14
2005-05-05,45.94,28.50,,,,3.09,,,3.09,,,,
2005-05-06,,,,,,,,,,,,,529.37
2005-05-07,29.59,29.70,,,,3.12,,,3.12,,,,534.00
2005-05-08,30.08,32.21,,,,2.88,,,2.88,,,,294.80
2005-05-09,32.88,28.54,,,,2.96,,,2.96,,,,
2005-05-10,26.11,23.91,,,,2.88,,,2.88,,,,328.37
2005-05-11,20.61,24.82,,,,2.69,,,2.69,,,,282.05
2005-05-12,,,,,,,,,,,,,416.06
2005-05-13,32.35,29.00,,,,3.07,,,3.07,,,,
2005-05-14,35.54,25.77,,,,3.11,,,3.11,,,,
2005-05-15,23.17,37.30,,,,2.66,,,2.66,,,,396.50
2005-05-16,33.77,38.57,,,,3.20,,,3.20,,,,
2005-05-17,54.51,33.66,,,,3.95,,,3.95,,,,354.55
2005-05-18,45.65,40.18,,,,3.59,,,3.59,,,,242.82
2005-05-19,,,,,,,,,,,,,538.45
2005-05-20,52.51,43.69,,,,3.19,,,3.19,,,,190.71
2005-05-21,43.15,44.31,,,,2.75,,,2.75,,,,
2005-05-22,36.82,42.98,,,,2.28,,,2.28,,,,
2005-05-23,48.35,36.28,,,,2.72,,,2.72,,,,
2005-05-24,,43.24,,,,2.69,,,2.69,,,,224.00
2005-05-25,42.17,31.12,,,,2.68,,,2.68,,,,
2005-05-26,,,,,,,,,,,,,
2005-05-27,30.04,31.03,,,,2.62,,,2.62,,,,340.97
2005-05-28,31.25,27.80,,,,2.82,,,2.82,,,,287.43
2005-05-29,22.57,30.74,,,,2.34,,,2.34,,,,421.00
2005-05-30,30.43,34.57,,,,2.76,,,2.76,,,,
2005-05-31,28.34,29.31,,,,2.62,,,2.62,,,,
2005-06-01,37.86,26.71,,,,3.00,,,3.00,,,,
2005-06-02,,,,,,,,,,,,,379.00
2005-06-03,,,,,,,,,,,,,246.32
2005-06-04,28.26,25.30,,,,3.15,,,3.15,,,,
2005-06-05,25.43,25.80,,,,2.40,,,2.40,,,,
