Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,,,732.63,,,15.74,1.69,,15.13,51.61,0.00,186.73
2004-09-02,,,,732.04,,,15.32,1.68,,16.47,53.39,0.00,189.87
2004-09-03,,,,732.15,,,15.21,1.51,,16.74,61.37,0.00,354.29
2004-09-04,,,,732.58,,,12.54,1.01,,16.53,80.08,0.00,
2004-09-05,,,,732.45,,,13.40,1.11,,15.11,78.48,0.00,
2004-09-06,,,,732.58,,,12.42,1.02,,15.26,81.29,0.00,
2004-09-07,,,,732.43,,,12.80,1.34,,14.40,79.42,2.00,
2004-09-08,,,,732.45,,,11.25,0.95,,14.43,90.47,10.20,
2004-09-09,,,,732.68,,,11.53,0.93,,13.17,91.02,8.40,
2004-09-10,,,,733.06,,,12.39,0.91,,13.65,81.34,5.30,
2004-09-11,,,,733.12,,,13.30,0.97,,13.12,72.11,0.00,
2004-09-12,,,,733.36,,,13.57,1.28,,13.53,59.56,0.00,
2004-09-13,,,,733.44,,,13.98,1.45,,15.17,62.80,0.00,
2004-09-14,,,,733.82,,,13.00,1.17,,15.39,73.49,5.80,338.57
2004-09-15,,,,733.96,,,13.56,1.03,,15.20,73.93,0.00,229.81
2004-09-16,,,,733.84,,,13.49,1.10,,16.95,67.19,0.00,
2004-09-17,,,,733.93,,,12.60,1.11,,16.18,71.30,0.60,
2004-09-18,,,,734.20,,,13.10,1.03,,14.52,76.80,0.00,
2004-09-19,,,,734.03,,,12.48,0.89,,13.92,79.62,0.00,478.71
2004-09-20,,,,733.67,,,13.51,0.92,,17.23,78.07,0.10,
2004-09-21,,,,733.90,,,13.48,0.92,,20.09,80.92,3.30,442.91
2004-09-22,,,,733.48,,,14.58,1.26,,20.37,69.97,0.00,226.11
2004-09-23,,,,733.64,,,13.39,1.43,,24.99,69.11,0.00,
2004-09-24,,,,733.40,,,13.53,1.41,,27.47,75.23,8.60,208.37
2004-09-25,,,,733.27,,,12.79,0.82,,28.27,86.33,4.90,
2004-09-26,,,,733.14,,,13.31,0.87,,27.26,78.95,0.50,
2004-09-27,,,,733.51,,,13.27,1.00,,26.32,79.33,0.00,
2004-09-28,,,,733.82,,,12.40,0.94,,25.67,84.98,8.50,472.86
2004-09-29,,,,732.94,,,12.50,0.98,,24.65,86.01,0.40,
2004-09-30,,,,732.75,,,13.13,1.03,,24.52,84.97,6.10,404.93
2004-10-01,,,,732.54,,,14.33,0.88,,24.93,75.58,0.00,292.09
2004-10-02,,,,732.65,,,14.39,0.95,,26.09,71.55,0.00,
2004-10-03,,,,732.54,,,13.05,1.07,,26.40,78.93,0.00,373.24
2004-10-04,,,,732.74,,,13.59,1.09,,26.55,83.12,0.00,
2004-10-05,,,,733.19,,,13.25,0.95,,26.97,86.58,4.60,
2004-10-06,,,,733.97,,,12.95,0.86,,27.39,88.18,2.60,
2004-10-07,,,,,,,,,,,,0.00,
2004-10-08,,,,732.93,,,14.17,0.99,,28.13,85.97,1.20,238.82
2004-10-09,,,,732.06,,,15.01,0.93,,28.81,83.53,0.90,
2004-10-10,,,,732.50,,,13.77,0.59,,27.33,84.78,37.60,392.56
2004-10-11,,,,733.21,,,13.01,0.07,,26.62,86.38,2.10,
2004-10-12,,,,,,,,,,,,0.00,435.96
2004-10-13,,,,732.06,,,13.08,,,27.65,87.24,0.50,
2004-10-14,,,,731.60,,,14.07,,,31.42,78.74,0.00,
2004-10-15,,,,732.29,,,14.86,,,35.32,73.99,0.00,189.97
2004-10-16,,,,732.56,,,14.07,,,35.99,75.53,0.00,160.98
2004-10-17,,,,733.12,,,13.05,,,35.64,85.26,4.40,
2004-10-18,,,,733.24,,,13.09,,,35.18,85.40,0.30,
2004-10-19,,,,733.64,,,13.84,,,35.03,82.89,0.10,
2004-10-20,,,,733.58,,,12.92,,,34.49,86.39,0.10,
2004-10-21,,,,733.36,,,12.37,,,33.09,88.04,1.70,467.85
2004-10-22,,,,733.14,,,11.70,,,30.58,88.03,0.00,
2004-10-23,,,,733.96,,,11.57,,,31.76,82.54,0.40,
2004-10-24,,,,733.76,,,12.99,,,31.45,77.60,0.00,409.00
2004-10-25,,,,733.76,,,13.10,,,30.53,80.65,1.80,
2004-10-26,,,,733.75,,,12.60,,,28.94,82.29,0.00,
2004-10-27,,,,733.75,,,11.74,,,29.17,89.16,0.20,
2004-10-28,,,,733.80,,,11.92,,,28.03,87.54,7.50,
2004-10-29,,,,733.50,,,12.57,,,29.60,84.31,0.00,462.31
2004-10-30,,,,733.26,,,13.67,,,29.52,78.83,0.00,416.64
2004-10-31,,,,732.64,,,14.23,,,29.56,81.55,0.60,383.31
2004-11-01,,,,732.31,,,15.11,,,29.83,77.69,0.00,376.63
