Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,,,,,,,,,,,0.00,128.17
2004-09-02,28.71,55.55,10.76,725.87,,2.53,15.04,2.79,2.53,156.48,51.93,0.00,259.38
2004-09-03,,,,,,,,,,,,0.00,417.48
2004-09-04,,,,,,,,,,,,0.00,
2004-09-05,31.89,45.02,13.03,725.93,,2.70,13.33,1.80,2.70,175.68,72.79,0.00,
2004-09-06,52.81,40.67,42.40,726.06,,3.47,13.52,1.83,3.47,183.88,71.33,0.00,541.52
2004-09-07,49.04,35.55,38.50,726.11,,3.39,12.37,1.86,3.39,196.76,70.81,0.10,
2004-09-08,45.37,34.75,14.27,725.73,,2.92,11.14,1.45,2.92,213.92,85.36,0.00,
2004-09-09,49.31,32.36,,725.73,,3.13,11.59,1.43,3.13,172.72,87.49,0.00,
2004-09-10,,,,726.21,,,12.86,2.02,,202.63,69.77,0.10,
2004-09-11,42.39,63.64,27.38,726.34,,2.90,13.69,2.28,2.90,201.11,59.56,0.00,
2004-09-12,30.65,62.50,18.60,726.71,,2.71,13.68,2.42,2.71,172.45,56.32,0.00,
2004-09-13,33.57,68.35,10.38,726.88,,3.02,13.70,2.70,3.02,193.40,60.37,0.00,287.23
2004-09-14,,,,,,,,,,,,0.00,322.71
2004-09-15,,,,727.13,,,13.30,1.54,,185.88,70.95,0.10,338.67
2004-09-16,43.37,46.07,17.76,727.11,,2.91,14.01,2.00,2.91,158.80,57.16,0.00,
2004-09-17,53.85,47.72,,727.14,,3.33,12.99,1.88,3.33,208.18,65.46,0.00,
2004-09-18,51.76,,21.41,727.40,,3.50,13.12,1.62,3.50,169.22,72.54,0.00,
2004-09-19,52.60,,21.33,727.20,,3.35,12.31,1.58,3.35,175.17,76.42,0.00,352.29
2004-09-20,60.82,,25.03,726.91,,3.45,13.39,1.58,3.45,193.01,69.52,0.00,320.00
2004-09-21,57.94,46.64,24.46,727.12,,3.70,13.63,1.27,3.70,172.57,72.26,0.00,557.00
2004-09-22,,,11.51,726.85,,,15.10,2.28,,166.21,56.52,0.00,290.37
2004-09-23,40.80,71.92,12.17,726.97,,2.75,14.08,2.45,2.75,203.58,60.21,0.00,
2004-09-24,47.40,66.84,,726.57,,2.86,13.82,2.11,2.86,205.33,67.02,0.00,173.59
2004-09-25,64.62,47.10,,726.34,,3.57,13.17,1.63,3.57,177.53,76.52,0.00,
2004-09-26,47.39,59.97,14.93,726.28,,3.42,12.94,1.79,3.42,188.11,70.64,0.00,
2004-09-27,45.42,67.60,13.18,726.54,,2.86,13.84,1.91,2.86,167.25,66.61,0.00,
