Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2005-03-20,34.91,,,,,,,,,,,,
2005-03-21,31.92,,,,,,,,,,,,293.15
2005-03-22,36.53,,,,,,,,,,,,
2005-03-23,,,,,,,,,,,,,
2005-03-24,,30.96,,,,,,,,,,,531.12
2005-03-25,,38.29,,,,,,,,,,,403.39
2005-03-26,,47.20,,,,,,,,,,,392.31
2005-03-27,,48.31,,,,,,,,,,,
2005-03-28,,56.28,,,,,,,,,,,
2005-03-29,,,,,,,,,,,,,
2005-03-30,,55.65,,,,,,,,,,,
2005-03-31,,,,,,,,,,,,,
2005-04-01,,64.02,,,,,,,,,,,419.98
2005-04-02,,68.74,,,,,,,,,,,
2005-04-03,,51.24,,,,,,,,,,,
2005-04-04,,39.46,,,,,,,,,,,
2005-04-05,,,,,,,,,,,,,
2005-04-06,,27.91,,,,,,,,,,,
2005-04-07,,36.57,,,,,,,,,,,
2005-04-08,,36.60,,,,,,,,,,,556.47
2005-04-09,,42.31,,,,,,,,,,,
2005-04-10,,40.07,,,,,,,,,,,
2005-04-11,,43.59,,,,,,,,,,,
2005-04-12,,,,,,,,,,,,,
2005-04-13,,39.79,,,,,,,,,,,
2005-04-14,,,,,,,,,,,,,
2005-04-15,6.60,40.94,,,,,,,,,,,
2005-04-16,11.41,40.00,,,,,,,,,,,488.00
2005-04-17,8.05,39.15,,,,,,,,,,,362.21
2005-04-18,,37.73,,,,,,,,,,,
2005-04-19,,,,,,,,,,,,,
2005-04-20,18.11,38.13,,,,,,,1.88,,,,
2005-04-21,20.12,38.87,,,,,,,1.89,,,,
2005-04-22,19.10,47.29,,,,,,,1.91,,,,245.95
2005-04-23,20.30,47.81,,,,,,,1.92,,,,
2005-04-24,20.05,45.08,,,,,,,1.92,,,,496.60
2005-04-25,16.53,40.11,,,,,,,1.81,,,,
2005-04-26,,,,,,,,,,,,,525.00
2005-04-27,21.31,43.74,,,,,,,2.13,,,,
2005-04-28,25.65,41.97,,,,,,,2.16,,,,
2005-04-29,24.87,43.82,,,,,,,2.19,,,,
2005-04-30,13.30,48.31,,,,,,,2.10,,,,
2005-05-01,14.97,51.67,,,,,,,2.19,,,,235.19
2005-05-02,16.41,41.69,,,,,,,2.17,,,,542.36
2005-05-03,21.02,44.95,,,,,,,2.31,,,,
2005-05-04,23.93,46.08,,,,,,,2.38,,,,481.03
2005-05-05,27.20,34.83,,,,,,,2.49,,,,
2005-05-06,14.54,40.64,,,,,,,2.35,,,,464.43
2005-05-07,15.79,37.24,,,,,,,2.46,,,,
2005-05-08,,,,,,,,,,,,,393.02
2005-05-09,,,,,,,,,,,,,
2005-05-10,,,,,,,,,,,,,561.00
2005-05-11,,,,,,,,,,,,,308.55
2005-05-12,,,,,,,,,,,,,
2005-05-13,,,,,,,,,,,,,
2005-05-14,15.35,30.40,,,,,,,2.01,,,,
2005-05-15,13.43,42.49,,,,,,,1.93,,,,431.96
2005-05-16,13.23,36.93,,,,,,,1.91,,,,
2005-05-17,,,,,,,,,,,,,290.67
