Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-01-01,57.96,63.25,55.38,726.09,,,21.39,4.15,3.49,265.34,80.36,0.0,
2004-01-02,35.72,45.23,131.11,725.53,,,21.45,3.9,2.89,250.62,73.31,0.0,366.0
2004-01-03,33.03,46.59,45.47,725.31,,,19.06,3.15,2.52,301.06,84.46,0.0,322.0
2004-01-04,24.24,67.97,36.5,725.81,,,19.02,2.93,1.54,253.0,94.3,0.0,
2004-01-05,41.75,83.86,29.71,726.18,,,17.55,3.27,2.82,259.17,96.49,5.2,
2004-01-06,49.23,98.81,51.28,727.12,,,18.2,3.82,3.33,320.16,97.97,7.399999999999999,
2004-01-07,52.76,44.35,21.41,727.74,,3.21,15.87,3.76,3.32,299.52,95.71,5.9,
2004-01-08,48.64,78.91,32.9,727.58,,4.17,17.77,2.65,4.17,269.38,100.0,11.5,
2004-01-09,44.85,99.33,10.71,727.81,,3.59,18.18,3.6,3.59,298.33,99.53,6.1,
2004-01-10,44.67,71.84,39.34,727.14,,3.3,19.16,4.14,3.3,255.97,96.63,0.0,
2004-01-11,26.12,95.74,55.95,728.63,,1.79,19.45,3.69,1.79,304.86,95.79,0.0,
2004-01-12,36.0,90.64,131.11,728.91,,3.74,19.81,3.04,3.74,271.98,94.28,0.0,
2004-01-13,68.18,111.34,39.26,728.65,,5.05,20.71,2.9,5.05,246.35,92.79,0.0,
2004-01-14,51.7,146.8,45.74,728.21,,3.22,20.4,4.38,3.22,271.39,89.06,0.0,204.0
2004-01-15,80.91,69.54,32.27,728.34,,5.09,18.54,6.02,5.09,278.16,89.96,0.0,
2004-01-16,64.07,44.15,37.32,728.57,,2.8,18.09,5.6,2.8,303.19,87.68,0.1,
2004-01-17,123.73,60.58,40.66,728.9,,4.87,18.05,5.89,4.87,274.24,85.48,0.0,
2004-01-18,71.9,114.32,21.46,727.95,,4.5,18.88,4.64,4.5,276.73,82.12,0.0,525.0
2004-01-19,83.2,114.68,55.34,727.45,,7.12,19.58,4.96,7.12,279.7,81.19,0.0,145.0
2004-01-20,58.85,106.51,106.31,727.56,,4.38,19.29,4.73,4.38,275.43,88.58,0.0,
2004-01-21,50.48,49.01,40.04,728.89,,2.35,14.06,4.21,2.35,258.58,92.64,0.0,
2004-01-22,47.59,73.37,52.21,728.79,,3.02,15.22,5.28,3.02,282.31,98.8,0.0,
2004-01-23,65.48,72.25,43.86,728.27,,4.15,17.18,5.36,4.15,281.83,92.9,0.0,150.0
2004-01-24,56.07,90.34,52.77,727.6,,2.6,19.37,4.86,2.6,272.93,91.27,0.0,
2004-01-25,46.39,93.06,55.67,727.37,,2.47,19.91,4.67,2.47,261.31,91.1,0.0,
2004-01-26,63.75,119.57,49.53,728.33,,4.46,19.82,4.58,4.46,258.58,88.24,0.0,131.0
2004-01-27,77.32,117.43,55.76,729.02,,4.47,19.59,5.2,4.47,281.36,88.48,0.0,
2004-01-28,65.28,73.98,21.49,728.49,,3.87,19.54,5.39,3.87,293.94,90.63,0.5,105.0
2004-01-29,94.3,71.03,46.3,727.36,,5.18,20.72,3.79,5.18,311.38,89.89,0.0,
2004-01-30,132.21,76.01,40.62,726.52,,5.53,20.18,4.92,5.53,285.51,92.23,0.0,155.0
2004-01-31,77.89,92.57,48.61,726.91,,5.02,20.11,4.77,5.02,296.43,87.36,0.0,
2004-02-01,70.54,106.33,45.43,727.14,,3.14,20.26,4.34,3.14,291.33,92.25,0.0,467.0
2004-02-02,94.37,97.08,78.56,727.12,,5.48,21.96,4.67,5.48,283.14,90.14,0.1,
2004-02-03,99.07,60.96,57.42,726.9,,3.93,18.69,3.49,3.93,300.82,92.8,0.0,
2004-02-04,89.85,73.54,40.72,727.13,,3.14,16.16,3.13,3.14,269.85,92.08,0.0,
2004-02-05,96.61,77.89,77.09,726.86,,4.76,20.86,5.29,4.76,263.8,91.67,0.0,
2004-02-06,101.08,58.4,70.39,726.7,,5.98,19.02,3.85,5.98,283.97,94.68,0.0,382.0
2004-02-07,44.11,78.27,31.83,727.32,,2.14,17.56,3.42,2.14,277.92,95.24,0.0,
2004-02-08,49.12,65.21,61.23,727.58,,1.56,16.78,3.18,1.56,245.76,95.62,0.0,
2004-02-09,88.64,55.2,70.76,727.24,,2.7,16.71,3.33,2.7,218.47,92.58,0.0,
2004-02-10,90.08,80.78,49.86,726.75,,5.1,19.08,3.29,5.1,253.47,86.64,0.0,
2004-02-11,71.77,48.48,44.97,727.02,,4.25,20.49,3.77,4.25,263.92,88.35,0.0,
2004-02-12,59.38,67.7,33.72,728.36,,3.6,17.62,2.8,3.6,253.95,92.58,0.0,
2004-02-13,61.15,58.59,83.41,728.67,,2.71,19.33,3.89,2.71,251.34,96.13,0.0,
2004-02-14,110.08,63.87,62.13,728.33,,4.69,18.93,3.16,4.69,256.08,91.96,0.0,
2004-02-15,51.84,64.24,32.16,727.96,,1.74,17.94,3.23,1.74,262.37,91.81,0.0,
2004-02-16,63.03,78.68,25.47,728.45,,3.5,18.44,3.98,3.5,271.75,93.12,0.0,
2004-02-17,60.48,92.53,23.38,728.93,,4.47,20.29,4.74,4.47,275.07,93.17,0.0,472.0
2004-02-18,71.31,90.75,140.29,728.89,,4.81,18.25,4.33,4.81,268.42,92.29,0.0,
2004-02-19,77.12,72.44,74.86,729.07,,2.73,16.62,5.28,2.73,273.76,94.21,0.0,
2004-02-20,82.93,71.31,46.77,728.6,,3.75,18.25,4.75,3.75,291.68,92.62,0.0,
2004-02-21,60.35,72.57,30.06,729.06,,2.64,18.37,4.38,2.64,287.41,91.95,0.0,
2004-02-22,48.52,56.8,38.31,729.3,,1.47,17.49,3.12,1.47,276.61,97.21,0.0,
2004-02-23,78.16,61.16,60.74,728.83,,2.04,17.21,3.04,2.04,305.09,99.67,0.0,
2004-02-24,74.59,64.96,38.86,728.23,,2.7,18.42,3.14,2.7,260.0,98.82,0.0,250.0
2004-02-25,123.72,53.69,48.81,728.4,,6.03,16.98,4.39,6.03,281.95,91.55,0.1,
2004-02-26,74.61,65.24,53.76,728.4,,5.59,20.75,3.81,5.59,252.76,91.63,0.0,143.0
2004-02-27,63.56,58.28,54.93,728.27,,3.77,16.81,3.13,3.77,251.22,89.31,0.0,
2004-02-28,103.48,63.1,40.3,727.61,,6.46,18.13,3.26,6.46,240.54,89.16,0.0,
2004-02-29,55.63,51.42,47.14,726.69,,2.92,21.21,4.47,2.92,295.48,95.55,0.0,
2004-03-01,91.67,42.18,81.05,727.31,,3.57,19.85,3.86,3.57,302.6,87.98,0.0,
2004-03-02,64.13,19.23,43.58,726.94,,3.58,18.83,2.71,3.58,211.35,90.75,0.0,
2004-03-03,46.57,35.42,61.54,726.68,,4.36,19.22,4.43,4.36,290.14,73.67,0.1,
2004-03-04,94.31,45.13,76.85,727.18,,4.03,17.43,3.24,4.03,268.19,90.29,0.0,
2004-03-05,49.13,43.24,85.68,729.01,,3.75,18.08,3.31,3.75,279.46,90.46,0.0,
2004-03-06,44.06,59.02,52.64,728.37,,3.44,18.48,3.74,3.44,327.52,97.39,0.0,
2004-03-07,24.77,58.19,33.18,728.06,,2.0,16.7,2.93,2.0,281.71,97.4,0.0,
2004-03-08,65.44,65.86,31.27,727.43,,3.37,20.06,2.99,3.37,263.32,97.76,0.1,
2004-03-09,,77.69,23.72,727.18,,8.4,18.95,3.96,8.4,252.88,96.77,0.2,
2004-03-10,59.52,79.68,51.32,727.27,,5.77,18.41,3.8,5.77,255.01,92.06,0.0,
2004-03-11,96.1,76.58,62.98,727.5,,5.11,19.85,4.22,5.11,263.92,84.86,0.0,
2004-03-12,137.99,72.1,72.19,725.86,,5.75,20.48,4.08,5.75,271.63,80.64,0.0,
2004-03-13,50.81,87.23,75.49,725.85,,3.05,21.0,4.5,3.05,285.87,92.72,0.0,
2004-03-14,42.23,82.65,45.39,726.51,,1.71,19.72,4.15,1.71,279.81,66.64,0.0,
2004-03-15,85.99,93.89,40.01,726.69,,4.43,19.16,3.73,4.43,238.52,77.45,0.0,
2004-03-16,111.53,95.34,41.58,726.12,,6.22,20.13,3.83,6.22,327.4,78.09,0.0,
2004-03-17,61.47,91.8,24.32,725.84,,4.63,21.27,3.47,4.63,287.06,77.42,0.0,
2004-03-18,89.75,99.87,101.75,726.03,,6.63,21.53,3.17,6.63,295.24,87.35,0.0,268.0
2004-03-19,,104.76,56.73,725.87,,5.67,20.37,3.39,5.67,253.0,88.31,0.0,
2004-03-20,,88.36,40.09,726.21,,5.64,20.97,4.1,5.64,242.55,92.64,0.0,364.0
2004-03-21,,74.95,62.11,726.65,,2.53,19.32,4.14,2.53,274.6,97.83,0.0,
2004-03-22,,90.94,62.15,726.15,,3.51,20.34,3.26,3.51,288.83,96.86,0.0,404.0
2004-03-23,,72.13,39.11,726.17,,6.68,21.01,3.84,6.68,256.91,90.47,0.0,
2004-03-24,50.7,54.84,39.25,726.71,,4.57,22.09,3.43,4.57,278.04,86.68,0.2,
2004-03-25,59.21,57.73,124.2,727.46,,2.65,19.68,3.55,2.65,300.82,94.13,0.0,
2004-03-26,74.74,104.43,107.86,727.61,,5.48,18.65,4.93,5.48,311.38,97.45,0.0,
2004-03-27,59.27,91.63,40.93,727.35,,2.91,17.92,4.31,2.91,318.74,99.97,0.0,
2004-03-28,54.26,68.76,39.87,728.09,,2.28,15.36,3.7,2.28,293.34,96.9,0.0,
2004-03-29,59.29,58.14,47.49,728.82,,4.58,16.78,4.69,4.58,280.29,93.8,0.0,
2004-03-30,71.38,124.87,30.81,728.51,,5.6,20.96,4.7,5.6,297.97,91.33,0.0,
2004-03-31,72.74,84.85,36.48,728.1,,4.03,22.51,4.04,4.03,286.58,91.02,0.0,
2004-04-01,46.93,83.77,50.82,728.63,,1.99,20.57,4.7,1.99,275.31,92.91,0.0,
2004-04-02,63.43,81.83,50.71,728.62,,2.96,18.08,3.49,2.96,294.29,94.47,0.0,
2004-04-03,65.76,59.95,35.7,728.59,,3.05,16.51,2.67,3.05,264.03,96.33,0.0,
2004-04-04,54.7,62.49,35.61,728.26,,3.26,19.36,3.02,3.26,297.02,95.46,0.0,
2004-04-05,50.14,53.17,32.9,728.14,,3.09,19.7,3.94,3.09,292.51,91.11,0.0,
2004-04-06,70.16,70.3,55.33,728.21,,5.1,19.77,3.74,5.1,247.35,76.94,0.0,100.0
2004-04-07,78.15,45.51,40.49,726.44,,5.29,22.27,4.28,5.29,266.88,74.3,0.0,
2004-04-08,81.28,50.27,37.2,727.79,,3.84,19.31,3.66,3.84,249.56,90.53,0.0,
2004-04-09,107.81,54.45,38.4,728.16,822.84,3.72,18.44,2.96,3.72,243.39,91.1,0.0,
2004-04-10,47.38,45.61,24.41,728.04,858.6,2.73,19.15,2.87,2.73,279.11,92.87,0.0,
2004-04-11,56.84,84.04,38.28,727.59,786.49,2.9,18.55,4.29,2.9,256.8,92.52,0.0,
2004-04-12,102.68,96.39,70.67,727.22,552.16,4.72,18.89,2.4,4.72,296.43,92.95,0.0,
2004-04-13,76.56,75.11,39.56,729.01,824.24,5.18,19.83,2.99,5.18,268.78,97.4,0.0,
2004-04-14,84.38,53.74,27.32,729.02,771.61,5.14,16.27,4.91,5.14,267.71,99.01,0.0,
2004-04-15,76.1,61.69,45.45,728.91,525.39,4.35,15.48,3.97,4.35,341.64,97.99,0.0,
2004-04-16,73.0,58.26,28.99,728.78,818.8,6.11,16.66,4.48,6.11,282.07,96.9,0.1,335.0
2004-04-17,88.45,95.72,24.21,728.26,885.87,6.9,20.4,4.38,6.9,320.04,96.38,0.0,
2004-04-18,57.47,69.16,46.72,728.35,918.9,3.01,18.92,3.29,3.01,223.57,95.81,0.0,111.0
2004-04-19,113.83,69.76,64.39,727.31,598.36,6.93,20.51,2.75,6.93,304.86,95.52,0.0,
2004-04-20,51.96,73.71,49.48,727.11,891.21,2.27,21.49,3.18,2.27,260.36,93.2,0.1,
2004-04-21,54.8,64.82,54.65,727.76,642.05,2.79,19.32,3.73,2.79,247.3,96.43,0.0,
2004-04-22,73.33,37.75,47.34,729.01,670.41,3.19,14.29,2.69,3.19,280.05,98.56,0.0,
2004-04-23,80.92,39.55,62.82,729.02,567.22,6.67,16.73,3.3,6.67,310.43,97.97,0.1,
2004-04-24,97.05,72.17,25.21,728.49,534.88,6.28,15.99,2.84,6.28,259.88,97.94,0.0,
2004-04-25,75.96,112.36,67.73,727.96,778.74,6.33,19.15,3.08,6.33,263.56,97.57,0.1,
