Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2017-03-24,,,764.93,194.37,14.53,1.61,88.98,89.22,3.30,
2017-03-25,,,764.37,234.65,15.83,1.45,189.41,81.41,13.60,323.65
2017-03-26,,,764.92,158.27,14.32,0.97,112.22,86.33,4.50,
2017-03-27,,,764.40,240.78,15.62,1.37,145.23,82.69,0.20,
2017-03-28,,,764.11,220.91,15.87,1.36,139.42,82.29,0.00,
2017-03-29,,10.83,763.82,205.23,15.45,1.63,86.85,86.93,0.50,
2017-03-30,,7.43,763.94,178.91,14.51,1.72,34.35,92.36,2.00,
2017-03-31,,7.22,764.85,98.75,13.28,1.06,90.15,92.24,12.00,
2017-04-01,,12.72,765.04,163.58,15.18,0.77,134.36,78.52,2.60,
2017-04-02,,9.98,764.20,200.61,15.33,0.94,123.48,72.74,0.00,
2017-04-03,,15.38,763.25,240.76,15.60,1.04,119.66,79.18,0.00,
2017-04-04,,18.01,763.15,310.99,16.03,1.28,130.64,72.87,0.00,
2017-04-05,,,763.44,278.41,16.42,1.34,151.14,73.08,0.00,
2017-04-06,,,763.81,251.11,16.50,1.39,160.78,70.99,0.00,
2017-04-07,,,763.83,249.01,16.22,1.42,185.47,79.76,0.50,
2017-04-08,,,763.66,166.02,14.69,1.66,42.63,94.17,4.50,
2017-04-09,,,763.88,167.54,14.31,1.58,79.51,92.25,3.10,
2017-04-10,,,763.65,251.30,15.39,1.24,157.50,84.77,0.80,230.15
2017-04-11,,,763.34,192.68,15.45,1.19,70.03,88.32,9.90,501.79
2017-04-12,,,763.14,253.42,16.15,1.01,149.76,81.46,2.70,500.97
2017-04-13,,,762.61,304.89,16.77,1.12,109.22,79.74,0.00,461.60
2017-04-14,,,763.10,230.53,15.89,1.18,147.07,83.86,1.70,507.68
2017-04-15,,,762.93,221.54,17.47,0.95,171.76,75.32,0.50,264.08
2017-04-16,,,,,,,,,0.00,399.33
2017-04-17,,,,,,,,,0.00,300.48
2017-04-18,,,764.29,227.59,15.73,1.51,99.08,86.52,1.30,
2017-04-19,,,764.88,146.45,14.71,1.54,97.70,88.44,1.80,
2017-04-20,,,765.39,212.04,14.55,1.48,127.20,86.92,4.10,
2017-04-21,,,764.68,265.96,16.53,1.21,210.17,77.22,0.30,345.32
2017-04-22,,,763.85,258.70,16.67,1.19,146.97,78.51,0.00,548.73
2017-04-23,,,763.67,297.03,17.11,1.28,137.87,74.99,0.00,306.29
2017-04-24,,,763.67,247.32,16.38,1.27,120.95,79.65,2.00,
2017-04-25,,,763.93,259.82,16.20,1.74,167.84,81.95,0.00,386.52
2017-04-26,,,764.06,182.04,15.05,1.38,83.78,87.75,16.40,
2017-04-27,,,763.66,304.42,16.78,1.35,148.73,78.41,0.00,260.03
2017-04-28,,,763.36,280.57,17.38,1.12,105.16,69.08,0.00,482.00
2017-04-29,,,764.03,255.14,15.99,1.74,134.00,80.19,0.00,
2017-04-30,,,764.68,196.42,14.69,1.85,101.77,89.24,4.10,
2017-05-01,,,764.85,204.16,14.99,1.60,39.49,89.80,3.10,
2017-05-02,,,,,,,,,0.00,
2017-05-03,,9.65,763.84,265.47,16.69,1.49,121.10,79.79,3.50,239.95
2017-05-04,,8.13,763.64,273.11,16.40,1.67,116.29,79.64,6.50,561.00
2017-05-05,,14.69,763.90,216.48,14.44,1.61,71.92,91.70,2.80,588.00
2017-05-06,,14.95,764.72,198.67,14.73,1.63,90.75,86.99,0.60,
2017-05-07,,5.00,764.63,212.75,14.70,1.61,50.66,89.21,4.60,
2017-05-08,,5.33,764.32,132.90,13.85,1.70,53.87,93.46,2.00,
2017-05-09,,5.78,764.24,194.49,14.74,1.76,63.95,90.90,0.80,
2017-05-10,,4.97,765.44,104.44,13.57,1.48,70.40,95.41,11.10,
2017-05-11,,7.02,765.89,167.49,14.31,1.52,85.34,89.60,3.50,
2017-05-12,,11.07,765.61,189.05,14.52,1.51,120.30,88.14,3.60,188.58
2017-05-13,,6.59,765.71,232.67,15.41,1.30,110.79,84.68,1.80,
2017-05-14,,19.70,765.89,118.88,14.84,0.88,141.10,84.58,0.80,
2017-05-15,,12.75,766.04,153.32,15.26,0.88,121.54,85.02,12.50,
2017-05-16,,16.30,765.39,196.68,15.40,0.98,140.03,83.03,2.10,
2017-05-17,,16.54,764.58,262.82,15.37,,,84.73,0.50,199.65
2017-05-18,,10.45,763.60,211.39,15.92,1.09,138.19,81.41,1.00,159.97
2017-05-19,,,,,,,,,0.00,233.54
2017-05-20,,,762.67,198.20,15.95,1.44,163.02,81.60,0.00,468.61
2017-05-21,,,764.29,216.47,15.22,1.75,105.00,84.22,0.00,373.59
2017-05-22,,,764.87,225.19,15.31,1.27,126.34,85.79,7.00,
2017-05-23,,14.30,764.30,187.27,16.18,0.90,128.90,77.43,0.00,351.40
2017-05-24,,13.97,763.62,247.21,16.03,1.40,139.82,69.49,0.00,318.08
2017-05-25,,11.08,763.50,210.79,16.66,,,70.57,0.00,
2017-05-26,,7.57,765.11,242.83,15.29,1.70,108.78,85.25,0.00,
2017-05-27,,10.90,765.33,213.15,15.42,1.36,155.33,79.37,0.00,
2017-05-28,,9.76,764.41,287.70,16.25,1.35,132.10,70.70,0.00,179.59
2017-05-29,,13.60,765.52,185.21,14.56,1.36,105.40,76.42,0.00,379.00
2017-05-30,,,765.01,256.58,15.59,1.22,155.45,73.35,0.00,214.73
2017-05-31,,,764.83,233.66,15.76,1.46,120.61,80.74,0.00,478.41
2017-06-01,,18.51,764.27,250.40,16.77,1.26,113.57,76.29,0.00,233.98
2017-06-02,,,763.56,301.21,16.60,1.33,137.78,73.81,0.00,198.93
2017-06-03,,15.59,763.49,172.51,16.63,1.10,94.70,77.25,0.00,587.00
2017-06-04,,7.38,762.79,216.38,16.70,1.15,96.97,70.40,0.00,402.71
2017-06-05,,13.50,762.86,253.06,16.78,1.16,91.96,66.07,0.00,327.94
2017-06-06,,,763.97,280.28,15.84,1.30,166.19,61.35,0.00,140.43
2017-06-07,,,764.76,260.67,15.44,1.95,204.29,76.69,1.10,
2017-06-08,,,765.59,226.07,15.17,1.53,152.84,82.83,6.70,307.45
2017-06-09,,,765.29,202.66,15.23,1.34,69.41,86.87,0.80,
2017-06-10,,,764.84,203.62,16.14,1.30,86.80,82.82,0.30,224.46
2017-06-11,,,764.94,186.87,15.39,1.52,150.31,83.07,0.10,
2017-06-12,,,764.76,215.39,15.44,1.59,147.81,82.17,2.80,284.03
2017-06-13,,,764.79,89.70,14.11,0.75,146.84,83.90,14.70,
2017-06-14,,,764.79,166.43,14.31,1.12,119.92,85.26,0.00,
2017-06-15,,,764.95,177.02,15.42,0.90,107.09,76.32,0.00,
2017-06-16,,,764.64,211.43,14.74,1.41,146.24,78.83,0.00,470.02
2017-06-17,,,764.41,272.62,14.96,1.51,174.84,82.73,7.40,362.71
2017-06-18,,,763.90,209.55,15.09,1.59,104.24,86.43,0.10,298.33
2017-06-19,,,763.33,274.63,16.24,1.49,133.99,79.87,0.00,319.46
2017-06-20,,,764.21,121.33,14.40,0.94,96.28,87.36,5.80,
2017-06-21,,,763.78,150.26,15.21,0.98,124.67,83.71,0.30,
2017-06-22,,,763.81,249.46,15.36,1.27,113.80,79.85,0.00,236.57
2017-06-23,,,763.35,252.71,15.45,1.37,169.34,78.05,0.00,
2017-06-24,,,763.85,254.63,15.81,1.24,172.93,77.06,0.00,243.98
2017-06-25,,,764.39,170.33,14.72,1.43,148.63,82.83,0.00,
2017-06-26,,,764.21,233.04,15.47,1.62,177.39,79.72,0.00,172.14
2017-06-27,,12.92,764.37,200.60,15.36,1.56,122.93,80.84,0.70,333.10
2017-06-28,,,764.23,166.95,14.99,1.22,126.38,82.88,0.10,
