Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,18.32,49.82,,723.97,,2.85,13.86,3.67,2.85,175.98,57.75,0.0,2.8033308397968426
2004-09-02,18.73,48.31,,722.9,,2.91,13.96,3.4,2.91,174.86,58.03,0.0,1.233668764170891
2004-09-03,,,,722.97,,,14.1,2.82,,177.83,63.64,0.0,0.519770786604009
2004-09-04,30.84,25.88,19.57,723.29,,2.84,12.68,1.95,2.84,143.95,75.72,0.0,0.0
2004-09-05,22.3,33.02,16.46,723.46,,2.49,12.26,1.56,2.49,153.66,81.91,0.0,0.0
2004-09-06,,,,,,,,,,,,0.0,0.0
2004-09-07,33.85,25.08,26.0,723.4,,3.09,11.08,1.64,3.09,120.19,84.7,7.4,0.0
2004-09-08,,,,723.64,,,9.87,1.52,,101.63,93.53,0.0,0.0
2004-09-09,32.35,22.1,21.74,723.88,,3.35,10.18,1.39,3.35,111.43,93.69,17.9,0.0
2004-09-10,32.3,34.7,20.41,723.24,,3.14,11.65,1.77,3.14,192.46,79.16,5.3,0.0
2004-09-11,20.16,71.22,21.8,723.74,,2.64,12.82,2.61,2.64,217.45,65.36,0.0,0.0
2004-09-12,15.64,62.22,16.49,724.0,,2.59,12.9,2.85,2.59,177.05,60.8,0.0,0.0
2004-09-13,27.7,,12.01,723.93,,3.24,12.94,3.19,3.24,200.63,64.74,0.0,0.1909130280719713
2004-09-14,32.49,63.71,27.23,724.6,,3.59,12.04,2.39,3.59,219.92,73.77,18.9,4.48161419220932
2004-09-15,,,,,,,,,,,,0.0,3.667384148982243
2004-09-16,23.73,46.39,14.78,727.97,,2.97,13.07,2.35,2.97,195.82,62.23,0.0,0.0
2004-09-17,,,,727.71,,,12.29,2.2,,189.45,67.99,0.0,0.4001818969250757
2004-09-18,33.34,35.62,16.99,727.06,,3.18,12.07,1.57,3.18,161.66,79.49,0.0,0.0
2004-09-19,34.51,32.42,15.15,726.66,,3.18,11.31,1.18,3.18,175.8,84.67,0.0,0.2748754872239064
2004-09-20,46.23,38.58,,726.37,,3.72,12.46,1.53,3.72,181.81,76.91,0.4,0.3122095677314386
2004-09-21,39.07,31.6,20.52,726.79,,3.62,12.4,1.37,3.62,171.64,80.96,0.1,0.0065789991731957
2004-09-22,26.72,57.47,11.19,726.76,,2.98,14.02,3.06,2.98,179.62,61.49,0.0,1.5848653818391798
2004-09-23,29.85,54.16,11.46,726.9,,3.23,12.92,2.77,3.23,178.81,67.6,0.0,0.0
2004-09-24,28.18,59.03,,726.66,,3.19,13.3,2.44,3.19,197.78,69.08,13.1,3.4599768239439084
2004-09-25,33.38,37.92,16.61,726.55,,3.5,11.75,1.54,3.5,212.37,84.57,2.7,0.0
2004-09-26,26.96,47.59,12.33,726.34,,3.28,12.11,1.82,3.28,209.26,77.08,2.9,0.0
2004-09-27,30.19,54.28,14.76,726.52,,3.59,13.04,2.37,3.59,151.7,70.5,0.0,0.0
2004-09-28,,,,726.63,,,11.73,1.41,,166.9,84.88,5.7,2.6988921611087044
2004-09-29,,,23.26,725.81,,3.98,10.9,1.53,3.98,166.27,89.8,0.0,0.4182770698943112
2004-09-30,,,19.19,725.58,,,12.08,1.53,,150.82,86.23,17.2,1.39889263899882
2004-10-01,25.2,29.72,,725.23,,5.24,13.28,1.7,5.24,197.93,76.46,0.1,3.284001732351668
2004-10-02,19.65,32.15,13.04,725.31,,4.88,13.7,1.7,4.88,184.79,71.55,0.0,0.0
2004-10-03,19.2,30.61,13.36,725.09,,4.82,12.29,1.66,4.82,145.93,80.47,0.0,0.3956792713295798
2004-10-04,,,,725.25,,,12.49,1.57,,104.0,86.84,0.0,0.0
2004-10-05,29.79,32.53,19.58,725.88,,2.93,12.08,1.41,2.93,169.45,87.83,0.0,0.0
2004-10-06,,,,,,,,,,,,0.0,0.0
2004-10-07,30.41,33.17,21.2,727.28,,3.31,11.26,1.37,3.31,109.77,92.74,0.0,0.0
2004-10-08,36.76,37.93,19.66,726.37,,3.66,12.62,1.31,3.66,145.94,87.75,0.0,0.9095495885664786
2004-10-09,30.21,36.37,22.07,725.43,,3.04,13.22,1.24,3.04,153.08,88.62,0.0,0.1992856538383038
2004-10-10,24.05,34.07,13.71,725.85,,2.73,12.79,1.23,2.73,182.04,85.62,0.0,0.6588657125303412
2004-10-11,,31.67,19.73,728.24,,3.23,12.26,1.51,3.23,144.72,87.6,0.0,0.0
2004-10-12,,34.72,17.31,727.91,,3.1,11.97,1.79,3.1,111.95,90.03,0.0,0.085015673657943
2004-10-13,,,,727.22,,,11.7,1.6,,116.97,89.55,0.1,0.0
2004-10-14,32.32,32.9,24.54,726.7,,3.39,13.18,1.61,3.39,172.84,80.14,0.0,0.1248695814795858
2004-10-15,31.2,36.76,19.73,727.13,,3.4,14.24,1.54,3.4,190.32,74.69,0.0,1.3031899331119772
2004-10-16,25.08,37.76,18.31,727.37,,2.97,13.13,1.61,2.97,155.41,77.94,0.0,1.677616572830951
2004-10-17,24.75,38.79,18.08,727.99,,2.97,12.21,1.64,2.97,124.63,85.25,0.0,0.0
2004-10-18,36.2,42.75,19.26,728.05,,3.28,11.94,1.73,3.28,128.17,84.83,0.0,0.0
2004-10-19,,,,728.34,,,12.37,1.89,,130.26,84.69,0.1,0.0
2004-10-20,33.81,28.33,21.87,728.51,,3.18,11.45,1.63,3.18,127.73,91.53,0.0,0.0
2004-10-21,28.67,32.51,18.94,728.34,,3.06,11.19,1.64,3.06,113.63,90.26,0.0,0.1393118714210095
2004-10-22,32.37,26.7,20.89,728.06,,3.43,10.58,1.54,3.43,109.93,93.15,0.0,0.0
2004-10-23,29.71,24.8,16.94,728.93,,3.03,10.03,1.22,3.03,146.56,89.73,0.0,0.0
2004-10-24,20.5,29.44,13.6,728.63,,2.71,11.59,1.5,2.71,173.32,83.28,0.0,0.0
2004-10-25,38.14,21.66,17.69,728.75,,3.45,11.27,1.67,3.45,171.18,86.15,0.1,0.0
2004-10-26,,,,728.55,,,11.19,1.42,,146.07,87.64,0.3,0.0
2004-10-27,41.0,,25.88,728.46,,3.95,10.23,1.27,3.95,124.48,95.38,0.3,0.0
2004-10-28,47.04,17.82,26.16,728.14,,4.11,10.63,1.25,4.11,116.02,92.47,5.1,0.0
2004-10-29,45.3,,24.13,727.7,,4.21,11.02,1.59,4.21,140.16,89.23,0.4,0.0093334865345011
2004-10-30,39.2,25.18,21.14,727.65,,3.86,11.94,1.44,3.86,167.85,84.05,0.2,3.295137685866899
2004-10-31,22.4,29.11,17.13,726.88,,3.15,13.11,1.55,3.15,173.4,81.81,0.0,0.8914681680381116
2004-11-01,19.08,25.54,14.04,726.62,,3.02,13.96,1.71,3.02,162.81,79.29,0.0,0.5430638126610408
2004-11-02,19.89,22.97,14.6,726.25,,3.21,12.8,1.32,3.21,159.17,83.59,5.5,1.2277600516170084
2004-11-03,14.86,22.72,10.92,726.33,,3.2,11.57,1.42,3.2,118.16,92.44,9.1,0.0
2004-11-04,23.29,21.11,18.16,726.72,,3.81,12.1,1.56,3.81,100.2,90.06,0.0,0.1873123099659333
2004-11-05,32.77,19.7,,726.81,,4.41,12.49,1.36,4.41,160.73,89.81,16.3,0.0
2004-11-06,32.21,18.79,21.99,726.8,,4.02,11.77,1.24,4.02,144.84,91.46,0.5,0.0141239692065652
2004-11-07,22.49,24.35,15.21,726.74,,3.51,12.44,1.61,3.51,165.96,86.24,0.0,1.1872344055540245
2004-11-08,,,,,,,,,,,,0.0,0.000757247660669
2004-11-09,30.73,18.62,25.18,727.74,,3.14,11.22,1.2,3.14,147.47,93.76,7.4,0.0
