Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,,,724.42,,,15.53,3.4,,149.8,49.96,0.0,2.3740843717017697
2004-09-02,,,,723.98,,,16.01,3.38,,139.95,48.25,0.0,1.7709363246251544
2004-09-03,,,,724.37,,,16.35,2.81,,137.93,51.08,0.0,0.4401646679098012
2004-09-04,,,,724.43,,,14.53,2.08,,212.76,63.67,0.0,0.0
2004-09-05,,,,724.22,,,14.29,1.6,,242.78,67.7,0.0,0.0
2004-09-06,,,,723.96,,,13.41,1.6,,268.99,73.42,0.0,0.0
2004-09-07,,,,723.69,,,12.72,1.9,,268.97,73.31,2.5,0.0
2004-09-08,,,,723.7,,,12.01,0.98,,197.58,81.82,6.4,0.0
2004-09-09,,,,723.98,,,12.54,1.2,,198.49,83.65,0.0,0.0
2004-09-10,,,,724.51,,,13.79,2.07,,182.25,66.09,3.6,0.0
2004-09-11,,,,724.52,,,14.35,2.65,,207.87,56.9,0.1,0.3098235666745258
2004-09-12,,,,724.8,,,14.6,3.06,,180.6,52.59,0.0,0.0
2004-09-13,,,,724.91,,,14.49,3.56,,176.81,57.41,0.0,0.0
2004-09-14,,,,,,,,,,,,0.0,2.729270948104217
2004-09-15,,,,724.42,,,14.0,1.67,,210.85,67.82,0.3,3.999753075723447
2004-09-16,,,,724.4,,,15.05,2.39,,167.72,53.06,0.0,0.0
2004-09-17,,,,724.39,,,13.96,2.46,,209.18,62.41,5.2,0.0
2004-09-18,,,,724.7,,,13.82,1.61,,203.28,69.95,0.4,0.0
2004-09-19,,,,724.46,,,12.81,1.28,,237.79,75.07,0.1,1.8734458932594007
2004-09-20,,,,724.24,,,13.93,1.73,,225.79,68.52,10.4,0.3013202077489029
2004-09-21,,,,724.65,,,14.3,1.48,,212.65,69.74,1.5,0.0
2004-09-22,,,,724.76,,,15.9,2.86,,158.04,52.71,0.1,4.818757942008896
2004-09-23,,,,724.69,,,14.61,3.31,,170.24,57.46,0.0,0.0
2004-09-24,,,,724.4,,,14.61,2.54,,186.83,65.07,10.4,4.358245093126396
2004-09-25,,,,724.11,,,13.91,1.48,,199.69,74.6,4.6,0.0
2004-09-26,,,,723.92,,,13.37,1.72,,179.88,70.83,10.3,0.0
2004-09-27,,,,724.31,,,14.74,2.27,,181.07,63.54,0.0,0.0
2004-09-28,,,,724.51,,,13.2,1.54,,204.14,74.18,2.8,1.6321339455900197
2004-09-29,,,,723.58,,,12.87,1.22,,222.27,79.74,4.1,0.0511556572943361
2004-09-30,,,,723.55,,,14.03,1.53,,195.38,78.06,14.7,1.757033532705143
2004-10-01,,,,723.55,,,15.68,1.95,,129.57,64.96,0.0,3.265598827470685
2004-10-02,,,,723.82,,,15.62,1.82,,170.54,65.66,0.0,0.0
2004-10-03,,,,723.48,,,14.04,1.96,,215.81,72.28,0.0,1.4674138472535092
2004-10-04,,,,723.65,,,13.98,1.71,,206.06,77.56,2.1,0.0
2004-10-05,,,,724.35,,,14.69,1.59,,211.47,75.43,0.6,0.0
2004-10-06,,,,724.99,,,14.11,1.23,,241.2,79.09,3.9,0.0
2004-10-07,,,,725.42,,,13.9,1.43,,220.57,80.61,13.3,0.093849187062309
2004-10-08,,,,724.62,,,15.24,1.8,,212.33,75.65,0.0,2.0290043196276955
2004-10-09,,,,723.69,,,15.9,1.65,,190.93,75.26,0.0,0.3836423496794317
2004-10-10,,,,724.08,,,15.58,1.55,,230.71,71.87,0.0,3.4455451878478187
2004-10-11,,,,724.68,,,14.79,1.52,,198.9,75.07,0.3,0.0
2004-10-12,,,,724.46,,,14.3,1.85,,210.57,78.72,6.9,1.8356251701859048
2004-10-13,,,,723.55,,,14.13,1.62,,211.83,79.31,0.2,0.0
2004-10-14,,,,723.05,,,14.79,1.73,,204.75,72.02,0.0,0.0
2004-10-15,,,,723.71,,,16.1,1.91,,197.88,67.09,0.0,0.9892017559059666
2004-10-16,,,,723.86,,,15.06,1.96,,237.84,70.54,0.0,1.6026083482546836
2004-10-17,,,,724.35,,,14.16,1.79,,231.25,73.16,0.3,0.0
2004-10-18,,,,724.53,,,13.63,1.65,,206.86,76.72,7.9,0.0
2004-10-19,,,,724.9,,,13.77,1.88,,209.45,77.82,0.7,0.0
2004-10-20,,,,724.86,,,14.02,1.75,,262.33,76.13,0.0,0.0
2004-10-21,,,,,,,,,,,,0.0,0.923756233273648
2004-10-22,,,,724.47,,,12.98,1.65,,223.63,75.75,0.4,0.0
2004-10-23,,,,725.21,,,12.16,1.38,,211.13,75.55,0.3,0.0
2004-10-24,,,,725.08,,,13.57,1.57,,222.18,71.63,0.0,0.663337301198647
2004-10-25,,,,725.14,,,13.64,1.51,,175.13,73.46,4.4,0.0
2004-10-26,,,,725.05,,,13.33,1.34,,187.1,76.08,0.0,0.0
2004-10-27,,,,724.93,,,12.85,1.32,,150.32,80.78,0.0,0.0
2004-10-28,,,,724.96,,,12.94,1.36,,199.23,81.02,1.3,0.0
2004-10-29,,,,724.54,,,12.96,1.65,,206.6,79.39,5.4,2.940747456494296
2004-10-30,,,,724.43,,,13.57,1.71,,189.89,74.5,0.1,4.797424171865072
2004-10-31,,,,723.85,,,14.89,1.68,,197.86,71.05,0.0,1.6309962903893156
2004-11-01,,,,723.6,,,15.63,1.94,,205.7,67.77,0.0,2.715511990464339
2004-11-02,,,,723.09,,,14.89,1.9,,244.67,72.19,0.7,3.674749981434266
2004-11-03,,,,723.11,,,14.27,1.41,,214.23,81.16,13.8,0.0
2004-11-04,,,,723.45,,,14.58,1.28,,213.98,78.17,0.3,0.0
2004-11-05,,,,723.62,,,14.61,1.26,,207.62,78.78,7.6,0.0
2004-11-06,,,,723.64,,,13.49,1.13,,185.78,83.38,6.3,0.9998085961121582
2004-11-07,,,,,,,,,,,,0.0,0.0
2004-11-08,,,,724.29,,,14.34,1.5,,206.31,79.1,0.5,0.0551976181849687
2004-11-09,,,,724.5,,,13.99,1.44,,219.03,81.43,0.5,0.0
2004-11-10,,,,724.58,,,13.54,1.35,,219.38,85.67,5.2,0.0
2004-11-11,,,,723.7,,,13.6,1.49,,222.69,77.12,18.4,2.713130218297682
2004-11-12,,,,722.84,,,12.86,1.82,,237.98,73.41,0.0,0.0
2004-11-13,,,,723.46,,,13.79,1.74,,223.66,75.89,0.0,1.1828897301426204
2004-11-14,,,,724.49,,,13.84,1.88,,231.63,71.64,0.0,0.0808365232641788
2004-11-15,,,,724.52,,,14.59,1.7,,208.12,67.95,0.0,0.0
2004-11-16,,,,724.41,,,13.83,1.89,,219.59,72.92,0.0,2.1733011977337053
2004-11-17,,,,724.5,,,13.88,1.77,,208.74,71.57,0.0,3.363811831711676
2004-11-18,,,,724.83,,,13.27,1.78,,218.29,72.67,3.6,0.0
2004-11-19,,,,724.48,,,13.1,1.35,,203.31,77.12,6.0,0.0
2004-11-20,,,,724.13,,,13.95,1.33,,211.01,79.19,24.4,2.1032467050240653
2004-11-21,,,,723.88,,,15.62,2.14,,163.38,59.68,0.0,0.7471725004332006
2004-11-22,,,,723.55,,,15.73,2.04,,148.11,58.12,0.0,0.1428792449227135
2004-11-23,,,,723.26,,,14.94,2.06,,216.64,67.76,0.3,1.1744126414027645
