Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,32.2,,11.82,,,3.18,,,3.18,,,,2.377761413843888
2004-09-02,,,,,,,,,,,,,0.9908296854217732
2004-09-03,31.2,,,,,,,,,,,,0.2157481241457962
2004-09-04,33.01,,11.79,,,,,,,,,,0.0
2004-09-05,26.83,,11.99,,,,,,,,,,0.0
2004-09-06,32.42,,,,,,,,,,,,0.0
2004-09-07,35.05,,17.16,,,,,,,,,,0.0
2004-09-08,38.36,,12.43,,,,,,,,,,0.0
2004-09-09,,,,,,,,,,,,,0.0
2004-09-10,33.08,,12.62,,,,,,,,,,0.0
2004-09-11,31.75,,21.3,,,,,,,,,,0.0
2004-09-12,21.73,,13.72,,,,,,,,,,0.0
2004-09-13,29.31,,9.29,,,,,,,,,,0.2982799492805557
2004-09-14,36.05,,24.98,,,,,,,,,,5.536160933932022
2004-09-15,,,,,,,,,,,,,5.50401108897167
2004-09-16,32.17,,13.0,,,,,,,,,,0.0
2004-09-17,40.37,,16.38,,,,,,,,,,0.4242397990123884
2004-09-18,40.46,,15.41,,,,,,,,,,0.0
2004-09-19,40.67,,16.28,,,,,,,,,,2.1805748072424844
2004-09-20,45.3,,17.3,,,,,,,,,,0.3122636627791267
2004-09-21,43.79,,18.62,,,,,,,,,,0.18643727406614
2004-09-22,32.24,,9.42,,,,,,,,,,1.460762655577695
2004-09-23,35.04,,9.56,,,,,,,,,,0.0
2004-09-24,,,,,,,,,,,,,3.435979685828078
2004-09-25,41.98,,13.91,,,,,,,,,,0.0
2004-09-26,31.78,,9.32,,,,,,,,,,0.0
2004-09-27,33.98,,10.02,,,,,,,,,,0.0
2004-09-28,45.98,,20.66,,,,,,,,,,2.0281200727713764
2004-09-29,42.86,,19.18,,,,,,,,,,0.5410782869848971
2004-09-30,,,,,,,,,,,,,1.1290048902604053
2004-10-01,32.56,,,,,,,,,,,,3.2363308209881896
2004-10-02,30.09,,14.35,,,,,,,,,,0.0
2004-10-03,27.34,,12.27,,,,,,,,,,0.573408938317595
2004-10-04,36.11,,16.71,,,,,,,,,,0.0
2004-10-05,,,,,,,,,,,,,0.0
2004-10-06,,,,,,,,,,,,,0.0
2004-10-07,33.09,,14.02,,,,,,,,,,0.0
2004-10-08,35.75,,14.42,,,,,,,,,,0.4658930582542295
2004-10-09,39.32,,19.14,,,,,,,,,,0.0041971996761733
2004-10-10,28.24,,11.07,,,,,,,,,,0.8232987273067941
2004-10-11,31.87,,14.38,,,,,,,,,,0.0
2004-10-12,,,,,,,,,,,,,0.0038309138088224
2004-10-13,35.3,,13.91,,,,,,,,,,0.0
2004-10-14,36.53,,18.75,,,,,,,,,,0.149799563686768
2004-10-15,37.07,,19.56,,,,,,,,,,1.6689547296581866
2004-10-16,36.39,,16.0,,,,,,,,,,1.7181124683550395
2004-10-17,35.19,,14.15,,,,,,,,,,0.0
2004-10-18,52.56,,17.56,,,,,,,,,,0.0
2004-10-19,52.94,,17.82,,,,,,,,,,0.0
2004-10-20,45.03,,14.46,,,,,,,,,,0.0
2004-10-21,,,,,,,,,,,,,0.0
2004-10-22,41.43,,15.39,,,,,,,,,,0.0
2004-10-23,43.99,,14.53,,,,,,,,,,0.0
2004-10-24,28.41,,10.26,,,,,,,,,,0.0
2004-10-25,46.09,,18.33,,,,,,,,,,0.0
2004-10-26,57.87,,22.11,,,,,,,,,,0.0
2004-10-27,53.27,,20.83,,,,,,,,,,0.0
2004-10-28,,,,,,,,,,,,,0.0
2004-10-29,63.68,,19.06,,,,,,,,,,0.0
2004-10-30,58.76,,22.11,,,,,,,,,,4.924386442721419
2004-10-31,41.96,,16.53,,,,,,,,,,0.7708740344444109
2004-11-01,33.07,,11.33,,,,,,,,,,0.0111791045690378
2004-11-02,35.83,,9.89,,,,,,,,,,1.396114263083731
2004-11-03,25.62,,7.42,,,,,,,,,,0.0
2004-11-04,41.38,,14.66,,,,,,,,,,0.3952745940548607
2004-11-05,55.33,,23.87,,,,,,,,,,0.0
2004-11-06,55.78,,22.65,,,,,,,,,,0.0219083215023859
2004-11-07,45.61,,16.25,,,,,,,,,,2.1087186514718352
2004-11-08,48.28,,16.05,,,,,,,,,,0.0199268085866023
2004-11-09,50.05,,17.49,,,,,,,,,,0.0
2004-11-10,35.37,,13.17,,,,,,,,,,0.0
2004-11-11,39.29,,13.12,,,,,,,,,,0.9454789279482044
2004-11-12,48.3,,19.9,,,,,,,,,,0.0
