Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,,,732.63,,,15.74,1.69,,15.13,51.61,0.0,2.7423966822840784
2004-09-02,,,,732.04,,,15.32,1.68,,16.47,53.39,0.0,2.2113558199373298
2004-09-03,,,,732.15,,,15.21,1.51,,16.74,61.37,0.0,0.4861896666515839
2004-09-04,,,,732.58,,,12.54,1.01,,16.53,80.08,0.0,0.0
2004-09-05,,,,732.45,,,13.4,1.11,,15.11,78.48,0.0,0.0
2004-09-06,,,,732.58,,,12.42,1.02,,15.26,81.29,0.0,0.0
2004-09-07,,,,732.43,,,12.8,1.34,,14.4,79.42,2.0,0.0
2004-09-08,,,,732.45,,,11.25,0.95,,14.43,90.47,10.2,0.0
2004-09-09,,,,732.68,,,11.53,0.93,,13.17,91.02,8.4,0.0
2004-09-10,,,,733.06,,,12.39,0.91,,13.65,81.34,5.3,0.0
2004-09-11,,,,733.12,,,13.3,0.97,,13.12,72.11,0.0,0.0
2004-09-12,,,,733.36,,,13.57,1.28,,13.53,59.56,0.0,0.0
2004-09-13,,,,733.44,,,13.98,1.45,,15.17,62.8,0.0,0.0
2004-09-14,,,,733.82,,,13.0,1.17,,15.39,73.49,5.8,1.8624994892831173
2004-09-15,,,,733.96,,,13.56,1.03,,15.2,73.93,0.0,3.588042442615851
2004-09-16,,,,733.84,,,13.49,1.1,,16.95,67.19,0.0,0.0
2004-09-17,,,,733.93,,,12.6,1.11,,16.18,71.3,0.6,0.0
2004-09-18,,,,734.2,,,13.1,1.03,,14.52,76.8,0.0,0.0
2004-09-19,,,,734.03,,,12.48,0.89,,13.92,79.62,0.0,1.96959073191858
2004-09-20,,,,733.67,,,13.51,0.92,,17.23,78.07,0.1,0.0
2004-09-21,,,,733.9,,,13.48,0.92,,20.09,80.92,3.3,0.5818457419583447
2004-09-22,,,,733.48,,,14.58,1.26,,20.37,69.97,0.0,2.7631442182763104
2004-09-23,,,,733.64,,,13.39,1.43,,24.99,69.11,0.0,0.0
2004-09-24,,,,733.4,,,13.53,1.41,,27.47,75.23,8.6,3.7096531785141575
2004-09-25,,,,733.27,,,12.79,0.82,,28.27,86.33,4.9,0.0
2004-09-26,,,,733.14,,,13.31,0.87,,27.26,78.95,0.5,0.0
2004-09-27,,,,733.51,,,13.27,1.0,,26.32,79.33,0.0,0.0
2004-09-28,,,,733.82,,,12.4,0.94,,25.67,84.98,8.5,0.5250757903854482
2004-09-29,,,,732.94,,,12.5,0.98,,24.65,86.01,0.4,0.0
2004-09-30,,,,732.75,,,13.13,1.03,,24.52,84.97,6.1,1.1260054360000595
2004-10-01,,,,732.54,,,14.33,0.88,,24.93,75.58,0.0,2.1562061498484177
2004-10-02,,,,732.65,,,14.39,0.95,,26.09,71.55,0.0,0.0
2004-10-03,,,,732.54,,,13.05,1.07,,26.4,78.93,0.0,0.6822007633174534
2004-10-04,,,,732.74,,,13.59,1.09,,26.55,83.12,0.0,0.0
2004-10-05,,,,733.19,,,13.25,0.95,,26.97,86.58,4.6,0.0
2004-10-06,,,,733.97,,,12.95,0.86,,27.39,88.18,2.6,0.0
2004-10-07,,,,,,,,,,,,0.0,0.0
2004-10-08,,,,732.93,,,14.17,0.99,,28.13,85.97,1.2,1.5455428035224483
2004-10-09,,,,732.06,,,15.01,0.93,,28.81,83.53,0.9,0.0
2004-10-10,,,,732.5,,,13.77,0.59,,27.33,84.78,37.6,1.962453795562359
2004-10-11,,,,733.21,,,13.01,0.07,,26.62,86.38,2.1,0.0
2004-10-12,,,,,,,,,,,,0.0,0.6837571407948194
2004-10-13,,,,732.06,,,13.08,,,27.65,87.24,0.5,0.0
2004-10-14,,,,731.6,,,14.07,,,31.42,78.74,0.0,0.0
2004-10-15,,,,732.29,,,14.86,,,35.32,73.99,0.0,0.8507930320966267
2004-10-16,,,,732.56,,,14.07,,,35.99,75.53,0.0,1.5380395553630726
2004-10-17,,,,733.12,,,13.05,,,35.64,85.26,4.4,0.0
2004-10-18,,,,733.24,,,13.09,,,35.18,85.4,0.3,0.0
2004-10-19,,,,733.64,,,13.84,,,35.03,82.89,0.1,0.0
2004-10-20,,,,733.58,,,12.92,,,34.49,86.39,0.1,0.0
2004-10-21,,,,733.36,,,12.37,,,33.09,88.04,1.7,0.6209128530869543
2004-10-22,,,,733.14,,,11.7,,,30.58,88.03,0.0,0.0
2004-10-23,,,,733.96,,,11.57,,,31.76,82.54,0.4,0.0
2004-10-24,,,,733.76,,,12.99,,,31.45,77.6,0.0,0.0069312896604967
2004-10-25,,,,733.76,,,13.1,,,30.53,80.65,1.8,0.0
2004-10-26,,,,733.75,,,12.6,,,28.94,82.29,0.0,0.0
2004-10-27,,,,733.75,,,11.74,,,29.17,89.16,0.2,0.0
2004-10-28,,,,733.8,,,11.92,,,28.03,87.54,7.5,0.0
2004-10-29,,,,733.5,,,12.57,,,29.6,84.31,0.0,1.6528283292528791
2004-10-30,,,,733.26,,,13.67,,,29.52,78.83,0.0,2.9355808791684703
2004-10-31,,,,732.64,,,14.23,,,29.56,81.55,0.6,0.6811412308535367
2004-11-01,,,,732.31,,,15.11,,,29.83,77.69,0.0,1.089407719464021
2004-11-02,,,,731.97,,,13.9,,,28.77,80.39,0.0,2.643642446151263
2004-11-03,,,,731.94,,,13.29,,,27.84,88.9,3.7,0.0
2004-11-04,,,,732.63,,,13.87,,,26.92,84.52,0.0,0.0
2004-11-05,,,,,,,,,,,,0.0,0.0
2004-11-06,,,,732.32,,,13.29,,,25.52,87.03,0.8,0.6498815637125356
2004-11-07,,,,732.51,,,14.17,,,25.39,81.48,0.2,0.0
2004-11-08,,,,733.04,,,13.13,,,25.01,89.25,31.9,0.3456850882143216
2004-11-09,,,,,,,,,,,,0.0,0.0
2004-11-10,,,,733.4,,,12.89,,,3.89,90.09,0.0,0.0
2004-11-11,,,,732.5,,,13.3,,,18.7,79.86,5.0,1.7398100600136115
2004-11-12,,,,731.99,,,12.78,,,26.52,78.39,0.0,0.0
2004-11-13,,,,732.58,,,13.13,,,27.39,83.43,0.0,1.5965706507808834
2004-11-14,,,,733.55,,,13.0,,,31.22,77.76,0.0,0.2134007900573513
2004-11-15,,,,733.51,,,13.48,,,,75.81,0.1,0.0
2004-11-16,,,,733.47,,,13.24,,,,79.07,0.0,0.9973590386323172
2004-11-17,,,,733.57,,,13.12,,,,79.14,0.0,3.150729906251777
2004-11-18,,,,,,,,,,,,0.0,0.0
2004-11-19,,,,733.23,,,12.34,,,,85.77,1.0,0.0
2004-11-20,,,,732.77,,,13.19,,,,86.58,3.9,1.292003782890376
2004-11-21,,,,732.44,,,14.67,,,,72.04,0.1,1.5553447379818095
2004-11-22,,,,732.12,,,14.11,,,,69.8,0.0,0.3517544479896765
2004-11-23,,,,731.95,,,13.61,,,,77.7,0.0,0.3292128736476938
2004-11-24,,,,732.65,,,13.97,,,,83.25,1.0,0.1290431381812932
2004-11-25,,,,733.76,,,11.96,,,,91.04,24.5,0.0
2004-11-26,,,,733.14,,,12.09,,,,91.41,5.4,0.0
2004-11-27,,,,732.24,,,13.32,,,,86.31,0.0,2.675956991718297
2004-11-28,,,,732.02,,,13.08,,,,89.1,0.0,0.0
2004-11-29,,,,732.04,,,13.41,,,,86.06,0.0,1.4819950327467493
2004-11-30,,,,732.19,,,13.81,,,,85.89,0.9,0.0
2004-12-01,,,,732.52,,,13.21,,,,89.26,2.6,0.7044599216906338
2004-12-02,,,,731.87,,,13.65,,,,86.16,1.0,0.4066752409324951
2004-12-03,,,,731.11,,,14.0,,,,84.99,0.3,0.5606244340328357
2004-12-04,,,,731.53,,,13.96,,,,83.26,0.0,0.0
2004-12-05,,,,732.32,,,13.19,,,,87.8,0.0,0.0
2004-12-06,,,,732.55,,,13.37,,,,78.46,0.0,0.0778745105664613
2004-12-07,,,,732.66,,,12.58,,,,79.03,6.8,2.1900004330879166
2004-12-08,,,,732.84,,,13.84,,,,84.75,0.0,1.730913638733969
2004-12-09,,,,732.54,,,13.86,,,,84.06,0.0,1.7785324006631928
2004-12-10,,,,732.13,,,13.9,,,,85.44,0.0,0.5546311972037394
2004-12-11,,,,732.65,,,13.62,,,,86.55,1.3,0.9859630903032496
2004-12-12,,,,733.5,,,13.03,,,,85.48,7.1,0.0
2004-12-13,,,,733.35,,,,,,,84.35,0.1,1.3149539070717065
2004-12-14,,,,733.01,,,,,,,86.05,3.4,0.0
2004-12-15,,,,732.98,,,12.34,,,,93.12,4.3,0.0
2004-12-16,,,,732.99,,,12.57,,,,89.93,7.9,0.0
2004-12-17,,,,,,,,,,,,0.0,0.0
2004-12-18,,,,732.54,,,13.98,,,,83.82,0.0,0.7273033496506859
2004-12-19,,,,732.53,,,14.1,,,,86.83,0.1,0.0
2004-12-20,,,,732.96,,,14.42,,,,81.98,0.1,1.2323609478438406
2004-12-21,,,,732.87,,,13.47,,,,87.21,0.1,0.0
2004-12-22,,,,732.16,,,13.94,,,,83.19,0.1,0.0
2004-12-23,,,,,,,,,,,,0.0,0.0186860112602858
2004-12-24,,,,732.33,,,13.37,,,,82.63,0.0,3.052054488710692
2004-12-25,,,,732.61,,,12.38,,,,78.37,0.0,0.8214763485876523
2004-12-26,,,,733.34,,,12.57,,,,75.94,0.0,3.005436347012788
2004-12-27,,,,733.57,,,12.26,,,,75.27,0.2,0.2130678810626839
2004-12-28,,,,733.13,,,11.51,,,,73.52,0.0,0.0
2004-12-29,,,,732.77,,,11.91,,,,71.61,0.0,1.8631954817440173
2004-12-30,,,,732.07,,,12.22,,,,75.11,0.0,0.0
2004-12-31,,,,732.37,,,13.58,,,,76.27,0.0,1.2878284618308131
2005-01-01,,,,732.99,,,13.33,,,,78.15,0.0,3.016416219361218
2005-01-02,,,,732.96,,,13.02,,,,77.61,0.0,0.0
2005-01-03,,,,732.48,,,13.03,,,,79.05,0.0,0.0
2005-01-04,,,,732.16,,,13.02,,,,85.93,0.0,0.0
2005-01-05,,,,,,,,,,,,0.0,0.0
2005-01-06,,,,730.69,,,13.34,,,,87.15,0.2,0.0
2005-01-07,,,,731.56,,,14.09,,,,73.97,0.0,0.368154338391918
2005-01-08,,,,732.29,,,12.92,,,,73.64,0.0,0.0
2005-01-09,,,,731.93,,,14.14,,,,78.92,0.0,0.05363749657507
2005-01-10,,,,731.81,,,13.9,,,,83.39,0.2,1.311348215809021
2005-01-11,,,,732.06,,,14.17,,,,84.76,1.4,0.3180742023964197
2005-01-12,,,,732.22,,,14.64,,,,82.15,0.2,2.1433233752574217
2005-01-13,,,,732.81,,,14.33,,,,79.05,0.0,0.0
2005-01-14,,,,733.43,,,14.56,,,,76.71,0.1,3.602388321414612
2005-01-15,,,,733.9,,,12.66,,,,80.46,0.3,0.0
2005-01-16,,,,733.23,,,13.64,,,,80.88,0.0,0.7947670730693682
2005-01-17,,,,733.27,,,12.41,,,,89.98,4.6,0.0
2005-01-18,,,,732.86,,,12.82,,,,89.81,5.2,0.0
2005-01-19,,,,732.84,,,13.01,,,,84.84,0.0,0.696493300261165
2005-01-20,,,,733.55,,,12.13,,,,82.51,2.7,1.5527671693111276
2005-01-21,,,,733.55,,,12.58,,,,74.49,0.0,4.003096578605455
2005-01-22,,,,734.05,,,13.03,,,,82.39,0.0,0.0
2005-01-23,,,,734.1,,,13.2,,,,74.54,0.0,1.3040171113919798
2005-01-24,,,,734.25,,,12.68,,,,81.79,2.6,0.0
2005-01-25,,,,733.13,,,12.47,,,,85.14,0.2,0.0
2005-01-26,,,,732.21,,,13.78,,,,72.64,0.0,0.0015866766408126
2005-01-27,,,,732.1,,,13.43,,,,73.56,0.0,2.2234234943632964
2005-01-28,,,,731.93,,,13.88,,,,79.51,0.0,0.956638619068242
2005-01-29,,,,731.68,,,13.89,,,,80.58,0.0,0.0
2005-01-30,,,,731.17,,,12.62,,,,88.85,0.8,0.0
2005-01-31,,,,730.57,,,14.19,,,,81.69,0.2,0.0
2005-02-01,,,,,,,,,,,,0.0,2.655017914091105
2005-02-02,,,,731.14,,,13.64,,,,86.61,0.9,0.0
2005-02-03,,,,731.64,,,14.17,,,,84.97,0.0,0.0
2005-02-04,,,,731.73,,,14.17,,,,80.45,0.0,0.0
2005-02-05,,,,730.98,,,15.99,,,,65.26,0.0,0.3900901610299618
2005-02-06,,,,731.48,,,14.52,,,,80.63,0.0,0.4818098655659751
2005-02-07,,,,731.77,,,13.88,,,,81.87,0.0,0.0
2005-02-08,,,,731.81,,,13.24,,,,88.48,3.5,0.0
2005-02-09,,,,731.33,,,14.16,,,,85.96,0.0,0.0
2005-02-10,,,,731.81,,,14.22,,,,88.12,8.6,0.0
2005-02-11,,,,733.23,,,12.68,,,,92.24,26.4,0.0
2005-02-12,,,,733.62,,,11.52,,,,98.14,18.8,0.0
2005-02-13,,,,732.79,,,13.92,,,,84.92,0.0,2.5900481925490446
2005-02-14,,,,732.84,,,13.9,,,,86.43,0.0,0.0
2005-02-15,,,,732.43,,,12.18,,,,92.53,9.6,0.0
2005-02-16,,,,732.38,,,11.72,,,,93.3,4.8,0.0
2005-02-17,,,,731.86,,,13.16,,,,89.37,2.8,0.4551078198544634
2005-02-18,,,,731.47,,,14.23,,,,79.96,0.0,1.163072644799526
2005-02-19,,,,732.45,,,14.13,,,,85.75,0.0,0.0
2005-02-20,,,,732.94,,,14.4,,,,85.51,0.6,0.5423308512273153
2005-02-21,,,,,,,,,,,,0.0,0.0
2005-02-22,,,,,,,,,,,,0.0,4.324306337519851
2005-02-23,,,,,,,,,,,,0.0,0.0
2005-02-24,,,,,,,,,,,,0.0,4.467814544730959
2005-02-25,,,,,,,,,,,,0.0,0.0
2005-02-26,28.19,39.29,0.0,,,1.98,,,1.98,,,0.0,0.3541613775182569
2005-02-27,,,,,,,,,,,,0.0,0.0
2005-02-28,,,,,,,,,,,,0.0,0.0
2005-03-01,,,,,,,,,,,,0.0,1.022059786276149
2005-03-02,29.9,41.81,,730.35,,2.12,,,2.12,,,0.0,0.0
2005-03-03,30.63,33.26,,730.47,,2.27,,,2.27,,,0.0,0.0
2005-03-04,40.0,25.9,,731.48,,2.58,,,2.58,,,8.7,0.0
2005-03-05,43.03,35.53,,731.23,,2.74,,,2.74,,,32.7,0.0
2005-03-06,27.49,37.02,,731.75,,2.2,,,2.2,,,0.4,0.0
2005-03-07,26.3,28.43,,731.54,,2.21,,,2.21,,,6.8,0.0
2005-03-08,,,,731.1,,,,,,,,14.0,0.756445986913722
2005-03-09,,,,,,,,,,,,0.0,0.0
2005-03-10,,,,,,,,,,,,0.0,0.0
2005-03-11,33.16,38.13,,,,2.62,,,2.62,,,0.0,0.0
2005-03-12,30.7,36.03,,,,2.5,,,2.5,,,0.0,0.0
2005-03-13,24.94,41.61,,,,2.3,,,2.3,,,0.0,0.0
2005-03-14,31.57,43.25,,,,2.56,,,2.56,,,0.0,0.0
2005-03-15,31.18,43.44,,,,2.47,,,2.47,,,0.0,0.0
2005-03-16,,,,,,,,,,,,0.0,0.0
