Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2005-03-20,34.91,,,,,,,,,,,,0.0
2005-03-21,31.92,,,,,,,,,,,,2.912959995380196
2005-03-22,36.53,,,,,,,,,,,,0.0
2005-03-23,,,,,,,,,,,,,0.0
2005-03-24,,30.96,,,,,,,,,,,0.4754016033196596
2005-03-25,,38.29,,,,,,,,,,,0.6394396562095467
2005-03-26,,47.2,,,,,,,,,,,1.5051935139450938
2005-03-27,,48.31,,,,,,,,,,,0.0
2005-03-28,,56.28,,,,,,,,,,,0.0
2005-03-29,,,,,,,,,,,,,0.0
2005-03-30,,55.65,,,,,,,,,,,0.0
2005-03-31,,,,,,,,,,,,,0.0
2005-04-01,,64.02,,,,,,,,,,,1.2582511977461954
2005-04-02,,68.74,,,,,,,,,,,0.0
2005-04-03,,51.24,,,,,,,,,,,0.0
2005-04-04,,39.46,,,,,,,,,,,0.0
2005-04-05,,,,,,,,,,,,,0.0
2005-04-06,,27.91,,,,,,,,,,,0.0
2005-04-07,,36.57,,,,,,,,,,,0.0
2005-04-08,,36.6,,,,,,,,,,,0.462302001346568
2005-04-09,,42.31,,,,,,,,,,,0.0
2005-04-10,,40.07,,,,,,,,,,,0.0
2005-04-11,,43.59,,,,,,,,,,,0.0
2005-04-12,,,,,,,,,,,,,0.0
2005-04-13,,39.79,,,,,,,,,,,0.0
2005-04-14,,,,,,,,,,,,,0.0
2005-04-15,6.6,40.94,,,,,,,,,,,0.0
2005-04-16,11.41,40.0,,,,,,,,,,,0.0804414843793936
2005-04-17,8.05,39.15,,,,,,,,,,,4.185983116596842
2005-04-18,,37.73,,,,,,,,,,,0.0
2005-04-19,,,,,,,,,,,,,0.0
2005-04-20,18.11,38.13,,,,,,,1.88,,,,0.0
2005-04-21,20.12,38.87,,,,,,,1.89,,,,0.0
2005-04-22,19.1,47.29,,,,,,,1.91,,,,2.387419826048611
2005-04-23,20.3,47.81,,,,,,,1.92,,,,0.0
2005-04-24,20.05,45.08,,,,,,,1.92,,,,0.102000559101343
2005-04-25,16.53,40.11,,,,,,,1.81,,,,0.0
2005-04-26,,,,,,,,,,,,,0.0084843658187041
2005-04-27,21.31,43.74,,,,,,,2.13,,,,0.0
2005-04-28,25.65,41.97,,,,,,,2.16,,,,0.0
2005-04-29,24.87,43.82,,,,,,,2.19,,,,0.0
2005-04-30,13.3,48.31,,,,,,,2.1,,,,0.0
2005-05-01,14.97,51.67,,,,,,,2.19,,,,3.3499016322871844
2005-05-02,16.41,41.69,,,,,,,2.17,,,,0.0203346815663981
2005-05-03,21.02,44.95,,,,,,,2.31,,,,0.0
2005-05-04,23.93,46.08,,,,,,,2.38,,,,0.0369321873068245
2005-05-05,27.2,34.83,,,,,,,2.49,,,,0.0
2005-05-06,14.54,40.64,,,,,,,2.35,,,,0.7500351078894976
2005-05-07,15.79,37.24,,,,,,,2.46,,,,0.0
2005-05-08,,,,,,,,,,,,,0.3360559993805262
2005-05-09,,,,,,,,,,,,,0.0
2005-05-10,,,,,,,,,,,,,0.0938758716271817
2005-05-11,,,,,,,,,,,,,0.4838803513723341
2005-05-12,,,,,,,,,,,,,0.0
2005-05-13,,,,,,,,,,,,,0.0
2005-05-14,15.35,30.4,,,,,,,2.01,,,,0.0
2005-05-15,13.43,42.49,,,,,,,1.93,,,,4.117297099366483
2005-05-16,13.23,36.93,,,,,,,1.91,,,,0.0
2005-05-17,,,,,,,,,,,,,3.370850214650291
2005-05-18,14.26,54.32,,,,,,,1.88,,,,1.3614301053095648
2005-05-19,19.45,46.32,,,,,,,2.03,,,,1.0549230977082191
2005-05-20,18.79,56.78,,,,,,,1.98,,,,2.588070273526552
2005-05-21,16.34,53.21,,,,,,,1.92,,,,0.0
2005-05-22,,,,,,,,,,,,,0.0
2005-05-23,,,,,,,,,,,,,0.0
2005-05-24,16.01,54.87,,,,,,,1.93,,,,3.5080059112498803
2005-05-25,20.14,44.6,,,,,,,1.97,,,,0.1654364066884599
2005-05-26,15.78,38.46,,,,,,,1.88,,,,0.0421642471752913
2005-05-27,7.45,42.78,,,,,,,1.83,,,,0.5560359232896973
2005-05-28,,39.16,,,,,,,1.88,,,,0.2789685338304795
2005-05-29,,38.37,,,,,,,1.76,,,,0.0696120545399422
2005-05-30,,,,,,,,,,,,,0.0
2005-05-31,6.75,40.96,,,,,,,1.77,,,,0.0
2005-06-01,18.81,32.4,,,,,,,2.03,,,,0.0
2005-06-02,15.31,33.32,,,,,,,1.96,,,,0.0
