Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,43.47,,770.27,,,13.49,1.62,,143.89,55.07,0.0,0.7912570199373439
2004-09-02,,,,769.55,,,,,,,,0.0,0.7081555260590097
2004-09-03,,40.1,,769.64,,,13.89,1.51,,157.94,58.01,0.0,1.255867140972344
2004-09-04,,32.49,,770.32,,,12.11,1.06,,195.23,75.21,0.0,0.0
2004-09-05,,51.49,,769.95,,,13.22,0.73,,236.58,72.47,0.0,0.0
2004-09-06,,44.17,,770.05,,,12.31,1.14,,171.02,72.85,0.0,0.5161319111685088
2004-09-07,,,,770.02,,,11.43,1.26,,204.15,70.7,0.0,0.4695180169144317
2004-09-08,,31.52,,770.18,,,10.51,0.57,,168.05,86.58,0.0,0.0
2004-09-09,,34.34,,,,,10.56,0.62,,213.92,89.43,0.0,0.0
2004-09-10,,48.59,,770.56,,,12.69,1.16,,158.11,69.2,0.0,0.0
2004-09-11,,76.91,,770.41,,,13.89,1.23,,162.92,54.38,0.0,0.0
2004-09-12,,65.2,,770.75,,,13.2,1.05,,155.45,53.94,0.0,0.0102954595004885
2004-09-13,,,,770.88,,,13.13,2.31,,159.24,58.09,0.0,0.3492658841872754
2004-09-14,,,,771.32,,,,,,,,0.0,7.132639327556946
2004-09-15,,34.22,,771.33,,,11.7,1.0,,180.03,72.85,0.1,3.5317553813504263
2004-09-16,,41.68,,771.26,,,12.78,1.14,,171.16,61.09,0.0,0.0
2004-09-17,,41.42,,771.42,,,11.5,1.05,,176.19,67.34,1.7,0.0
2004-09-18,,40.87,,771.67,,,12.79,1.19,,192.48,71.81,0.0,0.0
2004-09-19,,36.59,,771.62,,,11.95,1.14,,194.33,75.57,0.0,1.870061501147733
2004-09-20,,,,771.11,,,12.32,1.23,,192.51,72.52,7.0,1.6331949342906946
2004-09-21,,33.17,,771.36,,,12.06,1.01,,196.07,76.98,0.4,0.0
2004-09-22,,,,770.7,,,13.93,1.53,,152.77,61.55,0.0,7.423818340623962
2004-09-23,,39.29,,771.03,,,12.52,1.44,,171.9,66.94,0.0,0.0
2004-09-24,,38.03,,770.58,,,12.29,1.24,,168.96,74.83,16.8,1.0840425942855676
2004-09-25,,35.33,,770.49,,,11.73,1.03,,196.91,81.33,0.3,0.0
2004-09-26,,33.78,,770.44,,,11.77,0.98,,184.08,75.86,1.5,0.0
2004-09-27,,41.0,,770.75,,,12.8,1.28,,191.54,73.87,0.0,0.0
2004-09-28,,33.43,,771.16,,,11.4,1.03,,187.81,80.36,13.8,3.504097189137684
2004-09-29,,33.31,,770.37,,,10.59,1.08,,199.23,85.73,2.8,5.984025962085693
2004-09-30,,,,769.84,,,12.44,1.13,,192.17,81.04,0.0,4.052110200259566
2004-10-01,,34.77,,769.4,,,14.0,1.42,,166.8,70.72,0.0,1.9030079258521373
2004-10-02,,31.6,,769.59,,,13.96,1.56,,167.18,72.42,0.0,3.222037631152134
2004-10-03,,26.79,,769.63,,,12.59,1.42,,201.59,77.78,0.0,3.50199635107627
2004-10-04,,31.16,,769.9,,,12.58,1.22,,210.07,79.81,0.6,0.0
2004-10-05,,41.67,,770.33,,,13.11,1.1,,251.67,79.64,0.8,0.0
2004-10-06,,40.61,,771.29,,,11.97,0.79,,242.92,88.33,6.8,0.0
2004-10-07,,,,772.0,,,12.08,1.09,,237.17,86.61,0.0,0.1581209085944209
2004-10-08,,51.98,,770.9,,,12.91,1.04,,182.08,83.23,11.4,2.3703778752611533
2004-10-09,,47.11,,769.86,,,13.57,1.03,,186.2,77.98,0.0,1.1963735530130035
2004-10-10,,41.15,,770.3,,,12.73,1.2,,201.16,78.31,10.5,3.1755023785614216
2004-10-11,,40.0,,771.23,,,12.93,1.23,,218.5,79.51,1.4,0.0
2004-10-12,,44.35,,770.89,,,12.61,1.3,,215.93,82.1,3.3,1.394145119609627
2004-10-13,,45.69,,770.09,,,12.43,1.25,,240.21,82.79,0.0,0.0
2004-10-14,,,,769.3,,,13.73,1.31,,208.45,75.73,0.1,2.6295874855795165
2004-10-15,,36.32,,769.78,,,14.41,1.17,,196.83,71.82,0.0,3.529292929292929
2004-10-16,,37.42,,770.13,,,14.21,1.29,,226.66,73.14,0.0,2.0410002839254853
2004-10-17,,36.7,,770.82,,,12.6,1.3,,198.34,79.99,3.3,0.1218333940818162
2004-10-18,,46.3,,771.03,,,11.74,1.05,,175.21,81.42,13.7,0.0
2004-10-19,,43.06,,771.39,,,12.23,1.21,,171.76,80.68,2.1,1.3484048110060498
2004-10-20,,,,771.48,,,,,,,,0.0,0.0
2004-10-21,,56.75,,771.23,,,12.31,1.55,,260.26,81.65,0.2,0.0
2004-10-22,,46.5,,771.04,,,11.55,1.23,,253.35,84.58,0.6,0.0
2004-10-23,,37.75,,771.96,,,11.1,1.07,,235.05,81.55,0.6,2.701428498795776
2004-10-24,,35.36,,771.54,,,12.25,1.27,,223.82,76.12,0.0,0.0
2004-10-25,,27.1,,771.57,,,11.49,1.02,,155.62,82.76,5.4,0.0
2004-10-26,,33.4,,771.61,,,11.15,1.03,,207.87,79.92,0.0,0.0
2004-10-27,,31.52,,771.64,,,10.68,0.95,,239.67,90.6,1.4,0.0
2004-10-28,,,,771.58,,,,,,,,0.0,0.0
2004-10-29,,,,771.17,,,10.77,1.16,,168.48,87.78,15.5,0.0
2004-10-30,,37.85,,770.77,,,10.75,0.97,,158.01,81.84,2.0,5.974825674563647
2004-10-31,,41.71,,769.85,,,12.3,0.99,,170.14,77.14,0.6,2.527277323506821
2004-11-01,,39.18,,769.38,,,14.08,1.16,,177.51,71.29,0.0,0.0
2004-11-02,,33.61,,769.19,,,12.29,0.96,,193.02,81.77,6.1,2.7115889623206044
2004-11-03,,35.1,,769.22,,,12.56,1.09,,228.93,86.59,7.3,0.0
2004-11-04,,34.01,,769.69,,,12.68,1.16,,227.95,81.74,0.0,0.0875259473315494
2004-11-05,,30.64,,769.65,,,13.08,1.06,,190.75,82.28,0.5,0.0
2004-11-06,,31.45,,769.98,,,11.96,0.97,,184.32,87.19,14.3,0.6091079681905246
2004-11-07,,34.47,,770.13,,,12.0,1.13,,149.99,81.05,0.0,2.889171064449335
2004-11-08,,31.87,,770.61,,,12.37,1.01,,182.13,83.86,4.9,0.8452181742060041
2004-11-09,,33.27,,770.92,,,12.17,0.99,,177.63,85.48,0.8,0.0861904378885254
2004-11-10,,37.11,,771.05,,,12.24,1.02,,245.45,87.88,1.4,0.0
2004-11-11,,42.8,,,,,13.11,1.35,,212.18,76.74,0.9,1.8849125080323617
2004-11-12,,33.22,,769.67,,,11.73,1.48,,214.75,76.51,0.0,0.0
2004-11-13,,38.6,,770.19,,,12.8,1.26,,234.31,77.68,0.0,0.055958266194433
2004-11-14,,41.57,,771.21,,,13.24,1.47,,216.71,71.86,0.0,1.577713992976672
2004-11-15,,35.13,,771.15,,,13.23,1.35,,201.85,69.72,0.0,1.1831210374053909
2004-11-16,,,,771.19,,,11.87,1.11,,176.05,80.36,3.2,2.1843398251211505
2004-11-17,,33.02,,771.25,,,12.43,1.12,,180.61,78.13,1.1,0.0328916082738249
2004-11-18,,31.61,,771.88,,,11.74,1.07,,171.7,79.11,1.1,0.0
2004-11-19,,23.36,,771.51,,,10.93,0.75,,171.12,85.8,6.8,0.0
