Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,AOD
2017-03-24,,,764.93,194.37,14.53,1.61,88.98,89.22,0.0
2017-03-25,,,764.37,234.65,15.83,1.45,189.41,81.41,2.0326585032441904
2017-03-26,,,764.92,158.27,14.32,0.97,112.22,86.33,0.0
2017-03-27,,,764.4,240.78,15.62,1.37,145.23,82.69,0.0
2017-03-28,,,764.11,220.91,15.87,1.36,139.42,82.29,0.0
2017-03-29,,10.83,763.82,205.23,15.45,1.63,86.85,86.93,0.0
2017-03-30,,7.43,763.94,178.91,14.51,1.72,34.35,92.36,0.0
2017-03-31,,7.22,764.85,98.75,13.28,1.06,90.15,92.24,0.0
2017-04-01,,12.72,765.04,163.58,15.18,0.77,134.36,78.52,0.0
2017-04-02,,9.98,764.2,200.61,15.33,0.94,123.48,72.74,0.0
2017-04-03,,15.38,763.25,240.76,15.6,1.04,119.66,79.18,0.0
2017-04-04,,18.01,763.15,310.99,16.03,1.28,130.64,72.87,0.0
2017-04-05,,,763.44,278.41,16.42,1.34,151.14,73.08,0.0
2017-04-06,,,763.81,251.11,16.5,1.39,160.78,70.99,0.0
2017-04-07,,,763.83,249.01,16.22,1.42,185.47,79.76,0.0
2017-04-08,,,763.66,166.02,14.69,1.66,42.63,94.17,0.0
2017-04-09,,,763.88,167.54,14.31,1.58,79.51,92.25,0.0
2017-04-10,,,763.65,251.3,15.39,1.24,157.5,84.77,1.1587970733751107
2017-04-11,,,763.34,192.68,15.45,1.19,70.03,88.32,0.5966470282446718
2017-04-12,,,763.14,253.42,16.15,1.01,149.76,81.46,0.0
2017-04-13,,,762.61,304.89,16.77,1.12,109.22,79.74,0.3468028511057605
2017-04-14,,,763.1,230.53,15.89,1.18,147.07,83.86,0.5088281007965638
2017-04-15,,,762.93,221.54,17.47,0.95,171.76,75.32,0.1492719683610751
2017-04-16,,,,,,,,,1.3560028459959148
2017-04-17,,,,,,,,,1.4797365623795768
2017-04-18,,,764.29,227.59,15.73,1.51,99.08,86.52,0.0
2017-04-19,,,764.88,146.45,14.71,1.54,97.7,88.44,0.0
2017-04-20,,,765.39,212.04,14.55,1.48,127.2,86.92,0.0
2017-04-21,,,764.68,265.96,16.53,1.21,210.17,77.22,2.7346443555289515
2017-04-22,,,763.85,258.7,16.67,1.19,146.97,78.51,0.1373831632809075
2017-04-23,,,763.67,297.03,17.11,1.28,137.87,74.99,5.169832312030371
2017-04-24,,,763.67,247.32,16.38,1.27,120.95,79.65,0.0
2017-04-25,,,763.93,259.82,16.2,1.74,167.84,81.95,1.4171267780910826
2017-04-26,,,764.06,182.04,15.05,1.38,83.78,87.75,0.0
2017-04-27,,,763.66,304.42,16.78,1.35,148.73,78.41,0.9251203262840194
2017-04-28,,,763.36,280.57,17.38,1.12,105.16,69.08,0.0800410096459308
2017-04-29,,,764.03,255.14,15.99,1.74,134.0,80.19,0.0
2017-04-30,,,764.68,196.42,14.69,1.85,101.77,89.24,0.0
2017-05-01,,,764.85,204.16,14.99,1.6,39.49,89.8,0.0
2017-05-02,,,,,,,,,0.0
2017-05-03,,9.65,763.84,265.47,16.69,1.49,121.1,79.79,1.1162011808915913
2017-05-04,,8.13,763.64,273.11,16.4,1.67,116.29,79.64,0.0050781441949841
2017-05-05,,14.69,763.9,216.48,14.44,1.61,71.92,91.7,0.0
2017-05-06,,14.95,764.72,198.67,14.73,1.63,90.75,86.99,0.0
2017-05-07,,5.0,764.63,212.75,14.7,1.61,50.66,89.21,0.0
2017-05-08,,5.33,764.32,132.9,13.85,1.7,53.87,93.46,0.0
2017-05-09,,5.78,764.24,194.49,14.74,1.76,63.95,90.9,0.0
2017-05-10,,4.97,765.44,104.44,13.57,1.48,70.4,95.41,0.0
2017-05-11,,7.02,765.89,167.49,14.31,1.52,85.34,89.6,0.0
2017-05-12,,11.07,765.61,189.05,14.52,1.51,120.3,88.14,0.1134170595644201
2017-05-13,,6.59,765.71,232.67,15.41,1.3,110.79,84.68,0.0
2017-05-14,,19.7,765.89,118.88,14.84,0.88,141.1,84.58,0.0
2017-05-15,,12.75,766.04,153.32,15.26,0.88,121.54,85.02,0.0
2017-05-16,,16.3,765.39,196.68,15.4,0.98,140.03,83.03,0.0
2017-05-17,,16.54,764.58,262.82,15.37,,,84.73,0.0604314676832438
2017-05-18,,10.45,763.6,211.39,15.92,1.09,138.19,81.41,0.908212037197482
2017-05-19,,,,,,,,,1.140337560163142
2017-05-20,,,762.67,198.2,15.95,1.44,163.02,81.6,0.9310823287823576
2017-05-21,,,764.29,216.47,15.22,1.75,105.0,84.22,0.5043549776048477
2017-05-22,,,764.87,225.19,15.31,1.27,126.34,85.79,0.0
2017-05-23,,14.3,764.3,187.27,16.18,0.9,128.9,77.43,0.3219047168969192
2017-05-24,,13.97,763.62,247.21,16.03,1.4,139.82,69.49,0.4426805681551775
2017-05-25,,11.08,763.5,210.79,16.66,,,70.57,0.0
2017-05-26,,7.57,765.11,242.83,15.29,1.7,108.78,85.25,0.0
2017-05-27,,10.9,765.33,213.15,15.42,1.36,155.33,79.37,0.0
2017-05-28,,9.76,764.41,287.7,16.25,1.35,132.1,70.7,0.4264095826533595
2017-05-29,,13.6,765.52,185.21,14.56,1.36,105.4,76.42,0.2047531791743069
2017-05-30,,,765.01,256.58,15.59,1.22,155.45,73.35,1.6224966262871308
2017-05-31,,,764.83,233.66,15.76,1.46,120.61,80.74,1.015813757412901
2017-06-01,,18.51,764.27,250.4,16.77,1.26,113.57,76.29,1.1889233261395795
2017-06-02,,,763.56,301.21,16.6,1.33,137.78,73.81,1.231542474033453
2017-06-03,,15.59,763.49,172.51,16.63,1.1,94.7,77.25,0.0
2017-06-04,,7.38,762.79,216.38,16.7,1.15,96.97,70.4,0.4647820936902734
2017-06-05,,13.5,762.86,253.06,16.78,1.16,91.96,66.07,2.030770165805869
2017-06-06,,,763.97,280.28,15.84,1.3,166.19,61.35,2.348560330387571
2017-06-07,,,764.76,260.67,15.44,1.95,204.29,76.69,0.0
2017-06-08,,,765.59,226.07,15.17,1.53,152.84,82.83,0.4349798889956575
2017-06-09,,,765.29,202.66,15.23,1.34,69.41,86.87,0.0
2017-06-10,,,764.84,203.62,16.14,1.3,86.8,82.82,0.9830999301628308
2017-06-11,,,764.94,186.87,15.39,1.52,150.31,83.07,0.0
2017-06-12,,,764.76,215.39,15.44,1.59,147.81,82.17,0.3398136187730712
2017-06-13,,,764.79,89.7,14.11,0.75,146.84,83.9,0.0
2017-06-14,,,764.79,166.43,14.31,1.12,119.92,85.26,0.0
