Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2004-09-01,,65.54,,770.27,,,16.16,2.45,,147.77,61.55,0.0,2.56313634395055
2004-09-02,,68.94,,769.55,,,16.04,2.4,,146.28,56.99,0.0,1.7382645912414345
2004-09-03,,66.26,,769.64,,,15.88,2.37,,133.73,65.55,0.0,4.935594655565827
2004-09-04,,72.26,,770.32,,,14.54,1.25,,107.32,79.51,0.0,0.0
2004-09-05,,84.34,,769.95,,,15.49,1.66,,104.67,75.25,0.0,0.0
2004-09-06,,76.3,,770.05,,,14.35,1.32,,91.23,79.84,0.0,0.1246440148562279
2004-09-07,,,,770.02,,,13.73,1.46,,97.85,77.5,0.0,1.4602987660226372
2004-09-08,,76.96,,770.18,,,12.93,1.11,,113.24,89.45,5.7,0.0
2004-09-09,,,,,,,,,,,,0.0,0.0
2004-09-10,,76.34,,770.56,,,14.71,1.08,,131.63,79.24,6.4,0.0
2004-09-11,,89.21,,770.41,,,15.51,1.24,,135.87,72.65,0.0,2.73405703980859
2004-09-12,,75.68,,770.75,,,14.77,1.8,,149.64,64.16,0.0,0.0
2004-09-13,,,,770.88,,,14.87,1.44,,147.08,66.92,0.0,0.1594905311232726
2004-09-14,,88.14,,771.32,,,14.09,1.18,,156.76,75.0,0.0,7.198763656569453
2004-09-15,,77.41,,771.33,,,14.61,1.22,,136.59,73.29,0.0,1.6261914248592466
2004-09-16,,73.57,,771.26,,,14.9,1.79,,148.56,69.47,0.0,0.0
2004-09-17,,70.44,,771.42,,,14.09,1.38,,145.78,71.96,0.0,0.0
2004-09-18,,83.97,,771.67,,,15.45,1.54,,140.05,75.74,0.0,0.1048299145635655
2004-09-19,,74.21,,771.62,,,14.31,1.13,,149.43,80.18,0.0,0.0
2004-09-20,,,,771.11,,,14.78,1.21,,151.77,77.95,0.0,5.39699179473974
2004-09-21,,58.52,,771.36,,,15.16,1.11,,145.86,79.06,0.0,0.0
2004-09-22,,62.92,,770.7,,,16.34,2.46,,152.79,67.69,0.0,11.584259058755595
2004-09-23,,55.04,,771.03,,,14.1,1.83,,142.73,77.06,0.0,0.0
2004-09-24,,59.48,,770.58,,,15.14,1.51,,135.2,76.52,0.0,1.40785878992895
2004-09-25,,61.9,,770.49,,,14.81,1.15,,156.34,83.69,0.0,0.0
2004-09-26,,58.19,,770.44,,,14.64,0.97,,146.59,79.61,0.0,0.0
2004-09-27,,73.65,,770.75,,,15.39,1.58,,129.73,76.09,0.0,0.0
2004-09-28,,56.77,,771.16,,,14.2,1.29,,137.93,82.64,0.0,3.753305326981379
2004-09-29,,57.27,,770.37,,,13.28,1.28,,116.1,85.59,0.0,4.506494799145982
2004-09-30,,56.81,,769.84,,,15.04,1.27,,144.16,82.3,0.0,2.138310359761653
2004-10-01,,49.57,,769.4,,,15.9,1.45,,142.78,77.63,0.0,4.057164717771041
2004-10-02,,51.38,,769.59,,,15.88,1.46,,120.07,76.92,0.0,1.6266788620776589
2004-10-03,,51.67,,769.63,,,14.98,1.25,,123.63,79.64,0.0,0.1761788111736683
2004-10-04,,56.12,,769.9,,,14.93,1.38,,106.38,82.45,0.0,0.0
2004-10-05,,64.01,,770.33,,,15.53,1.25,,122.17,80.42,0.0,0.0
2004-10-06,,66.31,,771.29,,,14.88,1.14,,97.51,84.81,0.0,0.0
2004-10-07,,,,772.0,,,14.73,1.03,,107.08,84.66,0.0,0.4625125437049088
2004-10-08,,67.17,,770.9,,,15.45,0.96,,161.0,84.19,0.0,1.6468039142898392
2004-10-09,,63.64,,769.86,,,15.34,1.01,,123.85,85.45,0.0,1.338634428995983
2004-10-10,,63.31,,770.3,,,15.57,1.0,,141.8,82.75,0.0,2.233452012851633
2004-10-11,,68.29,,771.23,,,15.34,1.23,,116.26,83.33,0.0,0.0
2004-10-12,,69.6,,770.89,,,15.3,1.35,,109.03,82.39,0.0,0.7819232196993134
2004-10-13,,62.45,,770.09,,,14.73,1.18,,114.74,83.26,0.0,0.0
2004-10-14,,,,769.3,,,15.79,1.29,,134.61,79.26,0.0,0.6260266152210716
2004-10-15,,,,769.78,,,16.47,1.37,,134.04,76.21,0.0,2.6619267600211742
2004-10-16,,59.26,,770.13,,,16.19,1.36,,121.53,75.48,0.0,1.6590231461431115
2004-10-17,,64.13,,770.82,,,15.16,1.36,,139.35,80.4,0.0,0.0866127172130549
2004-10-18,,59.28,,771.03,,,14.82,1.14,,149.44,79.83,0.0,0.0
2004-10-19,,61.99,,771.39,,,15.36,1.27,,131.88,79.1,0.0,0.2060689418853126
2004-10-20,,,,771.48,,,14.4,1.27,,124.04,85.13,0.0,0.0
2004-10-21,,77.81,,771.23,,,14.65,1.36,,109.74,82.9,0.0,0.0737851883932438
2004-10-22,,75.91,,771.04,,,14.07,1.46,,92.14,84.05,0.0,0.0
2004-10-23,,55.87,,771.96,,,13.85,1.32,,135.8,79.53,0.0,2.2268862861769634
2004-10-24,,45.17,,771.54,,,14.67,1.24,,145.5,78.38,0.0,0.0
2004-10-25,,37.94,,771.57,,,13.97,1.13,,153.22,83.68,0.0,0.0
2004-10-26,,45.75,,771.61,,,13.37,0.92,,145.83,84.24,0.0,0.0
2004-10-27,,49.68,,771.64,,,12.95,0.82,,117.8,91.54,0.0,0.0
2004-10-28,,55.04,,771.58,,,13.34,1.06,,152.99,88.86,0.0,0.0
2004-10-29,,,,771.17,,,13.24,1.07,,145.96,88.31,0.0,0.0
2004-10-30,,55.44,,770.77,,,13.99,1.21,,147.25,80.18,0.0,6.9957444600837375
2004-10-31,,60.21,,769.85,,,15.51,1.25,,136.36,78.27,0.0,3.072827268629408
2004-11-01,,49.28,,769.38,,,16.68,1.35,,136.79,76.14,0.0,0.8264253623283507
2004-11-02,,44.89,,769.19,,,14.75,1.06,,138.82,83.26,0.0,1.8714329906930287
2004-11-03,,55.97,,769.22,,,15.09,1.1,,126.48,85.63,0.0,0.0
2004-11-04,,56.28,,769.69,,,15.32,1.23,,103.62,82.5,0.0,0.0
2004-11-05,,49.98,,769.65,,,15.85,1.19,,126.11,80.14,0.0,0.0
2004-11-06,,52.56,,769.98,,,14.25,1.08,,139.73,87.71,0.0,2.084911305362336
2004-11-07,,53.04,,770.13,,,14.56,1.19,,116.35,84.42,0.0,1.174356820697228
