Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2019-01-02,14.02,29.95,7.72,724.43,312.13,1.44,16.01,2.7,0.47,169.79,43.81,0.0,0.18431
2019-01-12,23.76,21.79,14.09,726.3,285.21,1.46,14.09,1.25,0.52,120.63,75.38,0.0,0.3845
2019-01-14,26.55,22.33,17.07,725.75,239.19,1.75,14.07,1.24,0.7,115.76,77.28,4.3,0.38047000000000003
2019-01-24,17.29,23.71,8.93,725.49,214.9,1.9,16.77,2.4,0.51,155.76,52.54,0.0,0.22147
2019-01-26,20.66,24.15,12.47,725.79,298.37,2.1,16.63,1.62,0.5,149.73,55.86,0.0,0.23871
2019-01-30,32.45,32.14,15.54,726.04,209.69,2.36,13.96,1.22,0.67,122.24,81.0,29.2,0.4408
2019-02-15,27.92,26.8,20.34,726.65,290.8,5.51,15.7,1.18,0.59,195.94,57.94,0.0,0.35585000000000006
2019-02-17,22.56,34.13,19.29,726.69,294.41,1.78,15.6,1.31,0.4,134.86,64.65,0.0,0.27923000000000003
2019-03-01,36.28,30.75,15.14,727.56,226.15,2.48,13.76,1.39,0.72,148.43,75.45,6.3,0.57987
2019-03-03,25.55,32.52,18.41,726.66,115.0,1.42,13.62,0.85,0.55,131.49,83.94,22.5,0.56247
2019-03-17,20.09,29.09,15.97,725.5,198.89,3.08,15.9,1.2,0.53,113.96,66.83,0.0,0.47274
2019-03-21,32.36,22.66,16.58,726.52,181.74,2.45,14.35,0.94,0.82,99.02,79.69,6.2,0.37242000000000003
2019-03-23,38.06,22.93,24.07,727.25,204.55,4.44,13.89,1.02,1.21,197.27,77.42,3.9,0.38071
2019-04-06,33.87,26.6,16.6,727.16,155.96,2.11,13.28,0.99,0.95,122.26,86.08,12.8,0.46878
2019-04-14,20.8,24.34,11.44,726.25,243.74,2.7,15.26,1.17,0.67,185.87,64.32,0.0,0.37471
2019-04-16,24.2,21.25,14.15,726.61,279.72,2.45,15.72,1.8,0.75,144.76,61.16,0.0,0.36419
2019-04-18,29.5,15.22,18.3,725.75,199.34,2.32,14.33,1.08,1.01,163.82,77.86,12.3,0.38113
2019-04-22,27.82,10.68,16.32,727.21,172.89,2.74,13.26,0.87,1.12,174.81,85.06,12.0,0.50043
2019-05-02,26.27,21.85,12.75,725.97,219.5,2.86,15.65,1.63,0.61,161.34,57.38,0.0,0.41400000000000003
2019-05-04,20.16,23.42,9.98,725.8,156.42,2.64,14.84,1.43,0.49,201.2,61.88,0.0,0.33165
2019-05-06,21.95,21.91,9.13,726.44,218.81,2.8,16.34,1.25,0.56,203.59,56.14,0.0,0.35686
2019-05-16,24.13,16.07,17.22,726.96,284.31,3.02,15.06,1.32,0.74,202.37,68.16,0.0,0.34389
2019-05-18,20.0,20.32,11.9,726.37,232.22,2.06,14.47,1.35,0.58,88.33,74.34,0.2,0.392
2019-05-22,25.3,13.85,16.89,726.57,206.39,3.29,15.07,1.18,0.78,119.51,68.51,0.0,0.30317
2019-05-24,20.22,16.24,12.91,726.67,178.9,2.36,14.41,1.33,0.6,125.25,73.53,0.4,0.18317
2019-06-01,23.84,21.03,14.15,726.84,225.68,1.23,13.96,1.07,0.67,94.79,80.84,0.8,0.46408
2019-06-09,17.43,16.7,9.13,726.88,200.24,1.93,14.93,1.1,0.51,185.78,64.41,1.1,0.35791
2019-06-11,27.68,9.73,22.64,727.05,138.48,2.12,13.6,0.89,1.01,104.03,82.5,2.4,0.57026
