Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2019-01-02,3.81,27.36,10.85,728.07,334.0,2.09,16.46,4.29,0.41,150.26,42.95,0.0,0.19313
2019-01-12,4.32,18.63,18.98,730.31,307.48,2.05,14.15,1.77,0.67,189.61,75.58,0.0,0.3825
2019-01-18,5.76,19.76,20.78,729.65,221.97,3.48,14.51,1.39,0.65,154.36,56.64,0.0,0.41155
2019-01-24,10.82,24.07,14.4,729.26,301.9,2.03,17.06,2.94,0.54,173.78,50.38,0.0,0.21625
2019-01-26,13.0,19.85,16.26,729.78,259.42,2.86,15.8,1.67,0.82,248.42,53.55,0.0,0.21645
2019-02-17,3.87,26.68,29.57,730.81,292.43,2.4,15.01,1.69,0.66,179.62,60.48,0.0,0.27948
2019-02-27,6.29,31.83,14.88,730.18,267.6,1.96,14.64,1.78,0.88,174.9,77.08,0.0,0.378
2019-03-01,8.74,30.57,19.19,731.53,286.28,2.35,14.17,2.05,0.61,206.06,72.88,7.8,0.64325
2019-03-03,6.3,24.64,23.5,730.61,160.48,1.67,14.01,1.32,0.58,166.2,80.2,7.9,0.54452
2019-03-17,5.27,29.36,20.91,729.52,211.55,2.96,15.71,1.43,0.63,187.27,64.25,0.0,0.37029
2019-03-23,10.75,24.74,23.57,731.34,263.48,3.46,14.25,1.1,1.14,205.86,75.26,5.2,0.35147000000000006
2019-04-02,7.23,21.26,16.84,731.58,231.57,1.15,14.31,1.45,0.61,155.39,80.13,13.5,0.46682999999999997
2019-04-14,5.83,24.93,16.28,730.19,242.13,1.98,15.04,1.47,0.72,183.43,63.73,0.0,0.44143
2019-04-16,6.92,20.6,21.9,730.57,253.22,2.23,14.87,1.78,0.88,217.54,59.18,0.0,0.34843
2019-05-16,18.91,15.94,19.99,731.01,247.7,1.66,14.73,1.36,0.54,165.2,62.3,0.0,0.41326
2019-05-24,15.56,14.88,14.29,730.75,198.06,1.58,14.28,1.78,0.53,168.63,70.64,1.3,0.22343000000000002
2019-06-01,14.09,19.85,12.66,731.02,251.99,0.91,13.96,2.03,0.56,134.33,77.03,0.2,0.48152
2019-06-03,20.14,11.96,15.58,731.04,182.76,2.18,14.78,1.55,0.78,185.61,54.29,0.0,0.43075
2019-06-09,15.14,14.62,14.92,731.02,173.61,1.68,14.88,1.09,0.59,184.38,61.99,0.2,0.34208
2019-06-11,17.67,10.13,18.5,731.21,158.85,1.27,13.47,1.27,0.58,125.26,79.58,1.7,0.47822000000000003
2019-06-17,10.16,21.98,9.76,729.9,302.5,0.62,16.79,4.62,0.37,151.7,48.75,0.0,0.23893
2019-06-19,15.75,26.84,9.73,729.8,271.52,0.92,16.21,3.14,0.42,122.94,44.13,0.0,0.2736
2019-06-23,14.78,17.55,7.74,730.76,267.34,0.59,14.81,2.15,0.52,147.23,61.65,0.0,0.443
2019-06-25,16.59,17.95,15.79,730.6,291.59,2.52,14.93,1.37,0.66,185.43,64.25,0.0,0.25312
2019-06-27,16.24,20.1,18.07,729.06,243.09,4.06,15.78,1.61,0.53,118.26,55.97,0.0,0.19184
2019-07-05,12.28,17.56,15.49,730.99,247.14,2.56,15.3,1.55,0.58,171.36,61.38,0.0,0.23122
2021-09-16,2.14,40.04,9.34,731.32,272.41,2.37,14.69,2.94,0.58,173.11,56.2,0.0,0.2522
2021-09-20,2.26,30.06,13.05,730.08,233.5,1.92,14.61,1.54,0.7,135.2,67.0,0.0,0.34053
2021-10-02,26.72,27.72,16.69,729.55,254.57,2.48,14.03,1.51,1.13,203.69,75.33,2.1,0.32847000000000004
2021-10-12,37.71,21.39,18.38,730.54,237.26,4.15,14.31,1.31,0.71,166.64,75.29,0.6,0.38859
2021-10-14,32.21,6.02,18.65,729.85,252.4,2.89,14.12,1.45,0.68,176.8,80.51,1.0,0.43045
2021-10-22,36.62,25.83,14.96,730.89,213.91,3.11,13.13,1.11,0.93,139.42,79.21,6.5,0.35925
2021-10-28,35.27,34.42,17.09,731.27,287.98,3.13,15.21,1.31,0.78,160.95,65.28,0.0,0.28631
2021-10-30,39.95,28.54,15.99,730.86,265.21,2.64,13.04,1.46,0.77,191.81,80.5,4.4,0.54332
2021-11-01,17.67,31.02,7.9,731.23,286.05,2.08,13.97,1.61,0.52,99.67,81.74,14.1,0.50265
2021-11-03,26.64,25.52,12.54,730.53,267.09,2.59,13.52,1.53,0.82,203.9,72.82,0.0,0.37401
2021-11-07,21.43,30.38,14.54,730.71,219.96,2.28,14.15,1.65,0.54,169.14,72.97,0.0,0.51222
2021-11-15,18.78,25.08,12.52,729.76,256.49,3.24,14.2,1.73,0.5,116.79,73.87,0.0,0.56013
2021-11-27,34.55,28.09,17.13,729.84,315.46,3.16,14.4,1.38,0.96,154.06,76.17,0.5,0.54503
2021-12-03,22.15,21.52,16.92,729.04,299.53,2.94,13.96,1.72,0.77,188.11,78.86,0.0,0.5367500000000001
2021-12-05,20.7,22.91,10.38,729.92,255.15,2.96,14.42,1.59,0.81,129.6,78.01,0.0,0.45785000000000003
2021-12-23,15.68,19.7,9.73,730.91,312.25,2.5,14.79,1.76,0.49,167.71,76.95,0.0,0.32245999999999997
2021-12-31,16.73,26.38,18.38,729.46,318.27,6.25,14.77,2.01,0.67,164.79,76.57,0.0,0.42288
