Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2019-09-02,31.22,18.94,763.31,316.08,15.91,1.32,176.14,63.3,0.0,0.23142
2019-09-05,35.8,20.77,764.46,302.94,17.07,1.45,170.29,60.26,0.0,0.32815
2019-09-06,28.76,23.08,764.22,252.43,17.15,1.32,98.94,62.6,0.0,0.3379
2019-09-07,35.62,22.24,764.22,306.08,17.58,1.41,101.95,51.14,0.0,0.18011000000000002
2019-09-08,45.48,21.38,765.41,318.22,18.01,1.45,117.37,42.67,0.0,0.19416999999999998
2019-09-09,36.81,19.27,764.58,242.23,17.69,1.82,103.01,40.91,0.0,0.25014
2019-09-11,30.7,20.13,763.21,255.77,15.94,1.59,159.12,66.01,0.0,0.40217
2019-09-13,32.24,27.01,762.88,249.1,17.45,1.29,119.12,61.09,0.0,0.28079000000000004
2019-09-16,30.49,22.82,764.54,297.25,14.45,1.47,103.66,74.83,0.0,0.17586000000000002
2019-09-22,31.98,11.96,765.13,291.51,16.46,1.34,128.13,71.45,0.0,0.4944
2019-09-25,36.44,20.06,765.24,254.73,15.95,1.3,108.51,73.63,0.0,0.41186
2019-09-27,31.87,12.4,764.47,283.15,16.26,1.79,114.53,77.44,0.0,0.35420999999999997
2019-09-29,38.76,7.92,764.5,325.91,15.14,1.78,156.01,82.11,17.5,0.28687
2019-09-30,42.43,11.67,763.94,243.67,15.01,1.4,130.37,84.15,4.8,0.48301
2019-10-01,39.7,15.86,763.11,284.47,15.61,1.85,121.24,79.87,0.0,0.40276
2019-10-02,33.27,10.54,763.15,276.62,15.58,1.77,120.88,81.41,0.0,0.54596
2019-10-04,25.25,16.62,764.68,264.8,14.99,1.61,115.0,82.43,0.0,0.26982
2019-10-09,33.79,14.57,762.93,199.04,15.22,1.44,179.7,74.65,0.4,0.271
2019-10-12,33.92,15.22,762.52,252.1,16.08,1.51,177.62,73.02,0.0,0.4747
2019-10-14,26.47,16.83,763.9,273.76,14.82,1.61,163.01,69.62,0.0,0.29651
2019-10-17,29.86,13.41,764.64,281.87,15.45,1.39,121.57,75.55,5.0,0.58367
2019-10-18,28.64,20.83,764.49,283.08,15.37,1.79,113.18,80.12,0.4,0.5570900000000001
2019-10-22,26.79,5.84,764.48,262.67,14.78,1.64,127.26,84.58,0.5,0.40485000000000004
2019-10-25,25.85,19.9,763.52,229.8,15.37,1.33,138.84,74.33,0.0,0.41414
2019-10-27,21.31,7.71,763.24,287.23,15.97,1.51,133.78,79.97,0.0,0.42010000000000003
2019-10-29,24.41,11.57,763.03,158.36,15.48,1.34,140.1,78.58,3.0,0.35276
2019-10-30,26.8,12.83,763.22,270.56,16.18,1.33,109.86,79.08,0.0,0.46366
2019-11-01,38.11,10.87,764.43,305.51,15.57,1.74,121.85,82.09,11.2,0.38977
2019-11-02,42.27,5.96,763.69,247.49,15.38,1.62,148.89,82.06,12.9,0.26867
2019-11-03,26.84,6.28,762.49,326.34,16.13,1.97,103.58,84.17,0.0,0.42395
2019-11-05,27.47,8.33,762.74,308.73,15.96,1.72,154.52,80.36,0.0,0.36375
2019-11-06,31.18,7.55,762.95,298.16,16.39,1.71,136.8,81.04,2.1,0.4629
2019-11-07,29.79,9.5,761.95,275.42,17.75,1.47,61.06,67.65,0.0,0.27493
2019-11-08,24.83,13.42,761.49,300.7,16.06,1.77,143.8,76.89,0.0,0.37144
2019-11-10,27.64,6.33,763.73,264.74,15.8,1.76,115.04,82.52,0.0,0.45604000000000006
2019-11-17,20.81,5.0,762.8,310.59,15.39,1.84,131.68,80.98,0.2,0.37342000000000003
2019-11-21,18.8,12.69,764.48,243.46,14.58,1.71,155.27,86.38,13.0,0.46524000000000004
2019-11-23,19.88,9.75,764.0,261.35,15.26,1.66,170.27,79.46,0.0,0.39633999999999997
2019-11-24,21.23,8.63,763.06,311.02,15.66,1.66,113.33,80.67,0.0,0.31261
2019-11-25,18.26,7.73,761.79,296.23,16.49,1.29,114.24,78.47,0.0,0.33791000000000004
