Fecha,NO2,O3,PM25,PRE,RS,TMP,VEL,CO,DIR,HUM,LLU,AOD
2019-06-19,5.08,34.04,12.68,769.84,302.6,20.29,2.15,0.38,110.15,37.93,0.0,0.0928
2019-06-21,9.19,24.03,10.83,770.51,218.87,18.36,1.85,0.5,99.87,55.04,0.0,0.35552
2019-06-25,9.13,21.9,16.39,770.91,262.56,17.27,1.47,0.55,105.07,69.58,0.0,0.22154
2019-06-27,11.05,16.54,13.22,769.08,268.67,17.96,1.42,0.61,115.64,60.17,0.0,0.17125
2019-07-03,9.33,22.27,17.87,769.48,264.76,17.59,1.56,0.56,88.86,69.2,0.0,0.10839
2019-07-09,10.47,20.55,11.97,772.63,223.16,16.39,1.45,0.4,118.54,58.65,0.0,0.21107
2019-07-11,11.07,24.56,12.24,770.57,259.64,15.88,1.63,0.4,81.92,60.33,0.0,0.03207
2019-07-17,10.66,21.46,16.83,770.42,285.21,17.48,1.73,0.45,115.3,52.54,0.0,0.19803
2019-07-19,10.14,22.51,10.21,769.86,297.26,18.01,1.88,0.4,128.75,49.47,0.0,0.06563
2019-07-27,13.98,21.44,11.72,771.29,227.82,17.17,1.23,0.5,132.56,56.23,0.0,0.23699
2019-07-29,14.72,23.0,10.86,770.38,285.41,16.87,1.38,0.49,111.9,52.59,0.0,0.07659
2019-08-06,16.47,28.05,10.77,771.33,301.71,17.32,1.56,0.47,127.09,45.19,0.0,0.0942
2019-08-10,12.19,21.07,13.12,770.14,304.0,17.76,1.7,0.5,115.87,49.5,0.0,0.15906
2019-08-20,13.77,30.95,9.65,770.95,222.26,17.91,2.0,0.45,156.88,44.53,0.0,0.4566
2019-08-22,15.83,33.72,9.85,771.57,255.09,18.21,1.96,0.53,138.5,44.88,0.0,0.21182
2019-08-24,15.22,34.5,9.15,771.11,318.94,18.15,2.37,0.48,145.98,44.8,0.0,0.19618000000000002
2019-08-28,14.56,35.83,10.48,769.74,233.91,18.47,2.22,0.47,126.63,47.3,0.0,0.31047
2019-08-30,20.19,35.09,15.4,770.31,325.4,17.07,1.49,0.53,134.97,48.88,0.0,0.09805
2019-09-03,16.66,29.97,20.3,769.64,312.58,17.17,1.6,0.45,111.71,60.39,0.0,0.37239
2019-09-05,15.47,30.9,12.8,771.09,308.21,18.23,1.64,0.42,141.85,54.58,0.0,0.33954
2019-09-09,16.88,33.27,11.26,771.42,323.02,17.78,2.42,0.38,125.0,40.17,0.0,0.23593
2019-09-11,16.71,26.13,19.03,769.87,242.49,17.02,1.42,0.47,119.96,62.32,0.0,0.31268
2019-09-13,14.79,32.04,17.39,769.64,323.53,18.49,2.62,0.39,108.99,54.39,0.0,0.23367
2019-09-25,21.67,30.85,16.93,771.98,225.29,16.9,1.6,0.52,116.4,62.6,0.0,0.435
2019-10-01,16.36,33.5,18.23,769.78,294.03,16.86,1.72,0.55,98.17,72.58,0.0,0.43699000000000005
2019-10-06,6.3,35.37,7.92,770.7,230.54,16.05,1.99,0.36,37.19,73.51,0.7,0.429
2019-10-09,9.87,33.0,17.51,769.59,295.03,16.92,1.67,0.48,71.96,65.77,0.0,0.49198000000000003
2019-10-14,9.46,28.59,14.31,770.59,298.07,15.82,1.54,0.51,90.49,67.63,0.1,0.18944999999999998
2019-10-16,9.28,30.71,11.22,771.51,211.21,16.34,1.78,0.44,72.82,71.69,0.0,0.588
2019-10-17,19.26,24.33,16.41,771.4,217.31,16.19,1.05,0.62,153.89,72.69,12.9,0.55198
2019-10-18,17.55,27.31,19.85,771.24,245.59,16.13,1.36,0.64,121.28,74.44,5.9,0.5463
2019-10-25,22.5,21.47,17.35,770.4,177.3,15.25,1.05,0.78,171.54,76.82,0.0,0.48564999999999997
2019-10-29,14.8,26.56,12.53,769.76,156.37,16.44,1.31,0.48,182.68,71.98,0.0,0.27244999999999997
2019-11-06,14.39,31.57,10.22,769.55,237.77,17.83,1.15,0.47,122.8,72.47,6.8,0.44677
2019-11-08,13.26,27.35,12.4,768.1,285.85,16.94,1.5,0.42,68.47,70.54,0.0,0.30137
2019-11-10,6.8,31.81,7.27,770.44,223.65,16.98,1.27,0.33,118.13,76.81,1.7,0.5580900000000001
2019-11-14,5.91,28.04,6.65,771.24,223.95,16.46,1.5,0.3,69.74,77.51,0.0,0.559
2019-11-30,6.81,32.59,10.21,769.46,199.68,17.13,1.56,0.29,95.98,77.41,0.8,0.53689
2019-12-02,16.06,22.46,13.94,770.5,232.08,17.17,1.33,0.5,115.5,73.48,0.0,0.38654000000000005
2019-12-04,20.03,21.2,15.41,770.45,277.34,16.74,1.2,0.48,102.62,76.3,5.4,0.39433
2019-12-14,16.47,31.04,18.44,770.41,226.37,16.25,1.38,0.51,74.39,71.87,0.0,0.38151999999999997
2019-12-16,12.44,28.26,12.82,769.58,270.72,16.87,1.43,0.43,97.74,70.9,0.0,0.40288999999999997
2019-12-18,16.87,24.72,15.02,769.02,235.65,16.67,1.31,0.47,98.49,75.12,1.0,0.3307
2019-12-24,12.79,19.34,12.57,769.21,282.15,17.94,1.69,0.46,125.9,72.06,0.0,0.40012000000000003
2019-12-26,9.62,19.03,9.31,769.01,285.56,19.06,1.43,0.38,84.98,65.41,0.0,0.20663
2019-12-28,7.38,31.58,8.65,769.78,201.58,17.59,1.77,0.35,91.41,75.15,0.1,0.34435000000000004
2020-01-03,7.43,23.15,6.48,772.02,199.12,16.86,1.36,0.37,134.87,78.64,0.1,0.38667
2020-01-05,3.63,30.16,6.56,772.8,278.1,17.04,1.88,0.27,38.13,74.52,0.0,0.34539
2020-01-11,9.04,23.01,8.64,768.6,291.61,18.11,1.98,0.32,104.19,63.12,0.0,0.21561000000000002
2020-01-13,12.8,15.9,10.34,769.04,324.8,18.07,1.87,0.43,98.41,60.99,0.0,0.16894
2020-01-15,14.85,18.59,14.9,768.84,291.71,17.59,1.72,0.43,130.11,66.79,0.0,0.1835
2020-01-17,12.54,18.01,8.78,768.77,310.98,19.84,1.62,0.45,117.67,47.7,0.0,0.18903999999999999
2020-01-19,11.14,19.7,9.5,769.31,307.45,18.5,1.57,0.5,102.24,60.98,0.0,0.27315
2020-02-04,9.88,30.49,8.76,771.16,203.38,17.93,1.52,0.41,115.72,71.91,0.0,0.42195
2020-02-06,14.28,30.88,16.43,770.38,310.87,16.79,1.32,0.48,85.26,63.81,0.0,0.1338
2020-02-08,9.78,28.13,13.77,771.62,224.64,17.42,1.64,0.41,90.48,71.1,0.0,0.615
2020-02-10,14.49,28.31,12.6,770.18,313.16,18.23,1.3,0.58,125.48,62.72,0.0,0.51685
2020-02-12,14.45,25.53,16.87,769.69,281.79,17.69,1.53,0.73,114.56,67.19,0.0,0.38609
2020-02-14,15.47,32.33,17.25,769.7,289.18,18.82,1.68,0.47,100.05,66.05,0.0,0.16179
2020-02-16,14.42,27.72,14.62,768.77,248.55,18.6,1.32,0.51,103.13,64.09,0.0,0.29602
2020-02-18,18.85,21.3,12.62,768.33,313.57,18.88,1.59,0.59,130.74,55.27,0.0,0.28366
2020-03-01,11.51,31.92,13.87,771.54,288.03,17.9,1.4,0.43,112.33,72.52,0.0,0.29774
2020-03-09,11.9,29.74,12.96,771.16,253.56,17.94,1.51,0.31,75.52,73.1,0.2,0.4184
2020-03-15,5.62,30.34,5.99,771.69,194.17,17.33,1.35,0.23,58.56,78.07,0.5,0.488
2020-03-21,1.82,31.53,6.66,772.19,272.78,16.61,1.7,0.14,92.04,71.68,0.0,0.40575
2020-04-04,3.69,24.85,8.64,769.34,243.27,18.09,1.64,0.34,83.98,71.35,0.0,0.46491000000000005
2020-04-06,3.22,23.59,8.04,771.05,218.48,19.06,1.4,0.35,132.66,68.6,0.0,0.54004
2020-04-08,6.33,23.8,8.51,770.92,248.55,18.1,1.48,0.35,122.07,66.17,0.0,0.46882
2020-04-18,6.16,34.53,12.67,772.64,200.95,15.5,0.86,0.48,138.56,84.73,26.0,0.5363
2020-04-20,4.31,25.22,12.63,772.04,272.97,17.07,1.34,0.4,90.61,72.16,0.0,0.23012000000000002
2020-04-26,4.32,26.45,12.2,771.7,209.94,17.2,1.09,0.27,104.74,75.78,1.0,0.40838
2020-05-02,2.35,20.01,7.17,772.08,191.62,17.71,1.56,0.19,80.69,78.65,0.0,0.465
2020-05-08,6.01,20.16,10.73,771.06,244.3,18.01,1.63,0.23,87.46,73.43,0.0,0.36585
2020-05-10,3.53,20.62,10.41,771.99,215.2,18.27,1.58,0.21,144.41,69.08,0.0,0.41156000000000004
2020-05-18,3.45,24.59,6.1,772.1,195.64,16.94,1.73,0.18,58.19,76.68,0.0,0.46831
2020-05-20,4.25,19.43,6.96,771.29,230.54,18.67,1.54,0.18,99.96,71.02,0.1,0.24511000000000002
2020-05-24,5.0,19.91,8.51,771.01,245.53,18.63,1.17,0.17,155.41,63.11,0.0,0.49781000000000003
2020-05-28,4.16,25.29,10.29,772.17,244.99,16.97,1.91,0.16,99.19,71.84,0.0,0.34185000000000004
2020-06-07,6.04,22.24,9.48,772.28,232.45,17.19,1.03,0.18,89.58,68.99,2.6,0.15756
2020-06-11,6.45,32.84,12.24,772.31,209.47,16.7,1.53,0.18,98.32,68.31,0.0,0.10031000000000001
2020-06-19,8.27,25.26,7.96,770.89,229.57,17.22,1.33,0.28,127.79,76.93,2.3,0.24076
2020-06-21,6.0,20.92,7.66,771.1,217.65,17.97,0.99,0.22,100.57,65.76,2.1,0.31410000000000005
2020-06-27,6.12,32.04,8.71,770.51,215.8,16.63,1.42,0.22,79.54,71.6,0.0,0.22178
2020-06-29,9.47,20.77,11.52,770.5,188.06,16.78,1.15,0.34,139.92,71.17,0.0,0.386
2020-07-07,14.44,24.97,10.63,771.34,154.7,15.98,0.91,0.37,125.91,78.5,8.3,0.35257
2020-07-09,13.25,20.84,11.93,770.62,180.32,16.27,1.12,0.37,100.69,68.62,0.0,0.2881
2020-07-19,12.28,22.63,8.7,770.02,184.49,16.74,1.18,0.35,132.14,55.94,0.0,0.5023
2020-07-21,8.61,26.35,9.28,770.62,180.91,16.38,1.32,0.28,66.21,71.32,0.0,0.37078
2020-07-25,8.66,24.1,10.31,770.82,211.31,16.46,1.39,0.33,101.95,74.34,0.0,0.21956
2020-07-27,8.74,22.18,7.46,771.44,194.45,16.94,1.32,0.28,88.29,67.45,0.0,0.31974
2020-07-31,11.55,22.76,8.42,770.59,302.73,18.3,1.65,0.43,144.04,51.74,0.0,0.24475
2020-08-04,12.67,30.6,9.66,772.05,313.02,17.36,1.93,0.37,133.79,46.41,0.0,0.18068
2020-08-06,9.77,26.16,19.14,770.36,239.59,16.9,1.77,0.41,147.77,64.95,0.0,0.2422
2020-08-08,11.72,26.05,8.99,770.75,294.14,17.73,1.91,0.45,140.76,50.55,0.0,0.08474
2020-08-10,10.77,27.16,14.0,769.99,295.66,17.57,1.56,0.41,96.23,59.92,0.0,0.06289
2020-08-12,11.38,27.58,14.5,769.24,256.02,17.55,1.44,0.42,76.92,64.56,0.0,0.20893
2020-08-14,9.7,34.5,9.71,769.45,276.69,16.99,1.64,0.38,105.78,68.77,4.7,0.27013
2020-08-16,7.12,31.37,10.65,770.48,246.99,17.07,1.38,0.35,132.82,63.29,0.0,0.28297000000000005
2020-08-24,7.97,31.44,10.65,770.3,305.39,16.41,1.68,0.36,67.39,68.0,0.0,0.02241
2020-08-26,10.32,29.96,12.25,770.61,276.61,16.8,1.44,0.37,100.97,63.74,0.0,0.07127
2020-08-28,6.54,29.53,7.49,772.01,205.55,16.15,1.51,0.35,72.86,75.67,0.2,0.4845
2020-08-30,10.9,33.06,9.08,771.39,240.26,15.67,0.9,0.45,130.81,75.43,17.3,0.04567
2020-09-07,8.24,35.34,12.73,769.76,263.12,16.41,1.88,0.4,97.82,71.02,0.0,0.36805000000000004
2020-09-11,18.23,32.79,15.63,770.45,258.26,17.01,1.14,0.6,88.08,61.41,2.3,0.23600000000000002
2020-09-13,12.51,29.44,9.89,770.36,291.64,17.04,1.99,0.47,119.25,53.0,0.0,0.32026
2020-10-01,13.03,28.77,9.62,769.81,293.51,16.89,1.72,0.32,114.82,58.44,0.0,0.44425000000000003
2020-10-09,16.73,49.69,9.9,771.35,266.44,18.37,1.9,0.27,121.75,45.51,0.0,0.2469
2020-10-11,13.31,44.96,15.27,770.24,337.21,16.57,1.99,0.27,113.92,52.34,0.0,0.1169
2020-10-13,14.03,35.98,15.47,770.24,234.75,16.22,1.75,0.3,111.49,64.88,0.0,0.36333
2020-10-17,11.99,27.38,12.01,769.25,219.11,17.63,1.5,0.33,64.4,68.31,0.0,0.41918
2020-10-19,18.61,24.05,12.14,769.93,193.09,15.59,0.96,0.48,143.18,77.54,13.0,0.3267
2020-10-25,12.5,30.73,13.25,771.21,268.31,16.13,1.41,0.37,104.55,74.41,0.0,0.5362100000000001
2020-10-29,6.92,45.4,14.69,770.4,256.61,17.42,1.58,0.25,123.27,70.68,0.0,0.49471
2020-11-02,10.15,32.35,13.58,770.95,323.81,15.96,1.53,0.3,118.52,61.26,0.0,0.18136000000000002
2020-11-04,19.39,35.75,18.36,771.26,329.41,15.71,1.43,0.35,70.69,49.98,0.0,0.13088999999999998
2020-11-28,23.86,21.12,20.03,770.64,197.24,15.88,0.62,0.52,129.66,82.57,33.2,0.46401
2020-11-30,6.3,30.44,9.04,770.37,297.77,17.26,1.8,0.21,40.77,73.91,0.0,0.31165
2020-12-04,9.87,23.71,6.3,770.76,175.63,16.03,1.37,0.27,58.93,81.59,7.0,0.47562
2020-12-16,13.7,25.48,11.62,769.65,238.56,16.29,1.33,0.36,111.62,73.75,0.0,0.38766000000000006
2020-12-18,8.07,27.65,8.21,770.45,185.51,16.62,1.43,0.25,88.89,76.21,0.0,0.42527
2020-12-20,6.44,37.07,8.46,769.54,242.89,16.58,1.54,0.27,98.11,78.52,7.9,0.27361
2021-01-11,6.33,27.58,6.48,770.68,226.4,16.4,1.21,0.27,116.48,76.66,2.4,0.5652699999999999
2021-01-15,6.28,29.38,7.62,769.65,249.22,16.77,1.85,0.27,103.05,76.29,0.0,0.43951999999999997
2021-01-17,4.72,25.57,8.26,769.7,226.48,16.35,1.69,0.24,60.64,76.25,0.0,0.39666
2021-01-19,7.14,25.94,8.95,769.48,232.21,17.31,1.57,0.27,83.58,71.4,0.0,0.44529
2021-01-21,7.38,24.17,9.12,769.75,174.05,16.02,1.66,0.29,59.07,77.99,2.1,0.39499
2021-01-29,6.01,26.81,8.39,768.83,302.67,17.54,2.05,0.3,67.93,72.85,0.0,0.2919
2021-01-31,11.79,21.15,10.73,768.66,337.53,17.07,1.7,0.41,110.57,54.29,0.0,0.12101
2021-02-02,6.96,25.95,8.3,769.32,196.18,17.69,1.3,0.32,80.18,71.13,0.0,0.40752
2021-02-06,8.33,25.81,11.81,770.16,212.59,17.85,1.16,0.44,76.57,69.2,0.0,0.51108
