date,Carapungo,SanAntonio,Tmbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2004-01-01,,,,,,,,,
2004-01-02,386.0,310.0,443.0,335.0,392.0,331.0,379.0,,366.0
2004-01-03,,,,329.0,425.0,321.0,,282.0,322.0
2004-01-04,,,,,,,,,
2004-01-05,,,,,,,,,
2004-01-06,,,,,,,,,
2004-01-07,,,,,,,,,
2004-01-08,,,,,,,,,
2004-01-09,,,,,,,,,
2004-01-10,,,,,511.0,354.0,334.0,288.0,
2004-01-11,,,,,,,,,
2004-01-12,,,,,,,,,
2004-01-13,,,,,,,,,
2004-01-14,359.0,,290.0,318.0,,,262.0,236.0,204.0
2004-01-15,,,,,,,,,
2004-01-16,,,,,,,,,
2004-01-17,,,,,,,,,
2004-01-18,429.0,239.0,,,348.0,,444.0,,525.0
2004-01-19,216.0,184.0,197.0,249.0,188.0,89.0,69.0,221.0,145.0
2004-01-20,,,,,,,,,
2004-01-21,,,,,,,,,
2004-01-22,,,,,,,,,
2004-01-23,206.0,278.0,,,202.0,239.0,133.0,185.0,150.0
2004-01-24,,,,,,,,,
2004-01-25,358.0,168.0,,339.0,,,,322.0,
2004-01-26,207.0,236.0,133.0,203.0,194.0,100.0,120.0,133.0,131.0
2004-01-27,0.0,,61.0,,,,,51.0,
2004-01-28,177.0,249.0,157.0,180.0,118.0,100.0,86.0,167.0,105.0
2004-01-29,,,,,,,,,
2004-01-30,168.0,207.0,172.0,204.0,189.0,123.0,110.0,128.0,155.0
2004-01-31,,,,,,,,,
2004-02-01,,,,399.0,,,,,467.0
2004-02-02,,,,,,,,,
2004-02-03,,,,,,,,,
2004-02-04,,,,,,,,,
2004-02-05,,,,,,,,,
2004-02-06,,,,,456.0,,,,382.0
2004-02-07,,,,,,,,,
2004-02-08,,,,,,,,,
2004-02-09,,,,,,,,,
2004-02-10,,,,,,,,,
2004-02-11,,,,,,,,,
2004-02-12,,,,,,,,,
2004-02-13,,,487.0,,308.0,,,,
2004-02-14,,,,,,,,,
2004-02-15,,,,,,,,,
2004-02-16,,,,,,,,,
2004-02-17,497.0,,,410.0,,,,378.0,472.0
2004-02-18,,,,,,,,,
2004-02-19,,,,,,,,,
2004-02-20,,,,,,,,,
2004-02-21,,,,,,,,,
2004-02-22,,,,,,,,,
2004-02-23,,,,,,,,,
2004-02-24,,87.0,135.0,,241.0,,,151.0,250.0
2004-02-25,,,,,,,,,
2004-02-26,160.0,,,209.0,180.0,195.0,,,143.0
2004-02-27,,,,,,,,,
2004-02-28,,,,,,,,,
2004-02-29,,,,356.0,,,,,
2004-03-01,,,,,,,,,
2004-03-02,,,,,,,,,
2004-03-03,,,,,,,,,
2004-03-04,,,,,,,,,
2004-03-05,,,,,,,,,
2004-03-06,,404.0,,,,,,,
2004-03-07,,,,,,,,,
2004-03-08,,,,,,,,,
2004-03-09,,,,,,,,414.0,
2004-03-10,,,,,,,,,
2004-03-11,,,,,,,,,
2004-03-12,,,,,,,,,
2004-03-13,428.0,,,,,,,,
2004-03-14,,,,,,,,,
2004-03-15,,,,,,,,,
2004-03-16,,,,,,,,,
2004-03-17,,,,,,,,,
2004-03-18,,,,349.0,,,,180.0,268.0
2004-03-19,,,,,,,,,
2004-03-20,358.0,,346.0,364.0,,,,323.0,364.0
2004-03-21,,,,,,,,,
2004-03-22,,249.0,,,308.0,,,446.0,404.0
2004-03-23,,,496.0,,,,,506.0,
2004-03-24,,,,,,,,,
2004-03-25,,,453.0,,,,,,
2004-03-26,,,,,,,,,
2004-03-27,,,,,,,,,
2004-03-28,,,,,,,,,
2004-03-29,,,,,,,,,
2004-03-30,,,,,,,,,
2004-04-01,,,,,,,,,
2004-04-02,,,,,,,,,
2004-04-03,,,,,,,,,
2004-04-04,,,,,,,,,
2004-04-05,,,,,,,,,
2004-04-06,,,,,,,,,
2004-04-07,189.0,127.0,180.0,173.0,162.0,112.0,125.0,84.0,100.0
2004-04-08,,,,,,,,,
2004-04-09,,,,,,,,,
2004-04-10,,,,,,,,,
2004-04-11,,,,,,,,,
2004-04-12,,,,,,,,,
2004-04-13,,,,,,,,,
2004-04-14,,,,,,,,,
2004-04-15,,,,,,,,,
2004-04-16,,,,,,,,,
2004-04-17,,,295.0,,,,332.0,248.0,335.0
2004-04-18,,,,,,,,,
2004-04-19,135.0,,127.0,,,185.0,,92.0,111.0
2004-04-20,,,,,,,,,
2004-04-21,,,,,,,,,
2004-04-22,,,,,,,,,
2004-04-23,,,,,,,,,
2004-04-24,257.0,171.0,208.0,,,,,389.0,
2004-04-25,,,,,,,,,
2004-04-26,,,,,,,,,
2004-04-27,,,,,,,,,
2004-04-28,,,221.0,,,241.0,221.0,183.0,261.0
2004-04-29,,,,,,,,,
2004-04-30,306.0,242.0,344.0,,321.0,303.0,,251.0,305.0
2004-05-01,,,,,,,,275.0,
2004-05-02,,,,,,,,,
2004-05-03,,,,,,,,,
2004-05-04,,,,,,,,,
2004-05-05,,,,,,,,,
2004-05-06,,,,,,,,,
2004-05-07,167.0,312.0,172.0,185.0,273.0,212.0,,133.0,220.0
2004-05-08,,,,,,,,,
2004-05-09,,354.0,,,,435.0,,420.0,384.0
2004-05-10,,,,,292.0,,,,
2004-05-11,,,,,,,,,
2004-05-12,101.0,163.0,113.0,144.0,160.0,145.0,,129.0,242.0
2004-05-13,,,,,,,,,
2004-05-14,49.0,83.0,46.0,71.0,52.0,100.0,77.0,4.0,64.0
2004-05-15,,,,,,,,,
2004-05-16,,,,,,,,,
2004-05-17,,,,,,,,,
2004-05-18,,,,,,,,,
2004-05-19,,,,,,,,,
2004-05-20,,,,,,,,,
2004-05-21,,,,,,,,,
2004-05-22,,,,,,,,,
2004-05-23,,,347.0,,,,,,
2004-05-24,,,,,,,,,
2004-05-25,130.0,117.0,214.0,,187.0,150.0,191.0,,266.0
2004-05-26,,,,,,,,,
2004-05-27,,,,,,,,,
2004-05-28,,,,,,,,,
2004-05-29,,,,,,,,,
2004-05-30,,,,,,,,,
2004-05-31,,,,,,,,,
2004-06-01,,,,,,,,,
2004-06-02,,,,,,,,,
2004-06-03,,,,,,,,,
2004-06-04,,,,,559.0,,,,
2004-06-05,,,,,,,,,
2004-06-06,115.0,,246.0,,216.0,229.0,187.0,196.0,222.0
2004-06-07,,,,,,,,,
2004-06-08,,,,,,,,,
2004-06-09,,,,,,,,,
2004-06-10,215.0,,,,197.0,230.0,,,
2004-06-11,170.0,163.0,86.0,112.0,108.0,153.0,117.0,85.0,124.0
2004-06-12,,,,,,,,,
2004-06-13,,,,,,,,,
2004-06-14,,,,,,,,,
2004-06-15,73.0,113.0,64.0,143.0,166.0,241.0,,72.0,
2004-06-16,,,,,,,,,
2004-06-17,60.0,54.0,152.0,72.0,84.0,198.0,107.0,98.0,99.0
2004-06-18,227.0,211.0,120.0,137.0,237.0,158.0,133.0,89.0,
2004-06-19,,,,,,,,,
2004-06-20,263.0,239.0,172.0,,,,,279.0,259.0
2004-06-21,,,,,,,,,
2004-06-22,72.0,107.0,,119.0,131.0,113.0,93.0,117.0,124.0
2004-06-23,,,,,,,,,
2004-06-24,198.0,153.0,,124.0,189.0,181.0,,130.0,127.0
2004-06-25,,,,,,,,,
2004-06-26,,,,,,,,,
2004-06-27,,,,,,,,,
2004-06-28,,,,,,,,,
2004-06-29,,,,,,,,,
2004-07-01,59.0,,161.0,114.0,96.0,77.0,101.0,95.0,144.0
2004-07-02,,,,,,,,,
2004-07-03,,286.0,406.0,244.0,,,,321.0,
2004-07-04,,,,,,,,,
2004-07-05,,,,,,,,,
2004-07-06,,,,,,,,,
2004-07-07,,,,,,,,,
2004-07-08,,,,341.0,286.0,316.0,234.0,,
2004-07-09,,,,,,,,,
