Fecha,AOD_media,AOD_mediana,AOD_moda,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,0,0,364.06,0,7.63,19.13,44.515,,Aceptable,Emergencia,Deseable,Deseable,Deseable
2018-01-02,0,0,0,30.98,77.42,25.34,10,29.61333333,,Aceptable,Aceptable,Precaucion,Aceptable,Deseable
2018-01-03,0,0,0,37.27,95.02,48.31,5.6,37.76708333,,Aceptable,Aceptable,Precaucion,Aceptable,Deseable
2018-01-04,0.191,0.191,0.158,44.92,93.88,2.94,21.42,28.74166667,,Aceptable,Aceptable,Precaucion,Deseable,Deseable
2018-01-05,0.506,0.506,0.506,30.06,32.49,58.55,23.31,25.725,,Aceptable,Aceptable,Aceptable,Precaucion,Deseable
2018-01-06,0,0,0,32.83,27.14,36.24,20.26,23.88875,,Deseable,Aceptable,Aceptable,Aceptable,Deseable
2018-01-07,0.151,0.151,0.147,14.2,49.39,9.61,8.69,20.06291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-08,0.323,0.323,0.374,3.47,89.54,20.86,12.98,23.755,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-09,0,0,0,33.09,84.47,30.8,20.58,35.39791667,,Aceptable,Aceptable,Precaucion,Aceptable,Deseable
2018-01-10,0,0,0,20.3,55.65,23.85,8.78,26.07875,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-01-11,0.265,0.26,0.26,10.22,91.12,,21.28,30.06454545,,Aceptable,Deseable,Precaucion,Incorrecto,Deseable
2018-01-12,0.426,0.421,0.382,30.34,50.47,49.42,5.74,25.24708333,,Aceptable,Aceptable,Precaucion,Aceptable,Deseable
2018-01-13,0.571,0.565,0.565,20.02,32.16,22.56,16.43,23.01791667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-14,0,0,0,10.73,19.75,3.73,0.59,12.9,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,0,0,8.63,24.85,46.11,25.89,16.12083333,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-01-16,0,0,0,13.43,54.16,31.53,18.34,26.845,,Aceptable,Deseable,Precaucion,Aceptable,Deseable
2018-01-17,0,0,0,22.53,32.45,15.09,15.4,20.68708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-18,0,0,0,9.22,36.96,27.51,11.31,18.96416667,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-19,0,0,0,19.72,33.31,17.37,16.9,18.3525,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-20,0,0,0,10.63,9.09,8.1,22.85,12.44583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0.388,0.384,0.346,0,11.59,13.98,4.44,14.44875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0.314,0.289,0.276,2.79,24.59,23.4,21.03,14.98958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0,0,0,20.31,37.77,30.71,32.39,17.90333333,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-01-24,0.18,0.178,0.153,7.55,48.71,18.15,10.46,17.0175,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-25,0.31,0.309,0.359,16.83,23.46,1.56,15.4,14.18666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-26,0,0,0,25.33,51.05,12.6,12.12,19.13708333,,Deseable,Aceptable,Precaucion,Deseable,Deseable
2018-01-27,0,0,0,17.22,4.71,12.15,18.25,14.85,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-28,0.295,0.294,0.262,9.23,26.3,13.8,12.64,17.49875,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-29,0.15,0.141,0.053,15.36,55.22,21.81,7.17,18.9225,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-30,0.162,0.157,0.166,18.4,47.07,34.8,27.29,20.49571429,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-01-31,0.197,0.193,0.246,17.11,54.46,28.86,30.7,25.08791667,,Aceptable,Deseable,Precaucion,Aceptable,Aceptable
2018-02-01,0.225,0.211,0.161,16.27,60.5,5.3,4.98,19.96666667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-02-02,0,0,0,2.01,47.62,28.93,36.3,21.48291667,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-02-03,0.487,0.487,0.514,19.75,21.05,17,8.4,22.4675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-04,0,0,0,17.91,28.84,23.53,14.07,15.53708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-05,0,0,0,9.93,30.22,6.68,9.81,15.70708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-06,0,0,0,19.33,21.98,14.68,13.18,14.8625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-07,0.462,0.49,0.491,21.84,16.38,30.7,37.63,16.9725,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-02-08,0.351,0.369,0.399,10.14,33.85,18.31,41.51,16.27083333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-02-09,0.322,0.309,0.364,17.85,78.08,4.31,10.84,21.55791667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-02-10,0.496,0.492,0.492,31.95,26.4,23.79,11.29,21.46041667,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-02-11,0,0,0,17.66,9.93,18.71,3.06,18.12666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-12,0.485,0.49,0.5,17.68,35.26,15.21,4.18,22.58833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-13,0.503,0.504,0.51,38.75,42.17,12.66,12.94,25.79,,Aceptable,Aceptable,Aceptable,Deseable,Deseable
2018-02-14,0.397,0.386,0.37,18.47,42.21,13.77,8.01,20.94916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-15,0,0,0,8.57,36.09,18.05,38.85,18.62958333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-02-16,0,0,0,26.13,34.98,19.9,11.61,21.16625,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-02-17,0,0,0,34.34,23.8,8.33,16.7,24.21958333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-02-18,0,0,0,14.8,57.37,32.18,12.71,19.0075,,Deseable,Deseable,Precaucion,Aceptable,Deseable
2018-02-19,0,0,0,5.92,23.49,2,1.3,10.27,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-20,0,0,0,9.45,27.08,28.45,6.41,18.23333333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-02-21,0.307,0.312,0.233,14.12,36.54,21.96,5.69,15.77,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-22,0,0,0,7.07,19.7,0,0.11,15.95,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-23,0,0,0,7.53,16.71,20.37,7.12,14.08458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0,0,0,8.35,12.69,9.29,0.91,12.445,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0.321,0.314,0.299,9.73,36.35,20.52,6.71,15.96833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-26,0.538,0.54,0.559,16.85,27.64,20.77,16.19,16.20958333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-27,0,0,0,13.54,34.5,9.71,13.38,18.12666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-28,0,0,0,42.93,34.54,33.65,5.25,17.91375,,Deseable,Aceptable,Aceptable,Aceptable,Deseable
2018-03-01,0.334,0.32,0.305,31.05,53.88,25.63,22.24,22.8725,,Deseable,Aceptable,Precaucion,Aceptable,Deseable
