Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_mean,21.829,725.081
Carapungo,IQCA,Aceptable,AOD_mean,123.984,674.532
Carapungo,IQCA,Incorrecto,AOD_mean,190.885,585.153
SanAntonio,IQCA,Deseable,AOD_mean,36.663,608.392
SanAntonio,IQCA,Aceptable,AOD_mean,159.33,588.587
SanAntonio,IQCA,Precaucion,AOD_mean,181.215,181.215
SanAntonio,IQCA,Incorrecto,AOD_mean,22.36,629.0
Tumbaco,IQCA,Deseable,AOD_mean,39.363,721.499
Tumbaco,IQCA,Aceptable,AOD_mean,90.206,521.95
Tumbaco,IQCA,Incorrecto,AOD_mean,183.439,513.6
Guamani,IQCA,Deseable,AOD_mean,41.329,1229.567
Guamani,IQCA,Aceptable,AOD_mean,179.901,833.603
Guamani,IQCA,Precaucion,AOD_mean,280.927,521.869
Guamani,IQCA,Incorrecto,AOD_mean,237.546,532.606
Cotocollao,IQCA,Deseable,AOD_mean,24.268,693.804
Cotocollao,IQCA,Aceptable,AOD_mean,253.115,582.619
Cotocollao,IQCA,Precaucion,AOD_mean,268.524,268.524
Cotocollao,IQCA,Incorrecto,AOD_mean,312.0,576.0
Belisario,IQCA,Deseable,AOD_mean,27.34,842.773
Belisario,IQCA,Aceptable,AOD_mean,172.906,584.982
Belisario,IQCA,Precaucion,AOD_mean,369.098,369.098
Belisario,IQCA,Incorrecto,AOD_mean,302.085,421.333
Centro,IQCA,Deseable,AOD_mean,20.045,962.826
Centro,IQCA,Aceptable,AOD_mean,122.312,613.827
Centro,IQCA,Incorrecto,AOD_mean,349.755,512.0
LosChillos,IQCA,Deseable,AOD_mean,39.148,1004.389
LosChillos,IQCA,Aceptable,AOD_mean,100.582,533.718
LosChillos,IQCA,Precaucion,AOD_mean,330.664,330.664
LosChillos,IQCA,Incorrecto,AOD_mean,31.887,2038.685
ElCamal,IQCA,Deseable,AOD_mean,50.268,1315.653
ElCamal,IQCA,Aceptable,AOD_mean,11.308,682.0
ElCamal,IQCA,Incorrecto,AOD_mean,50.707,840.499
