Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.033,0.728
Carapungo,IQCA,Deseable,AOD_mediana,0.03,0.734
Carapungo,IQCA,Deseable,AOD_moda,0.002,0.734
Carapungo,IQCA,Aceptable,AOD_media,0.062,0.579
Carapungo,IQCA,Aceptable,AOD_mediana,0.047,0.579
Carapungo,IQCA,Aceptable,AOD_moda,0.004,0.581
Carapungo,IQCA,Precaucion,AOD_media,0.052,0.305
Carapungo,IQCA,Precaucion,AOD_mediana,0.048,0.299
Carapungo,IQCA,Precaucion,AOD_moda,0.016,0.296
Carapungo,IQCA,Incorrecto,AOD_media,0.196,0.585
Carapungo,IQCA,Incorrecto,AOD_mediana,0.191,0.577
Carapungo,IQCA,Incorrecto,AOD_moda,0.15,0.599
Carapungo,IQCA_1,Deseable,AOD_media,0.089,0.728
Carapungo,IQCA_1,Deseable,AOD_mediana,0.07,0.734
Carapungo,IQCA_1,Deseable,AOD_moda,0.004,0.734
Carapungo,IQCA_1,Aceptable,AOD_media,0.062,0.598
Carapungo,IQCA_1,Aceptable,AOD_mediana,0.047,0.598
Carapungo,IQCA_1,Aceptable,AOD_moda,0.034,0.598
Carapungo,IQCA_1,Precaucion,AOD_media,0.388,0.579
Carapungo,IQCA_1,Precaucion,AOD_mediana,0.383,0.579
Carapungo,IQCA_1,Precaucion,AOD_moda,0.358,0.567
Carapungo,IQCA_1,Alerta,AOD_media,0.193,0.345
Carapungo,IQCA_1,Alerta,AOD_mediana,0.196,0.348
Carapungo,IQCA_1,Alerta,AOD_moda,0.183,0.305
Carapungo,IQCA_1,Incorrecto,AOD_media,0.033,0.68
Carapungo,IQCA_1,Incorrecto,AOD_mediana,0.03,0.725
Carapungo,IQCA_1,Incorrecto,AOD_moda,0.002,0.725
Carapungo,IQCA_7,Deseable,AOD_media,0.113,0.728
Carapungo,IQCA_7,Deseable,AOD_mediana,0.095,0.734
Carapungo,IQCA_7,Deseable,AOD_moda,0.007,0.734
Carapungo,IQCA_7,Aceptable,AOD_media,0.062,0.621
Carapungo,IQCA_7,Aceptable,AOD_mediana,0.047,0.619
Carapungo,IQCA_7,Aceptable,AOD_moda,0.005,0.613
Carapungo,IQCA_7,Precaucion,AOD_media,0.089,0.593
Carapungo,IQCA_7,Precaucion,AOD_mediana,0.07,0.594
Carapungo,IQCA_7,Precaucion,AOD_moda,0.004,0.589
Carapungo,IQCA_7,Incorrecto,AOD_media,0.033,0.68
Carapungo,IQCA_7,Incorrecto,AOD_mediana,0.03,0.725
Carapungo,IQCA_7,Incorrecto,AOD_moda,0.002,0.725
Carapungo,IQCA_14,Deseable,AOD_media,0.049,0.728
Carapungo,IQCA_14,Deseable,AOD_mediana,0.044,0.734
Carapungo,IQCA_14,Deseable,AOD_moda,0.005,0.734
Carapungo,IQCA_14,Aceptable,AOD_media,0.089,0.619
Carapungo,IQCA_14,Aceptable,AOD_mediana,0.07,0.656
Carapungo,IQCA_14,Aceptable,AOD_moda,0.007,0.72
Carapungo,IQCA_14,Precaucion,AOD_media,0.062,0.557
Carapungo,IQCA_14,Precaucion,AOD_mediana,0.047,0.557
Carapungo,IQCA_14,Precaucion,AOD_moda,0.004,0.557
Carapungo,IQCA_14,Incorrecto,AOD_media,0.033,0.68
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.03,0.725
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.002,0.725
Carapungo,IQCA_18,Deseable,AOD_media,0.1,0.728
Carapungo,IQCA_18,Deseable,AOD_mediana,0.095,0.734
Carapungo,IQCA_18,Deseable,AOD_moda,0.004,0.734
Carapungo,IQCA_18,Aceptable,AOD_media,0.049,0.608
Carapungo,IQCA_18,Aceptable,AOD_mediana,0.044,0.604
Carapungo,IQCA_18,Aceptable,AOD_moda,0.034,0.604
Carapungo,IQCA_18,Precaucion,AOD_media,0.092,0.498
Carapungo,IQCA_18,Precaucion,AOD_mediana,0.088,0.499
Carapungo,IQCA_18,Precaucion,AOD_moda,0.071,0.499
Carapungo,IQCA_18,Incorrecto,AOD_media,0.033,0.68
Carapungo,IQCA_18,Incorrecto,AOD_mediana,0.03,0.725
Carapungo,IQCA_18,Incorrecto,AOD_moda,0.002,0.725
SanAntonio,IQCA,Deseable,AOD_media,0.036,0.629
SanAntonio,IQCA,Deseable,AOD_mediana,0.019,0.629
SanAntonio,IQCA,Deseable,AOD_moda,0.001,0.674
SanAntonio,IQCA,Aceptable,AOD_media,0.112,0.59
SanAntonio,IQCA,Aceptable,AOD_mediana,0.1,0.593
SanAntonio,IQCA,Aceptable,AOD_moda,0.069,0.593
SanAntonio,IQCA,Precaucion,AOD_media,0.16,0.436
SanAntonio,IQCA,Precaucion,AOD_mediana,0.163,0.436
SanAntonio,IQCA,Precaucion,AOD_moda,0.107,0.436
SanAntonio,IQCA,Incorrecto,AOD_media,0.022,0.595
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.021,0.595
SanAntonio,IQCA,Incorrecto,AOD_moda,0.015,0.595
SanAntonio,IQCA_1,Deseable,AOD_media,0.042,0.61
SanAntonio,IQCA_1,Deseable,AOD_mediana,0.019,0.599
