Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_mean,7.506,725.081
Carapungo,IQCA,Aceptable,AOD_mean,16.495,674.532
Carapungo,IQCA,Precaucion,AOD_mean,133.754,469.358
Carapungo,IQCA,Incorrecto,AOD_mean,33.333,585.153
SanAntonio,IQCA,Deseable,AOD_mean,15.615,608.392
SanAntonio,IQCA,Aceptable,AOD_mean,12.082,588.587
SanAntonio,IQCA,Precaucion,AOD_mean,181.215,582.621
SanAntonio,IQCA,Incorrecto,AOD_mean,22.36,629.0
Tumbaco,IQCA,Deseable,AOD_mean,8.296,860.079
Tumbaco,IQCA,Aceptable,AOD_mean,0.472,521.95
Tumbaco,IQCA,Incorrecto,AOD_mean,134.867,517.071
Guamani,IQCA,Deseable,AOD_mean,22.587,1229.567
Guamani,IQCA,Aceptable,AOD_mean,0.907,833.603
Guamani,IQCA,Precaucion,AOD_mean,280.927,521.869
Guamani,IQCA,Incorrecto,AOD_mean,48.015,554.562
Cotocollao,IQCA,Deseable,AOD_mean,4.366,693.804
Cotocollao,IQCA,Aceptable,AOD_mean,41.035,582.619
Cotocollao,IQCA,Precaucion,AOD_mean,164.31,268.524
Cotocollao,IQCA,Incorrecto,AOD_mean,165.07,576.0
Belisario,IQCA,Deseable,AOD_mean,17.61,842.773
Belisario,IQCA,Aceptable,AOD_mean,7.514,584.982
Belisario,IQCA,Precaucion,AOD_mean,92.401,369.098
Belisario,IQCA,Incorrecto,AOD_mean,25.715,464.473
Centro,IQCA,Deseable,AOD_mean,5.0,962.826
Centro,IQCA,Aceptable,AOD_mean,10.435,613.827
Centro,IQCA,Precaucion,AOD_mean,96.162,370.907
Centro,IQCA,Incorrecto,AOD_mean,103.283,512.0
LosChillos,IQCA,Deseable,AOD_mean,2.664,1004.389
LosChillos,IQCA,Aceptable,AOD_mean,78.413,606.679
LosChillos,IQCA,Precaucion,AOD_mean,330.664,330.664
LosChillos,IQCA,Incorrecto,AOD_mean,31.887,2038.685
ElCamal,IQCA,Deseable,AOD_mean,12.514,1315.653
ElCamal,IQCA,Aceptable,AOD_mean,11.308,682.0
ElCamal,IQCA,Precaucion,AOD_mean,84.401,84.401
ElCamal,IQCA,Incorrecto,AOD_mean,20.499,840.499
