Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.151,0.608
Carapungo,IQCA,Deseable,AOD_mediana,0.152,0.604
Carapungo,IQCA,Deseable,AOD_moda,0.111,0.604
Carapungo,IQCA,Aceptable,AOD_media,0.193,0.429
Carapungo,IQCA,Aceptable,AOD_mediana,0.196,0.409
Carapungo,IQCA,Aceptable,AOD_moda,0.183,0.401
Carapungo,IQCA_1,Deseable,AOD_media,0.151,0.608
Carapungo,IQCA_1,Deseable,AOD_mediana,0.152,0.604
Carapungo,IQCA_1,Deseable,AOD_moda,0.111,0.604
Carapungo,IQCA_1,Aceptable,AOD_media,0.294,0.54
Carapungo,IQCA_1,Aceptable,AOD_mediana,0.295,0.54
Carapungo,IQCA_1,Aceptable,AOD_moda,0.273,0.555
Carapungo,IQCA_1,Alerta,AOD_media,0.193,0.193
Carapungo,IQCA_1,Alerta,AOD_mediana,0.196,0.196
Carapungo,IQCA_1,Alerta,AOD_moda,0.183,0.183
Carapungo,IQCA_1,Incorrecto,AOD_media,0.231,0.231
Carapungo,IQCA_1,Incorrecto,AOD_mediana,0.235,0.235
Carapungo,IQCA_1,Incorrecto,AOD_moda,0.25,0.25
Carapungo,IQCA_7,Deseable,AOD_media,0.151,0.547
Carapungo,IQCA_7,Deseable,AOD_mediana,0.152,0.548
Carapungo,IQCA_7,Deseable,AOD_moda,0.111,0.555
Carapungo,IQCA_7,Aceptable,AOD_media,0.21,0.608
Carapungo,IQCA_7,Aceptable,AOD_mediana,0.202,0.604
Carapungo,IQCA_7,Aceptable,AOD_moda,0.195,0.604
Carapungo,IQCA_7,Precaucion,AOD_media,0.31,0.547
Carapungo,IQCA_7,Precaucion,AOD_mediana,0.321,0.561
Carapungo,IQCA_7,Precaucion,AOD_moda,0.321,0.538
Carapungo,IQCA_7,Incorrecto,AOD_media,0.231,0.231
Carapungo,IQCA_7,Incorrecto,AOD_mediana,0.235,0.235
Carapungo,IQCA_7,Incorrecto,AOD_moda,0.25,0.25
Carapungo,IQCA_14,Deseable,AOD_media,0.151,0.608
Carapungo,IQCA_14,Deseable,AOD_mediana,0.152,0.604
Carapungo,IQCA_14,Deseable,AOD_moda,0.111,0.604
Carapungo,IQCA_14,Aceptable,AOD_media,0.219,0.491
Carapungo,IQCA_14,Aceptable,AOD_mediana,0.207,0.482
Carapungo,IQCA_14,Aceptable,AOD_moda,0.195,0.555
Carapungo,IQCA_14,Incorrecto,AOD_media,0.455,0.455
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.447,0.447
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.429,0.429
Carapungo,IQCA_18,Deseable,AOD_media,0.151,0.569
Carapungo,IQCA_18,Deseable,AOD_mediana,0.152,0.569
Carapungo,IQCA_18,Deseable,AOD_moda,0.111,0.569
Carapungo,IQCA_18,Aceptable,AOD_media,0.21,0.608
Carapungo,IQCA_18,Aceptable,AOD_mediana,0.202,0.604
Carapungo,IQCA_18,Aceptable,AOD_moda,0.195,0.604
SanAntonio,IQCA,Deseable,AOD_media,0.119,0.585
SanAntonio,IQCA,Deseable,AOD_mediana,0.121,0.587
SanAntonio,IQCA,Deseable,AOD_moda,0.111,0.589
SanAntonio,IQCA,Aceptable,AOD_media,0.222,0.298
SanAntonio,IQCA,Aceptable,AOD_mediana,0.22,0.26
SanAntonio,IQCA,Aceptable,AOD_moda,0.202,0.271
SanAntonio,IQCA,Precaucion,AOD_media,0.16,0.16
SanAntonio,IQCA,Precaucion,AOD_mediana,0.163,0.163
SanAntonio,IQCA,Precaucion,AOD_moda,0.107,0.107
SanAntonio,IQCA_1,Deseable,AOD_media,0.119,0.585
SanAntonio,IQCA_1,Deseable,AOD_mediana,0.121,0.587
SanAntonio,IQCA_1,Deseable,AOD_moda,0.111,0.589
SanAntonio,IQCA_1,Alerta,AOD_media,0.16,0.16
SanAntonio,IQCA_1,Alerta,AOD_mediana,0.163,0.163
SanAntonio,IQCA_1,Alerta,AOD_moda,0.107,0.107
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.184,0.574
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.184,0.574
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.176,0.549
SanAntonio,IQCA_7,Deseable,AOD_media,0.119,0.585
SanAntonio,IQCA_7,Deseable,AOD_mediana,0.121,0.587
SanAntonio,IQCA_7,Deseable,AOD_moda,0.107,0.589
SanAntonio,IQCA_7,Aceptable,AOD_media,0.193,0.537
SanAntonio,IQCA_7,Aceptable,AOD_mediana,0.191,0.538
SanAntonio,IQCA_7,Aceptable,AOD_moda,0.135,0.582
SanAntonio,IQCA_7,Precaucion,AOD_media,0.254,0.254
SanAntonio,IQCA_7,Precaucion,AOD_mediana,0.236,0.236
SanAntonio,IQCA_7,Precaucion,AOD_moda,0.234,0.234
SanAntonio,IQCA_14,Deseable,AOD_media,0.119,0.585
SanAntonio,IQCA_14,Deseable,AOD_mediana,0.121,0.587
SanAntonio,IQCA_14,Deseable,AOD_moda,0.111,0.589
SanAntonio,IQCA_14,Aceptable,AOD_media,0.193,0.574
SanAntonio,IQCA_14,Aceptable,AOD_mediana,0.198,0.574
SanAntonio,IQCA_14,Aceptable,AOD_moda,0.135,0.549
SanAntonio,IQCA_14,Precaucion,AOD_media,0.16,0.298
SanAntonio,IQCA_14,Precaucion,AOD_mediana,0.163,0.26
SanAntonio,IQCA_14,Precaucion,AOD_moda,0.107,0.271
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.313,0.471
SanAntonio,IQCA_14,Incorrecto,AOD_mediana,0.328,0.47
SanAntonio,IQCA_14,Incorrecto,AOD_moda,0.227,0.47
SanAntonio,IQCA_18,Deseable,AOD_media,0.119,0.585
SanAntonio,IQCA_18,Deseable,AOD_mediana,0.121,0.587
SanAntonio,IQCA_18,Deseable,AOD_moda,0.107,0.589
SanAntonio,IQCA_18,Aceptable,AOD_media,0.193,0.574
SanAntonio,IQCA_18,Aceptable,AOD_mediana,0.191,0.574
SanAntonio,IQCA_18,Aceptable,AOD_moda,0.135,0.549
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.313,0.313
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.328,0.328
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.227,0.227
Tumbaco,IQCA,Deseable,AOD_media,0.099,0.552
Tumbaco,IQCA,Deseable,AOD_mediana,0.097,0.552
Tumbaco,IQCA,Deseable,AOD_moda,0.067,0.578
Tumbaco,IQCA,Aceptable,AOD_media,0.18,0.18
Tumbaco,IQCA,Aceptable,AOD_mediana,0.182,0.182
Tumbaco,IQCA,Aceptable,AOD_moda,0.146,0.146
Tumbaco,IQCA_1,Deseable,AOD_media,0.099,0.552
Tumbaco,IQCA_1,Deseable,AOD_mediana,0.097,0.552
Tumbaco,IQCA_1,Deseable,AOD_moda,0.067,0.552
Tumbaco,IQCA_1,Aceptable,AOD_media,0.199,0.263
Tumbaco,IQCA_1,Aceptable,AOD_mediana,0.198,0.259
Tumbaco,IQCA_1,Aceptable,AOD_moda,0.187,0.26
Tumbaco,IQCA_1,Alarma,AOD_media,0.18,0.18
Tumbaco,IQCA_1,Alarma,AOD_mediana,0.182,0.182
Tumbaco,IQCA_1,Alarma,AOD_moda,0.146,0.146
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.263,0.541
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.255,0.538
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.239,0.578
Tumbaco,IQCA_7,Deseable,AOD_media,0.099,0.552
Tumbaco,IQCA_7,Deseable,AOD_mediana,0.097,0.552
Tumbaco,IQCA_7,Deseable,AOD_moda,0.067,0.552
Tumbaco,IQCA_7,Aceptable,AOD_media,0.199,0.337
Tumbaco,IQCA_7,Aceptable,AOD_mediana,0.196,0.332
Tumbaco,IQCA_7,Aceptable,AOD_moda,0.18,0.346
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.255,0.541
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.255,0.538
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.239,0.578
Tumbaco,IQCA_14,Deseable,AOD_media,0.099,0.552
Tumbaco,IQCA_14,Deseable,AOD_mediana,0.097,0.552
Tumbaco,IQCA_14,Deseable,AOD_moda,0.067,0.552
Tumbaco,IQCA_14,Aceptable,AOD_media,0.167,0.44
Tumbaco,IQCA_14,Aceptable,AOD_mediana,0.164,0.436
Tumbaco,IQCA_14,Aceptable,AOD_moda,0.136,0.397
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.541,0.541
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.538,0.538
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.578,0.578
Tumbaco,IQCA_18,Deseable,AOD_media,0.157,0.552
Tumbaco,IQCA_18,Deseable,AOD_mediana,0.16,0.552
Tumbaco,IQCA_18,Deseable,AOD_moda,0.085,0.552
Tumbaco,IQCA_18,Aceptable,AOD_media,0.099,0.441
Tumbaco,IQCA_18,Aceptable,AOD_mediana,0.097,0.44
Tumbaco,IQCA_18,Aceptable,AOD_moda,0.067,0.41
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.468,0.541
Tumbaco,IQCA_18,Incorrecto,AOD_mediana,0.468,0.538
Tumbaco,IQCA_18,Incorrecto,AOD_moda,0.418,0.578
Guamani,IQCA,Deseable,AOD_media,0.207,0.534
Guamani,IQCA,Deseable,AOD_mediana,0.202,0.549
Guamani,IQCA,Deseable,AOD_moda,0.152,0.585
Guamani,IQCA,Aceptable,AOD_media,0.21,0.413
Guamani,IQCA,Aceptable,AOD_mediana,0.205,0.412
Guamani,IQCA,Aceptable,AOD_moda,0.169,0.412
Guamani,IQCA_1,Deseable,AOD_media,0.207,0.534
Guamani,IQCA_1,Deseable,AOD_mediana,0.202,0.549
Guamani,IQCA_1,Deseable,AOD_moda,0.152,0.585
Guamani,IQCA_1,Aceptable,AOD_media,0.327,0.327
Guamani,IQCA_1,Aceptable,AOD_mediana,0.327,0.327
Guamani,IQCA_1,Aceptable,AOD_moda,0.261,0.261
Guamani,IQCA_1,Precaucion,AOD_media,0.52,0.52
Guamani,IQCA_1,Precaucion,AOD_mediana,0.52,0.52
Guamani,IQCA_1,Precaucion,AOD_moda,0.52,0.52
Guamani,IQCA_1,Alarma,AOD_media,0.21,0.21
Guamani,IQCA_1,Alarma,AOD_mediana,0.205,0.205
Guamani,IQCA_1,Alarma,AOD_moda,0.169,0.169
Guamani,IQCA_1,Incorrecto,AOD_media,0.249,0.397
Guamani,IQCA_1,Incorrecto,AOD_mediana,0.241,0.398
Guamani,IQCA_1,Incorrecto,AOD_moda,0.239,0.285
Guamani,IQCA_7,Deseable,AOD_media,0.207,0.52
Guamani,IQCA_7,Deseable,AOD_mediana,0.202,0.52
Guamani,IQCA_7,Deseable,AOD_moda,0.152,0.52
Guamani,IQCA_7,Aceptable,AOD_media,0.327,0.534
Guamani,IQCA_7,Aceptable,AOD_mediana,0.327,0.549
Guamani,IQCA_7,Aceptable,AOD_moda,0.261,0.585
Guamani,IQCA_7,Precaucion,AOD_media,0.364,0.364
Guamani,IQCA_7,Precaucion,AOD_mediana,0.336,0.336
Guamani,IQCA_7,Precaucion,AOD_moda,0.332,0.332
Guamani,IQCA_7,Incorrecto,AOD_media,0.274,0.397
Guamani,IQCA_7,Incorrecto,AOD_mediana,0.267,0.398
Guamani,IQCA_7,Incorrecto,AOD_moda,0.245,0.285
Guamani,IQCA_14,Deseable,AOD_media,0.207,0.534
Guamani,IQCA_14,Deseable,AOD_mediana,0.202,0.549
Guamani,IQCA_14,Deseable,AOD_moda,0.152,0.585
Guamani,IQCA_14,Aceptable,AOD_media,0.324,0.523
Guamani,IQCA_14,Aceptable,AOD_mediana,0.326,0.522
Guamani,IQCA_14,Aceptable,AOD_moda,0.362,0.522
Guamani,IQCA_14,Precaucion,AOD_media,0.275,0.275
Guamani,IQCA_14,Precaucion,AOD_mediana,0.267,0.267
Guamani,IQCA_14,Precaucion,AOD_moda,0.262,0.262
Guamani,IQCA_14,Incorrecto,AOD_media,0.397,0.397
Guamani,IQCA_14,Incorrecto,AOD_mediana,0.398,0.398
Guamani,IQCA_14,Incorrecto,AOD_moda,0.285,0.285
Guamani,IQCA_18,Deseable,AOD_media,0.207,0.534
Guamani,IQCA_18,Deseable,AOD_mediana,0.202,0.549
Guamani,IQCA_18,Deseable,AOD_moda,0.152,0.585
Guamani,IQCA_18,Aceptable,AOD_media,0.274,0.481
Guamani,IQCA_18,Aceptable,AOD_mediana,0.268,0.479
Guamani,IQCA_18,Aceptable,AOD_moda,0.222,0.471
Guamani,IQCA_18,Incorrecto,AOD_media,0.397,0.397
Guamani,IQCA_18,Incorrecto,AOD_mediana,0.398,0.398
