Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.152,0.594
Carapungo,IQCA,Deseable,AOD_mediana,0.152,0.594
Carapungo,IQCA,Deseable,AOD_moda,0.125,0.599
Carapungo,IQCA,Aceptable,AOD_media,0.224,0.533
Carapungo,IQCA,Aceptable,AOD_mediana,0.222,0.533
Carapungo,IQCA,Aceptable,AOD_moda,0.222,0.529
Carapungo,IQCA_1,Deseable,AOD_media,0.175,0.594
Carapungo,IQCA_1,Deseable,AOD_mediana,0.179,0.594
Carapungo,IQCA_1,Deseable,AOD_moda,0.127,0.599
Carapungo,IQCA_1,Aceptable,AOD_media,0.152,0.533
Carapungo,IQCA_1,Aceptable,AOD_mediana,0.152,0.533
Carapungo,IQCA_1,Aceptable,AOD_moda,0.125,0.529
Carapungo,IQCA_7,Deseable,AOD_media,0.152,0.593
Carapungo,IQCA_7,Deseable,AOD_mediana,0.152,0.58
Carapungo,IQCA_7,Deseable,AOD_moda,0.125,0.599
Carapungo,IQCA_7,Aceptable,AOD_media,0.198,0.594
Carapungo,IQCA_7,Aceptable,AOD_mediana,0.179,0.594
Carapungo,IQCA_7,Aceptable,AOD_moda,0.127,0.594
Carapungo,IQCA_7,Precaucion,AOD_media,0.175,0.468
Carapungo,IQCA_7,Precaucion,AOD_mediana,0.182,0.481
Carapungo,IQCA_7,Precaucion,AOD_moda,0.187,0.481
Carapungo,IQCA_14,Deseable,AOD_media,0.152,0.594
Carapungo,IQCA_14,Deseable,AOD_mediana,0.152,0.594
Carapungo,IQCA_14,Deseable,AOD_moda,0.125,0.599
Carapungo,IQCA_14,Aceptable,AOD_media,0.198,0.509
Carapungo,IQCA_14,Aceptable,AOD_mediana,0.179,0.508
Carapungo,IQCA_14,Aceptable,AOD_moda,0.127,0.506
Carapungo,IQCA_14,Incorrecto,AOD_media,0.38,0.38
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.378,0.378
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.369,0.369
Carapungo,IQCA_18,Deseable,AOD_media,0.152,0.594
Carapungo,IQCA_18,Deseable,AOD_mediana,0.152,0.594
Carapungo,IQCA_18,Deseable,AOD_moda,0.125,0.599
Carapungo,IQCA_18,Aceptable,AOD_media,0.38,0.533
Carapungo,IQCA_18,Aceptable,AOD_mediana,0.378,0.533
Carapungo,IQCA_18,Aceptable,AOD_moda,0.369,0.529
SanAntonio,IQCA,Deseable,AOD_media,0.094,0.589
SanAntonio,IQCA,Deseable,AOD_mediana,0.094,0.589
SanAntonio,IQCA,Deseable,AOD_moda,0.057,0.589
SanAntonio,IQCA_1,Deseable,AOD_media,0.094,0.589
SanAntonio,IQCA_1,Deseable,AOD_mediana,0.094,0.589
SanAntonio,IQCA_1,Deseable,AOD_moda,0.057,0.589
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.294,0.535
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.282,0.55
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.247,0.5
SanAntonio,IQCA_7,Deseable,AOD_media,0.094,0.539
SanAntonio,IQCA_7,Deseable,AOD_mediana,0.094,0.553
SanAntonio,IQCA_7,Deseable,AOD_moda,0.08,0.535
SanAntonio,IQCA_7,Aceptable,AOD_media,0.112,0.589
SanAntonio,IQCA_7,Aceptable,AOD_mediana,0.107,0.589
SanAntonio,IQCA_7,Aceptable,AOD_moda,0.057,0.589
SanAntonio,IQCA_7,Precaucion,AOD_media,0.261,0.261
SanAntonio,IQCA_7,Precaucion,AOD_mediana,0.257,0.257
SanAntonio,IQCA_7,Precaucion,AOD_moda,0.301,0.301
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.36,0.36
SanAntonio,IQCA_7,Incorrecto,AOD_mediana,0.396,0.396
SanAntonio,IQCA_7,Incorrecto,AOD_moda,0.422,0.422
SanAntonio,IQCA_14,Deseable,AOD_media,0.094,0.589
SanAntonio,IQCA_14,Deseable,AOD_mediana,0.094,0.589
SanAntonio,IQCA_14,Deseable,AOD_moda,0.057,0.589
SanAntonio,IQCA_14,Aceptable,AOD_media,0.261,0.376
SanAntonio,IQCA_14,Aceptable,AOD_mediana,0.257,0.376
SanAntonio,IQCA_14,Aceptable,AOD_moda,0.271,0.38
SanAntonio,IQCA_18,Deseable,AOD_media,0.094,0.589
SanAntonio,IQCA_18,Deseable,AOD_mediana,0.094,0.589
SanAntonio,IQCA_18,Deseable,AOD_moda,0.057,0.589
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.336,0.535
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.316,0.55
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.236,0.5
Tumbaco,IQCA,Deseable,AOD_media,0.087,0.559
Tumbaco,IQCA,Deseable,AOD_mediana,0.094,0.578
Tumbaco,IQCA,Deseable,AOD_moda,0.042,0.578
Tumbaco,IQCA_1,Deseable,AOD_media,0.087,0.559
Tumbaco,IQCA_1,Deseable,AOD_mediana,0.094,0.578
Tumbaco,IQCA_1,Deseable,AOD_moda,0.042,0.578
Tumbaco,IQCA_1,Aceptable,AOD_media,0.093,0.464
Tumbaco,IQCA_1,Aceptable,AOD_mediana,0.099,0.474
Tumbaco,IQCA_1,Aceptable,AOD_moda,0.116,0.474
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.422,0.449
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.435,0.44
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.383,0.414
Tumbaco,IQCA_7,Deseable,AOD_media,0.087,0.547
Tumbaco,IQCA_7,Deseable,AOD_mediana,0.094,0.578
Tumbaco,IQCA_7,Deseable,AOD_moda,0.042,0.578
Tumbaco,IQCA_7,Aceptable,AOD_media,0.146,0.559
Tumbaco,IQCA_7,Aceptable,AOD_mediana,0.135,0.543
Tumbaco,IQCA_7,Aceptable,AOD_moda,0.104,0.543
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.342,0.449
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.336,0.44
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.328,0.414
Tumbaco,IQCA_14,Deseable,AOD_media,0.087,0.559
Tumbaco,IQCA_14,Deseable,AOD_mediana,0.094,0.578
Tumbaco,IQCA_14,Deseable,AOD_moda,0.042,0.578
Tumbaco,IQCA_14,Aceptable,AOD_media,0.424,0.424
Tumbaco,IQCA_14,Aceptable,AOD_mediana,0.425,0.425
Tumbaco,IQCA_14,Aceptable,AOD_moda,0.421,0.421
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.342,0.342
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.336,0.336
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.328,0.328
Tumbaco,IQCA_18,Deseable,AOD_media,0.093,0.559
Tumbaco,IQCA_18,Deseable,AOD_mediana,0.099,0.578
Tumbaco,IQCA_18,Deseable,AOD_moda,0.058,0.578
Tumbaco,IQCA_18,Aceptable,AOD_media,0.087,0.087
Tumbaco,IQCA_18,Aceptable,AOD_mediana,0.094,0.094
Tumbaco,IQCA_18,Aceptable,AOD_moda,0.042,0.042
Tumbaco,IQCA_18,Precaucion,AOD_media,0.222,0.222
Tumbaco,IQCA_18,Precaucion,AOD_mediana,0.213,0.213
Tumbaco,IQCA_18,Precaucion,AOD_moda,0.159,0.159
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.342,0.342
Tumbaco,IQCA_18,Incorrecto,AOD_mediana,0.336,0.336
Tumbaco,IQCA_18,Incorrecto,AOD_moda,0.328,0.328
Guamani,IQCA,Deseable,AOD_media,0.2,0.533
Guamani,IQCA,Deseable,AOD_mediana,0.194,0.539
Guamani,IQCA,Deseable,AOD_moda,0.142,0.555
Guamani,IQCA,Aceptable,AOD_media,0.207,0.85
Guamani,IQCA,Aceptable,AOD_mediana,0.197,0.926
Guamani,IQCA,Aceptable,AOD_moda,0.171,0.921
Guamani,IQCA_1,Deseable,AOD_media,0.2,0.85
Guamani,IQCA_1,Deseable,AOD_mediana,0.194,0.926
Guamani,IQCA_1,Deseable,AOD_moda,0.142,0.921
Guamani,IQCA_1,Aceptable,AOD_media,0.215,0.565
Guamani,IQCA_1,Aceptable,AOD_mediana,0.197,0.586
Guamani,IQCA_1,Aceptable,AOD_moda,0.225,0.586
Guamani,IQCA_1,Precaucion,AOD_media,0.21,0.21
