Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.043,0.592
Carapungo,IQCA,Deseable,AOD_mediana,0.044,0.592
Carapungo,IQCA,Deseable,AOD_moda,0.028,0.592
Carapungo,IQCA,Aceptable,AOD_media,0.209,0.209
Carapungo,IQCA,Aceptable,AOD_mediana,0.212,0.212
Carapungo,IQCA,Aceptable,AOD_moda,0.064,0.064
Carapungo,IQCA_1,Incorrecto,AOD_media,0.043,0.592
Carapungo,IQCA_1,Incorrecto,AOD_mediana,0.044,0.592
Carapungo,IQCA_1,Incorrecto,AOD_moda,0.028,0.592
Carapungo,IQCA_7,Incorrecto,AOD_media,0.043,0.592
Carapungo,IQCA_7,Incorrecto,AOD_mediana,0.044,0.592
Carapungo,IQCA_7,Incorrecto,AOD_moda,0.028,0.592
Carapungo,IQCA_14,Incorrecto,AOD_media,0.043,0.592
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.044,0.592
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.028,0.592
Carapungo,IQCA_18,Incorrecto,AOD_media,0.043,0.592
Carapungo,IQCA_18,Incorrecto,AOD_mediana,0.044,0.592
Carapungo,IQCA_18,Incorrecto,AOD_moda,0.028,0.592
SanAntonio,IQCA,Deseable,AOD_media,0.06,0.571
SanAntonio,IQCA,Deseable,AOD_mediana,0.06,0.571
SanAntonio,IQCA,Deseable,AOD_moda,0.044,0.571
SanAntonio,IQCA,Aceptable,AOD_media,0.118,0.35
SanAntonio,IQCA,Aceptable,AOD_mediana,0.117,0.345
SanAntonio,IQCA,Aceptable,AOD_moda,0.115,0.345
SanAntonio,IQCA,Incorrecto,AOD_media,0.193,0.361
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.158,0.358
SanAntonio,IQCA,Incorrecto,AOD_moda,0.112,0.358
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.06,0.571
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.06,0.571
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.044,0.571
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.06,0.571
SanAntonio,IQCA_7,Incorrecto,AOD_mediana,0.06,0.571
SanAntonio,IQCA_7,Incorrecto,AOD_moda,0.044,0.571
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.06,0.571
SanAntonio,IQCA_14,Incorrecto,AOD_mediana,0.06,0.571
SanAntonio,IQCA_14,Incorrecto,AOD_moda,0.044,0.571
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.06,0.571
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.06,0.571
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.044,0.571
Tumbaco,IQCA,Deseable,AOD_media,0.051,0.553
Tumbaco,IQCA,Deseable,AOD_mediana,0.05,0.552
Tumbaco,IQCA,Deseable,AOD_moda,0.031,0.55
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.051,0.553
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.05,0.552
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.031,0.55
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.051,0.553
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.05,0.552
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.031,0.55
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.051,0.553
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.05,0.552
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.031,0.55
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.051,0.553
Tumbaco,IQCA_18,Incorrecto,AOD_mediana,0.05,0.552
Tumbaco,IQCA_18,Incorrecto,AOD_moda,0.031,0.55
Guamani,IQCA,Deseable,AOD_media,0.05,0.48
Guamani,IQCA,Deseable,AOD_mediana,0.047,0.512
Guamani,IQCA,Deseable,AOD_moda,0.036,0.515
Guamani,IQCA,Incorrecto,AOD_media,0.177,0.177
Guamani,IQCA,Incorrecto,AOD_mediana,0.162,0.162
Guamani,IQCA,Incorrecto,AOD_moda,0.155,0.155
Guamani,IQCA_1,Incorrecto,AOD_media,0.05,0.48
Guamani,IQCA_1,Incorrecto,AOD_mediana,0.047,0.512
Guamani,IQCA_1,Incorrecto,AOD_moda,0.036,0.515
Guamani,IQCA_7,Incorrecto,AOD_media,0.05,0.48
Guamani,IQCA_7,Incorrecto,AOD_mediana,0.047,0.512
Guamani,IQCA_7,Incorrecto,AOD_moda,0.036,0.515
Guamani,IQCA_14,Incorrecto,AOD_media,0.05,0.48
Guamani,IQCA_14,Incorrecto,AOD_mediana,0.047,0.512
Guamani,IQCA_14,Incorrecto,AOD_moda,0.036,0.515
Guamani,IQCA_18,Incorrecto,AOD_media,0.05,0.48
Guamani,IQCA_18,Incorrecto,AOD_mediana,0.047,0.512
Guamani,IQCA_18,Incorrecto,AOD_moda,0.036,0.515
Cotocollao,IQCA,Deseable,AOD_media,0.049,0.581
Cotocollao,IQCA,Deseable,AOD_mediana,0.046,0.583
Cotocollao,IQCA,Deseable,AOD_moda,0.033,0.583
Cotocollao,IQCA_1,Incorrecto,AOD_media,0.049,0.581
