Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.085,0.543
Carapungo,IQCA,Deseable,AOD_mediana,0.064,0.542
Carapungo,IQCA,Deseable,AOD_moda,0.066,0.542
Carapungo,IQCA,Aceptable,AOD_media,0.301,0.47
Carapungo,IQCA,Aceptable,AOD_mediana,0.278,0.471
Carapungo,IQCA,Aceptable,AOD_moda,0.261,0.503
Carapungo,IQCA,Incorrecto,AOD_media,0.256,0.43
Carapungo,IQCA,Incorrecto,AOD_mediana,0.263,0.432
Carapungo,IQCA,Incorrecto,AOD_moda,0.263,0.423
Carapungo,IQCA_1,Incorrecto,AOD_media,0.085,0.543
Carapungo,IQCA_1,Incorrecto,AOD_mediana,0.064,0.542
Carapungo,IQCA_1,Incorrecto,AOD_moda,0.066,0.542
Carapungo,IQCA_7,Incorrecto,AOD_media,0.085,0.543
Carapungo,IQCA_7,Incorrecto,AOD_mediana,0.064,0.542
Carapungo,IQCA_7,Incorrecto,AOD_moda,0.066,0.542
Carapungo,IQCA_14,Incorrecto,AOD_media,0.085,0.543
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.064,0.542
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.066,0.542
Carapungo,IQCA_18,Incorrecto,AOD_media,0.085,0.543
Carapungo,IQCA_18,Incorrecto,AOD_mediana,0.064,0.542
Carapungo,IQCA_18,Incorrecto,AOD_moda,0.066,0.542
SanAntonio,IQCA,Deseable,AOD_media,0.036,0.579
SanAntonio,IQCA,Deseable,AOD_mediana,0.035,0.579
SanAntonio,IQCA,Deseable,AOD_moda,0.001,0.568
SanAntonio,IQCA,Incorrecto,AOD_media,0.164,0.588
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.168,0.588
SanAntonio,IQCA,Incorrecto,AOD_moda,0.05,0.588
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.036,0.588
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.035,0.588
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.001,0.588
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.036,0.588
SanAntonio,IQCA_7,Incorrecto,AOD_mediana,0.035,0.588
SanAntonio,IQCA_7,Incorrecto,AOD_moda,0.001,0.588
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.036,0.588
SanAntonio,IQCA_14,Incorrecto,AOD_mediana,0.035,0.588
SanAntonio,IQCA_14,Incorrecto,AOD_moda,0.001,0.588
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.036,0.588
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.035,0.588
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.001,0.588
Tumbaco,IQCA,Deseable,AOD_media,0.111,0.548
Tumbaco,IQCA,Deseable,AOD_mediana,0.11,0.536
Tumbaco,IQCA,Deseable,AOD_moda,0.057,0.543
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.111,0.548
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.11,0.536
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.057,0.543
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.111,0.548
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.11,0.536
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.057,0.543
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.111,0.548
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.11,0.536
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.057,0.543
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.111,0.548
Tumbaco,IQCA_18,Incorrecto,AOD_mediana,0.11,0.536
Tumbaco,IQCA_18,Incorrecto,AOD_moda,0.057,0.543
Guamani,IQCA,Deseable,AOD_media,0.109,0.597
Guamani,IQCA,Deseable,AOD_mediana,0.098,0.597
Guamani,IQCA,Deseable,AOD_moda,0.037,0.597
Guamani,IQCA,Aceptable,AOD_media,0.184,0.342
Guamani,IQCA,Aceptable,AOD_mediana,0.205,0.348
Guamani,IQCA,Aceptable,AOD_moda,0.182,0.375
Guamani,IQCA_1,Incorrecto,AOD_media,0.109,0.597
Guamani,IQCA_1,Incorrecto,AOD_mediana,0.098,0.597
Guamani,IQCA_1,Incorrecto,AOD_moda,0.037,0.597
Guamani,IQCA_7,Incorrecto,AOD_media,0.109,0.597
Guamani,IQCA_7,Incorrecto,AOD_mediana,0.098,0.597
Guamani,IQCA_7,Incorrecto,AOD_moda,0.037,0.597
Guamani,IQCA_14,Incorrecto,AOD_media,0.109,0.597
Guamani,IQCA_14,Incorrecto,AOD_mediana,0.098,0.597
Guamani,IQCA_14,Incorrecto,AOD_moda,0.037,0.597
Guamani,IQCA_18,Incorrecto,AOD_media,0.109,0.597
Guamani,IQCA_18,Incorrecto,AOD_mediana,0.098,0.597
Guamani,IQCA_18,Incorrecto,AOD_moda,0.037,0.597
Cotocollao,IQCA,Deseable,AOD_media,0.091,0.574
Cotocollao,IQCA,Deseable,AOD_mediana,0.08,0.573
Cotocollao,IQCA,Deseable,AOD_moda,0.039,0.573
Cotocollao,IQCA,Incorrecto,AOD_media,0.328,0.401
Cotocollao,IQCA,Incorrecto,AOD_mediana,0.321,0.41
Cotocollao,IQCA,Incorrecto,AOD_moda,0.321,0.373
Cotocollao,IQCA_1,Incorrecto,AOD_media,0.091,0.574
Cotocollao,IQCA_1,Incorrecto,AOD_mediana,0.08,0.573
Cotocollao,IQCA_1,Incorrecto,AOD_moda,0.039,0.573
Cotocollao,IQCA_7,Incorrecto,AOD_media,0.091,0.574
Cotocollao,IQCA_7,Incorrecto,AOD_mediana,0.08,0.573
Cotocollao,IQCA_7,Incorrecto,AOD_moda,0.039,0.573
Cotocollao,IQCA_14,Incorrecto,AOD_media,0.091,0.574
Cotocollao,IQCA_14,Incorrecto,AOD_mediana,0.08,0.573
Cotocollao,IQCA_14,Incorrecto,AOD_moda,0.039,0.573
Cotocollao,IQCA_18,Incorrecto,AOD_media,0.091,0.574
Cotocollao,IQCA_18,Incorrecto,AOD_mediana,0.08,0.573
Cotocollao,IQCA_18,Incorrecto,AOD_moda,0.039,0.573
Belisario,IQCA,Deseable,AOD_media,0.088,0.577
Belisario,IQCA,Deseable,AOD_mediana,0.084,0.578
Belisario,IQCA,Deseable,AOD_moda,0.062,0.564
Belisario,IQCA,Aceptable,AOD_media,0.203,0.43
Belisario,IQCA,Aceptable,AOD_mediana,0.199,0.375
Belisario,IQCA,Aceptable,AOD_moda,0.179,0.375
Belisario,IQCA_1,Incorrecto,AOD_media,0.088,0.577
Belisario,IQCA_1,Incorrecto,AOD_mediana,0.084,0.578
Belisario,IQCA_1,Incorrecto,AOD_moda,0.062,0.564
Belisario,IQCA_7,Incorrecto,AOD_media,0.088,0.577
Belisario,IQCA_7,Incorrecto,AOD_mediana,0.084,0.578
Belisario,IQCA_7,Incorrecto,AOD_moda,0.062,0.564
Belisario,IQCA_14,Incorrecto,AOD_media,0.088,0.577
Belisario,IQCA_14,Incorrecto,AOD_mediana,0.084,0.578
Belisario,IQCA_14,Incorrecto,AOD_moda,0.062,0.564
Belisario,IQCA_18,Incorrecto,AOD_media,0.088,0.577
Belisario,IQCA_18,Incorrecto,AOD_mediana,0.084,0.578
Belisario,IQCA_18,Incorrecto,AOD_moda,0.062,0.564
Centro,IQCA,Deseable,AOD_media,0.087,0.526
Centro,IQCA,Deseable,AOD_mediana,0.082,0.508
Centro,IQCA,Deseable,AOD_moda,0.067,0.552
Centro,IQCA_1,Incorrecto,AOD_media,0.087,0.526
Centro,IQCA_1,Incorrecto,AOD_mediana,0.082,0.508
Centro,IQCA_1,Incorrecto,AOD_moda,0.067,0.552
Centro,IQCA_7,Incorrecto,AOD_media,0.087,0.526
Centro,IQCA_7,Incorrecto,AOD_mediana,0.082,0.508
Centro,IQCA_7,Incorrecto,AOD_moda,0.067,0.552
Centro,IQCA_14,Incorrecto,AOD_media,0.087,0.526
Centro,IQCA_14,Incorrecto,AOD_mediana,0.082,0.508
Centro,IQCA_14,Incorrecto,AOD_moda,0.067,0.552
Centro,IQCA_18,Incorrecto,AOD_media,0.087,0.526
Centro,IQCA_18,Incorrecto,AOD_mediana,0.082,0.508
Centro,IQCA_18,Incorrecto,AOD_moda,0.067,0.552
LosChillos,IQCA,Deseable,AOD_media,0.132,0.564
LosChillos,IQCA,Deseable,AOD_mediana,0.1,0.56
LosChillos,IQCA,Deseable,AOD_moda,0.044,0.572
LosChillos,IQCA,Incorrecto,AOD_media,0.131,0.444
LosChillos,IQCA,Incorrecto,AOD_mediana,0.131,0.458
LosChillos,IQCA,Incorrecto,AOD_moda,0.135,0.462
LosChillos,IQCA_1,Incorrecto,AOD_media,0.131,0.564
LosChillos,IQCA_1,Incorrecto,AOD_mediana,0.1,0.56
LosChillos,IQCA_1,Incorrecto,AOD_moda,0.044,0.572
LosChillos,IQCA_7,Incorrecto,AOD_media,0.131,0.564
LosChillos,IQCA_7,Incorrecto,AOD_mediana,0.1,0.56
LosChillos,IQCA_7,Incorrecto,AOD_moda,0.044,0.572
LosChillos,IQCA_14,Incorrecto,AOD_media,0.131,0.564
LosChillos,IQCA_14,Incorrecto,AOD_mediana,0.1,0.56
LosChillos,IQCA_14,Incorrecto,AOD_moda,0.044,0.572
LosChillos,IQCA_18,Incorrecto,AOD_media,0.131,0.564
LosChillos,IQCA_18,Incorrecto,AOD_mediana,0.1,0.56
LosChillos,IQCA_18,Incorrecto,AOD_moda,0.044,0.572
ElCamal,IQCA,Incorrecto,AOD_media,0.102,0.516
ElCamal,IQCA,Incorrecto,AOD_mediana,0.091,0.524
ElCamal,IQCA,Incorrecto,AOD_moda,0.067,0.552
ElCamal,IQCA_1,Incorrecto,AOD_media,0.102,0.516
ElCamal,IQCA_1,Incorrecto,AOD_mediana,0.091,0.524
ElCamal,IQCA_1,Incorrecto,AOD_moda,0.067,0.552
ElCamal,IQCA_7,Incorrecto,AOD_media,0.102,0.516
ElCamal,IQCA_7,Incorrecto,AOD_mediana,0.091,0.524
ElCamal,IQCA_7,Incorrecto,AOD_moda,0.067,0.552
ElCamal,IQCA_14,Incorrecto,AOD_media,0.102,0.516
ElCamal,IQCA_14,Incorrecto,AOD_mediana,0.091,0.524
ElCamal,IQCA_14,Incorrecto,AOD_moda,0.067,0.552
ElCamal,IQCA_18,Incorrecto,AOD_media,0.102,0.516
ElCamal,IQCA_18,Incorrecto,AOD_mediana,0.091,0.524
ElCamal,IQCA_18,Incorrecto,AOD_moda,0.067,0.552
