Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.148,0.588
Carapungo,IQCA,Deseable,AOD_mediana,0.147,0.588
Carapungo,IQCA,Deseable,AOD_moda,0.138,0.592
Carapungo,IQCA_1,Deseable,AOD_media,0.148,0.588
Carapungo,IQCA_1,Deseable,AOD_mediana,0.147,0.588
Carapungo,IQCA_1,Deseable,AOD_moda,0.138,0.592
Carapungo,IQCA_1,Aceptable,AOD_media,0.277,0.538
Carapungo,IQCA_1,Aceptable,AOD_mediana,0.309,0.549
Carapungo,IQCA_1,Aceptable,AOD_moda,0.19,0.461
Carapungo,IQCA_7,Deseable,AOD_media,0.148,0.564
Carapungo,IQCA_7,Deseable,AOD_mediana,0.147,0.564
Carapungo,IQCA_7,Deseable,AOD_moda,0.138,0.592
Carapungo,IQCA_7,Aceptable,AOD_media,0.187,0.588
Carapungo,IQCA_7,Aceptable,AOD_mediana,0.181,0.588
Carapungo,IQCA_7,Aceptable,AOD_moda,0.181,0.588
Carapungo,IQCA_7,Precaucion,AOD_media,0.269,0.29
Carapungo,IQCA_7,Precaucion,AOD_mediana,0.291,0.304
Carapungo,IQCA_7,Precaucion,AOD_moda,0.206,0.317
Carapungo,IQCA_14,Deseable,AOD_media,0.187,0.574
Carapungo,IQCA_14,Deseable,AOD_mediana,0.181,0.582
Carapungo,IQCA_14,Deseable,AOD_moda,0.181,0.582
Carapungo,IQCA_14,Aceptable,AOD_media,0.148,0.588
Carapungo,IQCA_14,Aceptable,AOD_mediana,0.147,0.588
Carapungo,IQCA_14,Aceptable,AOD_moda,0.138,0.592
Carapungo,IQCA_18,Deseable,AOD_media,0.148,0.588
Carapungo,IQCA_18,Deseable,AOD_mediana,0.147,0.588
Carapungo,IQCA_18,Deseable,AOD_moda,0.138,0.592
Carapungo,IQCA_18,Aceptable,AOD_media,0.29,0.29
Carapungo,IQCA_18,Aceptable,AOD_mediana,0.304,0.304
Carapungo,IQCA_18,Aceptable,AOD_moda,0.317,0.317
SanAntonio,IQCA,Deseable,AOD_media,0.19,0.537
SanAntonio,IQCA,Deseable,AOD_mediana,0.17,0.551
SanAntonio,IQCA,Deseable,AOD_moda,0.089,0.551
SanAntonio,IQCA,Aceptable,AOD_media,0.22,0.22
SanAntonio,IQCA,Aceptable,AOD_mediana,0.212,0.212
SanAntonio,IQCA,Aceptable,AOD_moda,0.161,0.161
SanAntonio,IQCA,Incorrecto,AOD_media,0.102,0.568
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.105,0.582
SanAntonio,IQCA,Incorrecto,AOD_moda,0.015,0.582
SanAntonio,IQCA_1,Deseable,AOD_media,0.19,0.537
SanAntonio,IQCA_1,Deseable,AOD_mediana,0.17,0.551
SanAntonio,IQCA_1,Deseable,AOD_moda,0.089,0.551
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.102,0.568
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.105,0.582
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.015,0.582
SanAntonio,IQCA_7,Deseable,AOD_media,0.19,0.537
SanAntonio,IQCA_7,Deseable,AOD_mediana,0.17,0.551
SanAntonio,IQCA_7,Deseable,AOD_moda,0.089,0.551
SanAntonio,IQCA_7,Aceptable,AOD_media,0.311,0.537
SanAntonio,IQCA_7,Aceptable,AOD_mediana,0.294,0.537
SanAntonio,IQCA_7,Aceptable,AOD_moda,0.297,0.505
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.102,0.568
SanAntonio,IQCA_7,Incorrecto,AOD_mediana,0.105,0.582
SanAntonio,IQCA_7,Incorrecto,AOD_moda,0.015,0.582
SanAntonio,IQCA_14,Deseable,AOD_media,0.22,0.537
SanAntonio,IQCA_14,Deseable,AOD_mediana,0.212,0.547
SanAntonio,IQCA_14,Deseable,AOD_moda,0.089,0.547
SanAntonio,IQCA_14,Aceptable,AOD_media,0.19,0.537
SanAntonio,IQCA_14,Aceptable,AOD_mediana,0.17,0.551
SanAntonio,IQCA_14,Aceptable,AOD_moda,0.109,0.551
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.102,0.568
SanAntonio,IQCA_14,Incorrecto,AOD_mediana,0.105,0.582
SanAntonio,IQCA_14,Incorrecto,AOD_moda,0.015,0.582
SanAntonio,IQCA_18,Deseable,AOD_media,0.19,0.537
SanAntonio,IQCA_18,Deseable,AOD_mediana,0.17,0.551
SanAntonio,IQCA_18,Deseable,AOD_moda,0.089,0.551
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.102,0.568
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.105,0.582
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.015,0.582
Tumbaco,IQCA,Deseable,AOD_media,0.084,0.584
Tumbaco,IQCA,Deseable,AOD_mediana,0.081,0.59
Tumbaco,IQCA,Deseable,AOD_moda,0.053,0.59
Tumbaco,IQCA_1,Deseable,AOD_media,0.084,0.584
Tumbaco,IQCA_1,Deseable,AOD_mediana,0.081,0.59
Tumbaco,IQCA_1,Deseable,AOD_moda,0.053,0.59
Tumbaco,IQCA_1,Aceptable,AOD_media,0.197,0.437
Tumbaco,IQCA_1,Aceptable,AOD_mediana,0.201,0.406
Tumbaco,IQCA_1,Aceptable,AOD_moda,0.146,0.406
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.242,0.242
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.255,0.255
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.233,0.233
Tumbaco,IQCA_7,Deseable,AOD_media,0.084,0.584
Tumbaco,IQCA_7,Deseable,AOD_mediana,0.081,0.59
Tumbaco,IQCA_7,Deseable,AOD_moda,0.053,0.59
Tumbaco,IQCA_7,Aceptable,AOD_media,0.277,0.528
Tumbaco,IQCA_7,Aceptable,AOD_mediana,0.279,0.522
Tumbaco,IQCA_7,Aceptable,AOD_moda,0.294,0.522
Tumbaco,IQCA_7,Precaucion,AOD_media,0.325,0.325
Tumbaco,IQCA_7,Precaucion,AOD_mediana,0.311,0.311
Tumbaco,IQCA_7,Precaucion,AOD_moda,0.286,0.286
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.242,0.242
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.255,0.255
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.233,0.233
Tumbaco,IQCA_14,Deseable,AOD_media,0.084,0.584
Tumbaco,IQCA_14,Deseable,AOD_mediana,0.081,0.59
Tumbaco,IQCA_14,Deseable,AOD_moda,0.053,0.59
Tumbaco,IQCA_14,Aceptable,AOD_media,0.268,0.268
Tumbaco,IQCA_14,Aceptable,AOD_mediana,0.262,0.262
Tumbaco,IQCA_14,Aceptable,AOD_moda,0.331,0.331
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.301,0.301
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.301,0.301
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.301,0.301
Tumbaco,IQCA_18,Deseable,AOD_media,0.084,0.584
Tumbaco,IQCA_18,Deseable,AOD_mediana,0.081,0.59
Tumbaco,IQCA_18,Deseable,AOD_moda,0.053,0.59
Tumbaco,IQCA_18,Aceptable,AOD_media,0.335,0.578
Tumbaco,IQCA_18,Aceptable,AOD_mediana,0.349,0.578
Tumbaco,IQCA_18,Aceptable,AOD_moda,0.269,0.578
Guamani,IQCA,Deseable,AOD_media,0.133,0.558
Guamani,IQCA,Deseable,AOD_mediana,0.132,0.558
Guamani,IQCA,Deseable,AOD_moda,0.115,0.558
Guamani,IQCA,Aceptable,AOD_media,0.222,0.338
