Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.121,0.68
Carapungo,IQCA,Deseable,AOD_mediana,0.106,0.725
Carapungo,IQCA,Deseable,AOD_moda,0.064,0.725
Carapungo,IQCA,Aceptable,AOD_media,0.08,0.553
Carapungo,IQCA,Aceptable,AOD_mediana,0.064,0.554
Carapungo,IQCA,Aceptable,AOD_moda,0.058,0.534
Carapungo,IQCA,Incorrecto,AOD_media,0.196,0.293
Carapungo,IQCA,Incorrecto,AOD_mediana,0.191,0.294
Carapungo,IQCA,Incorrecto,AOD_moda,0.15,0.188
Carapungo,IQCA_1,Incorrecto,AOD_media,0.08,0.68
Carapungo,IQCA_1,Incorrecto,AOD_mediana,0.064,0.725
Carapungo,IQCA_1,Incorrecto,AOD_moda,0.058,0.725
Carapungo,IQCA_7,Incorrecto,AOD_media,0.08,0.68
Carapungo,IQCA_7,Incorrecto,AOD_mediana,0.064,0.725
Carapungo,IQCA_7,Incorrecto,AOD_moda,0.058,0.725
Carapungo,IQCA_14,Incorrecto,AOD_media,0.08,0.68
Carapungo,IQCA_14,Incorrecto,AOD_mediana,0.064,0.725
Carapungo,IQCA_14,Incorrecto,AOD_moda,0.058,0.725
Carapungo,IQCA_18,Incorrecto,AOD_media,0.08,0.68
Carapungo,IQCA_18,Incorrecto,AOD_mediana,0.064,0.725
Carapungo,IQCA_18,Incorrecto,AOD_moda,0.058,0.725
SanAntonio,IQCA,Deseable,AOD_media,0.115,0.44
SanAntonio,IQCA,Deseable,AOD_mediana,0.104,0.437
SanAntonio,IQCA,Deseable,AOD_moda,0.076,0.381
SanAntonio,IQCA,Aceptable,AOD_media,0.112,0.456
SanAntonio,IQCA,Aceptable,AOD_mediana,0.1,0.454
SanAntonio,IQCA,Aceptable,AOD_moda,0.08,0.467
SanAntonio,IQCA,Incorrecto,AOD_media,0.022,0.574
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.021,0.58
SanAntonio,IQCA,Incorrecto,AOD_moda,0.015,0.58
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.022,0.574
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.021,0.58
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.015,0.58
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.022,0.574
SanAntonio,IQCA_7,Incorrecto,AOD_mediana,0.021,0.58
SanAntonio,IQCA_7,Incorrecto,AOD_moda,0.015,0.58
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.022,0.574
SanAntonio,IQCA_14,Incorrecto,AOD_mediana,0.021,0.58
SanAntonio,IQCA_14,Incorrecto,AOD_moda,0.015,0.58
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.022,0.574
SanAntonio,IQCA_18,Incorrecto,AOD_mediana,0.021,0.58
SanAntonio,IQCA_18,Incorrecto,AOD_moda,0.015,0.58
Tumbaco,IQCA,Deseable,AOD_media,0.08,0.605
Tumbaco,IQCA,Deseable,AOD_mediana,0.08,0.593
Tumbaco,IQCA,Deseable,AOD_moda,0.021,0.593
Tumbaco,IQCA,Aceptable,AOD_media,0.084,0.4
Tumbaco,IQCA,Aceptable,AOD_mediana,0.084,0.404
Tumbaco,IQCA,Aceptable,AOD_moda,0.07,0.418
Tumbaco,IQCA,Incorrecto,AOD_media,0.172,0.378
Tumbaco,IQCA,Incorrecto,AOD_mediana,0.169,0.374
Tumbaco,IQCA,Incorrecto,AOD_moda,0.161,0.407
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.08,0.605
Tumbaco,IQCA_1,Incorrecto,AOD_mediana,0.08,0.593
Tumbaco,IQCA_1,Incorrecto,AOD_moda,0.021,0.593
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.08,0.605
Tumbaco,IQCA_7,Incorrecto,AOD_mediana,0.08,0.593
Tumbaco,IQCA_7,Incorrecto,AOD_moda,0.021,0.593
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.08,0.605
Tumbaco,IQCA_14,Incorrecto,AOD_mediana,0.08,0.593
Tumbaco,IQCA_14,Incorrecto,AOD_moda,0.021,0.593
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.08,0.605
Tumbaco,IQCA_18,Incorrecto,AOD_mediana,0.08,0.593
Tumbaco,IQCA_18,Incorrecto,AOD_moda,0.021,0.593
Guamani,IQCA,Deseable,AOD_media,0.074,0.554
Guamani,IQCA,Deseable,AOD_mediana,0.072,0.561
Guamani,IQCA,Deseable,AOD_moda,0.048,0.539
Guamani,IQCA,Aceptable,AOD_media,0.198,0.571
Guamani,IQCA,Aceptable,AOD_mediana,0.196,0.57
Guamani,IQCA,Aceptable,AOD_moda,0.199,0.566
Guamani,IQCA,Incorrecto,AOD_media,0.129,0.507
Guamani,IQCA,Incorrecto,AOD_mediana,0.128,0.504
Guamani,IQCA,Incorrecto,AOD_moda,0.138,0.524
Guamani,IQCA_1,Incorrecto,AOD_media,0.074,0.571
Guamani,IQCA_1,Incorrecto,AOD_mediana,0.072,0.57
Guamani,IQCA_1,Incorrecto,AOD_moda,0.048,0.566
Guamani,IQCA_7,Incorrecto,AOD_media,0.074,0.571
Guamani,IQCA_7,Incorrecto,AOD_mediana,0.072,0.57
Guamani,IQCA_7,Incorrecto,AOD_moda,0.048,0.566
Guamani,IQCA_14,Incorrecto,AOD_media,0.074,0.571
Guamani,IQCA_14,Incorrecto,AOD_mediana,0.072,0.57
Guamani,IQCA_14,Incorrecto,AOD_moda,0.048,0.566
Guamani,IQCA_18,Incorrecto,AOD_media,0.074,0.571
Guamani,IQCA_18,Incorrecto,AOD_mediana,0.072,0.57
Guamani,IQCA_18,Incorrecto,AOD_moda,0.048,0.566
Cotocollao,IQCA,Deseable,AOD_media,0.059,0.583
Cotocollao,IQCA,Deseable,AOD_mediana,0.056,0.578
Cotocollao,IQCA,Deseable,AOD_moda,0.029,0.597
Cotocollao,IQCA,Aceptable,AOD_media,0.142,0.516
Cotocollao,IQCA,Aceptable,AOD_mediana,0.14,0.524
Cotocollao,IQCA,Aceptable,AOD_moda,0.167,0.534
Cotocollao,IQCA,Precaucion,AOD_media,0.137,0.137
Cotocollao,IQCA,Precaucion,AOD_mediana,0.132,0.132
Cotocollao,IQCA,Precaucion,AOD_moda,0.116,0.116
Cotocollao,IQCA_1,Incorrecto,AOD_media,0.059,0.583
Cotocollao,IQCA_1,Incorrecto,AOD_mediana,0.056,0.578
Cotocollao,IQCA_1,Incorrecto,AOD_moda,0.029,0.597
Cotocollao,IQCA_7,Incorrecto,AOD_media,0.059,0.583
Cotocollao,IQCA_7,Incorrecto,AOD_mediana,0.056,0.578
Cotocollao,IQCA_7,Incorrecto,AOD_moda,0.029,0.597
Cotocollao,IQCA_14,Incorrecto,AOD_media,0.059,0.583
Cotocollao,IQCA_14,Incorrecto,AOD_mediana,0.056,0.578
Cotocollao,IQCA_14,Incorrecto,AOD_moda,0.029,0.597
Cotocollao,IQCA_18,Incorrecto,AOD_media,0.059,0.583
Cotocollao,IQCA_18,Incorrecto,AOD_mediana,0.056,0.578
Cotocollao,IQCA_18,Incorrecto,AOD_moda,0.029,0.597
Belisario,IQCA,Deseable,AOD_media,0.072,0.585
Belisario,IQCA,Deseable,AOD_mediana,0.072,0.589
Belisario,IQCA,Deseable,AOD_moda,0.031,0.59
Belisario,IQCA,Aceptable,AOD_media,0.107,0.58
Belisario,IQCA,Aceptable,AOD_mediana,0.106,0.58
Belisario,IQCA,Aceptable,AOD_moda,0.102,0.58
Belisario,IQCA,Precaucion,AOD_media,0.453,0.453
Belisario,IQCA,Precaucion,AOD_mediana,0.467,0.467
Belisario,IQCA,Precaucion,AOD_moda,0.475,0.475
Belisario,IQCA_1,Incorrecto,AOD_media,0.072,0.585
Belisario,IQCA_1,Incorrecto,AOD_mediana,0.072,0.589
Belisario,IQCA_1,Incorrecto,AOD_moda,0.031,0.59
Belisario,IQCA_7,Incorrecto,AOD_media,0.072,0.585
Belisario,IQCA_7,Incorrecto,AOD_mediana,0.072,0.589
Belisario,IQCA_7,Incorrecto,AOD_moda,0.031,0.59
Belisario,IQCA_14,Incorrecto,AOD_media,0.072,0.585
Belisario,IQCA_14,Incorrecto,AOD_mediana,0.072,0.589
Belisario,IQCA_14,Incorrecto,AOD_moda,0.031,0.59
Belisario,IQCA_18,Incorrecto,AOD_media,0.072,0.585
Belisario,IQCA_18,Incorrecto,AOD_mediana,0.072,0.589
Belisario,IQCA_18,Incorrecto,AOD_moda,0.031,0.59
Centro,IQCA,Deseable,AOD_media,0.066,0.63
Centro,IQCA,Deseable,AOD_mediana,0.059,0.663
Centro,IQCA,Deseable,AOD_moda,0.028,0.663
Centro,IQCA,Aceptable,AOD_media,0.169,0.577
Centro,IQCA,Aceptable,AOD_mediana,0.181,0.578
Centro,IQCA,Aceptable,AOD_moda,0.137,0.575
Centro,IQCA_1,Incorrecto,AOD_media,0.066,0.63
Centro,IQCA_1,Incorrecto,AOD_mediana,0.059,0.663
Centro,IQCA_1,Incorrecto,AOD_moda,0.028,0.663
Centro,IQCA_7,Incorrecto,AOD_media,0.066,0.63
Centro,IQCA_7,Incorrecto,AOD_mediana,0.059,0.663
Centro,IQCA_7,Incorrecto,AOD_moda,0.028,0.663
Centro,IQCA_14,Incorrecto,AOD_media,0.066,0.63
Centro,IQCA_14,Incorrecto,AOD_mediana,0.059,0.663
Centro,IQCA_14,Incorrecto,AOD_moda,0.028,0.663
Centro,IQCA_18,Incorrecto,AOD_media,0.066,0.63
Centro,IQCA_18,Incorrecto,AOD_mediana,0.059,0.663
Centro,IQCA_18,Incorrecto,AOD_moda,0.028,0.663
LosChillos,IQCA,Deseable,AOD_media,0.071,2.03
LosChillos,IQCA,Deseable,AOD_mediana,0.062,2.064
LosChillos,IQCA,Deseable,AOD_moda,0.036,2.064
LosChillos,IQCA,Aceptable,AOD_media,0.2,0.35
LosChillos,IQCA,Aceptable,AOD_mediana,0.209,0.363
LosChillos,IQCA,Aceptable,AOD_moda,0.177,0.294
LosChillos,IQCA,Incorrecto,AOD_media,0.1,0.511
LosChillos,IQCA,Incorrecto,AOD_mediana,0.098,0.507
LosChillos,IQCA,Incorrecto,AOD_moda,0.095,0.49
LosChillos,IQCA_1,Incorrecto,AOD_media,0.071,2.03
LosChillos,IQCA_1,Incorrecto,AOD_mediana,0.062,2.064
LosChillos,IQCA_1,Incorrecto,AOD_moda,0.036,2.064
LosChillos,IQCA_7,Incorrecto,AOD_media,0.071,2.03
LosChillos,IQCA_7,Incorrecto,AOD_mediana,0.062,2.064
LosChillos,IQCA_7,Incorrecto,AOD_moda,0.036,2.064
LosChillos,IQCA_14,Incorrecto,AOD_media,0.071,2.03
LosChillos,IQCA_14,Incorrecto,AOD_mediana,0.062,2.064
LosChillos,IQCA_14,Incorrecto,AOD_moda,0.036,2.064
LosChillos,IQCA_18,Incorrecto,AOD_media,0.071,2.03
LosChillos,IQCA_18,Incorrecto,AOD_mediana,0.062,2.064
LosChillos,IQCA_18,Incorrecto,AOD_moda,0.036,2.064
ElCamal,IQCA,Incorrecto,AOD_media,0.057,0.656
ElCamal,IQCA,Incorrecto,AOD_mediana,0.052,0.663
ElCamal,IQCA,Incorrecto,AOD_moda,0.028,0.663
ElCamal,IQCA_1,Incorrecto,AOD_media,0.057,0.656
ElCamal,IQCA_1,Incorrecto,AOD_mediana,0.052,0.663
ElCamal,IQCA_1,Incorrecto,AOD_moda,0.028,0.663
ElCamal,IQCA_7,Incorrecto,AOD_media,0.057,0.656
ElCamal,IQCA_7,Incorrecto,AOD_mediana,0.052,0.663
ElCamal,IQCA_7,Incorrecto,AOD_moda,0.028,0.663
ElCamal,IQCA_14,Incorrecto,AOD_media,0.057,0.656
ElCamal,IQCA_14,Incorrecto,AOD_mediana,0.052,0.663
ElCamal,IQCA_14,Incorrecto,AOD_moda,0.028,0.663
ElCamal,IQCA_18,Incorrecto,AOD_media,0.057,0.656
ElCamal,IQCA_18,Incorrecto,AOD_mediana,0.052,0.663
ElCamal,IQCA_18,Incorrecto,AOD_moda,0.028,0.663
