Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,155.09,1.87,8.08,17.42,30.71166667,,Aceptable,Alerta,Deseable,Deseable,Deseable
2018-01-02,0,12.15,23.77,31.12,21.72,20.15,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-01-03,0,11.55,16.64,28.14,19.22,24.54708333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-01-04,2.433,14.56,49.08,11.8,27.11,22.07916667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-05,0,16.23,37.11,14.89,22.06,24.11041667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,13.7,14.47,42.75,28.64,20.545,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-01-07,1.465,12.34,4.66,6.4,10.02,13.53666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-08,0.393,15.63,52.34,18.83,18.7,20.62458333,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-09,0,25.51,37.38,21,22.25,28.15666667,,Aceptable,Aceptable,Aceptable,Deseable,Deseable
2018-01-10,0,13.3,38.97,25.61,27.22,22.56416667,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-01-11,2.496,14.27,44.1,18.29,18.49,21.66333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-12,1.774,19.06,33.92,,28.98,24.63952381,,Deseable,Deseable,Aceptable,Incorrecto,Aceptable
2018-01-13,0.595,20.7,29.41,20.92,14.65,20.75458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-14,0.505,10.47,4.78,14.86,11.87,8.802916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,2.37,26.29,31.17,24.83,12.56208333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-16,0,3.43,29.48,8.32,19.82,21.50833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-17,0,14.03,32.36,21.31,26.99,17.57458333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-18,0,10.67,22.25,4.82,13.6,16.82541667,,Deseable,Deseable,Deseable,Deseable,Deseable
