Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,178,2.1,2.63,24.9,26.62375,,Aceptable,Alerta,Deseable,Deseable,Deseable
2018-01-02,0,30.09,87.23,31.21,27.94,32.23833333,,Aceptable,Aceptable,Precaucion,Aceptable,Aceptable
2018-01-03,0.131,28.8,68.33,20.43,31.59,27.27083333,,Aceptable,Aceptable,Precaucion,Deseable,Aceptable
2018-01-04,2.863,21.27,74.5,21.99,11.22,25.89541667,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-01-05,0.02,24.92,46.84,22.46,21.88,23.36666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,23.18,22.83,13.28,21.18,21.88583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-07,1.53,30,12.53,8.01,20.85,17.49041667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-08,0.685,19.92,47.82,21.8,27.21,23.4475,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-09,0.201,24.63,72.28,20.95,22.08,30.38291667,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-01-10,0,13.61,49.86,14.24,21.73,23.27041667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-11,3.313,23.02,90.82,,28.01,29.333,,Aceptable,Deseable,Precaucion,Incorrecto,Aceptable
2018-01-12,1.325,27.94,43.48,19.05,35.45,25.77625,,Aceptable,Aceptable,Aceptable,Deseable,Aceptable
2018-01-13,0,21.03,26.32,18.86,26.52,18.58125,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-14,0.302,6.03,10.02,6.32,15.69,8.7,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,1.91,13.13,21.52,28.68,10.38541667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-16,0,9.76,30.92,35.63,12.67,16.47833333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-17,0,4.34,22.1,22.91,10.44,9.537083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-18,0.05,6.43,29.29,0,23.56,12.65291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-19,0,6.92,20.9,16.93,17.88,12.66583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-20,0.498,3.18,12.5,8.16,17.09,8.738333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0,3.79,11.05,9.25,13.43,9.283333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0.771,11.26,15.44,12.28,9.98,11.68333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0,21.26,49.7,11.9,23.69,20.31458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-24,1.752,16.41,107.54,9.15,24.02,23.76916667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-25,1.411,11.69,68.37,23.35,24.5,16.0875,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-26,0,29.08,55.39,24.44,18.94,23.33833333,,Deseable,Aceptable,Precaucion,Deseable,Deseable
2018-01-27,0.014,16.24,28.42,13.14,9.77,15.2475,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-28,1.892,12.63,18.76,18.46,16.6,15.63041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-29,2.94,13.13,39.39,23.31,23.83,19.25541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-30,3.237,18.12,28.38,33.85,21.27,20.76947368,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-31,2.61,17.94,60.59,30.22,20.23,22.82708333,,Deseable,Deseable,Precaucion,Aceptable,Deseable
2018-02-01,4.002,18.71,41.21,32.14,10.27,21.64208333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-02-02,0,5.67,30.84,28.69,27.61,18.10291667,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-02-03,1.614,17.8,23.55,24.8,10.53,21.12083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-04,0.847,10.04,14.49,18.84,10.03,12.05125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-05,1.307,0.76,9.75,9.58,6.9,8.809583333,,Deseable,Deseable,Deseable,Deseable,Deseable
