Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,257.26,5.97,2.82,13.31,26.26375,,Aceptable,Alarma,Deseable,Deseable,Deseable
2018-01-02,0,25.72,65.07,34.62,14.91,25.38333333,,Aceptable,Aceptable,Precaucion,Aceptable,Deseable
2018-01-03,0,23.01,71.34,18.04,13.04,27.05416667,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-01-04,2.424,16.7,39.19,14.71,19.17,21.21125,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-05,0.202,14.89,47.37,13.16,12.31,24.16166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,21.48,32.25,25.78,14.51,18.0775,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-07,1.728,13.26,5.46,3.57,11.24,14.27916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-08,0.071,10,25.27,15.14,16.37,17.6725,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-09,0,30.09,63.77,13.67,7.35,26.04375,,Aceptable,Aceptable,Precaucion,Deseable,Deseable
2018-01-10,0,15.61,53.53,20.73,12.64,22.77,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-11,2.505,17.36,53.42,17.32,4.11,22.36666667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-12,0.973,30.65,40.99,14.74,17.02,22.8175,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-01-13,0,22.46,27.96,12.98,6.01,17.44708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-14,0.789,7.38,7.3,3.42,1.87,8.27875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,4.62,10.1,20.62,17.5,11.39125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-16,0,5.05,35.1,40.51,7.74,17.6775,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-17,0,13.48,23.08,23.5,3.53,11.35875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-18,0.065,7.61,21.78,0.89,11.34,13.3775,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-19,0,12.3,43.2,12.55,11.29,14.61458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-20,0,13.25,9.65,8.28,10.61,10.96375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0,9,3.36,13.26,5.62,8.708333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0.273,6.84,17.2,16.26,6.65,10.78666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0,6.72,47.71,5.65,15.28,14.74666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-24,1.909,15.38,53.4,10.47,10.91,16.71125,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-25,0.544,7.94,28.71,9.84,11.52,12.28291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-26,0,6.89,85.31,11.65,5.27,21.38791667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-27,0.213,18.79,19.28,9.38,3.29,12.7275,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-28,0.773,15.95,17.42,7.41,11.71,13.69541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-29,2.097,15.92,71.65,17.47,16.43,18.38636364,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-01-30,2.998,20.68,40.51,18.78,15.54,22.14208333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-31,2.282,28.17,57.99,20.1,14.26,22.48458333,,Deseable,Aceptable,Precaucion,Deseable,Deseable
2018-02-01,4.033,15.38,34.37,16.15,10.9,22.06375,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-02,0,11.2,42.97,17.21,,18.91636364,,Deseable,Deseable,Aceptable,Deseable,Incorrecto
2018-02-03,0.368,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-02-04,0,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-02-05,0.897,,,0,1.82,2.76375,,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2018-02-06,0,12.9,17.32,16.22,5.49,11.46708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-07,0.639,12.18,23.75,4.28,3.32,10.58125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-08,1.019,7.93,21.21,11.51,2.26,9.96375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-09,1.516,11.52,20.94,18.36,2.31,14.055,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-10,3.897,12.51,14.71,9.28,5.34,13.41416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-11,0,18.67,19.08,16.45,8.95,15.42375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-12,1.037,28.22,23.78,31.09,10.99,22.81208333,,Deseable,Aceptable,Deseable,Aceptable,Deseable
2018-02-13,0.375,19.05,27.85,18.89,19,19.4225,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-14,0.218,19.84,26.25,6.53,6.13,18.0175,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-15,0,12.38,8.95,18.23,12.89,11.2825,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-16,0,11.31,18.19,11.88,8.64,14.80875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-17,0,14.85,9.35,12.24,11.15,17.69833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-18,0,9.64,16.29,14.09,5.21,12.525,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-19,0,6.51,20.74,2.77,5.32,8.85625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-20,0,7.71,30.33,2.36,3.66,11.08208333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-21,2.177,4.93,47.83,3.91,7.62,11.82,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-22,0,11.71,23.66,11.35,6.86,10.05,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-23,2.934,3.27,15.82,9.34,2.03,8.648333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0,15.03,9.83,5.92,2.12,7.562916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0,20.32,9.23,1.49,8.21,9.907083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,0,5.78,28.17,10.15,12.47,12.04833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-27,0,8.82,33.15,6.15,11.84,12.33375,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-28,0,11.69,22.67,27.31,4.53,11.22666667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-01,1.029,19.2,36.17,7.12,1.55,18.5925,,Deseable,Deseable,Aceptable,Deseable,Deseable
