Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,138.29,2.27,2.37,23.34,18.25291667,,Deseable,Precaucion,Deseable,Deseable,Deseable
2018-01-02,0,27.49,23.35,20.35,13.28,18.17875,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-03,0.161,10.49,30.08,13.71,19.98,17.83166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-04,2.563,17.58,18.45,19,26.05,16.02875,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-05,0.921,17.21,26.89,9.19,21.44,16.98833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,11.81,7.31,23.64,26.79,14.03666667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-07,0.933,16.76,5.42,7.07,8.97,14.91416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-08,0,11.01,29.79,21.68,21.28,15.98958333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-09,0,20.61,41.74,20.14,22.22,23.005,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-10,0,8.55,34.08,29.39,22.39,17.10428571,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-11,2.392,21.11,20.81,13.18,22.2,16.49291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-12,3.086,7.75,27.78,27.03,21.84,20.22166667,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-13,0,20.98,14.86,16.69,12.37,15.46583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-14,0.612,15.68,8.68,15.3,7.77,11.455,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,3.45,16.98,8.84,15.5,8.024583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-16,0,6.65,25.98,7.92,21.53,15.64583333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-17,0,7.62,4.94,3.29,9.33,8.9575,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-18,0,5.84,7.01,9.01,11.62,7.960416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-19,0,10.06,6.02,3.11,14.05,7.265416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-20,0,5.73,4.81,8.08,10.62,8.29125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0.307,9.92,9.05,2.12,6.78,7.544166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0.825,2.56,14.27,4.22,16.6,9.64875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0.01,12.44,33.14,3.75,25.91,14.36041667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-24,2.009,18.07,25.64,7.71,17.51,15.54291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-25,3.793,19.4,17.63,1.86,13.57,10.71583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-26,0,26.74,32.69,5.85,18.73,16.6725,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-01-27,0.047,9.31,8.97,3.65,31.14,12.95166667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-28,0.614,19.21,8.1,9.76,11.24,13.33208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-29,1.392,8.23,7.5,12.33,22.25,13.21291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-30,1.562,23.43,23.01,12.91,12.85,15.32125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-31,2.287,15.45,26.79,15,13.67,17.2495,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-01,5.019,29.44,26.32,24.97,19.55,17.80208333,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-02-02,0,5.48,38.86,23.3,18.41,15.10625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-03,3.656,14.68,18.44,17.7,20.92,18.31833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-04,0,1.24,14.21,20.15,15.5,8.694166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-05,0.609,3.05,9.12,22.58,11.51,7.707083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-06,0,1.75,2.91,29.04,14.46,7.620833333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-02-07,3.348,2.37,8.85,15.54,5.86,7.661666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-08,2.702,1.85,2.7,7.97,6.96,7.1775,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-09,2.752,8.41,15.15,18.67,10.17,10.55041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-10,3.238,6.88,15.87,12.38,12.42,13.625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-11,0,6.05,12.58,20.08,16.3,12.75875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-12,4.405,16.12,27.79,23.57,25.87,19.76791667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-02-13,3.181,16.5,15.91,17.84,23.55,17.91208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-14,2.893,12.67,26.38,21.01,18.61,16.95625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-15,0,5.12,8.71,33.36,12.67,10.85666667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-02-16,0,3.15,12.56,21.5,23.23,11.5925,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-17,0,8.77,9.99,7.63,19.17,14.17916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-18,0,2.08,14.51,28.4,12.16,11.99125,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-02-19,0.399,8.44,3.99,0.9,15.91,9.599166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-20,0,11.89,14.45,12.77,20.73,11.01583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-21,2.708,2.48,5.33,22.12,10.53,7.23375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-22,0,3.66,7.64,8.33,16.77,7.205,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-23,0,6.04,5.98,4.81,13.14,5.692083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0,2.4,4.09,0.05,8.86,5.201666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,2.507,4.87,6.73,15.55,12.78,8.453333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,4.109,9.3,21.01,12.4,15.29,11.04,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-27,0,8.43,16.76,15.64,17.94,11.91875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-28,0,7.31,4.25,18.15,12.8,9.775833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-01,2.663,15.11,17.23,21.41,11.98,14.39041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-02,0,2.58,13.38,17.28,24.95,13.47041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-03,0,12.9,7.54,16.29,15.21,12.99166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,18.77,13.04,8.04,15.23,14.87375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,6.96,19.35,4,17.23,11.81333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-06,0,4.21,16.07,4.82,17.41,11.35916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-07,0.269,9.69,29.71,3.7,11.98,16.05666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-08,0,21.28,24.79,2.79,21.02,16.31708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-09,2.013,8.2,21,4.9,7.04,12.8325,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-10,4.559,24.61,11.52,2.27,16.3,14.90958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-11,10.183,16.17,4.56,5.09,11.21,10.83958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-12,6.663,18.06,16.28,4.63,22.26,13.2425,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-13,0.576,12.24,35.57,10.62,18.25,18.31666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-14,5.676,14.83,23.25,7.23,26.17,19.39875,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-15,0,27.95,36.74,20.12,31.73,30.62333333,,Aceptable,Aceptable,Aceptable,Deseable,Aceptable
2018-03-16,0,19.15,30.35,2.74,18.91,18.96,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-17,0,20.32,14.78,26.92,32.84,21.71791667,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-03-18,10.031,11.66,15.83,34.58,8.11,16.57625,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-19,4.93,8.96,7.96,41.47,16.57,9.808095238,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-20,6.082,20.7,23.97,16.24,24.96,23.29708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-21,0,10.31,23.39,4.85,30,14.22416667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-22,0,9.62,28,9.19,18.42,17.56083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-23,0,11.54,22.79,13.97,24.23,20.2275,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-24,0,11.61,9.22,22.67,22.24,15.82541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-25,9.337,21.82,9.3,11.32,8.18,16.38041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-26,0.566,14.92,28.42,30.6,31.92,17.85875,,Deseable,Deseable,Aceptable,Aceptable,Aceptable
2018-03-27,6.031,17.78,23.95,16.95,32.41,22.35619048,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-28,6.117,16.4,10.59,31.86,16.11,21.30541667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-29,0,20.13,33.02,17.19,5.75,22.36208333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-30,0,9.6,16.38,28.19,6.6,12.15708333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-31,0,14.46,6.58,17.9,12.73,11.32875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-01,0,6.43,3.16,20.71,15.52,6.875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-02,0,4.82,7.85,5.19,18.45,8.4975,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-03,0,8.41,26.26,16.33,21.91,11.9675,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-04,0,7.67,13.14,13.18,11.17,11.27083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-05,0,7.11,24.91,6.78,23.53,12.3675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-06,0,1.01,9.68,22.03,13.84,9.23375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-07,0,16.16,26.11,11.91,16.45,15.59458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-08,0.265,7.05,9.89,17.03,14.42,13.765,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-09,0,13.13,11.57,6.38,10.62,12.03625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-10,0,9.94,16.46,14.7,6.87,9.993333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-11,0,9.08,27.82,16.45,24.6,17.83083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-12,4.498,11.13,19.66,15.67,17.49,18.46125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-13,0,17.1,18.78,13.36,27,14.43458333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-14,3.962,18.21,5.9,17.97,16.33,14.33625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-15,0.611,12.86,3.4,12.25,10.49,12.89416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-16,0,19.65,31.03,1.72,13.47,16.61625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-17,4.341,9.67,10.56,5.41,15.59,10.46791667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-18,3.879,9.74,19.94,2.87,18.07,13.04875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-19,0,11.75,25.59,4.08,6.74,12.40666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-20,0.561,11.32,17.72,2.83,14.15,10.96875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-21,4.584,23.33,15.98,8.7,28.48,14.76375,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-22,3.203,7.5,6.79,7.29,17.73,10.51583333,,Deseable,Deseable,Deseable,Deseable,Deseable
