Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.001,99.618
Carapungo,IQCA,Aceptable,AOD_media,0.007,21.049
Carapungo,IQCA,Precaucion,AOD_media,0.264,4.673
Carapungo,IQCA,Incorrecto,AOD_media,0.046,6.282
Carapungo,IQCA_1,Deseable,AOD_media,0.001,16.297
Carapungo,IQCA_1,Aceptable,AOD_media,0.004,12.087
Carapungo,IQCA_1,Precaucion,AOD_media,0.072,3.09
Carapungo,IQCA_1,Alerta,AOD_media,0.401,1.95
Carapungo,IQCA_1,Incorrecto,AOD_media,0.003,99.618
Carapungo,IQCA_7,Deseable,AOD_media,0.001,16.297
Carapungo,IQCA_7,Aceptable,AOD_media,0.001,8.354
Carapungo,IQCA_7,Precaucion,AOD_media,0.036,12.087
Carapungo,IQCA_7,Incorrecto,AOD_media,0.003,99.618
Carapungo,IQCA_14,Deseable,AOD_media,0.001,16.297
Carapungo,IQCA_14,Aceptable,AOD_media,0.001,12.921
Carapungo,IQCA_14,Precaucion,AOD_media,0.083,3.347
Carapungo,IQCA_14,Incorrecto,AOD_media,0.003,99.618
Carapungo,IQCA_18,Deseable,AOD_media,0.001,16.297
Carapungo,IQCA_18,Aceptable,AOD_media,0.037,9.233
Carapungo,IQCA_18,Precaucion,AOD_media,0.147,2.833
Carapungo,IQCA_18,Incorrecto,AOD_media,0.003,99.618
SanAntonio,IQCA,Deseable,AOD_media,0.001,19.949
SanAntonio,IQCA,Aceptable,AOD_media,0.063,7.346
SanAntonio,IQCA,Precaucion,AOD_media,2.478,2.821
SanAntonio,IQCA,Incorrecto,AOD_media,0.009,105.601
SanAntonio,IQCA_1,Deseable,AOD_media,0.001,15.834
SanAntonio,IQCA_1,Aceptable,AOD_media,0.063,9.826
SanAntonio,IQCA_1,Precaucion,AOD_media,0.901,1.469
SanAntonio,IQCA_1,Alerta,AOD_media,2.478,2.478
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.001,105.601
SanAntonio,IQCA_7,Deseable,AOD_media,0.001,15.834
SanAntonio,IQCA_7,Aceptable,AOD_media,0.003,11.847
SanAntonio,IQCA_7,Precaucion,AOD_media,0.063,5.165
SanAntonio,IQCA_7,Incorrecto,AOD_media,0.001,105.601
SanAntonio,IQCA_14,Deseable,AOD_media,0.001,15.834
SanAntonio,IQCA_14,Aceptable,AOD_media,0.043,13.403
SanAntonio,IQCA_14,Precaucion,AOD_media,0.144,4.554
SanAntonio,IQCA_14,Alerta,AOD_media,2.092,2.092
SanAntonio,IQCA_14,Incorrecto,AOD_media,0.001,105.601
SanAntonio,IQCA_18,Deseable,AOD_media,0.001,15.834
SanAntonio,IQCA_18,Aceptable,AOD_media,0.003,11.847
SanAntonio,IQCA_18,Precaucion,AOD_media,0.144,2.197
SanAntonio,IQCA_18,Incorrecto,AOD_media,0.001,105.601
Tumbaco,IQCA,Deseable,AOD_media,0.001,124.097
Tumbaco,IQCA,Aceptable,AOD_media,0.007,5.629
Tumbaco,IQCA,Incorrecto,AOD_media,0.186,4.65
Tumbaco,IQCA_1,Deseable,AOD_media,0.001,16.277
Tumbaco,IQCA_1,Aceptable,AOD_media,0.064,5.938
Tumbaco,IQCA_1,Precaucion,AOD_media,0.398,2.009
Tumbaco,IQCA_1,Alarma,AOD_media,3.608,3.608
Tumbaco,IQCA_1,Incorrecto,AOD_media,0.002,124.097
Tumbaco,IQCA_7,Deseable,AOD_media,0.001,16.277
Tumbaco,IQCA_7,Aceptable,AOD_media,0.003,7.972
Tumbaco,IQCA_7,Precaucion,AOD_media,0.491,3.626
Tumbaco,IQCA_7,Incorrecto,AOD_media,0.002,124.097
Tumbaco,IQCA_14,Deseable,AOD_media,0.001,16.277
Tumbaco,IQCA_14,Aceptable,AOD_media,0.007,7.922
Tumbaco,IQCA_14,Precaucion,AOD_media,0.007,3.637
Tumbaco,IQCA_14,Incorrecto,AOD_media,0.002,124.097
Tumbaco,IQCA_18,Deseable,AOD_media,0.001,16.277
Tumbaco,IQCA_18,Aceptable,AOD_media,0.007,13.161
Tumbaco,IQCA_18,Precaucion,AOD_media,0.336,6.8
Tumbaco,IQCA_18,Incorrecto,AOD_media,0.002,124.097
Guamani,IQCA,Deseable,AOD_media,0.001,71.628
Guamani,IQCA,Aceptable,AOD_media,0.005,7.988
Guamani,IQCA,Precaucion,AOD_media,0.083,4.249
Guamani,IQCA,Alerta,AOD_media,2.328,2.328
Guamani,IQCA,Incorrecto,AOD_media,0.038,4.006
