Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,34.2,6.8,4.2,2.7,14.27083333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-02,0,24.1,36.7,18.9,27.7,19.35833333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-03,0.344,8.3,39.2,15.2,24.8,14.06666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-04,2.383,12.8,42.7,0,17.2,15.99565217,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-05,0.875,12.9,31.3,23.5,-3,17.57391304,,Deseable,Deseable,Aceptable,Deseable,Incorrecto
2018-01-06,0,8.8,28.6,7.5,9.6,10.42083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-07,0.835,10.5,19.4,13.1,8,12.72083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-08,0,1.3,20.4,26.2,22,16.41666667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-01-09,1.428,11.7,47.1,17.6,20.5,22.675,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-10,0,6,24.4,17.4,27,13.61666667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-11,2.076,12.5,48.5,13.6,17.6,16.94166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-12,0.517,11.2,33.2,22.1,21.5,18.26666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-13,0,6.6,14.7,4.8,27.8,10.24166667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-14,0.424,7.3,-0.1,13.2,10.9,3.041666667,,Deseable,Deseable,Incorrecto,Deseable,Deseable
2018-01-15,0,-1.8,2.5,22.3,17.6,6.170833333,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-01-16,0,-2.8,9.9,15.2,10.7,7.520833333,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-01-17,0,5.3,11.1,5.3,-1.2,4.720833333,,Deseable,Deseable,Deseable,Deseable,Incorrecto
2018-01-18,0,-5.4,8.3,19.4,11.4,6.6,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-01-19,0.721,2.3,8.7,8.6,22.5,8.429166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-20,0.308,7.2,25.4,13.2,24.3,8.833333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-21,0.562,10.3,4.5,9.1,1.6,5.05,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0.88,2.6,18.4,9.6,16.1,5.579166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0.006,2.2,33.3,8.9,12.5,12.525,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-24,0.947,17.2,44.9,15.1,4.8,16.60833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-25,3.279,11.8,15.4,19.7,22.1,11.24166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-26,0.031,10.3,49.7,10.4,15.4,17.85,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-27,0.367,7.9,10.2,8.7,3.1,8.970833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-28,0,5.3,23.1,21.2,4.2,11.60833333,,Deseable,Deseable,Deseable,Deseable,Deseable
