Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,56.6,8.34,12.38,8.51,13.23,,Deseable,Precaucion,Deseable,Deseable,Deseable
2018-01-02,0,20,23.45,24,9.55,19.17875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-03,3.454,17.28,23.71,9.37,21.57,16.1375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-04,3.21,7.55,20.35,12.99,13.74,15.09458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-05,0.449,17.98,31.22,7.72,3.53,16.30916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,3.36,9.54,19.35,5.65,11.95166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-07,0.939,30.89,2.05,1.25,17.54,15.91208333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-08,0,11.12,25.07,10.75,4.28,15.61333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-09,0.064,1.8,36.73,20.23,3.08,19.9325,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-10,0,0.71,18.02,,20.66,17.81363636,,Deseable,Deseable,Deseable,Incorrecto,Deseable
2018-01-11,2.262,4.75,25.61,6.53,62.84,18.16625,,Deseable,Deseable,Aceptable,Deseable,Precaucion
2018-01-12,0.353,14.58,29.34,42.09,22.31,21.54125,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-13,0.036,12.77,27.47,20.33,7.15,14.13625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-14,1.269,27.23,20.27,0,19.89,14.05583333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-15,0,1.49,7.38,24.27,11.43,9.224166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-16,0,2.03,18.83,16.37,1.07,12.07,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-17,0,10.21,0.47,27.64,5.14,8.740833333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-01-18,0,2.23,10.78,8.57,10.86,9.610416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-19,0,4.35,4.3,11.78,12.8,6.352916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-20,0.228,7.18,11.25,3.12,20.51,9.798333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0.164,21.33,,,,12.59454545,,Deseable,Deseable,Incorrecto,Incorrecto,Incorrecto
2018-01-22,0.15,,,1.85,13.31,13.487,,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2018-01-23,0.247,9.35,24.2,10.95,20.63,13.37,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-24,1.848,20.91,25.33,5.16,13.6,14.23291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-25,2.355,2.96,19.52,1.5,19.5,12.8275,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-26,0,16.48,30.19,11.14,12.06,16.375,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-27,0.46,3.12,1.51,12.81,7.64,9.765,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-28,2.9,17.09,10.3,2.9,8.82,11.77125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-29,1.263,5.34,15.92,24.61,33.09,14.53333333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-30,2.437,15.34,26.28,21.43,19.19,16.6675,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-31,3.038,11.14,22.95,16.45,20.83,14.34666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-01,3.893,13.45,22.66,4.67,3.46,12.466,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-02,0,2.8,27.51,21.87,11.93,14.30541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-03,3.747,13.37,21.66,19.09,7.12,16.50666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-04,0,2.62,7.35,14.14,13.95,8.50625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-05,1.864,,,13.34,4.57,9.106666667,,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2018-02-06,0,,,12.78,11.56,10.46733333,,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2018-02-07,3.496,3.94,4.95,22.31,7.28,9.060416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-08,4.007,1.78,0,10.61,4.48,7.60625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-09,2.506,3.02,4.04,15.32,10.92,9.63625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-10,1.026,7.51,12.79,18.55,9.22,11.05375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-11,0,6.49,2.14,21.31,11.93,11.21041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-12,4.739,15.5,14.51,17.36,17.2,17.85583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-13,1.747,8.57,8.78,19.35,22.18,18.11375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-14,2.685,11.29,24.02,14,11.25,15.18625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-15,0,10.84,0.02,12.82,20.5,8.22625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-16,0,7.51,6.52,21.13,11.45,10.5,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-17,0,10.21,11.03,0.82,17.33,10.37958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-18,0,8.08,23.38,1.65,13.98,11.18125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-19,0,5.84,9.2,7.68,31.51,7.895,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-02-20,0,10.63,19.45,0.22,5.97,8.969583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-21,4.87,3.83,18.72,13.48,17.14,10.42833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-22,0,2.18,2.54,6.49,17.5,8.564166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-23,0.126,9.52,9.99,1.82,8.42,7.235,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0.209,27.53,9.55,6.19,8.12,7.837916667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-02-25,2.255,18.29,1.62,4.98,7.3,9.544166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,3.772,13.6,21.45,12.71,8.07,10.91208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-27,0,22.12,18.66,10.29,20.89,12.80291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-28,0,9.52,23.98,13.37,13.71,12.80291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-01,2.873,5.45,8,12.12,10.81,12.89166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-02,0,5.35,15.26,15.94,7.31,11.37208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-03,0,2.47,9.93,19.84,11.22,9.86125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,1.54,14.66,13.53,5.03,12.2675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,10.71,16.96,5.3,17.28,9.05875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-06,0,7.48,21.51,13.44,7.96,11.21583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-07,0,9.06,15.36,2.21,10.46,11.47166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-08,0,5.28,3.79,17.1,11.11,13.66875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-09,4.232,11.28,14.35,0.16,15.51,11.68625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-10,2.894,26.16,12.35,1.16,10.47,14.39416667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-03-11,4.218,13.23,0,0.39,41.25,13.135,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-12,4.934,9.21,9.23,7.28,17.25,15.29916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-13,0,5.87,24.4,38.93,26.99,15.16875,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-03-14,3.7,19.46,21.38,10.15,18.99,21.14083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-15,0,17.53,48.02,15.01,21.75,23.69041667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-16,0,24.9,41.7,10.35,8.82,21.08416667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-17,0,17.85,16.81,25.92,18.98,16.54458333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-18,3.023,7.21,46.05,18.08,7.01,14.93708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-19,0,0.42,11.86,10.63,30.92,10.48625,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-20,0,16.57,27.69,7.52,15.75,19.99291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-21,2.093,11.75,13.24,7.07,17.42,15.21375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-22,0,5.69,26.85,3.78,11.31,17.01541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
