Fecha,Estacion,IQCA,PM25,AOD
2018-01-01,Belisario,Alerta,155.09,0
2018-01-01,Belisario,Alerta,184,0
2018-01-01,Belisario,Precaucion,96.74,0
2018-01-01,Belisario,Precaucion,51.28,0
2018-01-02,Belisario,Precaucion,52.94,0
2018-01-04,Belisario,Precaucion,56.56,0.22
2018-01-05,Belisario,Precaucion,55.51,0
2018-01-08,Belisario,Precaucion,52.34,0.33
2018-01-09,Belisario,Precaucion,69.68,0
2018-01-09,Belisario,Precaucion,67.36,0
2018-01-09,Belisario,Precaucion,60.2,0
2018-01-11,Belisario,Precaucion,70.72,0.25
2018-01-11,Belisario,Precaucion,58.48,0.25
2018-01-26,Belisario,Precaucion,71.71,0
2018-02-01,Belisario,Precaucion,51.68,0.31
2018-03-16,Belisario,Precaucion,58.89,0
2018-03-27,Belisario,Precaucion,52.73,0.41
2018-04-24,Belisario,Precaucion,53.51,0.3
2018-04-26,Belisario,Precaucion,51.48,0
2018-04-26,Belisario,Precaucion,55.14,0
2018-05-08,Belisario,Precaucion,51.35,0
2018-05-10,Belisario,Precaucion,62.53,0.38
2018-05-11,Belisario,Precaucion,68.53,0
2018-05-22,Belisario,Precaucion,60.16,0.28
2018-06-12,Belisario,Precaucion,59.44,0
2018-09-13,Belisario,Precaucion,56.12,0.47
2018-09-17,Belisario,Precaucion,55.26,0.12
2018-10-01,Belisario,Precaucion,57.85,0.32
2018-10-02,Belisario,Precaucion,58.09,0
2018-10-09,Belisario,Precaucion,52.61,0
2018-10-17,Belisario,Precaucion,53.82,0.33
2018-10-19,Belisario,Precaucion,58.77,0.17
2018-10-19,Belisario,Precaucion,59.62,0.17
2018-10-19,Belisario,Precaucion,53.24,0.17
2018-10-20,Belisario,Precaucion,52.88,0
2018-10-22,Belisario,Precaucion,54.21,0.36
2018-10-22,Belisario,Precaucion,61.04,0.36
2018-10-25,Belisario,Precaucion,60.57,0
2018-10-26,Belisario,Precaucion,54.11,0.46
2018-11-07,Belisario,Precaucion,54.24,0.28
2018-11-19,Belisario,Precaucion,54.58,0
2018-11-21,Belisario,Precaucion,51.06,0
2018-12-11,Belisario,Precaucion,52.76,0
2018-12-24,Belisario,Precaucion,56.2,0.36
2019-01-01,Belisario,Precaucion,54.02,0.18
2019-01-01,Belisario,Precaucion,112.41,0.18
2019-01-09,Belisario,Precaucion,57.48,0
2019-01-16,Belisario,Precaucion,52.78,0
2019-01-18,Belisario,Precaucion,70.22,0.42
2019-02-06,Belisario,Precaucion,53.16,0.47
2019-02-21,Belisario,Precaucion,51.74,0
2019-03-06,Belisario,Precaucion,60.19,0
2019-03-13,Belisario,Precaucion,53.92,0
2019-03-28,Belisario,Precaucion,70.23,0.39
2019-04-09,Belisario,Precaucion,59.99,0.26
2019-04-29,Belisario,Emergencia,447.11,0
2019-04-29,Belisario,Precaucion,72.88,0
2019-06-12,Belisario,Precaucion,59.64,0.42
2019-06-13,Belisario,Precaucion,58.5,0
2019-08-14,Belisario,Precaucion,54.47,0
2019-08-15,Belisario,Precaucion,53.94,0.54
2019-08-15,Belisario,Precaucion,61.89,0.54
2019-08-15,Belisario,Precaucion,62.85,0.54
2019-08-23,Belisario,Precaucion,61.46,0
2019-10-04,Belisario,Precaucion,61.9,0.39
2019-10-24,Belisario,Precaucion,65.21,0
2019-10-24,Belisario,Precaucion,51.95,0
2019-10-24,Belisario,Precaucion,51.93,0
2019-10-25,Belisario,Precaucion,62.94,0.35
2019-10-25,Belisario,Precaucion,62.51,0.35
2019-10-31,Belisario,Precaucion,52.93,0
2019-11-05,Belisario,Precaucion,81.8,0.29
2019-12-01,Belisario,Precaucion,57.18,0
2019-12-11,Belisario,Precaucion,51.39,0
2019-12-13,Belisario,Precaucion,59.44,0.59
2019-12-14,Belisario,Precaucion,56.21,0.45
2019-12-16,Belisario,Precaucion,58.62,0.4
2019-12-16,Belisario,Precaucion,59.72,0.4
2019-12-30,Belisario,Precaucion,65.36,0
2020-01-09,Belisario,Precaucion,60.6,0.38
2020-01-15,Belisario,Precaucion,104.3,0.26
2020-01-15,Belisario,Precaucion,74.98,0.26
2020-01-15,Belisario,Precaucion,56.65,0.26
2020-02-12,Belisario,Precaucion,58.41,0.42
2020-03-09,Belisario,Precaucion,58.77,0.34
2020-08-04,Belisario,Precaucion,51.26,0.29
2020-09-16,Belisario,Precaucion,68.09,0.51
2020-09-21,Belisario,Precaucion,52.19,0
2020-10-11,Belisario,Precaucion,51.7,0.15
2020-10-15,Belisario,Precaucion,55.95,0.32
2020-10-27,Belisario,Precaucion,51.21,0
2020-11-17,Belisario,Precaucion,58.93,0
2020-11-19,Belisario,Precaucion,54,0.38
2020-11-26,Belisario,Precaucion,53.87,0.47
2020-12-12,Belisario,Precaucion,61.55,0
2021-01-01,Belisario,Precaucion,78.11,0
2021-01-01,Belisario,Alerta,244.91,0
2021-01-01,Belisario,Precaucion,92.98,0
2021-01-01,Belisario,Precaucion,64.07,0
2021-01-01,Belisario,Precaucion,64.62,0
2021-01-01,Belisario,Precaucion,70.65,0
2021-01-01,Belisario,Precaucion,61.92,0
2021-01-01,Belisario,Precaucion,84.19,0
2021-01-23,Belisario,Precaucion,54.44,0.53
2021-04-03,Belisario,Precaucion,64.78,0
2021-06-03,Belisario,Precaucion,69.63,0.22
2021-06-05,Belisario,Precaucion,66.61,0.36
2021-06-11,Belisario,Precaucion,53.35,0
2021-10-01,Belisario,Precaucion,51.09,0
2021-10-03,Belisario,Precaucion,57.16,0.44
2021-10-06,Belisario,Precaucion,51.9,0
2021-10-14,Belisario,Precaucion,52.04,0.4
2021-10-15,Belisario,Precaucion,54.22,0
2021-10-15,Belisario,Precaucion,53.19,0
2021-11-23,Belisario,Alerta,201.2,0
2022-01-01,Belisario,Precaucion,66.62,0
2022-01-23,Belisario,Precaucion,54.39,0.21
2022-01-23,Belisario,Precaucion,73.61,0.21
2022-02-03,Belisario,Precaucion,62.71,0.4
2022-02-03,Belisario,Precaucion,57.08,0.4
2022-02-17,Belisario,Precaucion,54.35,0
2022-02-23,Belisario,Precaucion,52.09,0.35
2022-02-23,Belisario,Precaucion,58.97,0.35
2022-03-28,Belisario,Precaucion,56.08,0
2022-04-06,Belisario,Precaucion,55.71,0.46
2022-04-08,Belisario,Precaucion,52.39,0
2022-04-08,Belisario,Precaucion,85.5,0
2022-04-08,Belisario,Precaucion,51.98,0
2022-04-11,Belisario,Precaucion,54.02,0
2022-05-02,Belisario,Precaucion,52.4,0.35
2022-05-03,Belisario,Precaucion,75.6,0.09
2022-05-10,Belisario,Precaucion,53.27,0.27
2022-05-10,Belisario,Precaucion,57.76,0.27
2022-05-12,Belisario,Precaucion,59.4,0
2022-05-13,Belisario,Precaucion,73.51,0
2022-05-15,Belisario,Emergencia,705.36,0
2022-05-31,Belisario,Precaucion,62.69,0
2022-06-07,Belisario,Precaucion,60.11,0
2022-06-10,Belisario,Precaucion,58.17,0
2022-06-14,Belisario,Precaucion,63.34,0.46
2022-07-11,Belisario,Precaucion,53.63,0
2022-07-16,Belisario,Precaucion,56.73,0.53
2022-07-16,Belisario,Precaucion,64.25,0.53
2022-07-25,Belisario,Precaucion,52.14,0
2022-08-01,Belisario,Precaucion,53.01,0.43
2022-08-01,Belisario,Precaucion,60.61,0.43
2022-08-01,Belisario,Precaucion,62.43,0.43
2022-08-01,Belisario,Precaucion,54.46,0.43
2022-08-02,Belisario,Precaucion,57.27,0.22
2022-08-03,Belisario,Precaucion,52.41,0
2022-08-07,Belisario,Precaucion,54.46,0.25
2022-08-07,Belisario,Precaucion,51.38,0.25
2022-08-07,Belisario,Precaucion,52.28,0.25
2022-08-08,Belisario,Precaucion,52.61,0.28
2022-08-11,Belisario,Precaucion,53.09,0
2022-08-11,Belisario,Precaucion,58.95,0
2022-08-11,Belisario,Precaucion,63.06,0
2022-08-11,Belisario,Precaucion,58.38,0
2022-08-11,Belisario,Precaucion,52.07,0
2022-08-12,Belisario,Precaucion,63.3,0.15
2022-08-12,Belisario,Precaucion,81.05,0.15
2022-08-12,Belisario,Precaucion,86.4,0.15
2022-08-12,Belisario,Precaucion,84.15,0.15
2022-08-12,Belisario,Precaucion,78.36,0.15
2022-08-12,Belisario,Precaucion,69.08,0.15
2022-08-12,Belisario,Precaucion,65.41,0.15
2022-08-13,Belisario,Precaucion,71.44,0.17
2022-08-13,Belisario,Precaucion,96.21,0.17
2022-08-13,Belisario,Precaucion,110.81,0.17
2022-08-13,Belisario,Precaucion,104.41,0.17
2022-08-13,Belisario,Precaucion,90.36,0.17
2022-08-13,Belisario,Precaucion,85.74,0.17
2022-08-13,Belisario,Precaucion,74.68,0.17
2022-08-13,Belisario,Precaucion,61.7,0.17
2022-08-14,Belisario,Precaucion,52.84,0.26
2022-08-14,Belisario,Precaucion,60.84,0.26
2022-08-14,Belisario,Precaucion,66.84,0.26
2022-08-14,Belisario,Precaucion,72.97,0.26
2022-08-14,Belisario,Precaucion,77.21,0.26
2022-08-14,Belisario,Precaucion,68.29,0.26
2022-08-14,Belisario,Precaucion,64.02,0.26
2022-08-14,Belisario,Precaucion,53.64,0.26
2022-08-15,Belisario,Precaucion,52.86,0
2022-08-15,Belisario,Precaucion,53.2,0
2022-08-15,Belisario,Precaucion,52.13,0
2022-08-15,Belisario,Precaucion,51.24,0
2022-08-16,Belisario,Precaucion,51.76,0.11
2022-08-16,Belisario,Precaucion,58.02,0.11
2022-08-16,Belisario,Precaucion,56.36,0.11
2022-08-16,Belisario,Precaucion,56.6,0.11
2022-08-16,Belisario,Precaucion,53.9,0.11
