Año,Estacion,min_Alarma,min_Alerta,min_Emergencia,min_Precaucion,max_Alarma,max_Alerta,max_Emergencia,max_Precaucion
2018,Belisario,,,,0.12,,,,0.47
2018,Carapungo,,0.5,,0.09,,0.51,,0.59
2018,Centro,,,,0.12,,,,0.62
2018,Cotocollao,,,,0.13,,,,0.52
2018,ElCamal,,,,0.06,,,,0.68
2018,Guamani,0.28,0.23,0.28,0.15,0.3,0.48,0.52,0.54
2018,LosChillos,,,,0.08,,,,0.57
2018,SanAntonio,,,0.41,0.12,,,0.43,0.43
2018,Tumbaco,,0.22,,0.06,,0.22,,0.5
2019,Belisario,,,,0.18,,,,0.59
2019,Carapungo,,0.17,,0.08,,0.23,,0.58
2019,Centro,,0.21,,0.21,,0.23,,0.58
2019,Cotocollao,,,,0.16,,,,0.58
2019,ElCamal,,0.19,,0.06,,0.19,,1.32
2019,Guamani,0.21,0.21,0.21,0.2,0.28,0.58,0.21,0.58
2019,LosChillos,,,,0.16,,,,0.38
2019,SanAntonio,,0.16,0.59,0.16,,0.26,0.59,0.59
2019,Tumbaco,0.1,0.1,,0.09,0.1,0.1,,0.48
2020,Belisario,,,,0.15,,,,0.51
2020,Carapungo,,,,0.14,,,,0.5
2020,Centro,,,,0.17,,,,0.57
2020,Cotocollao,,0.27,,0.09,,0.27,,0.59
2020,ElCamal,0.39,0.51,,0.08,0.39,0.51,,0.59
2020,Guamani,,,,0.12,,,,0.58
2020,SanAntonio,,0.25,,0.15,,0.53,,0.56
2020,Tumbaco,,0.24,,0.16,,0.24,,0.43
2021,Belisario,,,,0.22,,,,0.53
2021,Carapungo,,,,0.25,,,,0.49
2021,Centro,,,,0.48,,,,0.48
2021,Cotocollao,,,,0.32,,,,0.51
2021,ElCamal,,0.52,,0.23,,0.52,,1.29
2021,Guamani,,0.44,0.19,0.19,,0.44,0.19,0.56
2021,LosChillos,,,,0.33,,,,0.39
2021,SanAntonio,,,,0.23,,,,0.44
2021,Tumbaco,,0.39,,0.24,,0.39,,0.45
2022,Belisario,,,,0.01,,,,0.56
2022,Carapungo,,0.14,,0.02,,0.14,,0.59
2022,Centro,,0.56,,0.01,,0.56,,0.56
2022,Cotocollao,,,,0.02,,,,0.59
2022,ElCamal,,,,0.01,,,,0.69
2022,Guamani,,,,0.03,,,,0.56
2022,LosChillos,,,,0.06,,,,0.71
2022,SanAntonio,0.54,,,0.05,0.54,,,0.57
2022,Tumbaco,,,,0.06,,,,0.47
2023,Belisario,,,,0.08,,,,0.84
2023,Carapungo,0.09,0.14,0.17,0.02,0.47,0.53,0.47,0.57
2023,Centro,,,,0.04,,,,0.58
2023,Cotocollao,,,,0.12,,,,0.43
2023,Guamani,,0.17,,0.03,,0.56,,0.6
2023,LosChillos,,0.33,0.33,0.23,,0.33,0.33,0.54
2023,SanAntonio,,,,0.06,,,,0.58
2023,Tumbaco,,,,0.14,,,,0.21
2024,Belisario,,0.47,0.26,0.13,,0.47,0.26,0.58
2024,Carapungo,,,,0.14,,,,0.68
2024,Centro,,0.26,,0.14,,0.26,,0.58
2024,Cotocollao,,0.17,,0.13,,0.17,,0.58
2024,Guamani,,0.26,,0.05,,0.26,,0.55
2024,LosChillos,,,,0.09,,,,0.61
2024,SanAntonio,,,,0.04,,,,0.57
2024,Tumbaco,,,,0.17,,,,0.43
